transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0x7d2296bcb936aa5e2397ddf8ccba59f54a178c3901666b49291d880369dbcf31,5,0x7c42f2a7d9ad01294ecef9be1e38272c84607593,0x580cac65c2620d194371ef29eb887a7d8dcc91bf,2022-03-05 12:46:23+00:00,1,1,1.0,1,2,2,1.0,1,1,1,1,46,1,0,0,1,0,4,9,9,12,3,4,423932,25953071246,7718821,332490,0,1,2.0
0x0c32dc174a41728e005217978a6c5e13c38b896d578421cccb81cc567b490834,1,0xdfeac81af6e018a6d9d6f4a86f2be3c7df61e526,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-05 08:39:52+00:00,700,710,0.9859154929577464,158,12,12,1.0,6,710,1,1,9,263,220,1408842,7,119,763233,8,4,3,1,4,408211,19684412796,10729241,248476,0,9,2.0
0xe6e63780659e5d8ca2c62cfd43fc94349dd37f51c7b774a0d458ac2cd0506557,1,0x62b2ce1fe74073bba672186d6da08ee6d4943925,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-05 02:42:11+00:00,699,709,0.9858956276445698,158,38,38,1.0,15,709,2,2,6,262,220,1407301,14,177,1135345,6,2,3,1,3,289407,39698130205,790183,185611,0,32,2.0
0x84651dc5e3e47f70e469b00bd1eb3ceb7396a51f60cc579b6ca91cc6d4b20eb0,3,0x8e08e916e53e310323e905d4e042173cbff9ba19,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-03-04 13:59:49+00:00,439420,3023301,0.1453444430442089,80,821,832,0.986778846153846,223,9,5,4,14,626242,79,508632,179,552,3562686,8,3,6,3,3,213372,29452149066,19191362,167560,0,805,2.0
0x0d5f6e0fc6c5c553b6e0a840dde03c4e373b3c0a9396adeeaed963c0d47e7f59,1,0x8e08e916e53e310323e905d4e042173cbff9ba19,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-04 13:59:37+00:00,698,708,0.9858757062146892,157,820,831,0.98676293622142,223,708,2,2,2,262,219,1403892,179,552,3562684,3,0,1,1,1,65962,33220945026,6171605,54608,0,804,2.0
0xb4d1830b1b6fccc77c6f96d87690028510607a19d415393d8ea422c0f511a4b3,1,0x8e08e916e53e310323e905d4e042173cbff9ba19,0xf4e4c445a64d1f3eb7192ef78b956aca78f893e5,2022-03-04 13:48:31+00:00,54,54,1.0,23,819,830,0.9867469879518072,223,26,1,1,9,27,34,218173,179,552,3562626,8,1,4,1,3,2074194,28234053047,6388509,1356244,0,803,2.0
0x0c31b20291faa93f54744c8f33559ac9ac1c125e47b72d3a6e6978f3747e83cd,1,0x198593e57132f067e93673ef15fb9dc1ff62f16f,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-04 02:00:34+00:00,697,707,0.9858557284299858,157,16,16,1.0,3,707,13,3,7,262,219,1400669,2,19,121388,8,2,3,1,4,200000,35693617567,12712566,187768,0,13,2.0
0xc7e55f2e67a76606ba0696234180d48d9c13e2859630e68b068bc99cdf9cc653,1,0x85f0a451c361bb660db320798b37639eaf676455,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-03 18:34:33+00:00,696,706,0.9858356940509914,156,14,14,1.0,4,706,3,3,12,262,218,1398700,4,283,1820946,10,4,6,1,4,1869264,60550284005,12473117,1210712,0,7,2.0
0x32cf9ea0f8bde885d6a96ec03247e23014f383d905df170864c75dcd75a20835,1,0xca3790062efbdb257725e000eed4c17389247bb1,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-03 13:19:15+00:00,695,705,0.9858156028368794,156,10,10,1.0,5,705,2,2,5,262,218,1397227,6,73,472159,6,1,3,1,3,169468,33501072892,4333435,110799,0,7,2.0
0x2b82ced9cd726e92fbf958bec22bbd17620a29d86dd9c2091d628a0f3f117ded,1,0xca3790062efbdb257725e000eed4c17389247bb1,0xf4e4c445a64d1f3eb7192ef78b956aca78f893e5,2022-03-03 13:14:49+00:00,48,48,1.0,22,9,9,1.0,5,25,1,1,9,23,33,211543,6,73,472136,8,1,4,1,3,2623077,23827157047,18204658,1716449,0,6,2.0
0x5b36624a19f47e162e5f69d9ae8e15982e812f4b713f310a0d79de977ebb7156,1,0xb15ebdd9e9a3f96b6ae485f913f2c00f36e7f6cb,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-03 05:51:19+00:00,694,704,0.9857954545454544,156,19,19,1.0,7,704,1,1,9,262,218,1395249,4,62,396129,8,4,3,1,4,408211,35294785605,6817165,248476,0,8,2.0
0xecc4da7ed844fe62e0ff7ab06cf13051975a7f8d8b03195c1a7b44172986721c,1,0x7bfa030fc920eb87bcb312323a6104bef972bd6d,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-03 00:37:44+00:00,693,703,0.9857752489331436,156,14,15,0.9333333333333332,10,703,3,3,6,261,218,1393852,5,187,1197495,6,2,3,1,3,289407,36836308225,2978714,185611,0,11,2.0
0xbd26f5d7196129254e98fe199998126a809bd258c3954a08d0ad98cac2d7d4d5,1,0xe4af64cd923ea1149f25e412283438f620d246cf,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-02 18:44:37+00:00,692,702,0.9857549857549855,155,27,28,0.9642857142857144,6,702,1,1,9,261,217,1392327,11,115,739376,8,4,3,1,4,408229,71586513594,1736062,248488,0,19,2.0
0x3c92fb5e0a283141048227fc398d24936970ef688ecec02c939b14993b9d6866,1,0xfa6f083e59a3868d6d69241541a0e33f2ca692db,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-02 06:02:54+00:00,691,701,0.985734664764622,155,10,10,1.0,4,701,5,3,12,260,217,1388875,2,3,15792,10,4,6,1,4,1633936,34236103565,15024829,1062937,0,5,2.0
0x5dae412f1eb5f1b90f1018ac43e3b075f9b17126a13a417daeab3f964bd2888a,1,0x8e8ef24363cd364f234f03db24c88110e89bd32b,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-02 03:57:17+00:00,690,700,0.9857142857142857,155,202,202,1.0,83,700,2,2,5,260,217,1388314,51,636,4106168,6,1,3,1,3,142578,43064475615,3799478,93699,0,173,2.0
0x4f075b902de2a5c746ac69a5a432fc3775f0659434bb094237a5dbffae624d20,1,0x8e8ef24363cd364f234f03db24c88110e89bd32b,0xf4e4c445a64d1f3eb7192ef78b956aca78f893e5,2022-03-02 03:47:12+00:00,45,45,1.0,21,201,201,1.0,83,24,1,1,9,22,32,202598,51,636,4106113,8,1,4,1,3,1640268,51685293888,14731996,1070933,0,172,2.0
0x0318fdeb2de4d81a553f6de9ad396d8fdff4c0d72f34e089edc0f545e897bea6,1,0xa9e89db8c019d4940af250057b8f1a12f0344202,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-01 17:51:42+00:00,689,699,0.9856938483547923,154,33,33,1.0,16,699,1,1,9,260,216,1385599,10,178,1145385,8,4,3,1,4,408193,76123902694,4312091,248464,0,23,2.0
0x5a9d1adacf7db6344c84902ff78ab5c7b8d029379e483e329d1470b7eb553994,1,0xf56f8ee4ec1eb4276d964d13b7bad75955b1d56c,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-01 15:41:29+00:00,688,698,0.98567335243553,154,86,95,0.9052631578947368,29,698,1,1,9,259,216,1385020,21,361,2326478,8,4,3,1,4,408193,45906561149,20841088,243664,0,80,2.0
0xa87349ff8ea55eb40e938818eb1934e0c55867d4271414434122653056ca7c23,1,0x67dbe3fb2b76e564ebdf860b5011a283e9ae6698,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-01 15:00:22+00:00,687,697,0.9856527977044476,154,21,22,0.9545454545454544,11,697,2,2,6,258,216,1384835,9,166,1061938,6,2,3,1,3,289407,62160149898,3474309,185611,0,14,2.0
0xeb339b501b2197da320e5ce5a2a2f1b022045c297855ab0f36802aecd28e276e,1,0xfa6f083e59a3868d6d69241541a0e33f2ca692db,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-03-01 10:26:50+00:00,686,696,0.985632183908046,154,8,8,1.0,3,696,4,2,7,258,216,1383581,2,2,10498,8,2,3,1,4,280000,35964144186,5347039,271455,0,4,2.0
