transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0x454dea69700162c7b5b701e90884b4e76f44427a605d01d9f9188ff313fdd78b,11,0x00000a600e64c26be24f64169c89f21c1f530000,0x2d0f3b2abe9d61a21812023bb28cd2da7c3f30b9,2021-08-30 05:27:02+00:00,159,185,0.8594594594594595,24,73,74,0.9864864864864864,20,59,50,12,59,8,24,154930,10,41,263481,17,10.0,6.0,3,3,1365799,90467592525,382715,382715,0,72,2.0
0x134725eca91bbe4af9dcb1b12bdcb4ad7e3d17db9a556c984fb67749ada6e9de,11,0x60000610ef97231d663448317cd084f1d4000006,0x2d0f3b2abe9d61a21812023bb28cd2da7c3f30b9,2021-08-30 05:26:30+00:00,158,184,0.858695652173913,24,43,43,1.0,26,57,30,16,59,8,24,154928,3,43,274180,17,10.0,6.0,3,3,1329569,82702360697,382805,382805,0,40,2.0
0x0e426a41e98cb6c96351f5f0bc8c09768f617007e20521e5579c98e3b87cbc5c,9,0xb0000e050316b90f46130cfe0900ff3a4a72000b,0x2d0f3b2abe9d61a21812023bb28cd2da7c3f30b9,2021-08-30 05:26:30+00:00,158,184,0.858695652173913,24,30,30,1.0,17,58,20,10,84,8,24,154928,3,43,272717,20,10.0,7.0,3,6,1520622,82702360697,947851,565046,0,27,2.0
0xf0f6a07e0d27b00b972ccdfa500cb53f87ff3e079a3746afb3af6ca84a186043,13,0xce1f4b4f17224ec6df16eeb1e3e5321c54ff6ede,0xc51bdc9aebba23aea787d6e535e2725448d36e65,2021-08-30 05:25:52+00:00,1,1,1.0,1,102,104,0.9807692307692308,16,1,1,1,158,1,0,0,40,70,446317,20,10.0,12.0,6,8,2284255,180000000000,2158228,1526336,0,101,-1.0
0x9fe06da22e2624b4e846d8b48f916d0d4c4a40fdd638a56a9180fb81fbdf3962,11,0x00000a600e64c26be24f64169c89f21c1f530000,0x2d0f3b2abe9d61a21812023bb28cd2da7c3f30b9,2021-08-30 05:25:52+00:00,157,182,0.8626373626373626,24,72,73,0.9863013698630136,20,56,49,12,59,8,24,154927,10,41,263478,17,10.0,6.0,3,3,1326637,73523736474,382739,382739,0,71,2.0
0x2fb40ada927c183805429d91ba12dd406cfe875a51a71fa99d6a832af1c4fd72,11,0x60000610ef97231d663448317cd084f1d4000006,0x2d0f3b2abe9d61a21812023bb28cd2da7c3f30b9,2021-08-30 05:25:21+00:00,156,181,0.861878453038674,24,42,42,1.0,26,53,29,16,58,8,24,154926,3,43,274178,16,9.0,6.0,3,3,1331569,65356886936,819427,351219,0,39,2.0
0xd9744d6905a9223eedacfc48db30f86b1316b1e600559f7812bc6018e1de6652,11,0x50000e8ac638b362b24021a52590ad5757000005,0x2d0f3b2abe9d61a21812023bb28cd2da7c3f30b9,2021-08-30 05:25:21+00:00,156,181,0.861878453038674,24,65,65,1.0,26,54,38,14,58,8,24,154926,8,43,273138,16,9.0,6.0,3,3,1334281,65356886936,1170602,351175,0,61,2.0
0xc676eeb6a8f3e5078a8a296bc3d08e0cb2b74a59a2b88544306fe7d597f20ca6,11,0x00000a600e64c26be24f64169c89f21c1f530000,0x2d0f3b2abe9d61a21812023bb28cd2da7c3f30b9,2021-08-30 05:25:21+00:00,156,181,0.861878453038674,24,71,72,0.9861111111111112,20,55,48,12,69,8,24,154926,10,41,263477,20,10.0,9.0,4,4,1385303,65356886936,468208,468208,0,70,2.0
0x7f1792a7fa0e0a81cd65bd61dec1d422c3529740467682d72399ce8e37837b8d,11,0x50000e8ac638b362b24021a52590ad5757000005,0x2d0f3b2abe9d61a21812023bb28cd2da7c3f30b9,2021-08-30 05:24:55+00:00,155,178,0.8707865168539326,24,64,64,1.0,26,51,37,14,69,8,24,154925,8,43,273137,20,10.0,9.0,4,4,1451354,69903871024,468264,468264,0,60,2.0
0x15b23edeb881fae6a71a501e892c5e1b29e3b8cb98051ae19fb69da9bf613f43,11,0x60000610ef97231d663448317cd084f1d4000006,0x2d0f3b2abe9d61a21812023bb28cd2da7c3f30b9,2021-08-30 05:24:55+00:00,155,178,0.8707865168539326,24,41,41,1.0,26,52,28,16,67,8,24,154925,3,43,274177,18,9.0,9.0,4,4,1451474,69903871024,873407,405143,0,38,2.0
