transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0xab486012f21be741c9e674ffda227e30518e8a1e37a5f1d58d0b0d41f6e76530,59,0x6162759edad730152f0df8115c698a42e666157f,0x32075bad9050d4767018084f0cb87b3182d36c45,2022-04-30 09:32:29+00:00,4,6,0.6666666666666666,1,15,17,0.8823529411764705,1,1,0xab486012f21be741c9e674ffda227e30518e8a1e37a5f1d58d0b0d41f6e76530,6,1,3688,1,0,412,5,0,443,38,52,17,6,14,20000000,33270135867,10334536,9298375,0,16,2.0
0x55f77a1e65c27a50b3633b2733c912f5a29bb3e0530c4f745d70bbed6f819bb1,3,0xa49b8c71964aba7b31c08757e1c50722096ef7b1,0xd74126a40baa09859bdae646cb22c407cd07f656,2022-04-30 09:31:04+00:00,179,179,1.0,39,731,766,0.954308093994778,203,68,0x55f77a1e65c27a50b3633b2733c912f5a29bb3e0530c4f745d70bbed6f819bb1,10,4,209,22,45,284600,180,598,3854463,26,9,12,4,5,595228,28439021744,26810194,579344,0,736,2.0
0x9b1e76f71482ccf8a30a31e09b4582bff7b5b5fffceec90be1c6433e99777996,3,0xa49b8c71964aba7b31c08757e1c50722096ef7b1,0xd74126a40baa09859bdae646cb22c407cd07f656,2022-04-30 09:18:21+00:00,178,178,1.0,39,729,764,0.9541884816753928,203,67,0x9b1e76f71482ccf8a30a31e09b4582bff7b5b5fffceec90be1c6433e99777996,9,4,209,22,45,284539,180,598,3854402,26,9,12,4,5,595216,31463927274,2151999,579332,0,734,2.0
0x996b53b7ec6026e97512430ad1858f2907d5f917412566fce7f013fa9f30c652,6,0x718fcce4e82de60b85c45f70d3ff735fa1461bc2,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-30 08:56:52+00:00,237,237,1.0,76,87,89,0.9775280898876404,27,237,0x996b53b7ec6026e97512430ad1858f2907d5f917412566fce7f013fa9f30c652,5,5,283,36,136,877904,36,195,1247395,33,8,12,5,5,745118,40878269735,15676177,726891,0,82,2.0
0xb3ff5c367da287a53cb7f439ecf90d489d45aba5ac8f8a9a7a5a7a08e45956c9,3,0x718fcce4e82de60b85c45f70d3ff735fa1461bc2,0x8d68d8301fe02654791e6ef5e9ec240865bb79cd,2022-04-30 08:54:38+00:00,280,282,0.9929078014184396,39,86,88,0.9772727272727272,27,62,0xb3ff5c367da287a53cb7f439ecf90d489d45aba5ac8f8a9a7a5a7a08e45956c9,6,6,286,45,44,277635,36,195,1247388,33,9,12,5,5,756500,35683118919,8562737,738022,0,81,2.0
0xa6cbe8cbb115204707b5addbf66aa03800f678b1dc820307aa6d6088cb6d7cbd,3,0x66b870ddf78c975af5cd8edc6de25eca81791de1,0x8d68d8301fe02654791e6ef5e9ec240865bb79cd,2022-04-30 08:38:55+00:00,279,281,0.99288256227758,39,4888,5083,0.9616368286445012,282,61,0xa6cbe8cbb115204707b5addbf66aa03800f678b1dc820307aa6d6088cb6d7cbd,8,1,442,45,44,277567,291,321,2058054,35,11,12,4,5,1962163,35462045352,1547748,933006,0,4935,2.0
0x7434047b7e4a2d2be04f6e11ae0aaf949a5e4d2d98285017d973b73a81904629,3,0x66b870ddf78c975af5cd8edc6de25eca81791de1,0x8d68d8301fe02654791e6ef5e9ec240865bb79cd,2022-04-30 08:37:19+00:00,278,280,0.9928571428571428,39,4887,5082,0.961629279811098,282,60,0x7434047b7e4a2d2be04f6e11ae0aaf949a5e4d2d98285017d973b73a81904629,7,1,442,45,44,277562,291,321,2058049,35,11,12,4,5,962163,50123053855,1322352,948126,0,4934,2.0
0x1adaa9c5c367ada0bd59f51f31fb54d72323d334ef32f6bf497783885cd1da1b,3,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0xebe0d1cb6a0b8569929e062d67bfbc07608f0a47,2022-04-30 08:37:04+00:00,251,252,0.996031746031746,84,16716,16717,0.9999401806544236,310,49,0x1adaa9c5c367ada0bd59f51f31fb54d72323d334ef32f6bf497783885cd1da1b,19,13,719,54,144,924114,378,314,2015176,57,19,12,5,5,1585693,28402591617,19354495,1554259,0,16652,2.0
0x11797aa9fabc7881da61e4d3e2bafd5ee4ec0699c907a63ba41c8bac99c54e09,3,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0xebe0d1cb6a0b8569929e062d67bfbc07608f0a47,2022-04-30 08:34:53+00:00,250,251,0.99601593625498,84,16714,16715,0.9999401734968592,310,48,0x11797aa9fabc7881da61e4d3e2bafd5ee4ec0699c907a63ba41c8bac99c54e09,18,13,719,54,144,924104,378,314,2015166,57,19,12,5,5,1568248,28729811960,9206436,1544738,0,16650,2.0
0xb4c56663988850f62f80c18d5378fa2d0d206e3c4f7b35104c8566437d4610c9,3,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,0x8d68d8301fe02654791e6ef5e9ec240865bb79cd,2022-04-30 08:34:04+00:00,276,278,0.9928057553956836,39,6799,7409,0.9176677014441896,461,59,0xb4c56663988850f62f80c18d5378fa2d0d206e3c4f7b35104c8566437d4610c9,58,19,770,45,44,277546,654,548,3535867,65,21,12,4,5,1719769,25859179102,5169765,1686094,0,7321,2.0
0x32a01344ef49bfbdcb9da1368ea8e0c8b58c154e768ab4a256c6036e658d05de,3,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0xebe0d1cb6a0b8569929e062d67bfbc07608f0a47,2022-04-30 08:34:01+00:00,249,250,0.996,84,16713,16714,0.9999401699174344,310,47,0x32a01344ef49bfbdcb9da1368ea8e0c8b58c154e768ab4a256c6036e658d05de,17,13,719,54,144,924100,378,314,2015162,57,19,12,5,5,1568248,28365062359,3185180,1544738,0,16649,2.0
0xbc7bb709b07c1dfbe873bf17a0281ebcce52f59964e5f07f6103f3839de09bcc,3,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,0x8d68d8301fe02654791e6ef5e9ec240865bb79cd,2022-04-30 08:32:23+00:00,275,277,0.9927797833935018,39,6798,7408,0.917656587473002,461,58,0xbc7bb709b07c1dfbe873bf17a0281ebcce52f59964e5f07f6103f3839de09bcc,57,19,764,45,44,277536,654,548,3535857,65,21,12,4,5,1677476,29791801303,26541905,1652340,0,7320,2.0
