transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0x6de3d7aa71a337cd4a362fc86213d0f267e1027ab4f2d5868eef13d82d004af5,1,0x09ff88685141c185b139dfaacedb67520727de65,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:16:30+00:00,626,11069,0.0565543409522088,4,37,40,0.925,9,802,1,1,1,7183,3,18765,18,48,314488,2,,,1,0,185351,182089886959,11950622,185351,400000000000000000,32,2.0
0x5642ce9918cee87aa71f9fa156f7814f0fe0ad95aa96d6b349124ea547bf0743,1,0x21648290404379ec8ad987dec8aa5c3d7003684c,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:16:30+00:00,626,11069,0.0565543409522088,4,3,3,1.0,1,796,2,1,1,7183,3,18765,1,0,9,2,,,1,0,140013,182089886959,12618042,83742,0,1,2.0
0xebacfa5c934b7d1eacb83359597e54e7b7d9e83602bb0923da565e45e9fac73c,1,0x410d16dd3fee064afbfd9b14173b1435ed6e9a67,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:16:30+00:00,626,11069,0.0565543409522088,4,203,214,0.9485981308411215,76,803,2,1,1,7183,3,18765,57,329,2119791,2,,,1,0,46175,182089886959,17816534,46175,0,180,2.0
0xc2acb49f9b8cf0b495e77fd718f5e3b7561a32ed21ad8777619a7acb8e4fed8a,1,0x3b6a01c73bd3f0d3c150455749c58e9e1a1353cd,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2022-02-02 18:16:30+00:00,1988104,15435528,0.1288005178702017,1320,37,38,0.9736842105263158,21,182,8,7,10,1133375,1331,8353420,10,57,367761,8,5.0,3.0,1,4,300585,182089886959,21400314,216678,1200000000000000000,21,2.0
0x1a982886d82366a2740f0e9431f8dee446e7a4b60dc1c547788b44555d43cb51,1,0x14db18820e27548014aa280d5e9f869588a2b7cc,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:16:30+00:00,626,11069,0.0565543409522088,4,386,408,0.946078431372549,94,797,2,1,1,7183,3,18765,124,137,880887,2,,,1,0,46175,182089886959,20916381,46175,0,377,2.0
0x95678e763df588253de56c98fcc5708d94d0e69daf9e51050d75ae9b473d0f73,1,0xc33aebfa2a2a9e9595b94ef12efceae18b6c5ceb,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:16:30+00:00,626,11069,0.0565543409522088,4,206,356,0.5786516853932584,84,798,2,1,1,7183,3,18765,136,237,1518335,2,,,1,0,140013,181589886959,26102332,83742,0,334,2.0
0xca7b6af5126e5f6bc90b11a6c4c718a7fd4eb9842b870fee4bc1ddf0f68ad342,1,0x0b86a28fc1cbc23f0cf60534a38d707e68ef9e59,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2022-02-02 18:16:30+00:00,1988104,15435528,0.1288005178702017,1320,82,89,0.9213483146067416,37,179,14,8,10,1133375,1331,8353420,24,156,999687,8,5.0,3.0,1,4,269385,182089886959,17538403,216678,1280000000000000000,83,2.0
0xf9b9f5cea9ee2677a636b8d37c71a4e9aaedf6193182de20eb2eb32ed8e56524,1,0x9b6ca3fdaa570525e930a60c2d5bf7051743808f,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2022-02-02 18:16:30+00:00,1988104,15435528,0.1288005178702017,1320,55,55,1.0,11,177,32,8,10,1133375,1331,8353420,15,14,92002,8,5.0,3.0,1,4,300585,182089886959,17256977,216678,1210000000000000000,52,2.0
0x52387743ea273ccbbc6c6eaaf605d3c629ecd247fbe5de8e72356bbf82337e70,1,0xc55e1f33ac2da17f31926f2ce6e5c0fe1deb44a7,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2022-02-02 18:16:30+00:00,1988104,15435528,0.1288005178702017,1320,12,12,1.0,6,173,4,3,10,1133375,1331,8353420,4,30,192924,8,5.0,3.0,1,4,300585,182089886959,20824031,216678,1250000000000000000,8,2.0
0xaa94663c978b57f2a554bf13cba4e45cc97b9bfe6f2c3077fde8350fd30ad47c,1,0x262cc7278ebb8ecf921f492c6d543d49e5030864,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:16:30+00:00,626,11069,0.0565543409522088,4,33,34,0.9705882352941176,10,804,1,1,1,7183,3,18765,15,37,243508,2,,,1,0,46175,182089886959,24778135,46175,0,29,2.0
0x67c6d03d5098dec772c1160a003980cbb0bc1699c10a29890682a2fe474dbe51,1,0xe72811f7098d95ffba71812f98dae1d3f160c520,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2022-02-02 18:16:30+00:00,1988104,15435528,0.1288005178702017,1320,12,12,1.0,6,178,1,1,10,1133375,1331,8353420,4,70,451143,8,5.0,3.0,1,4,300585,182089886959,14697090,216678,1225000000000000000,6,2.0
