transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0xaeabb6bc29bb1273b451979cb5536a31726b2b5258add8e43d8db098e149b900,2,0xf41fa837908c0318a9a2b739c8fb990bfd4ac8a7,0x1111111254fb6c44bac0bed2854e76f90643097d,2022-07-10 10:23:19+00:00,710197,1311116,0.5416736581660204,246,4419,4634,0.953603798014674,447,184,0xaeabb6bc29bb1273b451979cb5536a31726b2b5258add8e43d8db098e149b900,1016,147,16,133867,245,1545146,329,510,3250883,8,4,4,2,4,185336,10239425579,7826796,125762,0,4625,2.0
0x2a24eeaeea29bd7f2d718fc75e3ab446684e883caf61cf11d204d02cd7a0097d,19,0xf07f0854d6c441a91fb1bc23bb7fa4d49a9a249c,0xc26a75ce8c75aa59cccf6bc3e75df42041257fc1,2022-07-10 10:20:40+00:00,309,309,1.0,25,541,541,1.0,52,2,0x2a24eeaeea29bd7f2d718fc75e3ab446684e883caf61cf11d204d02cd7a0097d,309,25,143,1,24,141720,11,51,304125,30,11,10,3,6,1003700,9933513585,2095218,753710,13500000000000000000,532,2.0
0xa24323071c71cca5f62737eee459743b6f162387a2c2e55c64c10860bde8bb5b,3,0x16986dc82b24987f66939635137e25836df2ea61,0x0000000000d9455cc7eb92d06e00582a982f68fe,2022-07-10 10:20:31+00:00,9371,15270,0.6136869679109364,114,9384,9385,0.9998934469898774,114,6,0xa24323071c71cca5f62737eee459743b6f162387a2c2e55c64c10860bde8bb5b,9342,114,18,3,114,705909,19,114,704163,9,3,5,1,3,2000000,43908758091,118232,118232,0,9381,2.0
0xfbc15f7870cb161ce175de466f7f22714eebd66f2d2629f71bbc8b3dfcc025f6,2,0x16986dc82b24987f66939635137e25836df2ea61,0x0000000000d9455cc7eb92d06e00582a982f68fe,2022-07-10 10:20:26+00:00,9370,15269,0.613661667430742,114,9383,9384,0.9998934356351236,114,5,0xfbc15f7870cb161ce175de466f7f22714eebd66f2d2629f71bbc8b3dfcc025f6,9341,114,15,3,114,705908,19,114,704162,10,2,6,2,5,1972000,8065874216,248484,124550,337263513625770880,9380,2.0
0x05d65e0adddc5d9ccfe6cd65be4a7899ebcb6e5ec7a39787971bcc3d6ba73996,48,0x627a22ff70cb84e74c9c70e2d5b0b75af5a1dcb9,0x5992f10a5b284be845947a1ae1694f8560a89fa8,2022-07-10 10:20:26+00:00,2,2,1.0,1,5,5,1.0,1,2,0x05d65e0adddc5d9ccfe6cd65be4a7899ebcb6e5ec7a39787971bcc3d6ba73996,2,1,1129,1,0,8,2,0,37,48,57,30,8,11,19213883,10065874216,14303620,14055136,0,4,2.0
0x4ce9ee35f114b6cf57b0d4084d6da7ed536fe6def702caaaa068f1ebe5e55ecc,1,0x00000000c251faf2de8217ab64accd0070b97e47,0x3c10e78343c475b99d20fa544dd30b43c0cba26f,2022-07-10 10:20:09+00:00,1,2,0.5,1,10,17,0.588235294117647,4,2,0x4ce9ee35f114b6cf57b0d4084d6da7ed536fe6def702caaaa068f1ebe5e55ecc,2,1,9,1,0,0,8,7,44847,8,4,3,1,3,426104,306755722051,3806499,355087,0,15,0.0
0x264e16f4862d182a6a0b74977df28a85747b6f237b5e229c9a5bbacdf499ccb4,48,0x00000000c251faf2de8217ab64accd0070b97e47,0x3c10e78343c475b99d20fa544dd30b43c0cba26f,2022-07-10 10:20:09+00:00,1,2,0.5,1,10,17,0.588235294117647,4,1,0x264e16f4862d182a6a0b74977df28a85747b6f237b5e229c9a5bbacdf499ccb4,2,1,1129,1,0,0,8,7,44847,48,57,30,8,11,20979934,306755722051,17838963,14032464,0,16,0.0
0x2ede0167334d572d1bf9ddc594b918cb8fbfa9dfdcbb5c1c9f341d68f519a94b,1,0x627a22ff70cb84e74c9c70e2d5b0b75af5a1dcb9,0x5992f10a5b284be845947a1ae1694f8560a89fa8,2022-07-10 10:18:34+00:00,1,1,1.0,1,4,4,1.0,1,1,0x2ede0167334d572d1bf9ddc594b918cb8fbfa9dfdcbb5c1c9f341d68f519a94b,1,1,9,1,0,0,2,0,29,8,4,3,1,3,355223,7650880766,23962361,355087,0,3,2.0
0xc5fff52612c2f56a3d2f6ae2da4d9183d4793be5d738a2053100cdc1263a72f3,2,0x98c3e29b131e07e5663f576560f2f8e7606f33a5,0x3e135c3e981fae3383a5ae0d323860a34cfab893,2022-07-09 18:30:36+00:00,3307,3412,0.9692262602579133,171,16,16,1.0,4,94,0xc5fff52612c2f56a3d2f6ae2da4d9183d4793be5d738a2053100cdc1263a72f3,5,4,19,1127,170,1066998,4,21,123930,10,4,6,2,5,141832,13894918512,1846885,135303,0,12,2.0
0x143d69412e4a94f4ff8ca325fb6b2deb6e076793e665c15cb69d3bca908f5f7b,2,0x98c3e29b131e07e5663f576560f2f8e7606f33a5,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,2022-07-09 18:28:53+00:00,2056064,3827999,0.5371119480438735,672,14,14,1.0,4,253,0x143d69412e4a94f4ff8ca325fb6b2deb6e076793e665c15cb69d3bca908f5f7b,5,3,14,471183,673,4315654,4,21,123922,8,3,4,1,2,198157,13575587292,8033676,139333,61200000000000000,10,2.0
0x37fb99500f55f3bb3dd01062410f1bb05bfb2a8c34980387b314215285621ad7,2,0x54a28f6f2c8209876c9abd2cb950e7fc4f96a283,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,2022-07-08 07:05:16+00:00,2054256,3825805,0.5369473875432752,671,476,484,0.9834710743801652,129,252,0x37fb99500f55f3bb3dd01062410f1bb05bfb2a8c34980387b314215285621ad7,19,13,16,470966,672,4306111,116,370,2348873,8,4,4,2,4,195441,16883706156,3318125,133486,0,415,2.0
