transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0xa6f63fcb6bec8818864d96a5b1bb19e8bd85ee37b2cc916412e720988440b2aa,6,0x837962b686fd5a407fb4e5f92e8be86a230484bd,0x5061f7e6dfc1a867d945d0ec39ea2a33f772380a,2023-02-02 15:56:35+00:00,1,1,1.0,1,12,18,0.6666666666666666,1,1,0xa6f63fcb6bec8818864d96a5b1bb19e8bd85ee37b2cc916412e720988440b2aa,1,1,95,1,0,0,8,0,4209,19,16,12,3,7,970231,45000000000,1298304,897331,0,15,2
0xdd009b3eef50770b4c6cd159d6b50d5732cb57f28e11dbec6204833f98323c0d,1,0x869c0a603d4fe5b4c70bd62b61326ee2e09afcae,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-02-02 15:28:59+00:00,31104,35713,0.8709433539607426,750,30,32,0.9375,13,993,0xdd009b3eef50770b4c6cd159d6b50d5732cb57f28e11dbec6204833f98323c0d,10,4,7,2701,788,5141564,10,62,442356,5,3,3,1,3,200000,36446397944,6192578,111349,0,29,2
0xddc32c79894738f7c734cc9345d3356205a76db7748a8a9c3f17585dc27eeb93,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-02-02 15:21:35+00:00,31103,35712,0.8709397401433691,750,11441,15042,0.7606036431325621,693,992,0xddc32c79894738f7c734cc9345d3356205a76db7748a8a9c3f17585dc27eeb93,15003,692,7,2701,788,5141529,9,784,5114050,6,2,3,1,4,500000,32528443433,4580032,230781,0,15023,2
0xf94828a971f66ca4ed444a7f2cce10b0047a376aeaf3236a0fb0ca4ff3b1c472,1,0x3ca2070165b221fe655f27bfbbb814418d37844c,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-02-02 13:21:23+00:00,31102,35711,0.8709361261236033,750,5605,6069,0.9235458889438128,227,991,0xf94828a971f66ca4ed444a7f2cce10b0047a376aeaf3236a0fb0ca4ff3b1c472,4950,226,6,2701,788,5140931,49,253,1699258,4,3,2,1,2,700000,28958417195,5584182,75736,0,5955,2
0x34b1358754bf456a6a9d809f689420be4561181f76ac38c82da3374960ca8c6b,1,0x869c0a603d4fe5b4c70bd62b61326ee2e09afcae,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-02-02 12:53:59+00:00,31101,35710,0.8709325119014281,750,29,31,0.9354838709677418,13,990,0x34b1358754bf456a6a9d809f689420be4561181f76ac38c82da3374960ca8c6b,9,4,4,2701,788,5140797,10,62,441589,4,1,2,1,2,150000,25725349068,3840673,66012,0,28,2
0x0060dc32d61f11c39fa4074f60055aa987dd4ef97ae8b5f1612ca4152d5fa384,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-02-02 12:51:11+00:00,31100,35709,0.8709288974768264,750,11440,15041,0.7605877268798616,693,989,0x0060dc32d61f11c39fa4074f60055aa987dd4ef97ae8b5f1612ca4152d5fa384,15002,692,8,2701,788,5140783,9,784,5113304,6,3,3,1,4,500000,25627156933,5407426,244613,0,15022,2
0x70f300d463681f94a04d5d3a73b6069188a24433222c403c89a5f0a1904904af,1,0x869c0a603d4fe5b4c70bd62b61326ee2e09afcae,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-02-02 12:48:35+00:00,31099,35708,0.8709252828497815,750,28,30,0.9333333333333332,13,988,0x70f300d463681f94a04d5d3a73b6069188a24433222c403c89a5f0a1904904af,8,4,2,2701,788,5140770,10,62,441562,3,0,1,1,1,70000,24727710181,17475621,54197,133000000000000000,27,2
0xbe5c43ba4509ee01f95a7cf07e297e918ebd79aa462df42af38d7621047f5f79,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-02-02 11:06:35+00:00,31098,35707,0.8709216680202762,750,11439,15040,0.7605718085106383,693,987,0xbe5c43ba4509ee01f95a7cf07e297e918ebd79aa462df42af38d7621047f5f79,15001,692,15,2701,788,5140264,9,784,5112785,8,8,3,1,6,500000,17288727561,4852582,271263,0,15021,2
0x6faa476461a9a8a4f9956eee9e62f2ab6ea769a60e6ed44b56d8129d71298a71,1,0x869c0a603d4fe5b4c70bd62b61326ee2e09afcae,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-02-02 08:50:47+00:00,31097,35706,0.8709180529882932,750,25,27,0.925925925925926,13,986,0x6faa476461a9a8a4f9956eee9e62f2ab6ea769a60e6ed44b56d8129d71298a71,7,4,3,2701,788,5139589,9,62,440381,3,0,2,1,2,150000,16298495951,4334276,55389,0,24,2
0x4cd791ad14766181696838e5f4f159ca37aaafc833cf7d7a0173419b6892c8eb,1,0x869c0a603d4fe5b4c70bd62b61326ee2e09afcae,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-02-02 08:44:35+00:00,31096,35705,0.8709144377538159,750,24,26,0.9230769230769232,13,985,0x4cd791ad14766181696838e5f4f159ca37aaafc833cf7d7a0173419b6892c8eb,6,4,2,2701,788,5139558,9,62,440350,3,0,1,1,1,70000,17303144346,2538998,54197,134000000000000000,23,2
0x6ec4d4910bc75ba910ea3c9ccbdc649d4bed3e9f169ed44b6c60a9dc6e88f804,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-02-02 08:17:23+00:00,31095,35704,0.8709108223168271,750,11438,15039,0.7605558880244697,693,984,0x6ec4d4910bc75ba910ea3c9ccbdc649d4bed3e9f169ed44b6c60a9dc6e88f804,15000,692,12,2701,788,5139426,9,784,5111947,7,5,3,1,5,500000,16523317349,2497240,263911,0,15020,2
0xb1e688dbcf97892d67eee98e2bbda846496077ea339f45676711150a89640a2b,2,0x6b485c89d13e50b73b9c02e6a1f35ff3a4b35b1f,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-02-02 08:16:23+00:00,31094,35703,0.87090720667731,750,72,75,0.96,21,983,0xb1e688dbcf97892d67eee98e2bbda846496077ea339f45676711150a89640a2b,48,19,34,2701,788,5139421,10,139,994177,12,16,7,2,4,600000,15870234938,12481709,269718,0,71,2
0xcb1cfe27367257ac03a1d5078d491da792cd09976e9ddc05931ec72e08ae23b1,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-02-02 02:25:35+00:00,31093,35702,0.8709035908352473,750,11437,15038,0.7605399654209336,693,982,0xcb1cfe27367257ac03a1d5078d491da792cd09976e9ddc05931ec72e08ae23b1,14999,692,18,2701,788,5137679,9,784,5110200,9,8,3,1,6,500000,20493503688,2994280,308617,0,15019,2
0x92e9793ced64bce16c63c5e0f2d8bb923fc857dccc826906e1d4eeed4dea78e3,2,0x454cf345844a64dde6a9fb41a52c00b81040d74d,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-02-01 22:22:11+00:00,31092,35701,0.870899974790622,749,12,12,1.0,8,981,0x92e9793ced64bce16c63c5e0f2d8bb923fc857dccc826906e1d4eeed4dea78e3,1,1,36,2701,787,5136471,5,123,881138,12,16,6,2,4,600000,41941384366,22626365,266264,0,8,2
