transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0x6afe8c7e6fc511210b20993821fccf8b249f5ba1c2ab68dd8731cf5090cf92cc,1,0x6a1b4fc3cead3fc4bb73e3f054f3a9c667cd83b4,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 19:48:29+00:00,15441,19835,0.7784723972775397,31,79,80,0.9875,25,996,10,6,4,1936,30,193833,19,128,830393,4,2.0,1.0,1,2,129520,23000000000,10308541,86347,0,60,-1.0
0x814889384c7c73c7b27caaa4e00076a4ab18bfda86ff812fb649dc6af0456556,1,0xdc9607018a25f5d9f17fba374f05168de0912bed,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 19:47:27+00:00,15440,19834,0.7784612281940103,31,94,97,0.9690721649484536,19,995,51,15,4,1936,30,193828,14,29,190146,4,2.0,1.0,1,2,129520,24000000000,11389507,86347,0,89,-1.0
0x69fe84b3168afae3daa693de37d015b0736aec54e3bed3578866703a94f90b20,1,0x0f2211912dffbb8ad66964da564b279fa3789b9d,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 19:45:33+00:00,15439,19833,0.7784500579841677,31,95,97,0.979381443298969,23,994,14,5,5,1936,30,193821,16,71,460232,4,3.0,1.0,1,2,167125,29700000000,11716218,81417,0,79,-1.0
0x41b28e8da6d543a7545840babb50ce4539c12d8b5a2aacd91e8f8d4404d3a7ce,1,0x75d0666d7990e5017694573048dd8d1bfe4ee536,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 19:41:49+00:00,15438,19832,0.7784388866478418,31,194,205,0.946341463414634,39,992,24,9,4,1936,30,193805,46,161,1043239,4,2.0,1.0,1,2,117997,23000000000,14820917,78665,0,180,-1.0
0x4566834d1451f981d111a2ab7f37e0cced35c649f963ffb8781ee93b98b6e865,1,0x75d0666d7990e5017694573048dd8d1bfe4ee536,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 19:41:49+00:00,15438,19832,0.7784388866478418,31,194,205,0.946341463414634,39,993,24,9,4,1936,30,193805,46,161,1043239,4,2.0,1.0,1,2,117997,23000000000,14899582,78665,0,181,-1.0
0xbbb48d9ebb7299eb51a726bf9dcfc8230d111fd861cc3369e45cbada250de889,1,0x75d0666d7990e5017694573048dd8d1bfe4ee536,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 19:41:35+00:00,15437,19830,0.7784669692385274,31,193,203,0.9507389162561576,39,988,22,9,4,1936,30,193804,46,161,1043238,4,2.0,1.0,1,2,117979,30000000000,2600567,78653,0,179,-1.0
0x2cd53850569c2134aaa74ad4e85c507347f49d7666dfc5126bb051fe93308dd4,1,0x629322a26559283f2dec1d0f53252f670b181719,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 19:41:35+00:00,15437,19830,0.7784669692385274,31,139,151,0.9205298013245032,18,989,56,14,4,1936,30,193804,19,27,171854,4,2.0,1.0,1,2,126471,23000000000,13146553,78665,0,132,-1.0
0x82535c8f24a3bc48195d6b385beaebb92936a63205fbd28c0525f15262334afa,1,0x629322a26559283f2dec1d0f53252f670b181719,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 19:41:35+00:00,15437,19830,0.7784669692385274,31,139,151,0.9205298013245032,18,990,56,14,4,1936,30,193804,19,27,171854,4,2.0,1.0,1,2,91267,23000000000,13225218,78665,0,133,-1.0
0x905cd1d31a7d015cae0467a19cea35e66bd052f10fbd5738cc628af1cc041e10,1,0x629322a26559283f2dec1d0f53252f670b181719,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 19:41:35+00:00,15437,19830,0.7784669692385274,31,139,151,0.9205298013245032,18,991,56,14,4,1936,30,193804,19,27,171854,4,2.0,1.0,1,2,126471,23000000000,13067888,78665,0,131,-1.0
0xa945b1857630e730bd3fac6459c82dee44da45e35cfbbd6dfb7b42146e8dde41,3,0x0333e323e61aa8afa38a1623604a165dcb9f4fec,0xe30dc9b3c29534e9b4e9a166c2f44411163ad59f,2021-07-20 19:41:08+00:00,3,3,1.0,1,6,6,1.0,1,2,3,1,47,1,0,61,2,0,108,12,15.0,3.0,1,6,13000000,40000000000,537050,537050,0,5,-1.0
