transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,6,0x8efab89b497b887cdaa2fb08ff71e4b3827774b2,0x10c509aa9ab291c76c45414e7cdbd375e1d5ace8,2021-12-21 14:18:15+00:00,2,2,1.0,1,3,3,1.0,1,1,2,1,15,1,0,24,1,0,25,5,5.0,4.0,2,1,10000000,52770827300,14328034,190098,0,2,2.0
0x24e276cfc0cbd280a71da775ae35da39a107b97f819a3b2cd7cb40e9cc3afb82,2,0x57e648f095dc7d8b26e97dfd1d03be8d7fbfbf71,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-21 12:08:21+00:00,1687,1726,0.977404403244496,98,1446,1514,0.9550858652575956,253,997,5,5,8,932,110,699746,392,537,3471001,7,4.0,3.0,1,3,140926,47199232811,25299643,88853,0,1412,2.0
0xcf762a8f4502cbeb4ab79626cc5a7c65c6dde5b487c8fa9b58f421e10e4807e8,2,0x26eccf0498462fea34ba8713d66e953395d93e85,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-21 04:49:34+00:00,1686,1725,0.977391304347826,98,88,88,1.0,30,996,2,2,8,932,110,697819,33,278,1784528,7,4.0,3.0,1,3,166576,55075245103,5837166,105953,0,72,2.0
0x0f27686101cbe22c79f6c313251e4680866a752d123215d9838374168e3344bd,3,0x078d423dced327d331fc8915d15ddeaaee6414ac,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-21 00:38:51+00:00,1685,1724,0.9773781902552204,98,722,754,0.9575596816976129,99,995,1,1,12,932,110,696744,136,346,2227431,7,5.0,3.0,1,3,208455,91792340835,2048414,183115,0,744,-1.0
0x73d98f4b07f63a65c229fc87f7f21c7576c4f9903890321471df838e2b74bf1b,2,0xeb9072f14a376bf6d4bf9d0ae6c13eb30dd11681,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-20 22:54:42+00:00,1684,1723,0.9773650609402204,97,387,398,0.972361809045226,103,994,2,2,8,931,109,696249,96,342,2203062,7,4.0,3.0,1,3,140944,60436991983,4638568,88865,0,392,2.0
0xe78597998a8ffea3e4995a199bb971ef1247746547eeea58f91819dd77ae1c4f,2,0xa8005630cae7b7d2afadd38fd3b3040d13cbe2bc,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-20 15:40:05+00:00,1683,1722,0.9773519163763064,97,335,345,0.9710144927536232,105,993,2,2,8,931,109,694210,112,670,4329947,7,4.0,3.0,1,3,140908,80952684641,1796160,88841,0,325,2.0
0x3425acd106ef5f78d9416f0c47940ea70d9aa383aa33d8ee3d13c4eac3126b38,2,0x1401528d8bc0031090d872ab9a92d95ec2ddac44,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-20 11:50:58+00:00,1682,1721,0.9773387565368972,97,511,546,0.935897435897436,116,992,3,3,8,931,109,693155,93,345,2222913,7,4.0,3.0,1,3,140944,33188790498,16534134,88865,0,510,2.0
0x8091389ee234cbefc3bf0a4c8cce5fd820f77eb586f300560d135b9804b5d055,3,0xa3f76c31f57da65b0ce84c64c25e61bf38c86bed,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-20 11:22:08+00:00,1681,1720,0.9773255813953488,97,271,273,0.9926739926739928,112,991,1,1,13,931,109,693027,83,545,3519401,7,5.0,3.0,1,3,287701,31000000000,17393995,185411,0,269,2.0
0xa62079f9fb5084b18c2be6403fdc05726d3ef68b9e6ab6976922b18c7adeee01,3,0x7d2ecc357cc50a0c2c59a2d1d1587ea27e096a05,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-20 11:19:37+00:00,1680,1719,0.9773123909249564,97,113,122,0.9262295081967212,49,990,1,1,6,930,109,693014,43,1559,9570964,4,4.0,1.0,1,2,250959,36362393394,16274939,165716,0,89,2.0
0x20d821fe2752fefc90c9a659a4bf623f5bbc66ef144a0253be4911ed0b015678,2,0x9f82226aae1f6900047da20c30dc836587157e03,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-20 09:55:50+00:00,1679,1718,0.9772991850989524,97,719,730,0.984931506849315,134,989,4,4,8,929,109,692658,143,228,1459227,7,4.0,3.0,1,3,166576,55000000000,6969516,105953,0,714,-1.0
