index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
313,0xa6f63fcb6bec8818864d96a5b1bb19e8bd85ee37b2cc916412e720988440b2aa,6,0x837962b686fd5a407fb4e5f92e8be86a230484bd,0x5061f7e6dfc1a867d945d0ec39ea2a33f772380a,2023-02-02 15:56:35+00:00,1,1,1.0,1,12,18,0.6666666666666666,1,1,0xa6f63fcb6bec8818864d96a5b1bb19e8bd85ee37b2cc916412e720988440b2aa,1,1,95,1,0,0,8,0,4209,19,18,12,3,7,970231,45000000000,1298304,897331,0.0,15,2,5.955143203143665,-6.9999637648052975,-6.999972519725507,-6.9998601100354,-0.7140493941695258,-0.6900375111831379,-0.8628596663338612,-6.962944037573328,-0.656031574675247,-0.7088239284291986,4.976374866323636,-6.999995318336873,-6.999873630025416,-6.999868826076034,-0.7056508204615639,-1.6234289971292435,-1.64952960094354,3.393963428041132,1.9321365217709645,2.971828003138815,3.609368189355847,2.077622312029799,2.4738590679350376,0.799546646434606,-1.2026802682913975,5.159891953317752,-0.0,-0.6867099746682419,0.0631578947368421,1.0,1.0,1.0,1.0,2.25,0.0028503562945368,0.0555555555555555,1.0,1.0,1.0,1
17,0xc6d395f157f5c6c61cca3492a404e05a143cc7ac15cdfd9d43c981562f4e4605,1,0x5e0a81e923693cbe0040ac31b4219109b92ff8ba,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 13:08:23+00:00,31056,35665,0.8707696621337445,748,20,20,1.0,7,1,0xc6d395f157f5c6c61cca3492a404e05a143cc7ac15cdfd9d43c981562f4e4605,12,7,4,2700,786,5126558,3,180,1248204,4,3,2,1,2,150000,17099753364,9145863,78471,0.0,15,2,-0.4071892788474301,0.1373405346405691,0.1380530654906548,0.1329159883391887,-0.712375530321735,-0.6897179916813838,-0.8404826002982321,-0.0340572401905255,-0.6542802296017777,-0.6876333775045589,-0.6785965726804958,0.1421549886972477,0.1334087156247555,0.1327201389253385,-0.8982411098888465,-1.1107312297714222,-1.0999809227964958,-0.86980972276431,-0.8653584421831346,-0.6880587002341098,-0.5393308788692646,-1.0325907299309782,-1.1412725014832468,-0.5929799405259633,0.2952637086571552,-0.8128971346275465,-0.0,-0.6867099746682419,0.25,0.9504447268106736,13.20925925925926,0.0060578645442293,0.0386740331491712,6.666666666666667,1.6023009040982852e-05,0.6,0.0003364643207626,1.7142857142857142,0.0093582887700534,0
770,0x5d5fbd4cf710dc23bec9543a425229d1e8f7da2ea48c066c0c65bf5995e542a6,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 14:02:35+00:00,31057,35666,0.8707732854819716,748,11430,15031,0.7604284478743929,691,2,0x5d5fbd4cf710dc23bec9543a425229d1e8f7da2ea48c066c0c65bf5995e542a6,14992,690,16,2700,786,5126827,9,782,5099348,9,12,3,1,7,500000,96799357121,283854,283854,0.0,15012,2,-0.4071892788474301,0.1375703625040193,0.1382532120133448,0.1329159883391887,1.674972782590121,1.708435628733895,1.7105029277634944,-0.0267173177356708,1.7307333340865487,1.7245576694169291,0.0671139467486204,0.1421549886972477,0.1334087156247555,0.1330943990881193,-0.6671327625761073,0.6039579699475134,0.6013049300838783,0.5514479941708372,0.8131385361893249,-0.3220700298968172,-0.5393308788692646,2.077622312029799,0.4013368967184788,3.384899490068077,-1.3963187318461745,0.6851725491394823,-0.0,1.7107752287500682,0.0625,0.9504447268106736,13.20962962962963,0.0060577417459684,0.8825031928480205,1670.111111111111,0.0022414625866948,0.9974053622513472,0.4203443055010374,21.72753623188406,0.9224598930481284,0
950,0xd5dae202d0518de673eae79a363b872c1b4e72e44a7ff41e88ac242f78a7d53a,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 14:14:23+00:00,31058,35667,0.8707769086270222,748,11431,15032,0.7604443853113358,691,3,0xd5dae202d0518de673eae79a363b872c1b4e72e44a7ff41e88ac242f78a7d53a,14993,690,8,2700,786,5126886,9,782,5099407,6,5,3,1,4,500000,106248276990,1336460,219069,0.0,15013,2,-0.4071892788474301,0.1378001903674695,0.1384533585360348,0.1329159883391887,1.6751820155710948,1.7085953884847722,1.7105029277634944,-0.0193773952808162,1.7308925472750458,1.7245576694169291,-0.430026399537457,0.1421549886972477,0.1334087156247555,0.1331764858896214,-0.6671327625761073,0.6039579699475134,0.6013309939925038,-0.3013066359902511,-0.4923591136559214,-0.3220700298968172,-0.5393308788692646,0.2114944868533327,0.4013368967184788,3.856503641361304,-1.1953970417002435,0.2126288407369029,-0.0,1.7109350930698266,0.125,0.9504447268106736,13.21,0.0060578670838659,0.8825031928480205,1670.2222222222222,0.0022416327542334,0.9974055348589675,0.4203605573779684,21.728985507246374,0.9224598930481284,0
291,0xc6995e92499bc39995b016812efdb11ceed91cd77a26a9cde207bdcc1be453d1,1,0xc1afb4565cad1b732f1ae84fd9f8d963e9f62ab6,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 14:17:11+00:00,31059,35668,0.8707805315689133,748,210,218,0.963302752293578,98,4,0xc6995e92499bc39995b016812efdb11ceed91cd77a26a9cde207bdcc1be453d1,38,25,4,2700,786,5126900,63,838,5464368,4,3,2,1,2,150000,49286383466,9776611,66012,0.0,215,2,-0.4071892788474301,0.1380300182309197,0.1386535050587248,0.1329159883391887,-0.6726212639366996,-0.6580855610077295,-0.5010970987578561,-0.0120374728259615,-0.65014068670085,-0.6240617247306397,-0.6785965726804958,0.1421549886972477,0.1334087156247555,0.1331959641137066,1.412842363238546,0.7634639420143912,0.762556589855207,-0.86980972276431,-0.8653584421831346,-0.6880587002341098,-0.5393308788692646,-1.0325907299309782,-1.1412725014832468,1.0134839286452748,0.4156610408176838,-0.9037734495613696,-0.0,-0.6547371107165407,0.25,0.9504447268106736,13.21037037037037,0.006058045591284,0.1168057210965435,3.4603174603174605,3.8430786793498025e-05,0.1743119266055046,0.0010653807334305,1.52,0.0334224598930481,0
983,0x2648c14bf98c65374b3258397f20a3b92355253bff0fbfa24e818894261e2825,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 14:17:47+00:00,31060,35669,0.8707841543076621,748,11432,15033,0.7604603206279519,691,5,0x2648c14bf98c65374b3258397f20a3b92355253bff0fbfa24e818894261e2825,14994,690,14,2700,786,5126903,9,782,5099424,8,10,3,1,6,500000,94989054294,287953,266953,0.0,15014,2,-0.4071892788474301,0.1382598460943699,0.1388536515814148,0.1329159883391887,1.6753912485520688,1.7087551482356491,1.7105029277634944,-0.0046975503711068,1.7310517604635431,1.7245576694169291,-0.0571711398228989,0.1421549886972477,0.1334087156247555,0.1332001380188678,-0.6671327625761073,0.6039579699475134,0.6013385039322773,0.2671964507838077,0.4401392076621116,-0.3220700298968172,-0.5393308788692646,1.455579703637644,0.4013368967184788,3.294545635855382,-1.3955363137259011,0.5618961546698984,-0.0,1.711094957389585,0.0714285714285714,0.9504447268106736,13.21074074074074,0.0060582370959159,0.8825031928480205,1670.3333333333333,0.0022418213818224,0.997405707443624,0.4203650228489725,21.730434782608697,0.9224598930481284,0
125,0x5a725aa12beb6f967973241284f56053690b3afa7008df56fbe1637dd7691aac,2,0xc1afb4565cad1b732f1ae84fd9f8d963e9f62ab6,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 14:20:11+00:00,31061,35670,0.8707877768432857,748,211,219,0.9634703196347032,98,6,0x5a725aa12beb6f967973241284f56053690b3afa7008df56fbe1637dd7691aac,39,25,30,2700,786,5126914,63,838,5464382,11,18,6,2,4,600000,40839686283,13803657,267585,0.0,216,2,0.8652772175507889,0.13848967395782,0.1390537981041048,0.1329159883391887,-0.6724120309557258,-0.6579258012568524,-0.5010970987578561,0.0026423720837477,-0.6499814735123527,-0.6240617247306397,0.937109552749256,0.1421549886972477,0.1334087156247555,0.1332154423377919,1.412842363238546,0.7634639420143912,0.762562774511491,1.119951080944896,1.9321365217709645,0.77589598111506,1.5350186552432912,0.2114944868533327,0.842082439061829,0.5919016196145195,1.184344564011936,0.5665059813845766,-0.0,-0.6545772463967823,0.0666666666666666,0.9504447268106736,13.21111111111111,0.0060584191467968,0.1168057210965435,3.4761904761904763,3.8613691609830425e-05,0.1780821917808219,0.0010933557611438,1.56,0.0334224598930481,0
93,0xa774ce3dd77c60b707cadb704c0216a6f8c7a002ab7b18a44cb1300568409256,1,0x051a3190c9342211eb311723b23b8c7cbd7b5a5d,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 20:44:35+00:00,31062,35671,0.8707913991758011,748,276,288,0.9583333333333334,90,7,0xa774ce3dd77c60b707cadb704c0216a6f8c7a002ab7b18a44cb1300568409256,2,2,7,2700,786,5128831,139,792,5166289,5,5,3,1,3,200000,36192293895,14327147,112845,0.0,275,2,-0.4071892788474301,0.1387195018212703,0.1392539446267948,0.1329159883391887,-0.6588118871924242,-0.6469023784463366,-0.5309331868053617,0.0099822945386024,-0.6558723614867498,-0.7052921699417587,-0.4921689428232167,0.1421549886972477,0.1334087156247555,0.1358825677357505,4.340214762533243,0.6324411792451702,0.6308768641059935,-0.5855581793772805,-0.4923591136559214,-0.3220700298968172,-0.5393308788692646,-0.4105481215388227,-0.9208997303115716,0.3599460550361845,1.2842684629584489,-0.5621721607504103,-0.0,-0.6451452515310304,0.1428571428571428,0.9504447268106736,13.21148148148148,0.0060563496718161,0.1134930643127364,2.071942446043165,5.34232495659361e-05,0.0069444444444444,5.606795436068515e-05,1.0,0.0026737967914438,0
373,0xc3efd60c3309074c37de6dcc185591bc8c56568c65302bd8aacbfa7128445c26,1,0x3ca2070165b221fe655f27bfbbb814418d37844c,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 20:49:47+00:00,31063,35672,0.8707950213052253,748,5600,6064,0.9234828496042216,225,8,0xc3efd60c3309074c37de6dcc185591bc8c56568c65302bd8aacbfa7128445c26,4946,224,3,2700,786,5128857,49,251,1687184,4,2,2,1,2,700000,31358508163,4052817,59273,0.0,5951,2,-0.4071892788474301,0.1389493296847204,0.1394540911494848,0.1329159883391887,0.4551445035124593,0.2758699426194587,-0.0274492010037051,0.0173222169934571,0.1312776424434961,0.078758214269911,-0.7407391159662554,0.1421549886972477,0.1334087156247555,0.1359187415804802,0.8735895528421543,-0.9085004437580596,-0.9060566073989345,-0.86980972276431,-1.0518581064467412,-0.6880587002341098,-0.5393308788692646,-1.0325907299309782,1.2828279814051793,0.1186874297882146,-0.676898154671546,-0.95292791511551,-0.0,0.2622446274182479,0.3333333333333333,0.9504447268106736,13.211851851851852,0.0060565139452096,0.8928571428571429,123.75510204081633,0.0033191380909621,0.8156332453825857,0.1386521641623682,22.080357142857142,0.2994652406417112,0
703,0xfc298d94cbea37d1ec5c6abeaa52b24100dcdf7d1d0de3687a76dc77ebee01ca,1,0xc1eab99c6f2cd06ad1c60e5b642be32c3c874613,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 22:54:47+00:00,31064,35673,0.8707986432315757,748,126,127,0.9921259842519684,41,9,0xfc298d94cbea37d1ec5c6abeaa52b24100dcdf7d1d0de3687a76dc77ebee01ca,12,8,9,2700,786,5129474,30,372,2463330,7,4,3,1,5,216837,36441415621,12755921,214008,0.0,121,2,-0.4071892788474301,0.1391791575481706,0.1396542376721748,0.1329159883391887,-0.6901968343385047,-0.6726236983375403,-0.7136792260963334,0.0246621394483117,-0.6542802296017777,-0.684101619017119,-0.3678838562516973,0.1421549886972477,0.1334087156247555,0.1367771747419515,0.14174645301848,-0.5638536112564129,-0.5631854476682956,-0.0170550926032216,-0.678858777919528,-0.3220700298968172,-0.5393308788692646,0.8335370952454882,-0.8466914033472218,0.3723799460827564,0.9843524606544246,0.1757137568714178,-0.0,-0.6697643567738403,0.1111111111111111,0.9504447268106736,13.212222222222222,0.0060559803878564,0.1099195710455764,4.233333333333333,5.115025142784303e-05,0.0944881889763779,0.0003363888655285,1.5,0.0106951871657754,0
