index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
17,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,6,0x8efab89b497b887cdaa2fb08ff71e4b3827774b2,0x10c509aa9ab291c76c45414e7cdbd375e1d5ace8,2021-12-21 14:18:15+00:00,2,2,1.0,1,3,3,1.0,1,1,2,1,15,1,0,24,1,0,25,5,7.0,4.0,2,1,10000000,52770827300,14328034,190098,0.0,2,2.0,5.440074043099561,-6.987348263836506,-6.987920612224972,-6.85841673416737,-0.5902161578160501,-0.5631539718802416,-0.9963642389288316,-6.963246004491024,-0.3565929832876472,-0.8209857747498552,3.1378581622109443,-6.997823594818347,-6.890328298334834,-6.893271830666544,-0.6445858188357455,-1.2257217390318722,-1.2611382451888284,-1.7854624004277009,2.2912878474779195,1.8953530702995451,7.000000000000001,-4.644198375781977,6.99534461378355,-0.3047943123699227,0.378875043382642,2.081120399936274,0.0,-0.5461158937939932,0.4,1.0,2.0,0.08,1.0,3.0,0.1153846153846153,0.6666666666666666,1.0,2.0,1.0,1
75,0x5f3356a59da9e74ae0f71fb0face2c5c43c6321fd34954829a56538674ce8d0a,2,0x05e362bef8c3519a945a65e187e052e23613902c,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-13 12:47:15+00:00,1639,1678,0.9767580452920144,90,2693,2742,0.9821298322392414,328,1,8,6,8,921,102,648222,268,1466,9102814,7,6.0,3.0,1,3,140908,39592978670,12572222,93641,0.0,2696,2.0,-0.4730499167912659,0.039577431220787,0.0419443013939073,-0.1418774588494127,1.701604190537167,1.5051218319492818,1.8397352225068224,-0.0333337551235394,2.0206935719633345,1.682019636072874,-0.2941742027072758,0.0982654063862462,-0.1077237197770938,-0.1112269259139408,0.6960000483487385,1.5014114669488907,1.5114443351320028,0.3656971181598903,-0.4364357804719851,0.2891216547914563,-0.142857142857143,0.3495633186072459,-0.1677281444254,-0.986030145892124,0.150159702799367,-0.6002182217102022,0.0,1.5025601552786358,0.25,0.8737864077669902,1.8219326818675352,0.0025284508571895,0.2235855487389229,10.23134328358209,0.0002958425498046,0.0029175784099197,0.0047675804529201,1.3333333333333333,0.0666666666666666,0
343,0x4b25719d1d5d5da4e4f9bb6166c4ee5f55f8fa37d4496a3eb8f78ac76bc9f612,2,0x4721a43133d1a13f3651a415b68f81e73edb5dc6,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-13 13:40:53+00:00,1640,1679,0.9767718880285884,90,565,588,0.9608843537414966,122,2,14,12,8,921,102,648487,73,308,1979001,7,6.0,3.0,1,3,166558,50630968054,3949435,110741,0.0,556,2.0,-0.4730499167912659,0.0438699942599179,0.0461387315332981,-0.1418774588494127,-0.1114046203534076,-0.1214083182693357,0.0530792926727407,-0.0260237211052192,4.397980127214317,4.685626129060148,-0.2941742027072758,0.0982654063862462,-0.1077237197770938,-0.1084542516697138,-0.2830795175725139,-0.6527633301355045,-0.6583697547324422,0.3656971181598903,-0.4364357804719851,0.2891216547914563,-0.142857142857143,0.3495633186072459,-0.1490922683986766,-0.415415464425833,-0.9730605881441026,-0.124867646530021,0.0,-0.124821709983215,0.25,0.8737864077669902,1.8230184581976112,0.0025289596723455,0.3948220064724919,8.054794520547945,0.0002854974375973,0.0238095238095238,0.008338296605122,1.1666666666666667,0.1333333333333333,0
355,0xb54f46644ab29633c61f227ce1a0a1ab2d17237a49585cb4f0bd8eb82a2618a6,3,0xbae1d68661b98ba3b7dca7468b014a05a8c5e64f,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-13 13:59:15+00:00,1641,1680,0.9767857142857144,90,41,42,0.9761904761904762,25,3,1,1,12,922,102,648575,22,425,2745997,7,7.0,3.0,1,3,284239,42439597740,4440642,183103,0.0,38,2.0,1.005231073181441,0.0481625572990488,0.0503331616726888,-0.1418774588494127,-0.5578410004787184,-0.5337042616395146,-0.788210150016123,-0.0187136870868991,-0.752807409162811,-0.8209857747498552,1.6669871486745644,0.1059785466049469,-0.1077237197770938,-0.107533514562197,-0.539146480967303,-0.4351135449378583,-0.4247534697921062,0.3656971181598903,2.2912878474779195,0.2891216547914563,-0.142857142857143,0.3495633186072459,-0.0635917410419193,-0.8388726720646498,-0.9090750496571298,1.8866714365804045,0.0,-0.518739376434448,0.25,0.8737864077669902,1.822125813449024,0.0025301583777383,0.0586854460093896,1.9090909090909087,1.4930819323247867e-05,0.0238095238095238,0.000595238095238,1.0,0.0111111111111111,0
899,0x82c81f9adc710e754a425594d0bc9c0ed03baf8353b8fd9f516578acd09975f1,2,0xbae1d68661b98ba3b7dca7468b014a05a8c5e64f,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-13 14:19:25+00:00,1642,1681,0.976799524092802,90,42,43,0.9767441860465116,25,4,2,1,8,922,102,648650,22,425,2746072,7,6.0,3.0,1,3,166576,63833814028,6409387,105953,0.0,39,2.0,-0.4730499167912659,0.0524551203381797,0.0545275918120796,-0.1418774588494127,-0.5569890226540517,-0.5329491408641114,-0.788210150016123,-0.011403653068579,-0.3565929832876472,-0.8209857747498552,-0.2941742027072758,0.1059785466049469,-0.1077237197770938,-0.1067487954364723,-0.539146480967303,-0.4351135449378583,-0.4247306258380692,0.3656971181598903,-0.4364357804719851,0.2891216547914563,-0.142857142857143,0.3495633186072459,-0.1490791905909386,0.2671126199753861,-0.6526226599954692,-0.2579658075804718,0.0,-0.5179789176189051,0.25,0.8737864077669902,1.8232104121475052,0.0025314074903145,0.0586854460093896,1.9545454545454544,1.5294567915710908e-05,0.0465116279069767,0.0011897679952409,2.0,0.0111111111111111,0
664,0x8d8ee96453f1cb59c2ddf88eec21d2faf7f72947e8deb36fd5df51376c1a1a26,3,0x0b025d49201314db012911a95ec7e4609027a693,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-13 14:46:09+00:00,1643,1682,0.9768133174791914,90,1032,1115,0.925560538116592,168,5,2,2,13,922,102,648777,200,328,2111109,7,7.0,3.0,1,3,163582,45002384697,5097147,103958,0.0,1093,2.0,1.005231073181441,0.0567476833773107,0.0587220219514703,-0.1418774588494127,0.2864690237659055,0.2765403303681811,0.4520412964220988,-0.0040936190502588,-0.3565929832876472,-0.3203846925853094,2.1572774865200244,0.1059785466049469,-0.1077237197770938,-0.1054200043835787,0.3545774304890197,-0.6155582386487274,-0.6181315003335954,0.3656971181598903,2.2912878474779195,0.2891216547914563,-0.142857142857143,0.3495633186072459,-0.1512544659447011,-0.7063880489815478,-0.8235574858919756,-0.3134233746848262,0.0,0.2835446739633335,0.2307692307692307,0.8737864077669902,1.824295010845987,0.0025324533199337,0.5106382978723404,5.575,0.0004888423625486,0.0017937219730941,0.0011890606420927,1.0,0.0222222222222222,0
998,0x619b87dae8dd189ac0f3eb268d53e4d6f99ccef58efad4cb62667d1bc8125a34,2,0x10690227d831a2daef1e7728226bf2501eb8beca,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-13 21:31:51+00:00,1644,1683,0.9768270944741532,90,181,184,0.9836956521739132,59,6,2,2,8,922,102,650631,59,1664,10042267,7,6.0,3.0,1,3,140926,91370029140,12354015,88853,0.0,170,2.0,-0.4730499167912659,0.0610402464164416,0.0629164520908611,-0.1418774588494127,-0.4385641050253911,-0.426477111532252,-0.4933251907231192,0.0032164149680612,-0.3565929832876472,-0.3203846925853094,-0.2941742027072758,0.1059785466049469,-0.1077237197770938,-0.0860217475956661,-0.3533724094848089,1.869741872667984,1.7975886171570117,0.3656971181598903,-0.4364357804719851,0.2891216547914563,-0.142857142857143,0.3495633186072459,-0.1677150666176619,1.690611779858357,0.1217356526603689,-0.733316382760653,0.0,-0.4183588127827825,0.25,0.8737864077669902,1.8253796095444683,0.0025267739674654,0.0354354354354354,3.1186440677966103,1.802381693059775e-05,0.0108695652173913,0.0011883541295306,1.0,0.0222222222222222,0
680,0xeab93827cecb1e6d8f0ea0e55d37161f0e705d0359bd549c9a9a8972a4fed509,2,0xccff041faeb4afda1cf84b0c082d907387291453,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-14 08:30:06+00:00,1645,1684,0.9768408551068885,91,168,172,0.9767441860465116,49,7,2,2,8,922,103,653523,50,1541,9490620,7,6.0,3.0,1,3,140890,52817541281,5214578,93629,0.0,153,2.0,-0.4730499167912659,0.0653328094555725,0.0671108822302518,-0.0664107254188738,-0.4496398167460572,-0.4355385608370911,-0.5800560611034145,0.0105264489863813,-0.3565929832876472,-0.3203846925853094,-0.2941742027072758,0.1059785466049469,-0.0412275964579003,-0.0557629781077249,-0.3985606971427128,1.6409305600243047,1.6295646343220531,0.3656971181598903,-0.4364357804719851,0.2891216547914563,-0.142857142857143,0.3495633186072459,-0.167741222233138,-0.3023794084901477,-0.8082607051660012,-0.6005518010612059,0.0,-0.4312866126470121,0.25,0.875,1.82646420824295,0.0025171225540301,0.0317769130998702,3.44,1.770168674947614e-05,0.0116279069767441,0.001187648456057,1.0,0.0219780219780219,0
432,0x404c8dc7365d8d77cad320b682f0aac8494fa3563ef45d5e2383656af7a5b95f,3,0x32a59b87352e980dd6ab1baf462696d28e63525d,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-14 09:59:30+00:00,1646,1685,0.9768545994065282,91,6286,7384,0.8513001083423619,534,8,1,1,6,923,103,653935,1273,1422,8847922,4,6.0,1.0,1,2,250959,38664348926,25144672,165716,0.0,7318,2.0,1.005231073181441,0.0696253724947034,0.0713053123696425,-0.0664107254188738,4.762760514564345,5.010392471371206,3.6263911523409047,0.0178364830047015,-0.752807409162811,-0.8209857747498552,-1.274754878398196,0.1136916868236475,-0.0412275964579003,-0.0514522543770777,5.742025503481346,1.4195602656779809,1.433807786700183,-2.861042159721496,-0.4364357804719851,-2.9233411762247217,-0.142857142857143,-2.1473175285873656,-0.0877711544598277,-1.034036150168662,1.7878704507132637,1.4033427552553863,0.0,5.017400800718016,0.5,0.875,1.8255687973997836,0.00251706589024,0.3752635277582572,5.800471327572663,0.0007104492206815,0.0001354279523293,0.000593471810089,1.0,0.0109890109890109,0
732,0x57f9cc3caa0d804e4f40364ee42bdd547642e5f1716af137b1b8bdf14dcf8473,2,0xd8047842874e3be4a1155ad052dbd5395d3a154f,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-14 13:45:08+00:00,1647,1686,0.9768683274021353,91,28,29,0.9655172413793104,9,9,4,4,8,923,103,654942,13,95,606631,7,6.0,3.0,1,3,140944,103069156692,2613294,88865,0.0,25,2.0,-0.4730499167912659,0.0739179355338343,0.0754997425090333,-0.0664107254188738,-0.5689167121993844,-0.543520831719757,-0.9269795426245956,0.0251465170230216,0.4358358684626801,0.6808174717437823,-0.2941742027072758,0.1136916868236475,-0.0412275964579003,-0.0409160922490151,-0.584334768625207,-1.0489975544696808,-1.0763745174216466,0.3656971181598903,-0.4364357804719851,0.2891216547914563,-0.142857142857143,0.3495633186072459,-0.1677019888099238,2.295404347533288,-1.1471088028061949,-0.7329828034096494,0.0,-0.528625341036506,0.25,0.875,1.8266522210184184,0.0025147226552539,0.09375,2.230769230769231,4.615648366719857e-05,0.1379310344827586,0.0023724792408066,1.0,0.0439560439560439,0
