index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus,add_feat_hash
627,0x0f2f2b0b68f408875f0e78244b9a468180adb0c1a1ee268476b161d064ca206c,1,0xea6ae8c291897a9a88f847d76e055ca2c7b49f9f,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:33+00:00,579,10407,0.0556356298645142,4,99,101,0.9801980198019802,46,1,1,1,1,6788,3,18716,51,253,1626116,2,1.0,0.0,1,0,185327,162060470170,8590097,185327,4e+17,88,2.0,-0.1005037815259212,-0.3865397791812698,-0.3865194936878209,-0.3864256955640989,-0.2136806671687112,-0.2215878969884834,-0.0224682154543206,-1.3919917174811252,-0.2102558595543045,-0.2284405056350067,-0.1878635687400875,-0.386242798480279,-0.3878900453019123,-0.3879367930322399,-0.0482620345533382,0.1023092079174137,0.1158420165258841,-0.4013098659181849,-0.4013098659181849,-0.1309731405631976,-0.1005037815259213,-0.40684969680042,-0.0983383142712873,0.0255614814369939,-1.218007775214549,-0.0681335797109811,-0.0,-0.2195923488427989,1.0,1.0,1.533146729522687,0.0309344446225356,0.1811023622047244,1.9803921568627447,6.0881228103512846e-05,0.0099009900990099,9.608917075045644e-05,1.0,0.25,0,
285,0x7fd7492f5aa9433b0ba12e967da26299b9884491dc5af97c27f9c6fc7c2f43fd,1,0xf6af9780e3f498f7bf5743b90a0c5d2c9776331c,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:33+00:00,579,10407,0.0556356298645142,4,7,7,1.0,5,2,1,1,1,6788,3,18716,3,4,29808,2,1.0,0.0,1,0,185339,169429144113,4042180,185339,4e+17,4,2.0,-0.1005037815259212,-0.3865397791812698,-0.3865194936878209,-0.3864256955640989,-0.4197242829272422,-0.4260970999037259,-0.6666618054033743,-1.3538340497870154,-0.2102558595543045,-0.2284405056350067,-0.1878635687400875,-0.386242798480279,-0.3878900453019123,-0.3879367930322399,-0.4812672043776809,-0.5977455535949806,-0.608809953981824,-0.4013098659181849,-0.4013098659181849,-0.1309731405631976,-0.1005037815259213,-0.40684969680042,-0.0983342440144476,0.4307453754421,-1.8354221120922485,-0.0681196544727442,-0.0,-0.4107599030224559,1.0,1.0,1.533146729522687,0.0309344446225356,1.0,2.333333333333333,0.0002348284075279,0.1428571428571428,9.608917075045644e-05,1.0,0.25,0,
698,0x0edc6f8b1f3a0a5fa137c6e840b581b3ac6d3f451b4f277de63f10a95060e671,1,0x81efd9cd08528cc17cd4c2da29db7b94f0b22605,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:33+00:00,579,10407,0.0556356298645142,4,49,50,0.98,26,3,1,1,1,6788,3,18716,19,151,969016,2,1.0,0.0,1,0,185331,162060470170,8383770,185331,4e+17,33,2.0,-0.1005037815259212,-0.3865397791812698,-0.3865194936878209,-0.3864256955640989,-0.3256608931244346,-0.3325450177190937,-0.3367089910392248,-1.3156763820929056,-0.2102558595543045,-0.2284405056350067,-0.1878635687400875,-0.386242798480279,-0.3878900453019123,-0.3879367930322399,-0.3369321477695667,-0.1844602124611574,-0.1824518025996324,-0.4013098659181849,-0.4013098659181849,-0.1309731405631976,-0.1005037815259213,-0.40684969680042,-0.0983369575190074,0.0255614814369939,-1.2460182353625608,-0.0681289379649021,-0.0,-0.3447615807461458,1.0,1.0,1.533146729522687,0.0309344446225356,0.1710526315789473,2.631578947368421,5.056670832400257e-05,0.02,9.608917075045644e-05,1.0,0.25,0,
222,0x90dd3afe1de725cfc9be129ad289129562388faadadcd1f20cd6aad1bdbe0a70,1,0xfcfc115cf18605e7672372cb2d75b1a6c675c8bd,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:37+00:00,580,10408,0.0557263643351268,4,273,294,0.9285714285714286,103,4,2,1,1,6788,3,18717,86,203,1305391,2,1.0,0.0,1,0,46175,169228197474,212471,46175,0.0,272,2.0,-0.1005037815259212,-0.3865382830712812,-0.3865193009087148,-0.3864256955640989,0.1760105191572059,0.1983086579332378,0.8731179949626563,-1.2775187143987958,-0.1887132509934126,-0.2284405056350067,-0.1878635687400875,-0.386242798480279,-0.3878900453019123,-0.3879364361284885,0.2674709017769117,-0.0382640373661995,-0.0297526952973258,-0.4013098659181849,-0.4013098659181849,-0.1309731405631976,-0.1005037815259213,-0.40684969680042,-0.1455370125845003,0.4196958511576655,-2.355334248278893,-0.2296106423060707,-0.0,0.1991556269793069,1.0,1.0,1.5332940483205657,0.0309862164761192,0.5049019607843137,3.4186046511627906,0.0002091325823967,0.0068027210884353,0.0001921598770176,2.0,0.25,0,
854,0x47e47fa527a09d4c265bde15e9001b914c648475e9d0b8e1a4902948dcef4341,1,0xa34b23d7adf9490bdd754a1cbef01e8d9510710b,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:38+00:00,581,10445,0.0556247008137865,4,113,114,0.9912280701754386,62,5,1,1,1,6818,3,18718,54,176,1130973,2,1.0,0.0,1,0,185351,144973914858,19765751,185351,4e+17,108,2.0,-0.1005037815259212,-0.3865367869612925,-0.3865121680817883,-0.3864256955640989,-0.1823262039011087,-0.193304709351269,0.2289244050136027,-1.239361046704686,-0.2102558595543045,-0.2284405056350067,-0.1878635687400875,-0.386163620051964,-0.3878900453019123,-0.3879360792247373,-0.0211992114393167,-0.1141735898193507,-0.1089306154681284,-0.4013098659181849,-0.4013098659181849,-0.1309731405631976,-0.1005037815259213,-0.40684969680042,-0.0983301737576079,-0.9139830105576074,0.2991722884463768,-0.0681057292345073,-0.0,-0.1740762645143091,1.0,1.0,1.5319741859782927,0.0310379827982264,0.3502824858757062,2.111111111111111,9.99138795409974e-05,0.0087719298245614,9.573958831977022e-05,1.0,0.25,0,
404,0x8d7ee9d5680c22297b46bbc95aa5037f00c5e0f2b07bea529443bc0f0e7a089a,1,0xf89c2db21e00b80bb2d0699ef99c464a391bcf52,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:38+00:00,581,10445,0.0556247008137865,4,279,284,0.9823943661971832,109,6,1,1,1,6818,3,18718,104,298,1913579,2,1.0,0.0,1,0,185331,144973914858,20396758,185331,4e+17,256,2.0,-0.1005037815259212,-0.3865367869612925,-0.3865121680817883,-0.3864256955640989,0.1894481462718927,0.1765523597507652,0.9673902276381277,-1.2012033790105765,-0.2102558595543045,-0.2284405056350067,-0.1878635687400875,-0.386163620051964,-0.3878900453019123,-0.3879360792247373,0.4298478404610402,0.2288251286726657,0.2463372777148635,-0.4013098659181849,-0.4013098659181849,-0.1309731405631976,-0.1005037815259213,-0.40684969680042,-0.0983369575190074,-0.9139830105576074,0.3848362898936737,-0.0681289379649021,-0.0,0.1627427595165151,1.0,1.0,1.5319741859782927,0.0310379827982264,0.3645484949832775,2.730769230769231,0.0001458000188129,0.0035211267605633,9.573958831977022e-05,1.0,0.25,0,
262,0xd16e62cefc97da4b274f5a0b4af66fb336f6d3989f4deabd2a28ec0e6463ee93,1,0x79723067dcee3b6957349805234434d18ccba9fb,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:38+00:00,581,10445,0.0556247008137865,4,16,16,1.0,7,7,2,1,1,6818,3,18718,5,21,135633,2,1.0,0.0,1,0,46175,144883914858,22647181,46175,0.0,11,2.0,-0.1005037815259212,-0.3865367869612925,-0.3865121680817883,-0.3864256955640989,-0.3995678422552119,-0.4065164315395005,-0.6352377278448839,-1.1630457113164665,-0.1887132509934126,-0.2284405056350067,-0.1878635687400875,-0.386163620051964,-0.3878900453019123,-0.3879360792247373,-0.4632253223016667,-0.549950650198552,-0.5607701679386681,-0.4013098659181849,-0.4013098659181849,-0.1309731405631976,-0.1005037815259213,-0.40684969680042,-0.1455370125845003,-0.918931872556733,0.6903483351309379,-0.2296106423060707,-0.0,-0.3948292735074845,1.0,1.0,1.5319741859782927,0.0310379827982264,0.3181818181818182,3.2,0.0001179645221699,0.125,0.0001914791766395,2.0,0.25,0,
211,0xbcd5b2501d7d05f6c10638b11b99ddeb1acc4d86f224743fe409583a89ad8426,1,0xf43ee1f15ea5109c3b70b3f3043bbdc019ac2c5e,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:38+00:00,581,10445,0.0556247008137865,4,72,78,0.9230769230769232,24,8,2,1,1,6818,3,18718,29,332,2138025,2,1.0,0.0,1,0,46175,144883914858,23287735,46175,0.0,61,2.0,-0.1005037815259212,-0.3865367869612925,-0.3865121680817883,-0.3864256955640989,-0.2741499891848018,-0.2716273828081704,-0.3681330685977153,-1.1248880436223567,-0.1887132509934126,-0.2284405056350067,-0.1878635687400875,-0.386163620051964,-0.3878900453019123,-0.3879360792247373,-0.2467227373894953,0.3244149354655228,0.348225657759675,-0.4013098659181849,-0.4013098659181849,-0.1309731405631976,-0.1005037815259213,-0.40684969680042,-0.1455370125845003,-0.918931872556733,0.7773084144693158,-0.2296106423060707,-0.0,-0.2810390626862601,1.0,1.0,1.5319741859782927,0.0310379827982264,0.072072072072072,2.689655172413793,3.36759234920436e-05,0.0256410256410256,0.0001914791766395,2.0,0.25,0,
279,0x7553ed02facd5965676bb1dc57de0f7e212390df70d2b0a6b57eff6ccb443791,1,0x12fa9008aa451b194e6735a205f3b2ed3e7253df,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:38+00:00,581,10445,0.0556247008137865,4,43,43,1.0,18,9,1,1,1,6818,3,18718,16,151,968999,2,1.0,0.0,1,0,185351,144973914858,15484080,185351,4e+17,25,2.0,-0.1005037815259212,-0.3865367869612925,-0.3865121680817883,-0.3864256955640989,-0.3390985202391213,-0.3477744264468245,-0.4624053012731865,-1.086730375928247,-0.2102558595543045,-0.2284405056350067,-0.1878635687400875,-0.386163620051964,-0.3878900453019123,-0.3879360792247373,-0.3639949708835881,-0.1844602124611574,-0.1824595198343381,-0.4013098659181849,-0.4013098659181849,-0.1309731405631976,-0.1005037815259213,-0.40684969680042,-0.0983301737576079,-0.9139830105576074,-0.2820971281224558,-0.0681057292345073,-0.0,-0.3629680144775417,1.0,1.0,1.5319741859782927,0.0310379827982264,0.1184210526315789,2.6875,4.437564499484005e-05,0.0232558139534883,9.573958831977022e-05,1.0,0.25,0,
920,0x9ff7938607b0e5a6eb3d0521a55934c64cc567b4289dcc9bab6768d898278fb0,1,0x30fe5930a6bce7618b0d78715d4525a9053fa75e,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:38+00:00,581,10445,0.0556247008137865,4,144,149,0.9664429530201344,63,10,1,1,1,6818,3,18718,54,294,1890394,2,1.0,0.0,1,0,277996,144883914858,23494066,185331,4e+17,135,2.0,-0.1005037815259212,-0.3865367869612925,-0.3865121680817883,-0.3864256955640989,-0.1128984638085602,-0.1171576657126149,0.2446364437928479,-1.048572708234137,-0.2102558595543045,-0.2284405056350067,-0.1878635687400875,-0.386163620051964,-0.3878900453019123,-0.3879360792247373,-0.0211992114393167,0.2175792690499766,0.2358123314411987,-0.4013098659181849,-0.4013098659181849,-0.1309731405631976,-0.1005037815259213,-0.40684969680042,-0.0669060950147396,-0.918931872556733,0.8053194176477626,-0.0681289379649021,-0.0,-0.1126295506708479,1.0,1.0,1.5319741859782927,0.0310379827982264,0.2135593220338983,2.759259259259259,7.617455611128891e-05,0.0067114093959731,9.573958831977022e-05,1.0,0.25,0,
