index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
481,0x7d2296bcb936aa5e2397ddf8ccba59f54a178c3901666b49291d880369dbcf31,5,0x7c42f2a7d9ad01294ecef9be1e38272c84607593,0x580cac65c2620d194371ef29eb887a7d8dcc91bf,2022-03-05 12:46:23+00:00,1,1,1.0,1,2,2,1.0,1,1,1,1,46,1,0,0,1,0,4,9,11,12,3,4,423932,25953071246,7718821,332490,0.0,1,2.0,0.48810114064538,-0.12584502554480462,-0.14256019300142186,-2.0969001838160954,-0.14802933262097703,-0.14263890932079837,-0.6484386975698436,-1.3533867027625057,-0.7274292894723833,-0.7125055944266869,2.2081145178943222,-0.13951428012319977,-2.4003501747604914,-2.3953974618702816,-0.14328998481530228,-0.9022550527436829,-0.917096950645579,0.5928467823664721,1.1724730925424027,4.136371714086599,3.9581140290126386,0.6207008219385828,-0.5287349360659779,-0.9820407689905828,-0.13210174073364686,-0.3642296988720116,-0.1101157,-0.14244515499811286,0.10869565217391304,1.0,1.0,1.0,1.0,2.0,0.4,0.5,1.0,1.0,1.0,1
214,0x84651dc5e3e47f70e469b00bd1eb3ceb7396a51f60cc579b6ca91cc6d4b20eb0,3,0x8e08e916e53e310323e905d4e042173cbff9ba19,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-03-04 13:59:49+00:00,439420,3023301,0.14534444304420896,80,821,832,0.9867788461538461,223,1,5,4,14,626242,79,508632,179,552,3562686,8,5,6,3,3,213372,29452149066,19191362,167560,0.0,805,2.0,0.1318229357947377,2.385745592778544,5.931136783809701,-0.8214527360067981,-0.14342234106474855,-0.14165785463588845,0.6591586397042529,-1.3533867027625057,0.5600561786203306,0.9705784868961955,0.1486664102691893,4.886548797579696,-1.3650386230784712,-1.3570320360877228,-0.14286239743280427,0.45315327251012844,0.4803476643586968,0.12968523364266588,-0.07927754006514465,1.053361740854351,3.9581140290126386,-0.5504328043606305,-0.7954442425297051,-0.8728963476918751,1.4986305583461574,-0.7030787167086828,-0.1101157,-0.1414173052731016,0.21428571428571427,1.0,4.827688018369895,0.8639234969024817,0.40325497287522605,4.648044692737431,0.00023044404406000302,0.006009615384615385,1.6538214355765437e-06,1.25,0.05,0
356,0xe6d8f716acd412f56fe0788626b932e5c57d0379ad87cdd75863bf3644d78633,7,0x2cb533ae1807beded8c4ba50aca827d19be9d090,0x881d40237659c251811cec9c364ef91dc08d300c,2022-02-25 12:52:58+00:00,1707727,4017539,0.4250679333791159,502,63,64,0.984375,28,1,2,1,74,1091110,501,3233612,26,290,1863944,21,9,12,1,2,909531,38094285742,8837510,592073,0.0,46,2.0,0.8443793454960223,9.635017841711411,7.928523855827277,5.991696921911221,-0.1476861989397439,-0.1425656257178292,-0.48940658898245354,-1.3533867027625057,-0.40555792244920486,-0.7125055944266869,4.0101316120663135,8.617470105519594,4.165359792235612,4.205978191245511,-0.1432299304076481,-0.1901745920125139,-0.18597558879204565,6.150785367052149,0.7552228816732203,4.136371714086599,-0.25264557631995593,-1.7215664306598437,0.08635706863329794,-0.6033278914274879,0.026911182813567937,0.1690840984789652,-0.1101157,-0.14238762609559358,0.0945945945945946,1.0,3.6820659695172804,0.5281173102656378,0.09621993127147767,2.4615384615384617,3.3799280558170974e-05,0.03125,4.978171960496215e-07,2.0,0.00199203187250996,0
234,0x607c2f298ff8ce6a831dcf2001fe148fb1950d201dfb4c8e258567350dc16e21,1,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-18 21:21:43+00:00,620,629,0.985691573926868,143,1208352,5149006,0.23467675120207668,298,1,1,1,2,240,205,1315467,2954768,296,1902026,3,2,1,1,1,90000,112016606043,3083817,28250,1e+17,4685400,2.0,-0.22445526905590463,-0.12230700239891845,-0.1412985644162873,0.19567624136011003,6.649111384068538,5.9434508458837385,1.1009144968914477,-1.3533867027625057,-0.7274292894723833,-0.7125055944266869,-0.6236266300902356,-0.13759612229646695,0.28621777580677626,0.2901108261609577,6.954581292833765,-0.17544189282497247,-0.17103811027765878,-2.1861225099763657,-0.7051528563689183,-1.5158132368391883,-0.25264557631995593,-2.8927000569590566,-0.9517154267861783,1.7024821777839352,-0.7909314393299813,-0.9892913928429619,0.8909362,5.8474628968900335,0.5,0.6941747572815534,2.620833333333333,0.0004713151517178677,1.0033670033670035,1.7426092336183416,0.6352969752795308,1.942122421298402e-07,0.001589825119236884,1.0,0.006993006993006993,0
608,0x1570a5ced3f27562b2be6e288ba046c99fc84022d880075e5a9a4d4b95696311,1,0x86f526d28a65b5aaa543d126860ed5b569b9a214,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-18 21:22:31+00:00,621,630,0.9857142857142858,143,6,8,0.75,3,2,3,2,4,240,205,1315472,3,133,852372,4,3,2,1,2,112846,113300000000,1575004,69749,0.0,6,-1.0,-0.22445526905590463,-0.12230128669108989,-0.14129655545357211,0.19567624136011003,-0.14800683205171586,-0.1426318173592207,-0.6366585413781851,-1.3138832963771436,-0.08368655542602634,-0.15147756731905943,-0.4949111233636647,-0.13759612229646695,0.28621777580677626,0.2901210335940899,-0.14328518046268995,-0.5756802207531813,-0.5827597654570147,-1.7229609612525594,-0.4965277509343271,-1.0019782413004805,-0.25264557631995593,-1.7215664306598437,-0.9227771630348944,1.7425142370694937,-1.0053974492898932,-0.9040316135959843,-0.1101157,-0.14243876289783294,0.25,0.6941747572815534,2.625,0.0004720735431285933,0.022388059701492536,2.6666666666666665,7.0391718179717094e-06,0.375,0.004761904761904762,1.5,0.013986013986013986,0
661,0xaaeacff7bcc2a6dffb61806b3e01157d191f6d98586fa29590a4748731fc609e,1,0x3cd751e6b0078be393132286c442345e5dc49699,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-18 21:24:58+00:00,622,631,0.9857369255150554,143,1330040,6820551,0.1950047730747853,298,3,1,1,2,241,205,1315480,2992461,296,1903555,3,2,1,1,1,90000,114841716295,2176795,28250,1e+18,6361930,2.0,-0.22445526905590463,-0.12229557098326131,-0.14129454649085693,0.19567624136011003,7.333623702132439,7.9192063317725365,1.1009144968914477,-1.2743798899917815,-0.7274292894723833,-0.7125055944266869,-0.6236266300902356,-0.13758809653150153,0.28621777580677626,0.29013736548710145,7.045126524342181,-0.17544189282497247,-0.17043836749501876,-2.1861225099763657,-0.7051528563689183,-1.5158132368391883,-0.25264557631995593,-2.8927000569590566,-0.9517154267861783,1.7906039742747561,-0.9198575483215258,-0.9892913928429619,9.900403,7.990772473349164,0.5,0.6941747572815534,2.6182572614107884,0.0004728308504645829,1.0033670033670035,2.279244742036738,0.6987133554253198,1.4661572063606005e-07,0.001584786053882726,1.0,0.006993006993006993,0
124,0x538c5fa1e9447cedb3dfcbd73645a3fe862e328492c8b23c47fc82da39fb9a32,1,0x129c003c5d4f515aea0413b68e8873e6a33ea169,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-18 21:40:20+00:00,623,632,0.9857594936708861,143,17,18,0.9444444444444444,7,4,1,1,9,242,205,1315534,9,100,642779,8,6,3,1,4,408211,108767345456,1339128,248476,0.0,13,2.0,-0.22445526905590463,-0.12228985527543274,-0.14129253752814175,0.19567624136011003,-0.1479449554862476,-0.14261999742325793,-0.6130982289948681,-1.2348764836064194,-0.7274292894723833,-0.7125055944266869,-0.1731223565472377,-0.13758007076653614,0.28621777580677626,0.29024760576492953,-0.14327076740485295,-0.6567100662846591,-0.6649715960926401,0.12968523364266588,0.12934756536944658,-0.4881432457617726,-0.25264557631995593,0.6207008219385828,-0.5486482007264845,1.6011301402871485,-1.038925384537869,-0.5368366314163037,-0.1101157,-0.14242981395744106,0.1111111111111111,0.6941747572815534,2.6115702479338845,0.0004735715887452633,0.06930693069306931,2.0,2.644761815862348e-05,0.05555555555555555,0.0015822784810126582,1.0,0.006993006993006993,0
631,0xbfaa011673e478305ffbf7be4bf45a2871ff1f78894940747c0ae3fc1010b368,1,0x9dea480cafef5538f42720ffbd57ae55e53f3bfa,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-18 22:13:25+00:00,624,633,0.985781990521327,143,925,959,0.9645464025026069,125,5,3,1,12,242,205,1315673,142,410,2643067,10,6,6,1,4,1309113,113266832568,17458512,837941,0.0,927,2.0,-0.22445526905590463,-0.12228413956760417,-0.14129052856542657,0.19567624136011003,-0.14283732626395762,-0.14150774144916128,0.08193098631298504,-1.1953730772210573,-0.08368655542602634,-0.7125055944266869,0.019950903542618508,-0.13758007076653614,0.28621777580677626,0.2905313724060056,-0.14295127795613252,0.10447939173831465,0.11963160286187585,1.0560083310902786,0.12934756536944658,1.053361740854351,-0.25264557631995593,0.6207008219385828,0.5924942176425546,1.741479667289161,1.2523194347284308,0.6742204006524125,-0.1101157,-0.14126133802627153,0.08333333333333333,0.6941747572815534,2.615702479338843,0.00047428162295523054,0.30413625304136255,6.753521126760563,0.0003499720779034062,0.0031282586027111575,0.004739336492890996,3.0,0.006993006993006993,0
456,0x75b8d8c943496b43c5f996ca1fcc1ddf6289da53779d821a7e1c832d33de3ef9,1,0x62707f17000355c1115dcb52309686acb4bfa52d,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-18 23:54:55+00:00,625,634,0.9858044164037855,143,1241,1263,0.9825811559778306,187,6,1,1,9,243,205,1316151,222,373,2402247,8,6,3,1,4,408211,65016694688,5503383,248476,0.0,1247,2.0,-0.22445526905590463,-0.1222784238597756,-0.14128851960271138,0.19567624136011003,-0.14105978129232366,-0.1411484153958931,0.4471158282543994,-1.1558696708356953,-0.7274292894723833,-0.7125055944266869,-0.1731223565472377,-0.13757204500157072,0.28621777580677626,0.29150720301344685,-0.142759103851639,0.013627746748475849,0.025171133983281104,0.12968523364266588,0.12934756536944658,-0.4881432457617726,-0.25264557631995593,0.6207008219385828,-0.5486482007264845,0.23644501318836894,-0.44700898780373916,-0.5368366314163037,-0.1101157,-0.1408522436083566,0.1111111111111111,0.6941747572815534,2.6090534979423867,0.0004748691640479215,0.5,5.6891891891891895,0.0005165994518467701,0.000791765637371338,0.0015772870662460567,1.0,0.006993006993006993,0
12,0x4ddd323156bd2dcafa2eaf6bee048be5bc18e348f0140104affabef38b48eb33,1,0xa94b40c53432f0576e64873ce1cead1aae62fc90,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-19 00:20:13+00:00,626,635,0.9858267716535433,144,4989,5417,0.920989477570611,900,7,1,1,9,244,206,1316268,1262,1694,10275162,8,6,3,1,4,408229,73444151938,23597142,248488,0.0,4858,2.0,-0.22445526905590463,-0.12227270815194702,-0.1412865106399962,0.21182114576275934,-0.11997674789458931,-0.13623841399695852,4.646741510580664,-1.1163662644503332,-0.7274292894723833,-0.7125055944266869,-0.1731223565472377,-0.1375640192366053,0.29932298532173857,0.291746056948741,-0.1402608404932236,3.25727701787218,3.1132835928377025,0.12968523364266588,0.12934756536944658,-0.4881432457617726,-0.25264557631995593,0.6207008219385828,-0.5486254007287814,0.49931711603598394,2.1248778516563163,-0.5368119773920871,-0.1101157,-0.13623586878619778,0.1111111111111111,0.6956521739130435,2.6024590163934427,0.00047558667719136436,0.5309734513274337,4.292393026941363,0.0004855397427758567,0.00018460402436773122,0.0015748031496062992,1.0,0.006944444444444444,0
