index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
627,0x0f2f2b0b68f408875f0e78244b9a468180adb0c1a1ee268476b161d064ca206c,1,0xea6ae8c291897a9a88f847d76e055ca2c7b49f9f,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:33+00:00,579,10407,0.05563562986451427,4,99,101,0.9801980198019802,46,1,1,1,1,6788,3,18716,51,253,1626116,2,1.0,0.0,1,0,185327,162060470170,8590097,185327,4e+17,88,2.0,-0.10050378152592122,-0.38653977918126986,-0.38651949368782096,-0.3864256955640989,-0.21368066716871123,-0.22158789698848344,-0.022468215454320647,-1.3919917174811252,-0.2102558595543045,-0.22844050563500673,-0.18786356874008758,-0.38624279848027904,-0.3878900453019123,-0.3879367930322399,-0.04826203455333822,0.10230920791741374,0.1158420165258841,-0.40130986591818496,-0.40130986591818496,-0.13097314056319767,-0.1005037815259213,-0.40684969680042005,-0.09833831427128739,0.025561481436993928,-1.218007775214549,-0.06813357971098111,-0.0,-0.21959234884279893,1.0,1.0,1.533146729522687,0.030934444622535664,0.18110236220472442,1.9803921568627452,6.0881228103512846e-05,0.009900990099009901,9.608917075045643e-05,1.0,0.25,0
285,0x7fd7492f5aa9433b0ba12e967da26299b9884491dc5af97c27f9c6fc7c2f43fd,1,0xf6af9780e3f498f7bf5743b90a0c5d2c9776331c,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:33+00:00,579,10407,0.05563562986451427,4,7,7,1.0,5,2,1,1,1,6788,3,18716,3,4,29808,2,1.0,0.0,1,0,185339,169429144113,4042180,185339,4e+17,4,2.0,-0.10050378152592122,-0.38653977918126986,-0.38651949368782096,-0.3864256955640989,-0.4197242829272422,-0.4260970999037259,-0.6666618054033743,-1.3538340497870154,-0.2102558595543045,-0.22844050563500673,-0.18786356874008758,-0.38624279848027904,-0.3878900453019123,-0.3879367930322399,-0.48126720437768095,-0.5977455535949806,-0.608809953981824,-0.40130986591818496,-0.40130986591818496,-0.13097314056319767,-0.1005037815259213,-0.40684969680042005,-0.09833424401444768,0.43074537544210006,-1.8354221120922483,-0.0681196544727442,-0.0,-0.41075990302245596,1.0,1.0,1.533146729522687,0.030934444622535664,1.0,2.3333333333333335,0.0002348284075279278,0.14285714285714285,9.608917075045643e-05,1.0,0.25,0
698,0x0edc6f8b1f3a0a5fa137c6e840b581b3ac6d3f451b4f277de63f10a95060e671,1,0x81efd9cd08528cc17cd4c2da29db7b94f0b22605,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:33+00:00,579,10407,0.05563562986451427,4,49,50,0.98,26,3,1,1,1,6788,3,18716,19,151,969016,2,1.0,0.0,1,0,185331,162060470170,8383770,185331,4e+17,33,2.0,-0.10050378152592122,-0.38653977918126986,-0.38651949368782096,-0.3864256955640989,-0.3256608931244346,-0.3325450177190937,-0.33670899103922486,-1.3156763820929056,-0.2102558595543045,-0.22844050563500673,-0.18786356874008758,-0.38624279848027904,-0.3878900453019123,-0.3879367930322399,-0.3369321477695667,-0.18446021246115746,-0.1824518025996324,-0.40130986591818496,-0.40130986591818496,-0.13097314056319767,-0.1005037815259213,-0.40684969680042005,-0.09833695751900749,0.025561481436993928,-1.2460182353625608,-0.06812893796490214,-0.0,-0.3447615807461458,1.0,1.0,1.533146729522687,0.030934444622535664,0.17105263157894737,2.6315789473684212,5.056670832400257e-05,0.02,9.608917075045643e-05,1.0,0.25,0
222,0x90dd3afe1de725cfc9be129ad289129562388faadadcd1f20cd6aad1bdbe0a70,1,0xfcfc115cf18605e7672372cb2d75b1a6c675c8bd,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:37+00:00,580,10408,0.05572636433512682,4,273,294,0.9285714285714286,103,4,2,1,1,6788,3,18717,86,203,1305391,2,1.0,0.0,1,0,46175,169228197474,212471,46175,0.0,272,2.0,-0.10050378152592122,-0.3865382830712812,-0.38651930090871484,-0.3864256955640989,0.17601051915720592,0.1983086579332378,0.8731179949626563,-1.2775187143987958,-0.18871325099341266,-0.22844050563500673,-0.18786356874008758,-0.38624279848027904,-0.3878900453019123,-0.38793643612848855,0.2674709017769117,-0.038264037366199585,-0.029752695297325882,-0.40130986591818496,-0.40130986591818496,-0.13097314056319767,-0.1005037815259213,-0.40684969680042005,-0.14553701258450036,0.41969585115766556,-2.355334248278893,-0.22961064230607076,-0.0,0.19915562697930697,1.0,1.0,1.5332940483205657,0.030986216476119245,0.5049019607843137,3.4186046511627906,0.00020913258239670535,0.006802721088435374,0.0001921598770176787,2.0,0.25,0
854,0x47e47fa527a09d4c265bde15e9001b914c648475e9d0b8e1a4902948dcef4341,1,0xa34b23d7adf9490bdd754a1cbef01e8d9510710b,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:38+00:00,581,10445,0.0556247008137865,4,113,114,0.9912280701754386,62,5,1,1,1,6818,3,18718,54,176,1130973,2,1.0,0.0,1,0,185351,144973914858,19765751,185351,4e+17,108,2.0,-0.10050378152592122,-0.38653678696129257,-0.38651216808178834,-0.3864256955640989,-0.1823262039011087,-0.19330470935126906,0.22892440501360273,-1.239361046704686,-0.2102558595543045,-0.22844050563500673,-0.18786356874008758,-0.38616362005196403,-0.3878900453019123,-0.3879360792247373,-0.021199211439316794,-0.11417358981935079,-0.1089306154681284,-0.40130986591818496,-0.40130986591818496,-0.13097314056319767,-0.1005037815259213,-0.40684969680042005,-0.09833017375760798,-0.9139830105576074,0.2991722884463768,-0.0681057292345073,-0.0,-0.17407626451430916,1.0,1.0,1.5319741859782927,0.0310379827982264,0.3502824858757062,2.111111111111111,9.991387954099741e-05,0.008771929824561403,9.573958831977022e-05,1.0,0.25,0
404,0x8d7ee9d5680c22297b46bbc95aa5037f00c5e0f2b07bea529443bc0f0e7a089a,1,0xf89c2db21e00b80bb2d0699ef99c464a391bcf52,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:38+00:00,581,10445,0.0556247008137865,4,279,284,0.9823943661971831,109,6,1,1,1,6818,3,18718,104,298,1913579,2,1.0,0.0,1,0,185331,144973914858,20396758,185331,4e+17,256,2.0,-0.10050378152592122,-0.38653678696129257,-0.38651216808178834,-0.3864256955640989,0.18944814627189271,0.1765523597507652,0.9673902276381275,-1.2012033790105763,-0.2102558595543045,-0.22844050563500673,-0.18786356874008758,-0.38616362005196403,-0.3878900453019123,-0.3879360792247373,0.42984784046104024,0.22882512867266575,0.2463372777148635,-0.40130986591818496,-0.40130986591818496,-0.13097314056319767,-0.1005037815259213,-0.40684969680042005,-0.09833695751900749,-0.9139830105576074,0.38483628989367374,-0.06812893796490214,-0.0,0.16274275951651515,1.0,1.0,1.5319741859782927,0.0310379827982264,0.36454849498327757,2.730769230769231,0.00014580001881290565,0.0035211267605633804,9.573958831977022e-05,1.0,0.25,0
262,0xd16e62cefc97da4b274f5a0b4af66fb336f6d3989f4deabd2a28ec0e6463ee93,1,0x79723067dcee3b6957349805234434d18ccba9fb,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:38+00:00,581,10445,0.0556247008137865,4,16,16,1.0,7,7,2,1,1,6818,3,18718,5,21,135633,2,1.0,0.0,1,0,46175,144883914858,22647181,46175,0.0,11,2.0,-0.10050378152592122,-0.38653678696129257,-0.38651216808178834,-0.3864256955640989,-0.39956784225521197,-0.40651643153950057,-0.6352377278448839,-1.1630457113164665,-0.18871325099341266,-0.22844050563500673,-0.18786356874008758,-0.38616362005196403,-0.3878900453019123,-0.3879360792247373,-0.4632253223016667,-0.549950650198552,-0.5607701679386681,-0.40130986591818496,-0.40130986591818496,-0.13097314056319767,-0.1005037815259213,-0.40684969680042005,-0.14553701258450036,-0.918931872556733,0.6903483351309379,-0.22961064230607076,-0.0,-0.39482927350748453,1.0,1.0,1.5319741859782927,0.0310379827982264,0.3181818181818182,3.2,0.00011796452216995739,0.125,0.00019147917663954044,2.0,0.25,0
211,0xbcd5b2501d7d05f6c10638b11b99ddeb1acc4d86f224743fe409583a89ad8426,1,0xf43ee1f15ea5109c3b70b3f3043bbdc019ac2c5e,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:38+00:00,581,10445,0.0556247008137865,4,72,78,0.9230769230769231,24,8,2,1,1,6818,3,18718,29,332,2138025,2,1.0,0.0,1,0,46175,144883914858,23287735,46175,0.0,61,2.0,-0.10050378152592122,-0.38653678696129257,-0.38651216808178834,-0.3864256955640989,-0.2741499891848018,-0.27162738280817045,-0.3681330685977153,-1.1248880436223567,-0.18871325099341266,-0.22844050563500673,-0.18786356874008758,-0.38616362005196403,-0.3878900453019123,-0.3879360792247373,-0.2467227373894953,0.3244149354655228,0.34822565775967507,-0.40130986591818496,-0.40130986591818496,-0.13097314056319767,-0.1005037815259213,-0.40684969680042005,-0.14553701258450036,-0.918931872556733,0.7773084144693158,-0.22961064230607076,-0.0,-0.2810390626862601,1.0,1.0,1.5319741859782927,0.0310379827982264,0.07207207207207207,2.689655172413793,3.36759234920436e-05,0.02564102564102564,0.00019147917663954044,2.0,0.25,0
279,0x7553ed02facd5965676bb1dc57de0f7e212390df70d2b0a6b57eff6ccb443791,1,0x12fa9008aa451b194e6735a205f3b2ed3e7253df,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:38+00:00,581,10445,0.0556247008137865,4,43,43,1.0,18,9,1,1,1,6818,3,18718,16,151,968999,2,1.0,0.0,1,0,185351,144973914858,15484080,185351,4e+17,25,2.0,-0.10050378152592122,-0.38653678696129257,-0.38651216808178834,-0.3864256955640989,-0.33909852023912135,-0.34777442644682455,-0.4624053012731865,-1.086730375928247,-0.2102558595543045,-0.22844050563500673,-0.18786356874008758,-0.38616362005196403,-0.3878900453019123,-0.3879360792247373,-0.3639949708835881,-0.18446021246115746,-0.18245951983433814,-0.40130986591818496,-0.40130986591818496,-0.13097314056319767,-0.1005037815259213,-0.40684969680042005,-0.09833017375760798,-0.9139830105576074,-0.2820971281224558,-0.0681057292345073,-0.0,-0.36296801447754173,1.0,1.0,1.5319741859782927,0.0310379827982264,0.11842105263157894,2.6875,4.4375644994840044e-05,0.023255813953488372,9.573958831977022e-05,1.0,0.25,0
920,0x9ff7938607b0e5a6eb3d0521a55934c64cc567b4289dcc9bab6768d898278fb0,1,0x30fe5930a6bce7618b0d78715d4525a9053fa75e,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:38+00:00,581,10445,0.0556247008137865,4,144,149,0.9664429530201343,63,10,1,1,1,6818,3,18718,54,294,1890394,2,1.0,0.0,1,0,277996,144883914858,23494066,185331,4e+17,135,2.0,-0.10050378152592122,-0.38653678696129257,-0.38651216808178834,-0.3864256955640989,-0.11289846380856025,-0.11715766571261496,0.24463644379284794,-1.048572708234137,-0.2102558595543045,-0.22844050563500673,-0.18786356874008758,-0.38616362005196403,-0.3878900453019123,-0.3879360792247373,-0.021199211439316794,0.21757926904997668,0.23581233144119876,-0.40130986591818496,-0.40130986591818496,-0.13097314056319767,-0.1005037815259213,-0.40684969680042005,-0.06690609501473964,-0.918931872556733,0.8053194176477626,-0.06812893796490214,-0.0,-0.11262955067084797,1.0,1.0,1.5319741859782927,0.0310379827982264,0.2135593220338983,2.759259259259259,7.617455611128891e-05,0.006711409395973154,9.573958831977022e-05,1.0,0.25,0
