index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
513,0x4ba3399cf05e7ab6927057646090730b2dbb6ce1896dd9186127e69e0b235a84,2,0x65f2edecfbf9a675e7353ef105973e2ea515fe79,0x23a1820a47bcd022e29f6058a5fd224242f50d1a,2023-01-28 23:40:11+00:00,72,72,1.0,52,630,661,0.9531013615733737,201,1,0x4ba3399cf05e7ab6927057646090730b2dbb6ce1896dd9186127e69e0b235a84,2,2,28,59,324,2149686,136,1804,11388669,9,9,4,1,4,600000,14740367793,6965283,318116,0.0,628,2,1.0834726777719228,-5.681748731967831,-5.682339106949598,-5.544955943581015,-0.6029115416968522,-0.5947106975891895,-0.18183501334589006,-1.6197843466621633,-0.6417083469745712,-0.7204241009441386,0.9077738843328479,-5.64402747596385,-4.414460212031754,-4.379816993428079,1.5229149785799643,3.040052865628024,2.9468034043803577,0.6246332538664833,0.36921620624725804,0.08757790956471627,-0.5026028286234491,0.33556262776843176,0.7434830832635788,-0.5523707142744293,0.028998461354569675,1.109618616118141,-0.0,-0.5944752087390615,0.07142857142857142,0.16,1.2203389830508475,3.34932480868145e-05,0.1113573407202216,4.860294117647059,5.531813635832806e-05,0.0030257186081694403,0.027777777777777776,1.0,0.038461538461538464,0
919,0x548d10e930fc30debac05ffabec4c45be00a8481b4602e143a44a0cbcda2444a,2,0x74eb2eb9acf1659981a467688d687dd41c8d070a,0x23a1820a47bcd022e29f6058a5fd224242f50d1a,2023-01-29 07:39:47+00:00,73,73,1.0,53,35,37,0.9459459459459459,15,2,0x548d10e930fc30debac05ffabec4c45be00a8481b4602e143a44a0cbcda2444a,1,1,25,60,325,2152071,16,764,4984470,9,9,4,2,4,600000,14631558330,11178620,305413,0.0,32,2,1.0834726777719228,-5.681559679251934,-5.6821745183976695,-5.536727907280053,-0.7343842058797858,-0.7001570552081767,-0.9253239665737543,-1.585002634257994,-0.6418757436206755,-0.7241710406692342,0.7136668527577557,-5.641823242686509,-4.4045222106539255,-4.376165885714564,-0.4050288702394863,0.4220302760920284,0.4269615516123885,0.6246332538664833,0.36921620624725804,0.08757790956471627,1.7819554833013198,0.33556262776843176,0.7434830832635788,-0.5587430887535584,0.9803267452029003,1.006875058266954,-0.0,-0.6952271287330559,0.08,0.16257668711656442,1.2166666666666666,3.392079818890818e-05,0.0196078431372549,2.3125,7.0218083323185145e-06,0.02702702702702703,0.0136986301369863,1.0,0.018867924528301886,0
313,0xa6f63fcb6bec8818864d96a5b1bb19e8bd85ee37b2cc916412e720988440b2aa,6,0x837962b686fd5a407fb4e5f92e8be86a230484bd,0x5061f7e6dfc1a867d945d0ec39ea2a33f772380a,2023-02-02 15:56:35+00:00,1,1,1.0,1,12,18,0.6666666666666666,1,1,0xa6f63fcb6bec8818864d96a5b1bb19e8bd85ee37b2cc916412e720988440b2aa,1,1,95,1,0,0,8,0,4209,19,18,12,3,7,970231,45000000000,1298304,897331,0.0,15,2,7.1027653320603825,-5.695171474796511,-5.69402489413654,-5.964585794930055,-0.7394663424784538,-0.703367761610037,-0.9812855006876796,-1.6197843466621633,-0.6418757436206755,-0.7241710406692342,5.242830922843241,-5.7718730060496535,-7.634372658448433,-7.6706912643865,-0.533558460160783,-1.501209395451722,-1.5326074913714505,3.529904202082684,2.03903824455144,3.1337660683374566,4.066513795226089,2.309460438170972,2.3911837194628505,1.2197702623216826,-1.2505472779666689,5.794386770158553,-0.0,-0.6981009251087236,0.06315789473684211,1.0,1.0,1.0,1.0,2.25,0.0028503562945368173,0.05555555555555555,1.0,1.0,1.0,1
966,0x8b1247e162a90905cabc6ec54872390bce077fe3332622ca275d8dd2c67de505,1,0xb79421720b92180487f71f13c5d5d8b9eca27bf1,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-27 08:02:23+00:00,31008,35617,0.8705955021478508,744,48,48,1.0,18,1,0x8b1247e162a90905cabc6ec54872390bce077fe3332622ca275d8dd2c67de505,1,1,7,2697,782,5096381,26,234,1577793,5,5,3,1,3,200000,18153230452,1548631,124921,0.0,46,2,-0.42135048580019224,0.16678608701856026,0.16796097135776825,0.14884517668439515,-0.7315116938892343,-0.6982982251860472,-0.9133322092636275,-1.6197843466621633,-0.6418757436206755,-0.7241710406692342,-0.4509753366927976,0.170739909662868,0.13714441901404323,0.13116868534631962,-0.2443668828378654,-0.912154312806123,-0.9134538982295085,-0.537475125419997,-0.3729269218879339,-0.29319561028187624,-0.5026028286234491,-0.3224033090324151,-1.0367034880384152,-0.35249803491947157,-1.1940260086471481,-0.4529683050075853,-0.0,-0.6928604728942708,0.14285714285714285,0.9501915708812261,13.206154987022618,0.006084316285553163,0.07659574468085106,1.8461538461538463,3.0422222419403294e-05,0.020833333333333332,2.8076480332425527e-05,1.0,0.0013440860215053765,0
612,0x33e6f783f0c4827dc6e7c6783edf55130f44e06e16e3b44193985894759e0591,1,0x3ca2070165b221fe655f27bfbbb814418d37844c,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-27 08:09:23+00:00,31009,35618,0.8705991352686844,744,5591,6055,0.9233691164327003,221,2,0x33e6f783f0c4827dc6e7c6783edf55130f44e06e16e3b44193985894759e0591,4938,220,3,2697,782,5096416,49,247,1654743,4,2,2,1,2,700000,16065156278,2715885,59261,0.0,5942,2,-0.42135048580019224,0.16697513973445718,0.168125559909697,0.14884517668439515,0.4932832263897586,0.3167919514441716,-0.10188996461171111,-1.585002634257994,0.18456149819571452,0.09640875912671075,-0.7097847121262539,0.170739909662868,0.13714441901404323,0.13122226554337332,0.12515568818586267,-0.8794290304369231,-0.883176601947726,-0.8280022202416171,-0.9295342679893279,-0.6739691301284688,-0.5026028286234491,-0.9803692458332619,1.1885297260890773,-0.4747851063750681,-0.9304720264626946,-0.9840351402834215,-0.0,0.30383972892551303,0.3333333333333333,0.9501915708812261,13.206525769373378,0.006084470717368693,0.8911290322580645,123.57142857142857,0.0033787703717312162,0.8155243600330305,0.13863776742096692,22.445454545454545,0.2956989247311828,0
361,0x78b398f07bf100bd9426661aa3eacce2306b71aefc24c76ec7e11c4bed936844,1,0xb79421720b92180487f71f13c5d5d8b9eca27bf1,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-27 08:25:47+00:00,31010,35619,0.870602768185519,744,50,50,1.0,18,3,0x78b398f07bf100bd9426661aa3eacce2306b71aefc24c76ec7e11c4bed936844,2,1,11,2697,782,5096497,26,234,1577909,6,5,4,1,3,200000,16564948798,862816,132545,0.0,48,2,-0.42135048580019224,0.16716419245035408,0.16829014846162574,0.14884517668439515,-0.731069768967611,-0.6979602560911146,-0.9133322092636275,-1.5502209218538248,-0.6417083469745712,-0.7241710406692342,-0.19216596125934132,0.170739909662868,0.13714441901404323,0.13134626542798328,-0.2443668828378654,-0.912154312806123,-0.9134082560414813,-0.24694803059837694,-0.3729269218879339,0.08757790956471627,-0.5026028286234491,-0.3224033090324151,-1.0367034880384152,-0.4455149950125334,-1.348876002129142,-0.3913043764035193,-0.0,-0.6925223792030157,0.09090909090909091,0.9501915708812261,13.206896551724139,0.006084570228419593,0.07659574468085106,1.9230769230769231,3.168748534453803e-05,0.04,5.6149807686908675e-05,2.0,0.0013440860215053765,0
675,0xc19e262023380f2f307ca1e6451e98d710ad6093a202c5113bf48068784e8800,1,0x3ca2070165b221fe655f27bfbbb814418d37844c,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-27 08:39:23+00:00,31011,35620,0.8706064008983717,744,5592,6056,0.9233817701453104,221,4,0xc19e262023380f2f307ca1e6451e98d710ad6093a202c5113bf48068784e8800,4939,220,4,2697,782,5096565,49,247,1654892,5,2,3,1,3,700000,14916151232,4401664,59290,0.0,5943,2,-0.42135048580019224,0.16735324516625097,0.16845473701355448,0.14884517668439515,0.49350418885057024,0.31696093599163794,-0.10188996461171111,-1.5154392094496554,0.1847288948418187,0.09640875912671075,-0.6450823682678899,0.170739909662868,0.13714441901404323,0.1314503640965447,0.12515568818586267,-0.8794290304369231,-0.8831179753441395,-0.537475125419997,-0.9295342679893279,-0.29319561028187624,-0.5026028286234491,-0.3224033090324151,1.1885297260890773,-0.5420760407262551,-0.5498404171189475,-0.9838005844164859,-0.0,0.3040087757711405,0.25,0.9501915708812261,13.207267334074897,0.006084685256700296,0.8911290322580645,123.59183673469387,0.0033790704293268506,0.815554821664465,0.13865805727119596,22.45,0.2956989247311828,0
584,0x0a1c3f98c0633dea79fdf253550b3d3d2bc1c5b0750b758d01f23ec004ba9bb6,1,0xe0c351155ee1fb30de60c45e117a9f2c143a14ee,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-27 10:56:59+00:00,31012,35621,0.8706100334072597,744,69,70,0.9857142857142858,25,5,0x0a1c3f98c0633dea79fdf253550b3d3d2bc1c5b0750b758d01f23ec004ba9bb6,14,9,7,2697,782,5097250,16,144,1017462,5,5,3,1,3,200000,14107871478,5939143,123437,0.0,65,2,-0.42135048580019224,0.16754229788214786,0.16861932556548323,0.14884517668439515,-0.7268714822121896,-0.694580565141788,-0.8853514422066648,-1.4806574970454862,-0.6396995872213209,-0.6941955228684691,-0.4509753366927976,0.170739909662868,0.13714441901404323,0.13249900509602394,-0.4050288702394863,-1.1387139599775074,-1.1339257332245374,-0.537475125419997,-0.3729269218879339,-0.29319561028187624,-0.5026028286234491,-0.3224033090324151,-1.0367034880384152,-0.5894125603117466,-0.20269342685378536,-0.46497109488801996,-0.0,-0.6896485828273482,0.14285714285714285,0.9501915708812261,13.207638116425658,0.006084063743378539,0.1724137931034483,4.375,6.78157338399529e-05,0.2,0.00039302658544117236,1.5555555555555556,0.012096774193548387,0
759,0x907bf64a254c00b2a6c9407149f33eef0ca49c114c96598de045388d3f0bd817,1,0xff7fbdd739e20451c712cf52aa3fc06ac901974e,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-27 11:01:23+00:00,31013,35622,0.8706136657122003,744,578,583,0.9914236706689536,191,6,0x907bf64a254c00b2a6c9407149f33eef0ca49c114c96598de045388d3f0bd817,455,190,3,2697,782,5097272,25,247,1655851,4,2,2,1,2,700000,14276855292,7645225,59273,0.0,529,2,-0.42135048580019224,0.16773135059804475,0.168783914117412,0.14884517668439515,-0.6144015896590582,-0.6078914922915629,-0.22180753771297954,-1.4458757846413168,-0.5658776662893729,-0.015999432626158418,-0.7097847121262539,0.170739909662868,0.13714441901404323,0.13253268407702912,-0.26043308157802747,-0.8794290304369231,-0.8827406403586394,-0.8280022202416171,-0.9295342679893279,-0.6739691301284688,-0.5026028286234491,-0.9803692458332619,1.1885297260890773,-0.5795161035695652,0.18252239166833323,-0.9839380826833103,-0.0,-0.6112108464561847,0.3333333333333333,0.9501915708812261,13.208008898776418,0.0060842336676885855,0.7701612903225806,23.32,0.00034906501305672244,0.7804459691252144,0.012773005446072652,2.3947368421052633,0.2553763440860215,0
19,0xc197da533ec4a744b6e3fd144ce09e2b8fa9658e1ab24546df1811c0520ffff3,1,0x66c95d9cce06551bb72f8f94492a1d9323344c1e,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-27 12:25:11+00:00,31014,35623,0.8706172978132105,744,2,2,1.0,1,7,0xc197da533ec4a744b6e3fd144ce09e2b8fa9658e1ab24546df1811c0520ffff3,1,1,6,2698,782,5097687,1,0,0,6,3,3,1,4,200000,17386369901,7279747,147185,0.0,0,2,-0.42135048580019224,0.16792040331394165,0.16894850266934075,0.14884517668439515,-0.7416759670865704,-0.7060715143694982,-0.9812855006876796,-1.4110940722371477,-0.6418757436206755,-0.7241710406692342,-0.5156776805511617,0.17294414294020943,0.13714441901404323,0.1331679921278085,-0.6460218513419176,-1.501209395451722,-1.5342635945559862,-0.24694803059837694,-0.7439984859555299,-0.29319561028187624,-0.5026028286234491,0.33556262776843176,-1.0367034880384152,-0.39740885856946284,0.10000120750378144,-0.27289410426769467,-0.0,-0.7006366277931362,0.16666666666666666,0.9501915708812261,13.203484062268346,0.006083934520904379,1.0,2.0,2.0,0.5,2.8071751396569632e-05,1.0,0.0013440860215053765,0
