index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
62,0xe1dd8d740e4adf985bbfa8dcadab83a7fcda45a431f4fc27741134c9544ddf8b,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:18:15+00:00,24,47,0.5106382978723404,1,52,106,0.49056603773584906,2,1,47,1,97,1,0,155,6,1,6499,11,34.0,8.0,2,1,1000000,190000000000,8358330,362536,2.189e+21,97,-1.0,0.17586311452816447,-0.9712300816343356,-0.9713736246076264,-1.0186210472827892,-1.3845601261126756,-1.2660025211653714,-0.1627027264722774,-1.6102378724772615,-1.153601749220911,-0.17586311452816492,-0.8662094704051134,-0.9777771095434661,-1.019987890658661,-1.020040077260859,-0.13962300969949454,-0.16033725389153555,-0.16044727681333856,-1.1297778198451132,0.9968077596195741,-0.9249600877113283,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,0.4236913002303929,-0.9915910476806941,0.0,-1.2599368166358904,0.15463917525773196,1.0,47.0,0.15384615384615385,1.0,17.666666666666668,0.008,0.44339622641509435,1.0,47.0,1.0,1
293,0xdb7eed0b494e4ecafd32ba70069415145cd7f7163fd8ab83396cba28359de050,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:18:15+00:00,24,47,0.5106382978723404,1,52,106,0.49056603773584906,2,2,47,1,100,1,0,155,6,1,6499,13,34.0,8.0,2,1,1000000,190000000000,7094172,387249,2.189e+21,95,-1.0,0.17586311452816447,-0.9712300816343356,-0.9713736246076264,-1.0186210472827892,-1.3845601261126756,-1.2660025211653714,-0.1627027264722774,-1.5404399586290924,-1.153601749220911,-0.17586311452816492,-0.7524839381856236,-0.9777771095434661,-1.019987890658661,-1.020040077260859,-0.13962300969949454,-0.16033725389153555,-0.16044727681333856,-0.7994334280775361,0.9968077596195741,-0.9249600877113283,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,-0.036405832859425606,-0.8980200149812867,0.0,-1.3191026685558664,0.15,1.0,47.0,0.15384615384615385,1.0,17.666666666666668,0.008,0.44339622641509435,1.0,47.0,1.0,1
760,0x9b733f2f049de17f52a777fca3aa91f251edd9d2ecc02c5123540dccaa0ee9c2,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:18:36+00:00,25,50,0.5,1,53,112,0.4732142857142857,2,3,50,1,97,1,0,156,6,1,6500,11,34.0,8.0,2,1,1000000,190000000000,7653746,362536,2.189e+21,101,-1.0,0.17586311452816447,-0.971152012116545,-0.9711501034849264,-1.0186210472827892,-1.319496210411892,-1.0893920787800604,-0.1627027264722774,-1.4706420447809232,-0.9871368503434346,-0.17586311452816492,-0.8662094704051134,-0.9777771095434661,-1.019987890658661,-1.020038629831928,-0.13962300969949454,-0.16033725389153555,-0.16044383281417027,-1.1297778198451132,0.9968077596195741,-0.9249600877113283,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,0.16725414726299748,-0.9915910476806941,0.0,-1.1416051127959381,0.15463917525773196,1.0,50.0,0.1592356687898089,1.0,18.666666666666668,0.008152591908937086,0.44642857142857145,1.0,50.0,1.0,1
332,0xecacdb72492e287ee3410f06e64b554c0c3c6c46ca8f13febc9e51101c26bfd4,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:18:36+00:00,25,50,0.5,1,53,112,0.4732142857142857,2,4,50,1,100,1,0,156,6,1,6500,13,34.0,8.0,2,1,1000000,190000000000,6342963,387249,2.189e+21,99,-1.0,0.17586311452816447,-0.971152012116545,-0.9711501034849264,-1.0186210472827892,-1.319496210411892,-1.0893920787800604,-0.1627027264722774,-1.4008441309327542,-0.9871368503434346,-0.17586311452816492,-0.7524839381856236,-0.9777771095434661,-1.019987890658661,-1.020038629831928,-0.13962300969949454,-0.16033725389153555,-0.16044383281417027,-0.7994334280775361,0.9968077596195741,-0.9249600877113283,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,-0.3098124064453773,-0.8980200149812867,0.0,-1.2007709647159144,0.15,1.0,50.0,0.1592356687898089,1.0,18.666666666666668,0.008152591908937086,0.44642857142857145,1.0,50.0,1.0,1
114,0x28d502dfd37ffd1e03ad13de13aab14fd9d1214aae83ad9601211fd5e23b4a5a,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:18:36+00:00,25,50,0.5,1,53,112,0.4732142857142857,2,5,50,1,97,1,0,156,6,1,6500,11,34.0,8.0,2,1,1000000,190000000000,9044627,362536,2.299e+21,103,-1.0,0.17586311452816447,-0.971152012116545,-0.9711501034849264,-1.0186210472827892,-1.319496210411892,-1.0893920787800604,-0.1627027264722774,-1.331046217084585,-0.9871368503434346,-0.17586311452816492,-0.8662094704051134,-0.9777771095434661,-1.019987890658661,-1.020038629831928,-0.13962300969949454,-0.16033725389153555,-0.16044383281417027,-1.1297778198451132,0.9968077596195741,-0.9249600877113283,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,0.6734728007612943,-0.9915910476806941,0.0,-1.082439260875962,0.15463917525773196,1.0,50.0,0.1592356687898089,1.0,18.666666666666668,0.008152591908937086,0.44642857142857145,1.0,50.0,1.0,1
803,0xcc15db2209abddb74b6b09965b5b5cf4cb85bacd5945ffae68938138b5f9730a,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:18:52+00:00,26,51,0.5098039215686274,1,54,113,0.4778761061946903,2,6,51,1,100,1,0,157,6,1,6501,13,34.0,8.0,2,1,1000000,190000000000,10737715,387249,2.299e+21,105,-1.0,0.17586311452816447,-0.9710739425987545,-0.9710755964440263,-1.0186210472827892,-1.2544322947111084,-1.0599570050491751,-0.1627027264722774,-1.261248303236416,-0.9316485507176092,-0.17586311452816492,-0.7524839381856236,-0.9777771095434661,-1.019987890658661,-1.0200371824029968,-0.13962300969949454,-0.16033725389153555,-0.16044038881500197,-0.7994334280775361,0.9968077596195741,-0.9249600877113283,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,1.28968132443379,-0.8980200149812867,0.0,-1.023273408955986,0.15,1.0,51.0,0.16455696202531644,1.0,18.833333333333332,0.008305136880959704,0.45132743362831856,1.0,51.0,1.0,1
102,0x1d5eb4b5660fd37ba83884ba47e65828ab3d05f9188a39bb2410dbfbb754fdad,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:19:24+00:00,27,52,0.5192307692307693,1,56,116,0.4827586206896552,2,7,52,1,100,1,0,160,6,1,6504,13,34.0,8.0,2,1,1000000,190000000000,3731555,387249,2.299e+21,107,-1.0,0.17586311452816447,-0.9709958730809639,-0.9710010894031262,-1.0186210472827892,-1.1243044633095411,-0.9716517838565196,-0.1627027264722774,-1.1914503893882469,-0.8761602510917837,-0.17586311452816492,-0.7524839381856236,-0.9777771095434661,-1.019987890658661,-1.020032840116203,-0.13962300969949454,-0.16033725389153555,-0.16043005681749706,-0.7994334280775361,0.9968077596195741,-0.9249600877113283,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,-1.2602484548885442,-0.8980200149812867,0.0,-0.96410755703601,0.15,1.0,52.0,0.16770186335403728,1.0,19.333333333333332,0.008608762490392005,0.4482758620689655,1.0,52.0,1.0,1
271,0x7c9fbfd1ecb9ad9f92424d003c63f8678c9d17642f9251bc5907b78b25c1ce2a,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:19:29+00:00,28,53,0.5283018867924528,1,57,118,0.4830508474576271,2,8,53,1,100,1,0,161,6,1,6505,13,34.0,8.0,2,1,1000000,190000000000,3193577,387249,2.471e+21,109,-1.0,0.17586311452816447,-0.9709178035631735,-0.9709265823622262,-1.0186210472827892,-1.0592405476087574,-0.9127816363947493,-0.1627027264722774,-1.1216524755400776,-0.8206719514659583,-0.17586311452816492,-0.7524839381856236,-0.9777771095434661,-1.019987890658661,-1.020031392687272,-0.13962300969949454,-0.16033725389153555,-0.16042661281832876,-0.7994334280775361,0.9968077596195741,-0.9249600877113283,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,-1.4560484541492333,-0.8980200149812867,0.0,-0.904941705116034,0.15,1.0,53.0,0.1728395061728395,1.0,19.666666666666668,0.008761143559790963,0.4491525423728814,1.0,53.0,1.0,1
214,0xd31d18d8fb934faf0534bc3790a7463ab59df47a7162295529d16186922ef0b4,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:20:04+00:00,29,54,0.5370370370370371,1,58,120,0.48333333333333334,2,9,54,1,100,1,0,166,6,1,6510,13,34.0,8.0,2,1,1000000,190000000000,4624991,387249,2.356e+21,111,-1.0,0.17586311452816447,-0.9708397340453829,-0.9708520753213262,-1.0186210472827892,-0.9941766319079739,-0.8539114889329789,-0.1627027264722774,-1.0518545616919086,-0.7651836518401329,-0.17586311452816492,-0.7524839381856236,-0.9777771095434661,-1.019987890658661,-1.020024155542616,-0.13962300969949454,-0.16033725389153555,-0.16040939282248723,-0.7994334280775361,0.9968077596195741,-0.9249600877113283,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,-0.9350775963414043,-0.8980200149812867,0.0,-0.8457758531960579,0.15,1.0,54.0,0.17365269461077845,1.0,20.0,0.008908001843034865,0.45,1.0,54.0,1.0,1
608,0xa85fff56ad1b8c148a1a5d54494a3069b076e3c9009faf7980603e7b353ffb28,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:20:13+00:00,30,57,0.5263157894736842,1,59,125,0.472,2,10,57,1,97,1,0,167,6,1,6511,11,34.0,8.0,2,1,1000000,190000000000,7483637,362536,2.356e+21,115,-1.0,0.17586311452816447,-0.9707616645275924,-0.970628554198626,-1.0186210472827892,-0.9291127162071903,-0.7067361202785529,-0.1627027264722774,-0.9820566478437395,-0.5987187529626566,-0.17586311452816492,-0.8662094704051134,-0.9777771095434661,-1.019987890658661,-1.0200227081136846,-0.13962300969949454,-0.16033725389153555,-0.16040594882331893,-1.1297778198451132,0.9968077596195741,-0.9249600877113283,-0.9145630630880592,-1.001482580502749,-0.9465962787481854,-0.7813523213740318,0.10534205778306227,-0.9915910476806941,0.0,-0.7274441493561058,0.15463917525773196,1.0,57.0,0.17857142857142858,1.0,20.833333333333332,0.00906019656019656,0.456,1.0,57.0,1.0,1
