transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus
0x7d2296bcb936aa5e2397ddf8ccba59f54a178c3901666b49291d880369dbcf31,5,0x7c42f2a7d9ad01294ecef9be1e38272c84607593,0x580cac65c2620d194371ef29eb887a7d8dcc91bf,2022-03-05 12:46:23+00:00,423932,25953071246,7718821,332490,0,1,2.0,1,1,1,1.0,1,2,2,1.0,1,0,4,1,0x7d2296bcb936aa5e2397ddf8ccba59f54a178c3901666b49291d880369dbcf31,1,1,46,1,0,0,1,9,9,12,3,4,1
0x84651dc5e3e47f70e469b00bd1eb3ceb7396a51f60cc579b6ca91cc6d4b20eb0,3,0x8e08e916e53e310323e905d4e042173cbff9ba19,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-03-04 13:59:49+00:00,213372,29452149066,19191362,167560,0,805,2.0,4,439420,3023301,0.1453444430442089,80,821,832,0.986778846153846,223,552,3563799,1,0x84651dc5e3e47f70e469b00bd1eb3ceb7396a51f60cc579b6ca91cc6d4b20eb0,5,4,14,626242,79,508632,179,8,3,6,3,3,0
0xe6d8f716acd412f56fe0788626b932e5c57d0379ad87cdd75863bf3644d78633,7,0x2cb533ae1807beded8c4ba50aca827d19be9d090,0x881d40237659c251811cec9c364ef91dc08d300c,2022-02-25 12:52:58+00:00,909531,38094285742,8837510,592073,0,46,2.0,51,1707727,4017539,0.4250679333791159,502,63,64,0.984375,28,299,1922382,1,0xe6d8f716acd412f56fe0788626b932e5c57d0379ad87cdd75863bf3644d78633,2,1,74,1091110,501,3233612,26,21,7,12,1,2,0
0x881aa34a3252ecc8302a08444e28a47be2f5127d495d79806b05931dbbd7cb3d,1,0x8e08e916e53e310323e905d4e042173cbff9ba19,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-15 12:09:10+00:00,289407,34342159990,4412360,190411,0,801,2.0,125,595,604,0.9850993377483444,140,817,828,0.9867149758454106,221,535,3453533,1,0x881aa34a3252ecc8302a08444e28a47be2f5127d495d79806b05931dbbd7cb3d,1,1,6,227,202,1293628,177,6,2,3,1,3,0
0x4c3a5a63573dd126848176cdab7e21a65b0601f7d65628cc204720dc3a469bee,1,0x5ef9c1722e43e8e7364416884a5673c61b0ed0c0,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-15 16:00:39+00:00,382153,51428915228,10594215,248476,0,134,2.0,124,596,605,0.9851239669421488,140,138,144,0.9583333333333331,66,380,2446281,2,0x4c3a5a63573dd126848176cdab7e21a65b0601f7d65628cc204720dc3a469bee,2,2,9,227,202,1294644,49,8,4,3,1,4,0
0x9cdd719458408f7ded2c481bbaef57a9c58de8a0c4a4c8b58442954745428a38,1,0x5ef9c1722e43e8e7364416884a5673c61b0ed0c0,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-15 16:01:33+00:00,1104010,62116976177,12667990,720194,0,135,2.0,123,597,606,0.9851485148514852,140,139,145,0.9586206896551724,66,380,2446286,3,0x9cdd719458408f7ded2c481bbaef57a9c58de8a0c4a4c8b58442954745428a38,3,2,9,227,202,1294649,49,8,2,6,1,3,0
0xccdabeee76283cf73fca397d6a381c693fd2c212361c4166527a62667b7d03ee,1,0xc22877ec1da1082adfef21d2c57853ec7a09a8f4,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-15 19:19:37+00:00,289407,96724671506,5827866,185611,0,2,2.0,122,598,607,0.985172981878089,140,7,7,1.0,3,95,608654,4,0xccdabeee76283cf73fca397d6a381c693fd2c212361c4166527a62667b7d03ee,2,2,6,227,202,1295574,2,6,2,3,1,3,0
0xd19195e6f68756f54226eee1de48d7a1f1ee684756be8a853482ce8523a099de,1,0x8e10d7409bc6f27e6078a37235f6f8b59f597446,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-16 06:25:53+00:00,289407,40064826853,17065117,185611,0,3,2.0,121,599,608,0.9851973684210527,141,7,7,1.0,5,137,877126,5,0xd19195e6f68756f54226eee1de48d7a1f1ee684756be8a853482ce8523a099de,3,3,6,227,203,1298572,2,6,2,3,1,3,0
0x48ff93676428413b61e8c81c74f1fd837b8704f9c4ba59ab31c0dafbb10487bf,26,0x2fa3f1d0a1c75fbe0df8de9c787d12d0b5c3c752,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-16 06:38:12+00:00,2000000,59766952385,4927645,777756,0,9,2.0,120,600,609,0.9852216748768472,141,12,12,1.0,4,7,46528,6,0x48ff93676428413b61e8c81c74f1fd837b8704f9c4ba59ab31c0dafbb10487bf,3,3,70,227,203,1298622,4,11,22,9,3,6,0
0x1942eb2250fc6fe6019a9f108cbde6f9470bfe5babdd5fc7befd31b2efb0d14a,1,0x4f850d2026c8e894c2e5b0539d7ed0c162d1c5df,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-16 09:11:59+00:00,1516734,46173187322,7015942,969967,0,5,2.0,119,601,610,0.9852459016393442,141,6,7,0.8571428571428571,2,6,35962,7,0x1942eb2250fc6fe6019a9f108cbde6f9470bfe5babdd5fc7befd31b2efb0d14a,2,2,12,227,203,1299270,3,10,4,6,1,4,0
