transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus
0x72c55fc1ca5f74f675dc092090bc3c5acc57eca71cfc15220e251ca16afaa09b,2,0x3aa27ab297a3a753f79c5497569ba2dacc2bc35a,0x00000000b2ff98680adaf8a3e382176bbfc34c8f,2021-08-30 05:19:59+00:00,1265683,78253252514,11387372,473888,0,2773,2.0,15,1842,1842,1.0,26,2775,2775,1.0,27,26,168054,1,0x72c55fc1ca5f74f675dc092090bc3c5acc57eca71cfc15220e251ca16afaa09b,1842,26,57,1,25,161963,10,22,6.0,11.0,2,3,0
0x71bc03e5eb40738d6f7aeb8f86ec3effdc65fb442f2f5a98e2f7040fbbee439f,2,0x66d9af69e6845e8666f355676a267a726c04ea4e,0x06091717521c2002f2859c75f53987eaf1e5aa2f,2021-08-29 14:59:46+00:00,252398,66000000000,11240239,113575,28612045479751906421,269,,85,79,79,1.0,51,257,271,0.948339483394834,38,225,1455401,1,0x71bc03e5eb40738d6f7aeb8f86ec3effdc65fb442f2f5a98e2f7040fbbee439f,1,1,9,66,103,663791,89,6,2.0,3.0,1,2,0
0x386dd650d7e381be810c77478964ab28a1d44ed1deaeb76a5217a60df90ece26,1,0x31adfbf4f653bcdc3a12c889fa721ee76605ffa8,0x17107f40d70f4470d20cb3f138a052cae8ebd4be,2021-08-30 01:16:05+00:00,3527496,72774022779,16927830,1650467,0,1337,2.0,78,1782,1793,0.9938650306748466,269,1279,1363,0.9383712399119588,153,432,2792386,1,0x386dd650d7e381be810c77478964ab28a1d44ed1deaeb76a5217a60df90ece26,8,8,185,388,373,2416279,224,78,27.0,9.0,4,5,0
0xae207abe8988c94fd337b77b7b54f39390c61f64715268131a96e6e9961fb2d8,4,0x6510438a7e273e71300892c6faf946ab3b04cbcb,0x18c0ca3947e255881f94de50b3a906fc2759f7fe,2021-08-30 05:19:59+00:00,1099444,78915252517,877544,877544,0,1247,2.0,13,1792,1920,0.9333333333333332,22,1249,1249,1.0,25,25,161953,1,0xae207abe8988c94fd337b77b7b54f39390c61f64715268131a96e6e9961fb2d8,1154,22,86,2,21,133402,10,21,9.0,11.0,2,2,0
0x38d4258db15ef21b18e058cdfe66e259cf2584338ec4319e910bdb30bcb5fa39,1,0x9f8322bbc6d512f431a0a2aca2d732956c62de80,0x19d1666f543d42ef17f66e376944a22aea1a8e46,2021-08-27 10:14:07+00:00,1285362,55045695832,19759313,628302,0,560,2.0,128,3137,3173,0.9886542704065552,306,563,572,0.9842657342657342,98,214,1384609,1,0x38d4258db15ef21b18e058cdfe66e259cf2584338ec4319e910bdb30bcb5fa39,4,4,73,793,390,2526597,110,26,14.0,6.0,4,5,0
0x80f5f12c7649657ba99ec7b961823ae4f9365659c1eb24ad0c1af744721d62cc,1,0xe25d56df6edbcc226b611cb95fddeff9cd6d88b6,0x1f9b4756b008106c806c7e64322d7ed3b72cb284,2021-08-28 04:15:26+00:00,653026,73966953332,2176958,312274,0,378,2.0,108,122,123,0.991869918699187,63,371,392,0.9464285714285714,93,284,1837364,1,0x80f5f12c7649657ba99ec7b961823ae4f9365659c1eb24ad0c1af744721d62cc,2,2,37,52,121,778282,109,18,6.0,8.0,4,5,0
0x2e1ae8eb8cbf30d2d40dc5f8e1e7afc0394ef8d81119949628a43c3d5bbe7f19,1,0x66d9af69e6845e8666f355676a267a726c04ea4e,0x1f9b4756b008106c806c7e64322d7ed3b72cb284,2021-08-29 15:02:36+00:00,592078,75000000000,28225980,282276,0,270,,84,124,125,0.992,64,258,272,0.9485294117647058,38,225,1455415,2,0x2e1ae8eb8cbf30d2d40dc5f8e1e7afc0394ef8d81119949628a43c3d5bbe7f19,2,2,34,52,122,787673,89,16,6.0,8.0,4,5,0
0xf5a3225fd62ed183af9df48dd9b725727f8975d251165b40972cf54b3198fd70,4,0xce1f4b4f17224ec6df16eeb1e3e5321c54ff6ede,0x203e6e1b54f768db740770c4ac23b70cce1bc67e,2021-08-30 04:23:26+00:00,2284255,120000000000,1411795,1061988,0,86,,43,1,1,1.0,1,88,89,0.9887640449438202,16,70,446059,1,0xf5a3225fd62ed183af9df48dd9b725727f8975d251165b40972cf54b3198fd70,1,1,91,1,0,0,32,22,9.0,12.0,5,8,1
0xcaa3ba523182d1a8e1cb92198b2c8050396052a29aa35c6bb9e31ef3d26b90db,1,0xe5350e927b904fdb4d2af55c566e269bb3df1941,0x228619cca194fbe3ebeb2f835ec1ea5080dafbb2,2021-08-28 18:31:39+00:00,1361900,64603634583,7412671,661173,0,7236,2.0,97,1020,1024,0.99609375,184,6485,7401,0.8762329414943926,318,435,2818413,1,0xcaa3ba523182d1a8e1cb92198b2c8050396052a29aa35c6bb9e31ef3d26b90db,4,4,76,306,204,1316301,564,30,14.0,7.0,3,5,0
0x814f8a2e08f6f60470dfae590967487f84be15199346cffef77d0eacdce8e6d6,1,0xe5350e927b904fdb4d2af55c566e269bb3df1941,0x299e254a8a165bbeb76d9d69305013329eea3a3b,2021-08-30 01:53:44+00:00,1283344,78932114614,8423778,627311,0,7270,2.0,72,254,260,0.9769230769230768,98,6518,7434,0.8767823513586225,320,437,2826872,1,0x814f8a2e08f6f60470dfae590967487f84be15199346cffef77d0eacdce8e6d6,3,3,69,74,161,1032298,566,27,14.0,7.0,4,5,0
