transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus
0x1c010debd0bb3774529cd0c41594fb2505d9bac40202e750f823ca9434b2db88,1,0x568b025b0153ca3f3f59558fdd8aa36129089bef,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:06:56+00:00,185705,309852620344,10308074,185705,88000000000000000,1,2.0,150,37,2079,0.0177970177970177,1,4,4,1.0,3,15,94294,1,0x1c010debd0bb3774529cd0c41594fb2505d9bac40202e750f823ca9434b2db88,1,1,3,1994,0,507,2,4,1.0,1.0,1,2,0
0xd2588a8f656eb40816ac4f62589a02d3a9d1d0fe24cfad019ac67fb3aefbc43b,1,0x816295defae397f92245191537a75dd5932b8a24,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:06:56+00:00,46703,309805575344,11392485,46703,0,83,2.0,160,37,2079,0.0177970177970177,1,105,106,0.990566037735849,20,31,201846,2,0xd2588a8f656eb40816ac4f62589a02d3a9d1d0fe24cfad019ac67fb3aefbc43b,2,1,1,1994,0,507,27,2,,,1,0,0
0x0b6b5dd6abb782278086b5919ad83db939731055722c1378d511e68d4f812ceb,1,0x89055b35364addcfc3bdcd08041438f100e05d62,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:06:56+00:00,200000,309852620344,9915664,185693,88000000000000000,13,2.0,145,37,2079,0.0177970177970177,1,20,20,1.0,5,15,97905,3,0x0b6b5dd6abb782278086b5919ad83db939731055722c1378d511e68d4f812ceb,1,1,3,1994,0,507,6,4,1.0,1.0,1,2,0
0x5f2edd9166d7f42585170ebe8dfb94ae4f05cab742451af6f09b13e56662e1aa,1,0x516b2d7dea7ddc2d2d88150b57d616527802afd5,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:06:56+00:00,185705,309852620344,10679484,185705,88000000000000000,1,2.0,124,37,2079,0.0177970177970177,1,4,4,1.0,2,7,44954,4,0x5f2edd9166d7f42585170ebe8dfb94ae4f05cab742451af6f09b13e56662e1aa,1,1,3,1994,0,507,2,4,1.0,1.0,1,2,0
0xa362bdbc49bef1301c63e56de0b3b2d82cab266510e393aeef06bfc81d1dc721,1,0xb7d6f1be7b6dea2fd7b8c8daff3f16c9b0a71bf0,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:06:56+00:00,46691,309946710344,9172856,46691,0,302,2.0,153,37,2079,0.0177970177970177,1,323,334,0.967065868263473,64,1408,8737371,5,0xa362bdbc49bef1301c63e56de0b3b2d82cab266510e393aeef06bfc81d1dc721,2,1,1,1994,0,507,98,2,,,1,0,0
0xeca0853d0dc8522662b8f9451665eda6bb060b93aa7e4758b105585255d24cde,1,0x71c3d1bde3054827f464211a40765bd81b8fd735,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:06:56+00:00,185705,309946710344,9016462,185705,88000000000000000,129,2.0,135,37,2079,0.0177970177970177,1,157,160,0.98125,45,50,322389,6,0xeca0853d0dc8522662b8f9451665eda6bb060b93aa7e4758b105585255d24cde,1,1,3,1994,0,507,57,4,1.0,1.0,1,2,0
0x0ddcef1764e75eba3324d73edfdb33e196e81cf9ca93d682fb19d9937b6b8fcd,1,0x5ed2028d2905b143fe67844babd12db6edeba2e3,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:06:56+00:00,185705,307742210344,13004339,185705,88000000000000000,137,2.0,143,37,2079,0.0177970177970177,1,165,166,0.9939759036144578,25,24,155807,7,0x0ddcef1764e75eba3324d73edfdb33e196e81cf9ca93d682fb19d9937b6b8fcd,1,1,3,1994,0,507,56,4,1.0,1.0,1,2,0
0x08ccc1fa2c0e6bd83475b1955544e582322f5542740c29d2247d7ed07d401a81,1,0x2e9bec39d3da08f17ed9f0bfaaeff5acd4938383,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:06:56+00:00,185705,309805575344,11050894,185705,88000000000000000,270,2.0,137,37,2079,0.0177970177970177,1,249,303,0.8217821782178217,48,145,930687,8,0x08ccc1fa2c0e6bd83475b1955544e582322f5542740c29d2247d7ed07d401a81,1,1,3,1994,0,507,36,4,1.0,1.0,1,2,0
0x0d508629d56d87ae965dc0e3e1037d32b27f9d9c12046356f3f768dfcc134a8e,1,0xebb1bf432de7629712a3706389ecfe110a3aa6f8,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:06:56+00:00,185705,309946710344,8661438,185705,88000000000000000,120,2.0,146,37,2079,0.0177970177970177,1,141,142,0.9929577464788732,47,247,1596346,9,0x0d508629d56d87ae965dc0e3e1037d32b27f9d9c12046356f3f768dfcc134a8e,1,1,3,1994,0,507,48,4,1.0,1.0,1,2,0
0x791269c07a6b8a5f74fdf9b315272fe4e9ab96f045a183a98a6b140b5b81b2c5,1,0x4ab62d17e2c8f9ca79ad3429da12d495a1055eae,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:06:56+00:00,185705,350000000000,2678935,185705,88000000000000000,313,2.0,156,37,2079,0.0177970177970177,1,319,345,0.9246376811594202,68,122,783996,10,0x791269c07a6b8a5f74fdf9b315272fe4e9ab96f045a183a98a6b140b5b81b2c5,1,1,3,1994,0,507,67,4,1.0,1.0,1,2,0
