transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus
0x7e83bd240d21eece262ce4e3b58ed24e0f1bcf6afd1eb47e4f2b65362b2e47ad,3,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,0x0f0d710911fb37038b3ad88fc43ddad4edbe16a5,2022-04-26 00:43:58+00:00,1561913,40519883873,26060963,1530850,0,6923,2.0,113,28,28,1.0,19,6413,7009,0.9149664716792694,457,545,3515005,1,0x7e83bd240d21eece262ce4e3b58ed24e0f1bcf6afd1eb47e4f2b65362b2e47ad,1,1,700,10,59,374142,627,54,17,12,5,5,0
0xd307d87033a0f758ac9cb6580d0a41bac0f78f8ce6e5ab58098f6ccef3bec85c,3,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,0x0f0d710911fb37038b3ad88fc43ddad4edbe16a5,2022-04-26 22:40:02+00:00,1479847,39059967022,7371995,1450140,0,6950,2.0,103,29,29,1.0,19,6440,7036,0.91529277998863,457,545,3520807,2,0xd307d87033a0f758ac9cb6580d0a41bac0f78f8ce6e5ab58098f6ccef3bec85c,2,1,700,10,59,379944,630,54,17,12,5,5,0
0x1a36f0fd6cfc85926675329370c00c098cbf8caea99bdf62735b99e589c21b50,3,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,0x0f0d710911fb37038b3ad88fc43ddad4edbe16a5,2022-04-27 09:38:44+00:00,1479901,29995670921,10357713,1450193,0,7018,2.0,100,30,30,1.0,20,6508,7104,0.9161036036036035,458,546,3523705,3,0x1a36f0fd6cfc85926675329370c00c098cbf8caea99bdf62735b99e589c21b50,3,2,700,10,60,382842,635,54,17,12,5,5,0
0x85cc65194988074449988d8e194cd1372d2d80e14666e3e8713acf646e474e0f,3,0x01ebce016681d076667bdb823ebe1f76830da6fa,0x0f0d710911fb37038b3ad88fc43ddad4edbe16a5,2022-04-29 09:07:47+00:00,1058861,35671123060,13461802,1035659,0,5897,2.0,51,33,33,1.0,22,5675,6000,0.9458333333333332,229,328,2102993,4,0x85cc65194988074449988d8e194cd1372d2d80e14666e3e8713acf646e474e0f,3,3,430,10,62,395417,377,41,12,12,6,5,0
0xe882e499f55afd948eca26e3dbccd48f614381784e4faa7087ad7a91e0d5afbc,1,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-25 00:50:27+00:00,179540,35997170844,17100649,170140,11000000000000000000,16075,2.0,125,198,198,1.0,71,16138,16139,0.9999380382923352,305,309,1981429,1,0xe882e499f55afd948eca26e3dbccd48f614381784e4faa7087ad7a91e0d5afbc,51,19,33,26,131,843985,369,10,4,5,1,4,0
0xcb22cb779eb1ea758f247798263fd5bbe9e57847ac1953203e71f246470ed691,8,0xe93a9a8f02e3a1c781fe50e36a5ab0189dc8b3db,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-25 03:48:16+00:00,615181,43127048360,6900854,598984,0,845,2.0,122,199,199,1.0,71,896,908,0.986784140969163,215,338,2164820,2,0xcb22cb779eb1ea758f247798263fd5bbe9e57847ac1953203e71f246470ed691,3,3,258,26,131,844767,226,26,7,12,4,5,0
0x212fe9e92dfc859ee460df07bcb82fd410659bcabe05b2080c04dd0ce9de4926,3,0x40c839b831c90173dc7fbce49a25274a4688ddd9,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-25 20:45:36+00:00,243770,64076148692,7427719,233367,20000000000000000000,4815,2.0,119,200,200,1.0,71,4460,4946,0.9017387788111604,395,585,3773348,3,0x212fe9e92dfc859ee460df07bcb82fd410659bcabe05b2080c04dd0ce9de4926,30,27,61,26,131,849236,576,10,5,10,2,4,0
0x275c1ffb6a44f57f93802f212c8e1e4eabd977f8a9e6230b985cb6b1207b7bd8,8,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-25 22:54:00+00:00,1333634,40782925469,19449973,1313790,0,16166,2.0,118,201,201,1.0,71,16229,16230,0.9999383857054835,305,309,1987251,4,0x275c1ffb6a44f57f93802f212c8e1e4eabd977f8a9e6230b985cb6b1207b7bd8,52,19,585,26,131,849807,369,52,17,12,4,5,0
0x89f05397c8dd25b643a5a34baa23750cea94fe9b5729021bfab97ec7979c0b02,8,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-25 22:54:53+00:00,1333709,43503356241,23660305,1306285,0,16167,2.0,117,202,202,1.0,71,16230,16231,0.9999383895015712,305,309,1987255,5,0x89f05397c8dd25b643a5a34baa23750cea94fe9b5729021bfab97ec7979c0b02,53,19,585,26,131,849811,369,52,17,12,4,5,0
0x0a510ba725056b31a1759ee2566564255d5e5f0321bc21611400002c486463ef,3,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-26 00:51:53+00:00,243770,64079844763,7394032,233367,4200000000000000000,6930,2.0,112,203,203,1.0,72,6420,7016,0.9150513112884834,457,545,3515030,6,0x0a510ba725056b31a1759ee2566564255d5e5f0321bc21611400002c486463ef,19,12,61,26,132,850292,628,10,5,10,2,4,0
0x3af8f36abdef65c5cf0cff829f1333d3b282722add993fbb82319c327f9b12a7,1,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-26 00:52:55+00:00,179540,59098981072,5574438,170140,2001953421886612191,6931,2.0,111,204,204,1.0,72,6421,7017,0.9150634174148496,457,545,3515035,7,0x3af8f36abdef65c5cf0cff829f1333d3b282722add993fbb82319c327f9b12a7,20,12,33,26,132,850297,628,10,4,5,1,4,0
0x988abaedf11aa6ae532494ce7fba1143cb39f415c59b8b80688896e4beb61411,3,0x01ebce016681d076667bdb823ebe1f76830da6fa,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-26 08:50:11+00:00,243770,25621303207,8303793,233367,15000000000000000000,5832,2.0,110,205,205,1.0,72,5615,5935,0.9460825610783488,226,325,2083883,8,0x988abaedf11aa6ae532494ce7fba1143cb39f415c59b8b80688896e4beb61411,4,4,61,26,132,852432,374,10,5,10,2,4,0
0x239536a6cad396affad8d4b128d9ca772ef3a3f13b822d50789b1ef023130b71,8,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-26 11:58:08+00:00,1338512,34181259543,20867384,1310940,0,16243,2.0,108,206,206,1.0,72,16307,16308,0.9999386804022564,306,310,1990692,9,0x239536a6cad396affad8d4b128d9ca772ef3a3f13b822d50789b1ef023130b71,54,20,585,26,132,853248,370,52,17,12,4,5,0
0x3b3d52f0281180e8725ddb2a6f5736b33d27894fb4fb6b57bf0690fd291ba05d,1,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-26 21:44:47+00:00,179540,48214836632,18771645,170140,6200000000000000000,16248,2.0,106,207,207,1.0,72,16312,16313,0.9999386991969594,306,310,1993236,10,0x3b3d52f0281180e8725ddb2a6f5736b33d27894fb4fb6b57bf0690fd291ba05d,55,20,33,26,132,855792,370,10,4,5,1,4,0
0x991fd2b240b8fa13d18342d333b81f32435a52d8f09cea4f97caba7fc14f8f80,3,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-27 09:49:19+00:00,243770,26640916244,16350460,233367,13100100461760210922,7029,2.0,99,208,208,1.0,73,6518,7115,0.9160927617709064,458,546,3523761,11,0x991fd2b240b8fa13d18342d333b81f32435a52d8f09cea4f97caba7fc14f8f80,21,13,61,26,133,859023,635,10,5,10,2,4,0
0xbfb42f2928b2c4eb6fa2866bbdca0ff821e25cdaf34a5cd0aebf07caaecae6d0,8,0xc8bbac76980b1769da74ae4a9e759c3e291cb313,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-27 19:37:14+00:00,702029,62807640017,14213438,692053,0,674,2.0,97,209,209,1.0,73,672,685,0.981021897810219,121,211,1354425,12,0xbfb42f2928b2c4eb6fa2866bbdca0ff821e25cdaf34a5cd0aebf07caaecae6d0,1,1,258,27,133,861660,160,26,7,12,4,5,0
0x717ff3cfe8ccc3a6c0b6f498905b38899f84c067c98474253f1a623b45d26cf2,8,0xc8bbac76980b1769da74ae4a9e759c3e291cb313,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-27 19:41:03+00:00,702103,70070644176,4512919,684548,0,675,2.0,96,210,210,1.0,73,673,686,0.9810495626822155,121,211,1354441,13,0x717ff3cfe8ccc3a6c0b6f498905b38899f84c067c98474253f1a623b45d26cf2,2,1,258,27,133,861676,160,26,7,12,4,5,0
0x4dad1e740fa21da0ff425397b49e18b926ef8d1118ce1b77ef8d705e58c16c4c,3,0xa52899a1a8195c3eef30e0b08658705250e154ae,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-27 23:23:47+00:00,295846,30634007409,25891543,284629,1000000000000000000,1785,2.0,95,211,211,1.0,73,1660,1946,0.8530318602261047,301,476,3065361,14,0x4dad1e740fa21da0ff425397b49e18b926ef8d1118ce1b77ef8d705e58c16c4c,1,1,61,28,133,862624,301,10,5,10,2,4,0
0xa03cfd84358daac6340d23f05bfecbe2ad31833c9b36343fe28804e5f090b440,3,0xa52899a1a8195c3eef30e0b08658705250e154ae,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-27 23:26:22+00:00,261142,45136965729,11332524,250467,1000000000000000000,1786,2.0,94,212,212,1.0,73,1661,1947,0.8531073446327683,301,476,3065368,15,0xa03cfd84358daac6340d23f05bfecbe2ad31833c9b36343fe28804e5f090b440,2,1,61,28,133,862631,301,10,5,10,2,4,0
0x850d64d4fac10abfc37b59a03ea4ae68573a6f3928f112aa19d01167b56a00c2,6,0xa52899a1a8195c3eef30e0b08658705250e154ae,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-27 23:34:52+00:00,449319,33291448945,9525775,435714,0,1790,2.0,92,213,213,1.0,73,1665,1951,0.8534085084572014,301,476,3065409,16,0x850d64d4fac10abfc37b59a03ea4ae68573a6f3928f112aa19d01167b56a00c2,3,1,152,28,133,862672,302,20,6,11,5,5,0
0xbbed04edb7768e103372a566b6c118a1530320271423dddf68c06c28be59a12f,3,0x718fcce4e82de60b85c45f70d3ff735fa1461bc2,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-28 19:22:47+00:00,243770,65861605790,6140466,233367,35000000000000000000,80,2.0,89,214,214,1.0,74,85,87,0.9770114942528736,26,193,1237386,17,0xbbed04edb7768e103372a566b6c118a1530320271423dddf68c06c28be59a12f,4,4,61,28,134,867895,36,10,5,10,2,4,0
0x63553f0de707b55cace6b47cda3c5fd1550bc19a94e698f47a63589964338ad5,3,0x40c839b831c90173dc7fbce49a25274a4688ddd9,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-28 19:39:56+00:00,243770,45446472817,8643572,233367,100000000000000000000,4824,2.0,87,215,215,1.0,74,4471,4957,0.9019568287270526,398,588,3792084,18,0x63553f0de707b55cace6b47cda3c5fd1550bc19a94e698f47a63589964338ad5,31,28,61,28,134,867972,577,10,5,10,2,4,0
0xa08690967bfb7587d31501787697ed54d6513e5dccb66bfb31c08b2b46c91b65,1,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-28 22:06:48+00:00,179540,59787569025,3831425,170140,23021339238475782977,16412,2.0,80,216,216,1.0,74,16476,16477,0.9999393093402924,308,312,2006061,19,0xa08690967bfb7587d31501787697ed54d6513e5dccb66bfb31c08b2b46c91b65,56,21,33,28,134,868617,376,10,4,5,1,4,0
0x92f5aa5987b842b910d17c183b688135f78d83babaac5924bb84ecb888d5719d,3,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-28 23:28:02+00:00,243770,41989625092,11494186,233367,5000000000000000000,7166,2.0,77,217,217,1.0,74,6648,7252,0.9167126309983452,459,547,3533731,20,0x92f5aa5987b842b910d17c183b688135f78d83babaac5924bb84ecb888d5719d,22,14,61,28,134,868993,651,10,5,10,2,4,0
0x0d61d1614925b4f9c71563593f5aff0afcabbd806b0140c461d8705b38be79de,3,0x40c839b831c90173dc7fbce49a25274a4688ddd9,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-28 23:55:54+00:00,243770,47941981608,4758222,233367,130000000000000000000,4826,2.0,71,218,218,1.0,74,4472,4960,0.9016129032258065,398,588,3793231,21,0x0d61d1614925b4f9c71563593f5aff0afcabbd806b0140c461d8705b38be79de,32,28,61,28,134,869119,577,10,5,10,2,4,0
