transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus
0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,6,0x8efab89b497b887cdaa2fb08ff71e4b3827774b2,0x10c509aa9ab291c76c45414e7cdbd375e1d5ace8,2021-12-21 14:18:15+00:00,10000000,52770827300,14328034,190098,0,2,2.0,1,2,2,1.0,1,3,3,1.0,1,0,25,1,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,2,1,15,1,0,24,1,5,5.0,4.0,2,1,1
0x20c8d906939c8f08f4300637e1ade267ac47ff01c4e8b34ba098018c27149e92,2,0x78fd06a971d8bd1ccf3ba2e16cd2d5ea451933e2,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-08 03:13:27+00:00,140926,85101348433,11136522,88853,0,301,2.0,125,1567,1603,0.9775421085464752,85,327,329,0.993920972644377,111,485,3132415,1,0x20c8d906939c8f08f4300637e1ade267ac47ff01c4e8b34ba098018c27149e92,2,2,8,911,97,613704,108,7,4.0,3.0,1,3,0
0xe6c04644634c56584adec5ec2068ccc2056d00f833a81461a08286e146800375,2,0xb734ec7a75d65406fde5bcf9156cab673ba1e1c5,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-08 03:14:30+00:00,140926,72578890546,16460610,88853,0,2183,2.0,124,1568,1604,0.9775561097256856,85,2338,2374,0.9848357203032856,397,1264,7923183,2,0xe6c04644634c56584adec5ec2068ccc2056d00f833a81461a08286e146800375,2,2,8,911,97,613706,121,7,4.0,3.0,1,3,0
0xcff9cac2b49ebb211137d7404d81ff9b2d2e8f1606e3ca67e5f8204e5c589a68,2,0xdb952e1b416f8e1cedc0571f46710e0ec18beb52,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-08 03:39:20+00:00,93963,80018124190,17561850,88865,0,44,2.0,123,1569,1605,0.9775700934579438,85,46,46,1.0,32,139,889201,3,0xcff9cac2b49ebb211137d7404d81ff9b2d2e8f1606e3ca67e5f8204e5c589a68,9,8,8,911,97,613830,10,7,4.0,3.0,1,3,0
0x8e0a144519e09dfa522eaf13fc18c88cfd494d9fdfc69cfa1698f622946af3fd,2,0x06e9925d3e8c642371232e7492c3916d6b855aaa,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-08 03:56:34+00:00,166594,76543970673,18054529,105965,0,362,2.0,122,1570,1606,0.9775840597758406,85,325,370,0.8783783783783784,73,290,1862396,4,0x8e0a144519e09dfa522eaf13fc18c88cfd494d9fdfc69cfa1698f622946af3fd,2,2,8,911,97,613901,90,7,4.0,3.0,1,3,0
0xd62818964620a2726f697313a9b526789a0f083aaa503c0bfca2fafb8c64875d,2,0xa862ad3b430bb441c061ae8965c2df56559b3d2e,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-08 03:57:05+00:00,140944,84501037814,16935028,88865,0,272,2.0,121,1571,1607,0.9775980087118856,85,286,299,0.9565217391304348,82,922,5893404,5,0xd62818964620a2726f697313a9b526789a0f083aaa503c0bfca2fafb8c64875d,4,4,8,911,97,613904,49,7,4.0,3.0,1,3,0
0x1ceaad0e485fbbf96a823d09f288b5f892c6e36008aaf3330a804579d9295e67,2,0x367191624fadb341c9206fa0c16f88b64b81b3ed,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-08 03:58:15+00:00,150341,82109441658,13577365,88865,0,155,2.0,120,1572,1608,0.9776119402985076,85,159,167,0.9520958083832334,45,150,953998,6,0x1ceaad0e485fbbf96a823d09f288b5f892c6e36008aaf3330a804579d9295e67,2,2,8,911,97,613907,30,7,4.0,3.0,1,3,0
0x1a59e611dc808ff785e30bec1375b3b97d5a8e34308c936109c88414a4476192,3,0xb2dcab83583e0451ed1a2bc98743997c38e10c47,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-08 04:13:50+00:00,250941,69389447061,6015283,165704,0,57,2.0,119,1573,1609,0.9776258545680548,85,60,61,0.9836065573770492,17,138,881588,7,0x1a59e611dc808ff785e30bec1375b3b97d5a8e34308c936109c88414a4476192,1,1,6,912,97,613981,18,4,4.0,1.0,1,2,0
0x1d1d7314f2c77dded2eb95e8efb9fb33fbb5a78a5daca2d88494e1c0ba41372d,2,0x32b09ebb575d28df0428f79047b613a452c9bce8,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-08 04:14:52+00:00,140944,72789610359,8506764,88865,0,15,2.0,118,1574,1610,0.977639751552795,85,19,19,1.0,4,59,374625,8,0x1d1d7314f2c77dded2eb95e8efb9fb33fbb5a78a5daca2d88494e1c0ba41372d,6,4,8,912,97,613985,5,7,4.0,3.0,1,3,0
0x8abfbac3c38949bf85d508fb2cb828f55a520743e1e610961ef4e7dc5f2ebc7e,2,0xb2dcab83583e0451ed1a2bc98743997c38e10c47,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-08 04:20:02+00:00,140872,102300000000,1229582,93617,0,58,2.0,117,1575,1611,0.9776536312849162,85,61,62,0.9838709677419356,17,138,881611,9,0x8abfbac3c38949bf85d508fb2cb828f55a520743e1e610961ef4e7dc5f2ebc7e,2,1,8,912,97,614004,18,7,4.0,3.0,1,3,0
