transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio
0x4c1d2c914eba684e11d5e278ac1c24c2595b168bd33cf79f24d011db0181dca8,1,0x42dd879f8eb7e9b43036a5b4c97b02c6176d6b99,0x4afb544eb87265cf7fc8fdb843c81d34f7e2a369,2016-06-10 18:49:56+00:00,90000,20000000000,1065168,31140,1e+16,37,,3,1,1,1.0,1,41,42,0.9761904761904762,14,307,1629023,1,0x4c1d2c914eba684e11d5e278ac1c24c2595b168bd33cf79f24d011db0181dca8,1,1,3,1,0,0,13,3,1.0,2.0,2,1,0,-0.08980265101338758,-3.701308187308456,-3.3771349192774527,-5.336534402333018,-0.6228652784750481,-0.6439623295234727,-0.1672164542877993,-1.5736213290150394,-0.9319826595799208,-1.1567034896476123,-0.14212259586360737,-6.236343823728779,-5.301128504415085,-5.301125516289154,-0.16462304124399776,3.3407077285003997,3.243240128346027,-0.22260424454689975,-0.2605949024211186,0.6546536707079772,7.842193570679058,-0.09825105745776061,-1.4981834964895768,-0.03801571391823098,3.3624562604865553,-0.5737527685795237,-0.0,-0.4953185114036665,0.3333333333333333,1.0,1.0,1.0,0.045454545454545456,3.230769230769231,2.5168444418252894e-05,0.023809523809523808,1.0,1.0,1.0
0x3ae5612dd4053e2412fe0fe7910e72f1afae075117a6157260f120e32159c959,1,0x42dd879f8eb7e9b43036a5b4c97b02c6176d6b99,0x4afb544eb87265cf7fc8fdb843c81d34f7e2a369,2016-06-10 18:52:05+00:00,90000,20000000000,153000,90000,1e+16,38,,2,2,2,1.0,1,42,43,0.9767441860465116,14,307,1629032,2,0x3ae5612dd4053e2412fe0fe7910e72f1afae075117a6157260f120e32159c959,2,1,2,1,0,9,13,3,1.0,1.0,1,1,0,-0.08980265101338758,-3.6910858381389122,-3.3686499967635903,-5.336534402333018,-0.6040225486083054,-0.6263369099503537,-0.1672164542877993,-1.5210832237461078,-0.8586213041343981,-1.1567034896476123,-0.3641891519004939,-6.236343823728779,-5.301128504415085,-5.30091790994745,-0.16462304124399776,3.3407077285003997,3.2432651859968957,-0.22260424454689975,-0.2605949024211186,-0.027277236279499077,-0.12751534261266773,-0.09825105745776061,-1.4981834964895768,-0.03801571391823098,-0.27506788437846874,0.5748633707154318,-0.0,-0.4661409365094826,0.5,1.0,2.0,0.2,0.045454545454545456,3.3076923076923075,2.5782166475448933e-05,0.046511627906976744,1.0,2.0,1.0
0x8d8404d056607815c04dd286858da123c6e6aea29a1197e21a803fa67ebedd7c,5,0x42dd879f8eb7e9b43036a5b4c97b02c6176d6b99,0x4afb544eb87265cf7fc8fdb843c81d34f7e2a369,2016-06-10 18:52:47+00:00,314159,20000000000,437921,143853,1e+16,39,,1,3,3,1.0,1,43,44,0.9772727272727273,14,307,1629036,3,0x8d8404d056607815c04dd286858da123c6e6aea29a1197e21a803fa67ebedd7c,3,1,11,1,0,13,13,4,3.0,8.0,2,2,1,11.13552872566005,-3.680863488969368,-3.360165074249728,-5.336534402333018,-0.5851798187415627,-0.6087114903772348,-0.1672164542877993,-1.4685451184771763,-0.7852599486888753,-1.1567034896476123,1.6344098524314845,-6.236343823728779,-5.301128504415085,-5.300825640462248,-0.16462304124399776,3.3407077285003997,3.243276322730615,0.2411545982591414,0.7265070006891791,4.746239112632835,7.842193570679058,0.7789905269865298,1.671433713534924,-0.03801571391823098,0.8611340179893928,1.6257710321060408,-0.0,-0.43696336161529864,0.45454545454545453,1.0,3.0,0.21428571428571427,0.045454545454545456,3.3846153846153846,2.6395962768187585e-05,0.06818181818181818,1.0,3.0,1.0
0xbc76d47884dca8799e26c70b8b2a82955fce1763b175f33da5d857f3629e820f,1,0x9f73bc871764c879fd9e0f524278373fa7875068,0xd654bdd32fc99471455e86c2e7f7d7b6437e9179,2016-05-29 00:22:44+00:00,150000,20000000000,261110,28210,2.5e+19,91,,125,274,289,0.9480968858131488,31,109,110,0.990909090909091,12,124,697158,1,0xbc76d47884dca8799e26c70b8b2a82955fce1763b175f33da5d857f3629e820f,18,4,1,46,33,197404,10,2,0.0,0.0,1,0,0,-0.08980265101338758,-0.9106068640229706,-0.9334772352850847,-0.7945452945824918,0.6584403524634586,0.5545662014486135,-0.3003505739436904,-1.5736213290150394,0.3151603829939656,0.11907241805195999,-0.5862557079373804,-0.10679044115418827,-0.6946075268055998,-0.7475341520909894,-0.38123230603873176,0.6333213014669327,0.6487570364735449,-0.6863630873529409,-0.7541458539762674,-0.7092081432669753,-0.12751534261266773,-0.9754926419020511,-0.6497811008620532,-0.03801571391823098,0.15605087368074597,-0.6309298886633534,-0.0,1.0802705328822662,1.0,0.9117647058823529,6.282608695652174,0.0013880094222537423,0.096,11.0,0.00015634883864369534,0.16363636363636364,0.06228373702422145,4.5,0.12903225806451613
0xfc3fcd0051e30bbdb1c646382c6e33c420689ea990b743794abcde2b34b541f8,1,0x9f73bc871764c879fd9e0f524278373fa7875068,0xd654bdd32fc99471455e86c2e7f7d7b6437e9179,2016-05-29 00:23:20+00:00,150000,20000000000,237845,45523,0.0,92,,124,275,290,0.9482758620689655,31,110,111,0.990990990990991,12,124,697160,2,0xfc3fcd0051e30bbdb1c646382c6e33c420689ea990b743794abcde2b34b541f8,19,4,1,46,33,197406,10,2,0.0,0.0,1,0,0,-0.08980265101338758,-0.9003845148534267,-0.9249923127712224,-0.7945452945824918,0.6772830823302013,0.5721916210217324,-0.3003505739436904,-1.5210832237461078,0.38852173843948834,0.11907241805195999,-0.5862557079373804,-0.10679044115418827,-0.6946075268055998,-0.7474880173483885,-0.38123230603873176,0.6333213014669327,0.6487626048404047,-0.6863630873529409,-0.7541458539762674,-0.7092081432669753,-0.12751534261266773,-0.9754926419020511,-0.6497811008620532,-0.03801571391823098,0.0632752016222164,-0.2930775064069218,-0.0,1.1094481077764502,1.0,0.9117647058823529,6.304347826086956,0.0013930610363360975,0.096,11.1,0.0001577827790137429,0.17117117117117117,0.06551724137931035,4.75,0.12903225806451613
0x525eac14925b08cb79b3f90ebc70b7c5a7dcc421df93d6eb82dad5376c9051d2,1,0x9f73bc871764c879fd9e0f524278373fa7875068,0xd654bdd32fc99471455e86c2e7f7d7b6437e9179,2016-05-29 00:48:32+00:00,150000,20000000000,547052,30523,0.0,96,,120,276,291,0.9484536082474226,31,114,115,0.991304347826087,12,124,697277,3,0x525eac14925b08cb79b3f90ebc70b7c5a7dcc421df93d6eb82dad5376c9051d2,20,4,1,46,33,197523,10,2,0.0,0.0,1,0,0,-0.08980265101338758,-0.8901621656838828,-0.9165073902573599,-0.7945452945824918,0.7526540017971722,0.642693299314208,-0.3003505739436904,-1.4685451184771763,0.46188309388501103,0.11907241805195999,-0.5862557079373804,-0.10679044115418827,-0.6946075268055998,-0.7447891349062334,-0.38123230603873176,0.6333213014669327,0.649088354301699,-0.6863630873529409,-0.7541458539762674,-0.7092081432669753,-0.12751534261266773,-0.9754926419020511,-0.6497811008620532,-0.03801571391823098,1.296324298127772,-0.5857931382354018,-0.0,1.226158407353186,1.0,0.9117647058823529,6.326086956521739,0.0013972985561248254,0.096,11.5,0.00016349289666388442,0.17391304347826086,0.06872852233676977,5.0,0.12903225806451613
0x2b03898bb4734901416c6a549629f9e2d59fad166ba9acb8faece67927f13681,1,0x9f73bc871764c879fd9e0f524278373fa7875068,0xd654bdd32fc99471455e86c2e7f7d7b6437e9179,2016-05-29 00:54:23+00:00,150000,20000000000,15075,15075,0.0,100,,116,277,292,0.9486301369863014,31,118,119,0.9915966386554622,12,124,697299,4,0x2b03898bb4734901416c6a549629f9e2d59fad166ba9acb8faece67927f13681,21,4,1,46,33,197545,10,2,0.0,0.0,1,0,0,-0.08980265101338758,-0.879939816514339,-0.9080224677434976,-0.7945452945824918,0.8280249212641433,0.7131949776066837,-0.3003505739436904,-1.4160070132082445,0.5352444493305337,0.11907241805195999,-0.5862557079373804,-0.10679044115418827,-0.6946075268055998,-0.744281652737623,-0.38123230603873176,0.6333213014669327,0.6491496063371561,-0.6863630873529409,-0.7541458539762674,-0.7092081432669753,-0.12751534261266773,-0.9754926419020511,-0.6497811008620532,-0.03801571391823098,-0.8250822651509893,-0.8872512102678257,-0.0,1.3428687069299217,1.0,0.9117647058823529,6.3478260869565215,0.0014022050560375812,0.096,11.9,0.0001692241502939911,0.17647058823529413,0.07191780821917808,5.25,0.12903225806451613
0x8312d8cc934381d32ed7fd0097814985eff65aa6dc134b12716e3b0b831184d1,1,0x9f73bc871764c879fd9e0f524278373fa7875068,0xd654bdd32fc99471455e86c2e7f7d7b6437e9179,2016-05-29 00:54:54+00:00,150000,20000000000,98461,35747,0.0,101,,115,278,293,0.9488054607508533,31,119,120,0.9916666666666667,12,124,697300,5,0x8312d8cc934381d32ed7fd0097814985eff65aa6dc134b12716e3b0b831184d1,22,4,2,46,33,197546,10,2,1.0,1.0,1,1,0,-0.08980265101338758,-0.869717467344795,-0.8995375452296352,-0.7945452945824918,0.846867651130886,0.7308203971798026,-0.3003505739436904,-1.363468907939313,0.6086058047760565,0.11907241805195999,-0.3641891519004939,-0.10679044115418827,-0.6946075268055998,-0.7442585853663226,-0.38123230603873176,0.6333213014669327,0.6491523905205859,-0.6863630873529409,-0.2605949024211186,-0.027277236279499077,-0.12751534261266773,-0.09825105745776061,-0.6497811008620532,-0.03801571391823098,-0.4925573483114214,-0.48385004085726985,-0.0,1.3720462818241055,0.5,0.9117647058823529,6.369565217391305,0.0014072600444451195,0.096,12.0,0.00017065800852142761,0.18333333333333332,0.07508532423208192,5.5,0.12903225806451613
0xc0a166a5f4782ce82f1309286d35507abce519badecf0d6316eecc536eca2f7f,1,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0xd654bdd32fc99471455e86c2e7f7d7b6437e9179,2016-05-29 08:37:24+00:00,150000,20000000000,43210,43210,3.99e+20,154,,114,279,294,0.9489795918367347,31,116,179,0.6480446927374302,23,244,1303070,6,0xc0a166a5f4782ce82f1309286d35507abce519badecf0d6316eecc536eca2f7f,6,3,1,46,33,199470,42,2,0.0,0.0,1,0,0,-0.08980265101338758,-0.8594951181752511,-0.8910526227157728,-0.7945452945824918,0.7903394615306577,1.7707201519938185,0.4318870841637108,-1.3109308026703814,-0.5651758823523071,-0.3061862178478974,-0.5862557079373804,-0.10679044115418827,-0.6946075268055998,-0.6998769629842164,1.9292665184384306,2.4086566634560915,2.3357271868307743,-0.6863630873529409,-0.7541458539762674,-0.7092081432669753,-0.12751534261266773,-0.9754926419020511,-0.6497811008620532,-0.03801571391823098,-0.7128861106972291,-0.33821425683487344,0.0,2.9184577512158545,1.0,0.9117647058823529,6.391304347826087,0.0013986995603370916,0.09387755102040816,4.261904761904762,8.902047547677755e-05,0.0335195530726257,0.02040816326530612,2.0,0.0967741935483871
0x13052019b92e532f19322f6d13d95f981ddda396f4c4939423ebd14a5b112f2b,1,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0xd654bdd32fc99471455e86c2e7f7d7b6437e9179,2016-05-29 08:38:31+00:00,150000,20000000000,45523,45523,0.0,155,,113,280,295,0.9491525423728814,31,117,180,0.65,23,244,1303078,7,0x13052019b92e532f19322f6d13d95f981ddda396f4c4939423ebd14a5b112f2b,7,3,1,46,33,199478,42,2,0.0,0.0,1,0,0,-0.08980265101338758,-0.8492727690057073,-0.8825677002019104,-0.7945452945824918,0.8091821913974004,1.7883455715669374,0.4318870841637108,-1.2583926974014499,-0.4918145269067844,-0.3061862178478974,-0.5862557079373804,-0.10679044115418827,-0.6946075268055998,-0.6996924240138127,1.9292665184384306,2.4086566634560915,2.335749460298213,-0.6863630873529409,-0.7541458539762674,-0.7092081432669753,-0.12751534261266773,-0.9754926419020511,-0.6497811008620532,-0.03801571391823098,-0.703662378504176,-0.2930775064069218,-0.0,2.947635326110038,1.0,0.9117647058823529,6.413043478260869,0.0014036565252482718,0.09387755102040816,4.285714285714286,8.978734213351608e-05,0.03888888888888889,0.023728813559322035,2.3333333333333335,0.0967741935483871
