transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus
0xd4fafa1261f6e4f9c8543228a67caf9d02811e4ad3058a2714323964a8db61f6,12,0x0348d20b74ddc0ac9bfc3626e06d30bb6fac213b,0xed42cb11b9d03c807ed1ba9c2ed1d3ba5bf37340,2022-12-29 05:02:23+00:00,622123,20000000000,587426,368666,0,1,0,1,1,1,1.0,1,2,2,1.0,1,0,14,1,0xd4fafa1261f6e4f9c8543228a67caf9d02811e4ad3058a2714323964a8db61f6,1,1,38,1,0,0,1,7,10.0,6.0,4,4,1
0xae24e9f5781d0b14580f5ca562e00966dad7c4bfda26c217cd22105bdf1ed559,1,0x853c6b9a02bb87fad5625485d6835692a8230773,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-19 20:39:59+00:00,138992,16614471013,9260473,129392,1618123000000000,2335,2,180,716,728,0.9835164835164834,102,2378,2516,0.9451510333863276,441,854,5540916,1,0xae24e9f5781d0b14580f5ca562e00966dad7c4bfda26c217cd22105bdf1ed559,9,1,3,211,153,1051461,430,4,1.0,1.0,1,2,0
0xdb0c1b1cf4dae826a5c87f6e003a6ae3aff86b8537017b5681897e01080bc997,1,0xb63a5c5710f06e111fa14ac82da2183c5102b504,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-19 21:10:59+00:00,330839,16814084147,4405519,326039,17799352800000000,2251,2,179,717,729,0.9835390946502056,102,2271,2331,0.9742599742599742,397,679,4407481,2,0xdb0c1b1cf4dae826a5c87f6e003a6ae3aff86b8537017b5681897e01080bc997,4,2,24,211,153,1051613,436,5,11.0,2.0,1,2,0
0x12571ca706aa0c7ad01d93f821d5e841d058cee31b3703e6f0600b486acd5733,1,0xb63a5c5710f06e111fa14ac82da2183c5102b504,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-19 21:15:23+00:00,403356,17148282491,19540471,360156,6472492000000000,2253,2,178,718,730,0.9835616438356164,102,2273,2333,0.9742820402914703,397,679,4407501,3,0x12571ca706aa0c7ad01d93f821d5e841d058cee31b3703e6f0600b486acd5733,5,2,6,211,153,1051633,436,4,4.0,1.0,1,2,0
0xc6d701f6b5538fa4ce95cef3471f90ebc1ff4cc054727db619ca260235dacebd,2,0x9ba8812c1801edd55e6c86b07abb6ea439df2c68,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-19 22:05:47+00:00,113157,26010744148,22348037,108357,1618123000000000,24,2,177,719,731,0.9835841313269492,102,24,28,0.8571428571428571,19,847,5495684,4,0xc6d701f6b5538fa4ce95cef3471f90ebc1ff4cc054727db619ca260235dacebd,2,2,5,211,153,1051884,12,5,1.0,2.0,2,2,0
0x1db2c3859c336e0018c87fb8e9f52b94d4bddaf1d8bf9b9877c6b434e763f41c,1,0xb63a5c5710f06e111fa14ac82da2183c5102b504,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-20 00:33:47+00:00,324654,14637535662,2865401,295854,6472492000000000,2259,2,176,720,732,0.9836065573770492,103,2279,2339,0.9743480119709278,398,680,4408487,5,0x1db2c3859c336e0018c87fb8e9f52b94d4bddaf1d8bf9b9877c6b434e763f41c,6,3,10,211,154,1052619,437,5,4.0,2.0,1,2,0
0xdb2e6d9ab22105c4d6b1b98394247d17dbaa3e040c6634ad48e5b140bd1a498d,1,0xb63a5c5710f06e111fa14ac82da2183c5102b504,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-20 01:12:59+00:00,162300,12324769632,12290723,157500,6472492000000000,2261,2,175,721,733,0.9836289222373806,103,2281,2341,0.9743699273814608,398,680,4408682,6,0xdb2e6d9ab22105c4d6b1b98394247d17dbaa3e040c6634ad48e5b140bd1a498d,7,3,6,211,154,1052814,437,4,4.0,1.0,1,2,0
0xf6cd1cb5d5c32b0c03986a71492ce7d7c700232f0e3572b410de939ca4d7796b,1,0x614b4ad8e86f46c1b23b7bb927661eb3339022d3,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-20 03:42:11+00:00,503074,13493884088,10548767,461874,16181229800000000,496,2,174,722,734,0.983651226158038,103,569,582,0.9776632302405498,152,415,2701022,7,0xf6cd1cb5d5c32b0c03986a71492ce7d7c700232f0e3572b410de939ca4d7796b,2,2,12,211,154,1053557,168,8,10.0,1.0,1,6,0
0x57aec80d9b2f0595a8c3845823be51b0c64759229ee73c768f6560b30ddcfe77,3,0xf98aa0c02e598ab2f49953c8857ce64dcb64ce99,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-20 17:10:47+00:00,1495665,16417732701,22377651,1385265,59870550200000000,219,2,173,723,735,0.9836734693877552,103,258,275,0.9381818181818182,67,475,3085315,8,0x57aec80d9b2f0595a8c3845823be51b0c64759229ee73c768f6560b30ddcfe77,1,1,43,212,154,1057584,64,12,37.0,2.0,2,9,0
0x9fb52f663bc53d6d45c54521207e06a9ed6b68a964074010eaa2b0cf5dbddc67,1,0xaa5fb47246678d9d17d4c83cbd2680872d2fdc3b,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-20 17:26:11+00:00,157994,17101128291,6908761,148394,3236246000000000,6,2,172,724,736,0.983695652173913,103,9,9,1.0,3,373,2439865,9,0x9fb52f663bc53d6d45c54521207e06a9ed6b68a964074010eaa2b0cf5dbddc67,1,1,4,213,154,1057659,4,5,2.0,1.0,1,3,0
