transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus
0x825cf4dc4c7016bb9f87203a3dfca3981fa505b74a16deccae2d9db0d286c22f,1,0xd85fb9e990360cc65500ad0a77df4574bf4dfce6,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 14:36:22+00:00,179377,26780000000,10980440,104585,0,35,,190,15274,19650,0.7773027989821883,30,30,37,0.8108108108108107,8,8,48972,1,0x825cf4dc4c7016bb9f87203a3dfca3981fa505b74a16deccae2d9db0d286c22f,2,1,3,1926,29,186069,15,3,1.0,1.0,1,1,0
0xad2d0e5c102bd7fc57f4cdff315a2bc0b3632e052fa709b714407894ff47e332,1,0xd85fb9e990360cc65500ad0a77df4574bf4dfce6,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 14:36:42+00:00,219336,26780000000,12783733,146224,0,36,,189,15275,19651,0.7773141315963564,30,31,38,0.8157894736842105,8,8,48974,2,0xad2d0e5c102bd7fc57f4cdff315a2bc0b3632e052fa709b714407894ff47e332,3,1,3,1926,29,186071,15,3,1.0,1.0,1,1,0
0x3375611ee1950e07530a1c05ff024146ed611620ba19554962a6b8051e090cc6,1,0xb222ca7875f4bb697c43f54c31d719f20ed51c5f,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 14:47:25+00:00,126471,26000000000,10986404,84314,0,154,,188,15276,19652,0.7773254630571951,30,170,172,0.9883720930232556,24,55,352319,3,0x3375611ee1950e07530a1c05ff024146ed611620ba19554962a6b8051e090cc6,5,4,4,1926,29,186127,29,4,2.0,1.0,1,2,0
0x7cf0c0f0f63b4a63b8765c97c9a89a2157313e0023d6cae350a52b96532437b1,1,0xb222ca7875f4bb697c43f54c31d719f20ed51c5f,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 14:56:20+00:00,88216,24000000000,8892518,58811,0,157,,187,15277,19653,0.7773367933648807,30,172,175,0.9828571428571428,24,55,352363,4,0x7cf0c0f0f63b4a63b8765c97c9a89a2157313e0023d6cae350a52b96532437b1,6,4,2,1926,29,186171,30,3,0.0,1.0,1,1,0
0xc95c8673709fe3cea7b09d6ad8535e03117a5ecd48368751566c0d0e4d76783e,1,0xc68b898a5f8cde45fcfebc0740fd3ef7d34ea794,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 14:59:56+00:00,212338,28000000000,2822022,141559,0,1,,186,15278,19654,0.7773481225195888,30,3,3,1.0,1,0,11,5,0xc95c8673709fe3cea7b09d6ad8535e03117a5ecd48368751566c0d0e4d76783e,1,1,3,1927,29,186185,2,3,1.0,1.0,1,1,0
0xc3ee41c2a6215238591f4392cfbb05c398b4a7555217a66c1112560ed27a640b,1,0x54fd29da575a43bb151e51eada2fe22d6c481072,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 15:17:46+00:00,138159,35000000000,5818960,92106,0,101,,185,15279,19655,0.7773594505214958,30,131,132,0.9924242424242424,56,183,1183805,6,0xc3ee41c2a6215238591f4392cfbb05c398b4a7555217a66c1112560ed27a640b,20,12,4,1927,29,186260,25,4,2.0,1.0,1,2,0
0x2bc42cabd42de18ba2fa75a80d61615015c0c6a048d4d3795b395389ba81f5d5,1,0x9ab395b049105b5ac305d961b3a059e12273b3dc,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 15:23:11+00:00,126471,31460000000,14169432,84314,0,370,,184,15280,19656,0.7773707773707774,30,321,378,0.8492063492063491,47,126,814770,7,0x2bc42cabd42de18ba2fa75a80d61615015c0c6a048d4d3795b395389ba81f5d5,215,25,4,1927,29,186283,23,4,2.0,1.0,1,2,0
0x911191c4e668638f2f352f6c0cf30f77eea025bc84d45d531cbcb1c5c6278b05,1,0x9ab395b049105b5ac305d961b3a059e12273b3dc,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 15:24:19+00:00,190677,33000000000,14029569,127118,0,371,,183,15281,19657,0.7773821030676094,30,322,379,0.8496042216358838,47,126,814776,8,0x911191c4e668638f2f352f6c0cf30f77eea025bc84d45d531cbcb1c5c6278b05,216,25,5,1927,29,186289,23,4,3.0,1.0,1,2,0
0x4d2e5721a482445634b7965c66a7057a347638112f8331526e1078080f82c7f0,1,0xb222ca7875f4bb697c43f54c31d719f20ed51c5f,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 15:32:56+00:00,219354,29000000000,10168264,146236,0,159,,181,15282,19659,0.7773538837173813,30,174,178,0.9775280898876404,24,55,352525,9,0x4d2e5721a482445634b7965c66a7057a347638112f8331526e1078080f82c7f0,8,4,3,1927,29,186333,30,3,1.0,1.0,1,1,0
0x0174539aa65ccbf264adb1bc5566376ca4896ffca7e6ffda3fbf402c8e385a9d,1,0xb222ca7875f4bb697c43f54c31d719f20ed51c5f,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 15:32:56+00:00,219354,34000000000,10227807,59543,0,160,,182,15282,19659,0.7773538837173813,30,174,178,0.9775280898876404,24,55,352525,10,0x0174539aa65ccbf264adb1bc5566376ca4896ffca7e6ffda3fbf402c8e385a9d,8,4,2,1927,29,186333,30,3,0.0,1.0,1,1,0
