index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
850,0xee4f70cb5fcca2021c0fe418b51452d5c1107886d51f8e2691dd47ac4015e1c2,1,0x4b655cd80246c86cdcf97f91f9cf1f6348049eda,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:59:11+00:00,231254,12592409833,16497890,231254,3.4e+16,46,2,43,2021-10-03T00:00:00,647484,6889448,0.09398198520403957,115,62,63,0.9841269841269841,31,1,0xee4f70cb5fcca2021c0fe418b51452d5c1107886d51f8e2691dd47ac4015e1c2,11,4,8,629767,114,724494,18,267,1701713,8,5.0,3.0,1,4,-0.142857142857143,0.23532257501476356,0.2524411551393959,-0.10014924668846187,-0.523218378504216,-0.5051910943007448,-0.49624306530646545,-1.522772052466737,-0.5326891254503303,-0.7045128020989812,-0.06305558170077177,0.25181291837494174,-0.12298137140452056,-0.12505726815545454,-0.4334144517561128,0.47427784175991805,0.47480830639623195,0.06706527510148434,-0.101575235003705,0.6172133998483675,-0.20412414523193168,0.2263950604132464,-0.02643212329111614,0.5277580462150154,0.7740093867807241,0.07060988230102709,-0.116938226,-0.5146656130605806,0.125,1.0,10.939677690320389,0.8937038902959993,0.11567164179104478,3.5,3.643385433745036e-05,0.1746031746031746,1.5966446078118305e-06,2.75,0.034782608695652174,0
846,0xc7c7e475a7df1fc358ceafbe0503d31abd84a050e543e714d53486a788917d97,1,0xb890dc99fefb030440f164a76aec5f648bdb8813,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:59:11+00:00,188166,12592409833,12881395,175595,4000000000000000.0,93,2,44,2021-10-03T00:00:00,647484,6889448,0.09398198520403957,115,116,119,0.9747899159663865,39,2,0xc7c7e475a7df1fc358ceafbe0503d31abd84a050e543e714d53486a788917d97,29,12,8,629767,114,724494,33,216,1370602,9,7.0,2.0,1,6,-0.142857142857143,0.23532257501476356,0.2524411551393959,-0.10014924668846187,-0.439414046656237,-0.42522416208060315,-0.3896387548217253,-1.4524036581752982,-0.3840777761306473,-0.2919137964773231,-0.06305558170077177,0.25181291837494174,-0.12298137140452056,-0.12505726815545454,-0.3424374467695232,0.0663829019663967,0.057391349070955666,0.29061619210643225,0.43303126501579514,-0.15430334996209205,-0.20412414523193168,1.2107214100360568,-0.15171536217229878,0.5277580462150154,0.21278238164683524,-0.1185488558463534,-0.30652544,-0.4459499610696503,0.125,1.0,10.939677690320389,0.8937038902959993,0.17972350230414746,3.606060606060606,8.463428140752646e-05,0.24369747899159663,4.20933578423119e-06,2.4166666666666665,0.10434782608695652,0
847,0xfed90791d299721144229e3e0b7ee0e974cd2189fbf88f8b54630e9fb981b951,1,0x5b437f4c74492a9e08d9c6f26e13e81fa0668117,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:59:11+00:00,156394,12592409833,14522526,146623,7000000000000000.0,21,2,41,2021-10-03T00:00:00,647484,6889448,0.09398198520403957,115,23,23,1.0,8,3,0xfed90791d299721144229e3e0b7ee0e974cd2189fbf88f8b54630e9fb981b951,10,4,8,629767,114,724494,12,27,184072,9,6.0,3.0,1,5,-0.142857142857143,0.23532257501476356,0.2524411551393959,-0.10014924668846187,-0.5837437292833121,-0.562310331600846,-0.8027304579500935,-1.3820352638838593,-0.540945311523646,-0.7045128020989812,-0.06305558170077177,0.25181291837494174,-0.12298137140452056,-0.12505726815545454,-0.46980525375074866,-1.4452277572684176,-1.4384144150841465,0.29061619210643225,0.16572801500604506,0.6172133998483675,-0.20412414523193168,0.7185582352246516,-0.2440960497357256,0.5277580462150154,0.46746185339016244,-0.21701104455987516,-0.28756672,-0.5512164917791605,0.125,1.0,10.939677690320389,0.8937038902959993,0.2857142857142857,1.9166666666666667,0.00012495042727613502,0.43478260869565216,1.451495098010755e-06,2.5,0.034782608695652174,0
848,0x5b69e7a9dc5fadfba23f33a805812a2c776e653fe6ee92c210a8a9442934aecf,1,0x748c546c3829c9d98138be79323335cb44dec403,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:59:11+00:00,235680,12592409833,13592789,235680,3.4e+16,44,2,40,2021-10-03T00:00:00,647484,6889448,0.09398198520403957,115,47,47,1.0,11,4,0x5b69e7a9dc5fadfba23f33a805812a2c776e653fe6ee92c210a8a9442934aecf,27,8,8,629767,114,724494,18,41,271580,8,5.0,3.0,1,4,-0.142857142857143,0.23532257501476356,0.2524411551393959,-0.10014924668846187,-0.5464973595730992,-0.5280387892207853,-0.7627538415183159,-1.3116668695924205,-0.40059014827727873,-0.4982132992881521,-0.06305558170077177,0.25181291837494174,-0.12298137140452056,-0.12505726815545454,-0.4334144517561128,-1.333256597325098,-1.3280969593015834,0.06706527510148434,-0.101575235003705,0.6172133998483675,-0.20412414523193168,0.2263950604132464,-0.01356302713236859,0.5277580462150154,0.3231803012043675,0.08565177265191923,-0.116938226,-0.517589683358067,0.125,1.0,10.939677690320389,0.8937038902959993,0.2619047619047619,2.611111111111111,0.00017306070748690077,0.574468085106383,3.919036764629039e-06,3.375,0.06956521739130435,0
849,0xe614838b4e6c8349d2d94a17306205dd589c7d9e91ac6bd77fe6a34012ddf4e3,1,0x2d1abb3a4725142cabee6e2464e39230c5f2df1a,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:59:11+00:00,231254,12592409833,14847240,231254,3.4e+16,20,2,48,2021-10-03T00:00:00,647484,6889448,0.09398198520403957,115,22,24,0.9166666666666666,12,5,0xe614838b4e6c8349d2d94a17306205dd589c7d9e91ac6bd77fe6a34012ddf4e3,6,2,8,629767,114,724494,9,59,388035,8,5.0,3.0,1,4,-0.142857142857143,0.23532257501476356,0.2524411551393959,-0.10014924668846187,-0.585295661354571,-0.5608823506683435,-0.7494283027077234,-1.2412984753009815,-0.5739700558169089,-0.8076625535043956,-0.06305558170077177,0.25181291837494174,-0.12298137140452056,-0.12505726815545454,-0.4880006547480666,-1.189293677397973,-1.181287304033969,0.06706527510148434,-0.101575235003705,0.6172133998483675,-0.20412414523193168,0.2263950604132464,-0.02643212329111614,0.5277580462150154,0.517852705788699,0.07060988230102709,-0.116938226,-0.5526785269279038,0.125,1.0,10.939677690320389,0.8937038902959993,0.2,2.6666666666666665,5.6695770495521035e-05,0.25,8.70897058806453e-07,3.0,0.017391304347826087,0
857,0xc8c952f8be55cc3a0f471f2f8070b0e7e076c91a383c0e87aacc4af7a0345263,1,0xf027828a6d9a0618a2f419ab71db39cf2295f027,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:59:11+00:00,166110,12092409833,20430157,161139,1.17e+17,470,2,50,2021-10-03T00:00:00,647484,6889448,0.09398198520403957,115,558,567,0.9841269841269841,146,6,0xc8c952f8be55cc3a0f471f2f8070b0e7e076c91a383c0e87aacc4af7a0345263,2,2,8,629767,114,724494,92,365,2327481,9,6.0,2.0,1,5,-0.142857142857143,0.23532257501476356,0.2524411551393959,-0.10014924668846187,0.2465399288401844,0.21451129568053,1.0361938979116747,-1.1709300810095427,-0.6069948001101718,-0.8076625535043956,-0.06305558170077177,0.25181291837494174,-0.12298137140452056,-0.12505726815545454,0.015405439511062545,1.2580759613631551,1.2636862794974684,0.29061619210643225,0.16572801500604506,-0.15430334996209205,-0.20412414523193168,0.7185582352246516,-0.21584567958697023,-0.3142676669945851,1.384239577005464,-0.16767799432635722,0.40758643,0.10523729000653544,0.125,1.0,10.939677690320389,0.8937038902959993,0.3989071038251366,6.163043478260869,0.00023974406676399644,0.003527336860670194,2.90299019602151e-07,1.0,0.017391304347826087,0
851,0x31b9878d660d86dfdae2601509fc57e4661806228e2e66b9d056796f45420438,1,0xb8d094c584e9e4051f78742cf7cf982c4cb69f2c,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:59:11+00:00,204123,12592409833,16002924,199203,0.0,29,2,49,2021-10-03T00:00:00,647484,6889448,0.09398198520403957,115,42,43,0.9767441860465116,9,7,0x31b9878d660d86dfdae2601509fc57e4661806228e2e66b9d056796f45420438,4,1,7,629767,114,724494,18,346,2206224,6,5.0,2.0,1,2,-0.142857142857143,0.23532257501476356,0.2524411551393959,-0.10014924668846187,-0.5542570199293935,-0.5337507129507955,-0.789404919139501,-1.1005616867181038,-0.5904824279635403,-0.8592374292071029,-0.15578437831955383,0.25181291837494174,-0.12298137140452056,-0.12505726815545454,-0.4334144517561128,1.1061151014400785,1.1108229557347693,-0.38003655890841154,-0.101575235003705,-0.15430334996209205,-0.20412414523193168,-0.7579312892095641,-0.10531857785121097,0.5277580462150154,0.6971979199259101,-0.03831637789699466,-0.33180374,-0.539520210589215,0.14285714285714285,1.0,10.939677690320389,0.8937038902959993,0.025936599423631124,2.388888888888889,1.9037042912667564e-05,0.09302325581395349,5.80598039204302e-07,4.0,0.008695652173913044,0
852,0xe350f1f6d3928814f2bf57064916ee8008c97c9227190d6f159044ffc0eae489,1,0x08b0a6f7c41ad4904b8ef2d1d1403084c112e8d1,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:59:11+00:00,236581,12592409833,12088348,236581,3.4e+16,696,2,46,2021-10-03T00:00:00,647484,6889448,0.09398198520403957,115,465,469,0.9914712153518124,167,8,0xe350f1f6d3928814f2bf57064916ee8008c97c9227190d6f159044ffc0eae489,24,11,8,629767,114,724494,162,365,2327119,8,5.0,3.0,1,4,-0.142857142857143,0.23532257501476356,0.2524411551393959,-0.10014924668846187,0.10221024621310933,0.07456916429528213,1.3160302129341175,-1.030193292426665,-0.4253587064972259,-0.3434886721800303,-0.06305558170077177,0.25181291837494174,-0.12298137140452056,-0.12505726815545454,0.4399647961151474,1.2580759613631551,1.26322992214736,0.06706527510148434,-0.101575235003705,0.6172133998483675,-0.20412414523193168,0.2263950604132464,-0.010943267611575202,0.5277580462150154,0.08971311354597652,0.08871384748385638,-0.116938226,0.4356572336224982,0.125,1.0,10.939677690320389,0.8937038902959993,0.4562841530054645,2.8950617283950617,0.00019981780054316065,0.0511727078891258,3.483588235225812e-06,2.1818181818181817,0.09565217391304348,0
859,0xae45e0514eafea8815a0d604f94191b84544f33973b15a3f97d313ca0e6b03f2,1,0x013d3ad09367d89ca9d363ff93e5abe8153ec889,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:59:11+00:00,163098,13092409833,4864009,158178,5.899999e+16,192,2,42,2021-10-03T00:00:00,647484,6889448,0.09398198520403957,115,207,216,0.9583333333333334,36,9,0xae45e0514eafea8815a0d604f94191b84544f33973b15a3f97d313ca0e6b03f2,93,18,7,629767,114,724494,32,255,1622414,8,6.0,2.0,1,5,-0.142857142857143,0.23532257501476356,0.2524411551393959,-0.10014924668846187,-0.2981882281716796,-0.2867100116278578,-0.42961537125350285,-0.9598248981352261,0.14431813256155884,0.01753545773892046,-0.15578437831955383,0.25181291837494174,-0.12298137140452056,-0.12505726815545454,-0.34850258043529586,0.37830256180850125,0.3748395729535584,0.06706527510148434,0.16572801500604506,-0.15430334996209205,-0.20412414523193168,0.7185582352246516,-0.22460341063761363,1.369783759424616,-1.0313983883479714,-0.17774103936227942,0.04105106,-0.3012084813440737,0.14285714285714285,1.0,10.939677690320389,0.8937038902959993,0.140625,6.75,0.0001275875777775723,0.4305555555555556,1.3498904411500022e-05,5.166666666666667,0.1565217391304348,0
856,0x11f1fe167874e920f4160dde062e642d6dc5da0f458bf6e2c321c43f7d460a15,1,0x9b6f3b09b5a636ed8f52cc2858d307205cc97ed4,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:59:11+00:00,29993,12592409833,14877233,29993,0.0,608,2,37,2021-10-03T00:00:00,647484,6889448,0.09398198520403957,115,629,635,0.9905511811023622,178,10,0x11f1fe167874e920f4160dde062e642d6dc5da0f458bf6e2c321c43f7d460a15,114,40,1,629767,114,724494,184,281,1788518,2,1.0,0.0,1,0,-0.142857142857143,0.23532257501476356,0.2524411551393959,-0.10014924668846187,0.35672710589956436,0.31161399909070203,1.4626111398506354,-0.8894565038437873,0.31769804010118896,1.15218272319848,-0.7121571580322461,0.25181291837494174,-0.12298137140452056,-0.12505726815545454,0.5733977367621454,0.5862490017032376,0.5842395212475072,-1.2742402269282032,-1.1707882350427052,-1.6973368495830112,-0.20412414523193168,-1.7422576388323745,-0.6116212696999933,0.5277580462150154,0.5225071796826158,-0.6133815080990869,-0.33180374,0.30699814053309676,1.0,1.0,10.939677690320389,0.8937038902959993,0.6312056737588653,3.4510869565217392,0.0003516876253481232,0.1795275590551181,1.6547044117322608e-05,2.85,0.34782608695652173,0
