index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
46,0xac8a62b0e5cb9648ce76c0f0579fc9f596ebe8adec5af62119bfd35cc035e85e,8,0x0672eb6703a55f37fcfb346ee9d057d55619b6ed,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-29 12:28:33+00:00,542328,38515270541,18808823,527270,0.0,3,2.0,47,2021-04-29T00:00:00,226,226,1.0,75,5,5,1.0,2,1,0xac8a62b0e5cb9648ce76c0f0579fc9f596ebe8adec5af62119bfd35cc035e85e,1,1,182,31,135,872427,4,0,14,20,8,11,4,5,0.4520971186779808,0.016740855342041793,-0.00608314715894189,1.065287975187334,-0.8822981795472868,-0.9086827712733295,-1.4489811120346536,-1.0892172505009898,-0.7451771720154696,-0.7813202771086046,-0.5363640844373271,-0.6080363395907868,1.1600444302263295,1.1702083477868126,-1.265473513500865,-2.926395932999486,-2.9219342842827496,-0.7986013704898616,-0.8272098262811772,-0.5570860145311551,-0.01907271986746897,-0.014992318404721903,-0.32705938966075276,-0.14040318692856743,0.697623528582428,-0.44392036414972275,-0.0,-0.929067692989778,0.04395604395604396,0.5514705882352942,7.290322580645161,0.0002590471649236384,2.0,1.25,0.3333333333333333,0.2,0.004424778761061947,1.0,0.013333333333333334,0
43,0x6b62050b2a01983e46df118f5ebe747d896105fd0f9743fbcdaa217d838758cc,8,0x7bc153e86a595112bb3d604b343cd62e32e72d5a,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-29 15:23:45+00:00,541793,50543299807,20893476,526671,0.0,30,2.0,44,2021-04-29T00:00:00,227,227,1.0,75,31,33,0.9393939393939394,12,2,0x6b62050b2a01983e46df118f5ebe747d896105fd0f9743fbcdaa217d838758cc,1,1,182,32,135,873204,22,106,685271,20,8,11,4,5,0.4520971186779808,0.03576455459436211,0.012926687712751921,1.065287975187334,-0.8776899343015788,-0.9037288546548876,-1.3745828212134041,-0.9313596779646145,-0.7451771720154696,-0.7813202771086046,-0.5363640844373271,-0.5133266293741534,1.1600444302263295,1.1727723681800182,-1.1728628319143648,-1.856083432489012,-1.8452283296573906,-0.7986013704898616,-0.8272098262811772,-0.5570860145311551,-0.01907271986746897,-0.014992318404721903,-0.3272562730238856,0.9304125829537266,0.9347768939665326,-0.4443872726403857,-0.0,-0.9243200336746259,0.04395604395604396,0.5514705882352942,7.09375,0.0002599618646251453,0.11214953271028037,1.5,4.5237511528269064e-05,0.030303030303030304,0.004405286343612335,1.0,0.013333333333333334,0
41,0x849b520ce903e416b83ee02b4339083a50b485fea96bc5f23ee67a51c3430a85,6,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-29 19:35:13+00:00,1644191,57312611169,11415501,1596906,0.0,7239,2.0,42,2021-04-29T00:00:00,228,228,1.0,75,5801,6310,0.9193343898573693,334,3,0x849b520ce903e416b83ee02b4339083a50b485fea96bc5f23ee67a51c3430a85,26,15,704,32,135,874356,527,365,2348733,65,22,12,5,5,0.19810997335327246,0.054788253846682435,0.03193652258444573,1.065287975187334,0.14498602984207892,0.20683309584369294,1.021042143230827,-0.7735021054282392,0.7969941276854194,1.3719245810647152,0.45192413326929043,-0.5133266293741534,1.1600444302263295,1.176573850152956,1.425381290373555,0.7591140923431833,0.7684763690075022,1.4701525229472445,0.8859466186798407,0.371390676354104,0.9345632735059999,-0.014992318404721903,0.07843312090312228,1.533062044255178,-0.143452273322416,0.389839452742968,-0.0,0.34330500347098825,0.008522727272727272,0.5514705882352942,7.125,0.0002607630521629037,0.912568306010929,11.973434535104364,0.0024698411995568675,0.004120443740095087,0.11403508771929824,1.7333333333333334,0.2,0
37,0x1f99d8d901196f019beb7c8504533890c58c1207e3656469981f6c85e901e729,3,0xbc33ce48e0580c53cddc1ca192d81ce90eeef27d,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-29 21:51:44+00:00,295846,33707207551,16516611,284629,8e+18,1,2.0,38,2021-04-29T00:00:00,229,229,1.0,75,3,3,1.0,1,4,0x1f99d8d901196f019beb7c8504533890c58c1207e3656469981f6c85e901e729,1,1,61,33,135,874957,2,0,7,10,7,10,2,4,-0.18287074463379005,0.07381195309900275,0.05094635745613954,1.065287975187334,-0.8826526599508029,-0.9090366224603611,-1.4564209411167786,-0.6156445328918638,-0.7451771720154696,-0.7813202771086046,-0.7654500506107002,-0.41861691915752,1.1600444302263295,1.1785570885780736,-1.2757635892326982,-2.926395932999486,-2.9219452829907997,-1.302768902364774,-0.9495781437783928,-1.4855627054164144,-1.9263447066144068,-0.764608238640833,-0.4177663151032125,-0.5684491750467522,0.4368579287565437,-0.633054158945952,-0.0,-0.929419371457567,0.04918032786885246,0.5514705882352942,6.9393939393939394,0.00026172684860301863,1.0,1.5,0.375,0.3333333333333333,0.004366812227074236,1.0,0.013333333333333334,0
35,0xb84dfb9ba1b76b764cd1f636b29ca2b110d6687769b3ab5af4a4f45be0c60c18,3,0xa84b9205f69782fea9a9fa5c33e5f0af4c36ce55,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-30 02:50:55+00:00,295846,42277668980,5583104,284629,7.8e+19,44,0.0,36,2021-04-30T00:00:00,230,230,1.0,76,69,204,0.3382352941176471,19,5,0xb84dfb9ba1b76b764cd1f636b29ca2b110d6687769b3ab5af4a4f45be0c60c18,1,1,61,34,136,876279,15,336,2154939,10,7,10,2,4,-0.18287074463379005,0.09283565235132307,0.06995619232783336,1.114652570886469,-0.8709548066347749,-0.8734745781636885,-1.3225040176385294,-0.4577869603554885,-0.7451771720154696,-0.7813202771086046,-0.7654500506107002,-0.32390720894088654,1.1814870259791268,1.1829195531338235,-1.2088780969757815,0.46629274786390273,0.4639787078808493,-1.302768902364774,-0.9495781437783928,-1.4855627054164144,-1.9263447066144068,-0.764608238640833,-0.4177663151032125,0.19455073544424883,-0.8069548211354839,-0.633054158945952,0.0,-0.9218582844001025,0.04918032786885246,0.5547445255474452,6.764705882352941,0.0002624731820879171,0.05637982195845697,13.6,3.2019452977809125e-05,0.004901960784313725,0.004347826086956522,1.0,0.013157894736842105,0
32,0x84cf111328f31ea149729946c4e03017ee80fb272bc73986a4f87221a625d179,3,0x66b870ddf78c975af5cd8edc6de25eca81791de1,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-30 02:56:30+00:00,275630,56243642796,2323287,264729,5e+18,4915,2.0,33,2021-04-30T00:00:00,231,231,1.0,76,4867,5062,0.9614776768075859,282,6,0x84cf111328f31ea149729946c4e03017ee80fb272bc73986a4f87221a625d179,1,1,61,35,136,876303,289,321,2056528,10,7,10,2,4,-0.18287074463379005,0.11185935160364338,0.08896602719952716,1.114652570886469,-0.02055631859989272,-0.013970044864006366,0.6341710309603301,-0.29992938781911316,-0.7451771720154696,-0.7813202771086046,-0.7654500506107002,-0.22919749872425307,1.1814870259791268,1.1829987506749262,0.20086227828538686,0.31483343175393,0.3093510138906585,-1.302768902364774,-0.9495781437783928,-1.4855627054164144,-1.9263447066144068,-0.764608238640833,-0.4252059301856314,1.4378953161071606,-1.1777966696763755,-0.6485658099713143,-0.0,-0.0653453760998825,0.04918032786885246,0.5547445255474452,6.6,0.0002636071500301265,0.8757763975155279,17.515570934256054,0.002366608980471464,0.00019755037534571315,0.004329004329004329,1.0,0.013157894736842105,0
29,0xd1c61f4ecab7d483036297976f4d1c0ce055d1d61c0a479f8bf21d77a18ca2a4,3,0x66b870ddf78c975af5cd8edc6de25eca81791de1,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-30 03:15:46+00:00,261142,50803613584,848108,250467,9e+20,4918,2.0,30,2021-04-30T00:00:00,232,232,1.0,76,4871,5066,0.961508093170154,282,7,0xd1c61f4ecab7d483036297976f4d1c0ce055d1d61c0a479f8bf21d77a18ca2a4,2,1,61,35,136,876381,290,321,2056606,10,7,10,2,4,-0.18287074463379005,0.13088305085596372,0.10797586207122098,1.114652570886469,-0.01984735779286072,-0.013262342489943226,0.6341710309603301,-0.14207181528273785,-0.683490320027434,-0.7813202771086046,-0.7654500506107002,-0.22919749872425307,1.1814870259791268,1.1832561426835106,0.20600731615130355,0.31483343175393,0.3094735709232182,-1.302768902364774,-0.9495781437783928,-1.4855627054164144,-1.9263447066144068,-0.764608238640833,-0.43053760526052676,0.9535874598487446,-1.3456153255361076,-0.6596827530328078,0.0,-0.06481785839819894,0.04918032786885246,0.5547445255474452,6.628571428571429,0.0002647247433196939,0.8757763975155279,17.46896551724138,0.0023684641742442772,0.00039478878799842083,0.008620689655172414,2.0,0.013157894736842105,0
25,0x6b04f5987002e262825bbc8b9e33694ce40addcd29ee9a68f14f6dc0dea58e76,3,0xe96664029ad91b2d9928bbcab585450f78eff8cc,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-30 05:43:45+00:00,295846,47503908747,11993716,284629,1e+20,33,2.0,26,2021-04-30T00:00:00,233,233,1.0,76,52,52,1.0,30,8,0x6b04f5987002e262825bbc8b9e33694ce40addcd29ee9a68f14f6dc0dea58e76,1,1,61,36,136,877044,21,264,1689985,10,7,10,2,4,-0.18287074463379005,0.14990675010828403,0.12698569694291478,1.114652570886469,-0.8739678900646609,-0.9003672683780877,-1.2406658977351552,0.015785757253637477,-0.7451771720154696,-0.7813202771086046,-0.7654500506107002,-0.13448778850761964,1.1814870259791268,1.1854439747564773,-1.1780078697802814,-0.2607119694639663,-0.26657747823162975,-1.302768902364774,-0.9495781437783928,-1.4855627054164144,-1.9263447066144068,-0.764608238640833,-0.4177663151032125,0.6598256226203977,-0.07767363622282676,-0.633054158945952,0.0,-0.9237925159729423,0.04918032786885246,0.5547445255474452,6.472222222222222,0.00026566481765473833,0.11320754716981132,2.4761904761904763,3.0769485664378284e-05,0.019230769230769232,0.004291845493562232,1.0,0.013157894736842105,0
23,0x3546d011043139c2460ca5dbcc01adacfac818b8670b51d0f61d0b7b39dee5f1,3,0xe96664029ad91b2d9928bbcab585450f78eff8cc,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-30 06:11:42+00:00,261142,24743561431,24141320,250467,1e+20,35,2.0,24,2021-04-30T00:00:00,234,234,1.0,76,54,54,1.0,30,9,0x3546d011043139c2460ca5dbcc01adacfac818b8670b51d0f61d0b7b39dee5f1,2,1,61,36,136,877183,22,264,1690124,10,7,10,2,4,-0.18287074463379005,0.16893044936060433,0.1459955318146086,1.114652570886469,-0.8736134096611449,-0.9000134171910561,-1.2406658977351552,0.17364332979001282,-0.683490320027434,-0.7813202771086046,-0.7654500506107002,-0.13448778850761964,1.1814870259791268,1.1859026605153649,-1.1728628319143648,-0.2607119694639663,-0.26635907531463227,-1.302768902364774,-0.9495781437783928,-1.4855627054164144,-1.9263447066144068,-0.764608238640833,-0.43053760526052676,-1.366453021618058,1.3042566754182043,-0.6596827530328078,0.0,-0.9234408375051533,0.04918032786885246,0.5547445255474452,6.5,0.0002667627316503721,0.11320754716981132,2.4545454545454546,3.195029953405813e-05,0.037037037037037035,0.008547008547008548,2.0,0.013157894736842105,0
20,0x724341505eb7bb069da83ed1f022b54f7ea4df7dff1d2b84d2da877453e68e8c,3,0xe96664029ad91b2d9928bbcab585450f78eff8cc,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-30 06:37:08+00:00,243770,34166173921,19297273,233367,7e+19,37,2.0,21,2021-04-30T00:00:00,235,235,1.0,76,56,56,1.0,30,10,0x724341505eb7bb069da83ed1f022b54f7ea4df7dff1d2b84d2da877453e68e8c,3,1,61,36,136,877294,22,264,1690235,10,7,10,2,4,-0.18287074463379005,0.18795414861292467,0.1650053666863024,1.114652570886469,-0.8732589292576289,-0.8996595660040245,-1.2406658977351552,0.3315009023263881,-0.6218034680393985,-0.7813202771086046,-0.7654500506107002,-0.13448778850761964,1.1814870259791268,1.1862689491429657,-1.1728628319143648,-0.2607119694639663,-0.26618466722983575,-1.302768902364774,-0.9495781437783928,-1.4855627054164144,-1.9263447066144068,-0.764608238640833,-0.43693061046490844,-0.5275889130725915,0.7531903597633803,-0.6730118601953051,0.0,-0.9230891590373642,0.04918032786885246,0.5547445255474452,6.527777777777778,0.000267868846853111,0.11320754716981132,2.5454545454545454,3.313146803168315e-05,0.05357142857142857,0.01276595744680851,3.0,0.013157894736842105,0
12,0x477883795a52e1d439a19120991a2416fa178c1bc3dc55c879fd4d8e660f8c42,3,0x69bab6810fa99475854bca0a3dd72ae6a0728ece,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-30 08:11:57+00:00,243770,26110570084,21051893,233367,1e+19,7315,2.0,13,2021-04-30T00:00:00,236,236,1.0,76,5860,6368,0.9202261306532663,334,11,0x477883795a52e1d439a19120991a2416fa178c1bc3dc55c879fd4d8e660f8c42,27,16,61,36,136,877698,528,365,2344774,10,7,10,2,4,-0.18287074463379005,0.20697784786524498,0.18401520155799622,1.114652570886469,0.1554432017458009,0.21709478026760845,1.021042143230827,0.48935847486276346,0.858680979673455,1.5257277852199522,-0.7654500506107002,-0.13448778850761964,1.1814870259791268,1.1876021077515306,1.4305263282394716,0.7591140923431833,0.7622558139830926,-1.302768902364774,-0.9495781437783928,-1.4855627054164144,-1.9263447066144068,-0.764608238640833,-0.43693061046490844,-1.2447527504576141,0.9527986581086002,-0.6730118601953051,-0.0,0.356668785246972,0.04918032786885246,0.5547445255474452,6.555555555555555,0.00026888489106174213,0.912568306010929,12.06060606060606,0.0024991736947041826,0.004239949748743719,0.11440677966101695,1.6875,0.21052631578947367,0
3,0x996b53b7ec6026e97512430ad1858f2907d5f917412566fce7f013fa9f30c652,6,0x718fcce4e82de60b85c45f70d3ff735fa1461bc2,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-30 08:56:52+00:00,745118,40878269735,15676177,726891,0.0,82,2.0,4,2021-04-30T00:00:00,237,237,1.0,76,87,89,0.9775280898876404,27,12,0x996b53b7ec6026e97512430ad1858f2907d5f917412566fce7f013fa9f30c652,5,5,283,36,136,877904,36,195,1247395,33,10,12,5,5,0.19810997335327246,0.2260015471175653,0.20302503642969003,1.114652570886469,-0.8677644830031309,-0.8938210214180037,-1.26298538498153,0.6472160473991388,-0.49842976406332734,-0.16610746048765612,-0.34514356721823064,-0.13448778850761964,1.1814870259791268,1.188281886645997,-1.1008323017915314,-0.9574248235698408,-0.9619943633676262,-0.1431835790524753,-0.5824731912867461,0.371390676354104,0.9345632735059999,-0.014992318404721903,-0.2524313948762394,0.06996683672168516,0.34124885065902605,-0.2883197968465132,-0.0,-0.9151763935121107,0.02120141342756184,0.5547445255474452,6.583333333333333,0.00026996087275958105,0.1377551020408163,2.4722222222222223,6.974529339520088e-05,0.056179775280898875,0.02109704641350211,1.0,0.06578947368421052,0
0,0xab486012f21be741c9e674ffda227e30518e8a1e37a5f1d58d0b0d41f6e76530,59,0x6162759edad730152f0df8115c698a42e666157f,0x32075bad9050d4767018084f0cb87b3182d36c45,2022-04-30 09:32:29+00:00,20000000,33270135867,10334536,9298375,0.0,16,2.0,1,2021-04-30T00:00:00,4,6,0.6666666666666666,1,15,17,0.8823529411764706,1,1,0xab486012f21be741c9e674ffda227e30518e8a1e37a5f1d58d0b0d41f6e76530,6,1,3688,1,0,412,5,0,443,38,54,17,6,14,6.928769324458044,-4.206520378673069,-4.18824681893158,-2.5876921065486584,-0.8805257775297068,-0.9065596641511402,-1.4564209411167786,-1.0892172505009898,-0.4367429120752918,-0.7813202771086046,6.101449117247349,-3.44932764608979,-1.7347059964012952,-1.707351810747339,-1.2603284756349482,-2.926395932999486,-2.921260220603671,0.10890018688498092,4.801732778590739,5.0137741307804,1.8881992668794687,6.731550963720278,6.8334862217341446,-0.6073602253481667,-0.26642453182895337,6.392980131669943,-0.0,-0.9267817829491491,0.015997830802603037,1.0,6.0,0.009685230024213076,1.0,3.4,0.033783783783783786,0.35294117647058826,1.0,6.0,1.0,1
38,0x624b4b05a2c107b4257a732b2ea09d25bf1e1b8bd320e31a724c013bbb6a9c5f,3,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0x8922c1147e141c055fddfc0ed5a119f3378c8ef8,2022-04-29 21:00:29+00:00,1576113,47912994227,11509292,1544902,0.0,16573,2.0,39,2021-04-29T00:00:00,146,146,1.0,68,16637,16638,0.9999398966221902,309,1,0x624b4b05a2c107b4257a732b2ea09d25bf1e1b8bd320e31a724c013bbb6a9c5f,23,14,718,25,144,932448,378,313,2012105,57,21,12,5,5,-0.18287074463379005,-1.5051550848435837,-1.5268699368944467,0.7197358052933888,2.065560856091763,2.0341206256747175,0.8350464161777035,-1.0892172505009898,0.6119335717213128,1.218121376909478,0.47842994753728396,-1.1762946008905875,1.3530277920015044,1.368271498392454,0.6587706483519707,0.23405512982861124,0.239551641359882,1.0668184974473147,0.7635783011826252,0.371390676354104,0.9345632735059999,-0.014992318404721903,0.053379988949179294,0.6962451534950134,-0.13278246338630648,0.3493033773699556,-0.0,1.9845884126424633,0.004178272980501393,0.4689655172413793,5.84,0.00015657692806791577,0.9840764331210191,44.01587301587302,0.008268451065699322,0.001382377689626157,0.15753424657534246,1.6428571428571428,0.20588235294117646,0
