index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
131,0x805b4c2bf3fdf229d78c699c1c8735851065e959a4105dc82e9786fb51d7e9e2,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:27:05+00:00,1000000,210000000000,7906373,387249,2.673e+21,141,,53,2020-05-08T00:00:00,39,69,0.5652173913043478,1,75,150,0.5,2,1,0x805b4c2bf3fdf229d78c699c1c8735851065e959a4105dc82e9786fb51d7e9e2,69,1,100,1,0,197,6,1,6541,13,34.0,8.0,2,1,0.0,-0.9613427961104218,-0.9617561000566769,-0.9607689228305226,-1.7224655053784226,-1.7874904059097798,0.0,-1.6589239243812453,-1.722041298527647,0.0,-0.904643321982412,-0.9607689228305228,-0.9607689228305226,-0.960802174405696,0.0,0.0,-1.7009111835278108,-0.8086488880960642,0.9607689228305227,-0.9607689228305231,-0.9607689228305227,-0.9607689228305227,-0.9607689228305227,-0.5319974126666808,0.3346529297850453,-0.9178277910395436,0.0,-1.7614369623546542,0.15,1.0,69.0,0.19696969696969696,1.0,25.0,0.011464383980434117,0.46,1.0,69.0,1.0,1
383,0x87c1ad4ad1d7f24ded56e528589d1e15724c381416abeafe49cbff88732b6289,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:27:37+00:00,1000000,210000000000,2117392,387249,2.673e+21,143,,51,2020-05-08T00:00:00,40,70,0.5714285714285714,1,76,152,0.5,2,2,0x87c1ad4ad1d7f24ded56e528589d1e15724c381416abeafe49cbff88732b6289,70,1,100,1,0,199,6,1,6543,13,34.0,8.0,2,1,0.0,-0.9612650774280388,-0.9616819083420236,-0.9607689228305226,-1.5686739423982063,-1.6510407566036898,0.0,-1.5209102867455342,-1.586660693297486,0.0,-0.904643321982412,-0.9607689228305228,-0.9607689228305226,-0.9607992877751953,0.0,0.0,-1.5549102235683432,-0.8086488880960642,0.9607689228305227,-0.9607689228305231,-0.9607689228305227,-0.9607689228305227,-0.9607689228305227,-0.5319974126666808,-1.7329304067926867,-0.9178277910395436,0.0,-1.623176604242044,0.15,1.0,70.0,0.2,1.0,25.333333333333332,0.011613691931540342,0.4605263157894737,1.0,70.0,1.0,1
106,0xacbc5f74d29777556c26f3255b27819f76fc1ddae99598a5bce9dd631cc92d72,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:28:01+00:00,1000000,210000000000,1615135,387249,2.798e+21,145,,49,2020-05-08T00:00:00,41,71,0.5774647887323944,1,77,154,0.5,2,3,0xacbc5f74d29777556c26f3255b27819f76fc1ddae99598a5bce9dd631cc92d72,71,1,100,1,0,201,6,1,6545,13,34.0,8.0,2,1,0.0,-0.9611873587456559,-0.9616077166273703,-0.9607689228305226,-1.41488237941799,-1.5145911072975995,0.0,-1.3828966491098234,-1.4512800880673251,0.0,-0.904643321982412,-0.9607689228305228,-0.9607689228305226,-0.9607964011446946,0.0,0.0,-1.4089092636088756,-0.8086488880960642,0.9607689228305227,-0.9607689228305231,-0.9607689228305227,-0.9607689228305227,-0.9607689228305227,-0.5319974126666808,-1.912315725880713,-0.9178277910395436,0.0,-1.4849162461294336,0.15,1.0,71.0,0.20297029702970298,1.0,25.666666666666668,0.011762908646501681,0.461038961038961,1.0,71.0,1.0,1
983,0x157548b0ebf242e8339aeb689689068ec17d41639eef2373f8a6c31335f0c7f6,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:28:30+00:00,1000000,210000000000,8954267,387249,2.862e+21,147,,46,2020-05-08T00:00:00,42,73,0.5753424657534246,1,78,157,0.4968152866242038,2,4,0x157548b0ebf242e8339aeb689689068ec17d41639eef2373f8a6c31335f0c7f6,73,1,100,1,0,203,6,1,6547,13,34.0,8.0,2,1,0.0,-0.9611096400632728,-0.9614593331980636,-0.9607689228305226,-1.2610908164377739,-1.3099166333384644,0.0,-1.2448830114741125,-1.1805188776070032,0.0,-0.904643321982412,-0.9607689228305228,-0.9607689228305226,-0.9607935145141938,0.0,0.0,-1.262908303649408,-0.8086488880960642,0.9607689228305227,-0.9607689228305231,-0.9607689228305227,-0.9607689228305227,-0.9607689228305227,-0.5319974126666808,0.7089171004395673,-0.9178277910395436,0.0,-1.3466558880168233,0.15,1.0,73.0,0.20588235294117646,1.0,26.166666666666668,0.011912034208918754,0.46496815286624205,1.0,73.0,1.0,1
305,0x047175ab9d1719b054083b301cd15ce2df7e023b5247e8e2b12fed2f17d839ea,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:28:30+00:00,1000000,210000000000,10239534,362536,2.862e+21,149,,47,2020-05-08T00:00:00,42,73,0.5753424657534246,1,78,157,0.4968152866242038,2,5,0x047175ab9d1719b054083b301cd15ce2df7e023b5247e8e2b12fed2f17d839ea,73,1,97,1,0,203,6,1,6547,11,34.0,8.0,2,1,0.0,-0.9611096400632728,-0.9614593331980636,-0.9607689228305226,-1.2610908164377739,-1.3099166333384644,0.0,-1.1068693738384014,-1.1805188776070032,0.0,-1.0319383485277795,-0.9607689228305228,-0.9607689228305226,-0.9607935145141938,0.0,0.0,-1.262908303649408,-1.1414262083002058,0.9607689228305227,-0.9607689228305231,-0.9607689228305227,-0.9607689228305227,-0.9607689228305227,-0.5319974126666808,1.1679610379223906,-1.0126505542433124,0.0,-1.208395529904213,0.15463917525773196,1.0,73.0,0.20588235294117646,1.0,26.166666666666668,0.011912034208918754,0.46496815286624205,1.0,73.0,1.0,1
415,0x6bb0d6bdf847a7918a007eef5f9c09ca49e2b03d9679848ab50ffd442deea92f,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:30:23+00:00,1000000,210000000000,5261559,362536,2.926e+21,153,,44,2020-05-08T00:00:00,43,77,0.5584415584415584,1,80,166,0.4819277108433735,2,6,0x6bb0d6bdf847a7918a007eef5f9c09ca49e2b03d9679848ab50ffd442deea92f,77,1,97,1,0,208,6,1,6552,11,34.0,8.0,2,1,0.0,-0.9610319213808898,-0.9611625663394504,-0.9607689228305226,-0.9535076904773413,-0.6958932114610589,0.0,-0.9688557362026906,-0.6389964566863594,0.0,-1.0319383485277795,-0.9607689228305228,-0.9607689228305226,-0.9607862979379419,0.0,0.0,-0.8979059037507391,-1.1414262083002058,0.9607689228305227,-0.9607689228305231,-0.9607689228305227,-0.9607689228305227,-0.9607689228305227,-0.5319974126666808,-0.6099646729929734,-1.0126505542433124,0.0,-0.9318748136789926,0.15463917525773196,1.0,77.0,0.20574162679425836,1.0,27.666666666666668,0.01220814893941706,0.463855421686747,1.0,77.0,1.0,1
358,0x65c7984783beaf33105a3374a2684cdb1c6835408ec2c785d76224f8cbd10635,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:30:23+00:00,1000000,210000000000,3997292,387249,2.862e+21,151,,40,2020-05-08T00:00:00,43,77,0.5584415584415584,1,80,166,0.4819277108433735,2,7,0x65c7984783beaf33105a3374a2684cdb1c6835408ec2c785d76224f8cbd10635,77,1,100,1,0,208,6,1,6552,13,34.0,8.0,2,1,0.0,-0.9610319213808898,-0.9611625663394504,-0.9607689228305226,-0.9535076904773413,-0.6958932114610589,0.0,-0.8308420985669797,-0.6389964566863594,0.0,-0.904643321982412,-0.9607689228305228,-0.9607689228305226,-0.9607862979379419,0.0,0.0,-0.8979059037507391,-0.8086488880960642,0.9607689228305227,-0.9607689228305231,-0.9607689228305227,-0.9607689228305227,-0.9607689228305227,-0.5319974126666808,-1.0615082835498433,-0.9178277910395436,0.0,-1.0701351717916028,0.15,1.0,77.0,0.20574162679425836,1.0,27.666666666666668,0.01220814893941706,0.463855421686747,1.0,77.0,1.0,1
153,0x7bec18cc8f607dc4ceeb6305e8544d1972f05b0b1466eb7311504cc50ef19dfd,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:30:23+00:00,1000000,210000000000,7715295,362536,2.926e+21,157,,41,2020-05-08T00:00:00,43,77,0.5584415584415584,1,80,166,0.4819277108433735,2,8,0x7bec18cc8f607dc4ceeb6305e8544d1972f05b0b1466eb7311504cc50ef19dfd,77,1,97,1,0,208,6,1,6552,11,34.0,8.0,2,1,0.0,-0.9610319213808898,-0.9611625663394504,-0.9607689228305226,-0.9535076904773413,-0.6958932114610589,0.0,-0.6928284609312688,-0.6389964566863594,0.0,-1.0319383485277795,-0.9607689228305228,-0.9607689228305226,-0.9607862979379419,0.0,0.0,-0.8979059037507391,-1.1414262083002058,0.9607689228305227,-0.9607689228305231,-0.9607689228305227,-0.9607689228305227,-0.9607689228305227,-0.5319974126666808,0.2664078122442208,-1.0126505542433124,0.0,-0.655354097453772,0.15463917525773196,1.0,77.0,0.20574162679425836,1.0,27.666666666666668,0.01220814893941706,0.463855421686747,1.0,77.0,1.0,1
623,0x22479de5429b0ad2981246f2b1a611bb6cea791b979a0cd417692ca77432fd57,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:30:23+00:00,1000000,210000000000,6488427,362536,2.926e+21,155,,39,2020-05-08T00:00:00,43,77,0.5584415584415584,1,80,166,0.4819277108433735,2,9,0x22479de5429b0ad2981246f2b1a611bb6cea791b979a0cd417692ca77432fd57,77,1,97,1,0,208,6,1,6552,11,34.0,8.0,2,1,0.0,-0.9610319213808898,-0.9611625663394504,-0.9607689228305226,-0.9535076904773413,-0.6958932114610589,0.0,-0.5548148232955579,-0.6389964566863594,0.0,-1.0319383485277795,-0.9607689228305228,-0.9607689228305226,-0.9607862979379419,0.0,0.0,-0.8979059037507391,-1.1414262083002058,0.9607689228305227,-0.9607689228305231,-0.9607689228305227,-0.9607689228305227,-0.9607689228305227,-0.5319974126666808,-0.17177843037437635,-1.0126505542433124,0.0,-0.7936144555663823,0.15463917525773196,1.0,77.0,0.20574162679425836,1.0,27.666666666666668,0.01220814893941706,0.463855421686747,1.0,77.0,1.0,1
355,0xcbfc1c7539c570acd778ca0a820aed88789b98dca2c704298b435b9d91ac81bd,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 14:30:43+00:00,1000000,210000000000,5676284,387249,3.258e+21,159,,36,2020-05-08T00:00:00,44,78,0.5641025641025641,1,81,167,0.48502994011976047,2,10,0xcbfc1c7539c570acd778ca0a820aed88789b98dca2c704298b435b9d91ac81bd,78,1,100,1,0,210,6,1,6554,13,34.0,8.0,2,1,0.0,-0.9609542026985067,-0.9610883746247971,-0.9607689228305226,-0.799716127497125,-0.6276683868080138,0.0,-0.4168011856598469,-0.5036158514561985,0.0,-0.904643321982412,-0.9607689228305228,-0.9607689228305226,-0.9607834113074412,0.0,0.0,-0.7519049437912715,-0.8086488880960642,0.9607689228305227,-0.9607689228305231,-0.9607689228305227,-0.9607689228305227,-0.9607689228305227,-0.5319974126666808,-0.46184214516602085,-0.9178277910395436,0.0,-0.5170937393411618,0.15,1.0,78.0,0.20853080568720378,1.0,27.833333333333332,0.012356979405034324,0.46706586826347307,1.0,78.0,1.0,1
