index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
47,0x3fda2a0dcc0f7bb7af90d7440671d89026c0cc07a46b3e84b4acc46869f8380f,1,0xfe4e3fad35c820681dfb13f93188cd822f9445ac,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 12:17:12+00:00,202003,22000000000,6436818,134669,0.0,62,,60,2020-07-20T00:00:00,15395,19780,0.7783114256825076,31,75,77,0.974025974025974,16,1,0x3fda2a0dcc0f7bb7af90d7440671d89026c0cc07a46b3e84b4acc46869f8380f,11,5,5,1935,30,191813,16,33,212748,4,5.0,1.0,1,2,-0.14868804664723034,0.24687859456689293,0.24772644434436897,0.25264557631995577,-0.5855350453072241,-0.6291021458370096,-0.5664972219900162,-1.522772052466737,-0.6489393035913431,-0.5951820998295382,-0.15678214873979832,0.25246024465301764,0.25264557631995577,0.2281342543995151,-0.45594488466071353,-0.7253059519351378,-0.7236863502051929,-0.13774613821998263,-0.10969390078300853,-0.24733283866815045,-0.142857142857143,-0.09747403576571596,-0.13732298780831748,-0.5478288401640601,-0.6066785509037629,0.013219526886247522,-0.0,-0.6708725362439415,0.2,1.0,10.222222222222221,0.08026004358388857,0.47058823529411764,4.8125,0.0003525280964892902,0.14285714285714285,0.0005561172901921132,2.2,0.16129032258064516,0
713,0x4ccec7359498affe8b97e9054d52a67647b5ccbc5ca4ccb1d1bed6c08d5f52a8,1,0xcf8e02b011b9537fcb685563191063403a46298b,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 12:40:13+00:00,126453,26000000000,13626866,84302,0.0,170,,59,2020-07-20T00:00:00,15396,19781,0.7783226328294829,31,173,195,0.8871794871794871,28,2,0x4ccec7359498affe8b97e9054d52a67647b5ccbc5ca4ccb1d1bed6c08d5f52a8,43,16,4,1935,30,191903,31,38,241034,4,4.0,1.0,1,2,-0.14868804664723034,0.24715176892518945,0.24793909602114575,0.25264557631995577,0.06476452903670106,0.08032114553117793,-0.12621440697186892,-1.4524036581752982,-0.2395138754580036,0.48162762025679734,-0.2054722570440835,0.25246024465301764,0.25264557631995577,0.23009870864624354,0.5439342483671671,-0.6593210582001362,-0.6660946053292653,-0.13774613821998263,-0.1940738244622459,-0.24733283866815045,-0.142857142857143,-0.09747403576571596,-0.17913206421351643,0.22868259902444138,1.0595470667260962,-0.27463137047211456,-0.0,0.007919237358697397,0.25,1.0,10.222739018087855,0.08022761380690345,0.717948717948718,6.290322580645161,0.0007177380878295684,0.2205128205128205,0.002173803144431525,2.6875,0.5161290322580645,0
274,0x2f3bad0a477c4b5e706250f2246bc395ec4561c397d67ad794f1d79d2a410a8f,1,0xe73509c8d849c9b049609ceaf3e1c62860d4aa0b,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 12:42:15+00:00,170881,22000000000,11880011,98921,0.0,85,,58,2020-07-20T00:00:00,15397,19782,0.778333838843393,31,108,112,0.9642857142857143,29,3,0x2f3bad0a477c4b5e706250f2246bc395ec4561c397d67ad794f1d79d2a410a8f,4,2,3,1935,30,191917,28,91,587666,3,3.0,1.0,1,1,-0.14868804664723034,0.24742494328348597,0.24815174769792256,0.25264557631995577,-0.36655661721182076,-0.4186799831430557,-0.08952417238702333,-1.3820352638838593,-0.7385011159955112,-0.8888574780349024,-0.25416236534836867,0.25246024465301764,0.25264557631995577,0.23040429041795688,0.3439584217615909,0.04011881539088107,0.03966590198292269,-0.9030024616643318,-0.2784537481414832,-0.24733283866815045,-0.142857142857143,-1.3158994828371644,-0.15454578166513552,-0.5478288401640601,0.6547299429343207,-0.19108277181660804,-0.0,-0.5263150289026388,0.3333333333333333,1.0,10.223255813953488,0.08022697193593097,0.31521739130434784,4.0,0.00018377754748862877,0.03571428571428571,0.00020220402386007482,2.0,0.06451612903225806,0
459,0xa65080ccd7352655db82c2212ac186643cc5804f8dce52a592ab32af36cfff51,1,0xcf8e02b011b9537fcb685563191063403a46298b,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 12:42:38+00:00,126453,24000000000,13684615,84302,0.0,171,,57,2020-07-20T00:00:00,15398,19783,0.7783450437244098,31,174,196,0.8877551020408163,28,4,0xa65080ccd7352655db82c2212ac186643cc5804f8dce52a592ab32af36cfff51,44,16,4,1935,30,191919,31,38,241050,4,4.0,1.0,1,2,-0.14868804664723034,0.24769811764178248,0.24836439937469937,0.25264557631995577,0.07140023897898601,0.08633320732243376,-0.12621440697186892,-1.3116668695924205,-0.22671933082883675,0.48162762025679734,-0.2054722570440835,0.25246024465301764,0.25264557631995577,0.23044794495677304,0.5439342483671671,-0.6593210582001362,-0.6660620285097074,-0.13774613821998263,-0.1940738244622459,-0.24733283866815045,-0.142857142857143,-0.09747403576571596,-0.17913206421351643,-0.15957312056980932,1.0729298512627927,-0.27463137047211456,-0.0,0.014204346373536646,0.25,1.0,10.223772609819122,0.08023134639433097,0.717948717948718,6.32258064516129,0.0007218389469448374,0.22448979591836735,0.0022241318303593996,2.75,0.5161290322580645,0
389,0x413b58f41792c11784c878661ed24cffdf7401e19879136063e57292bd70f5fd,1,0x5d925abf230d358f47eeeafa8b845c3902eeb442,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 12:44:46+00:00,126453,22000000000,12662874,84302,0.0,21,,56,2020-07-20T00:00:00,15399,19784,0.7783562474727053,31,24,26,0.9230769230769231,8,5,0x413b58f41792c11784c878661ed24cffdf7401e19879136063e57292bd70f5fd,11,5,4,1935,30,191933,6,25,161621,4,4.0,1.0,1,2,-0.14868804664723034,0.247971292000079,0.24857705105147618,0.25264557631995577,-0.9239562523637567,-0.9357172971910569,-0.860019098668781,-1.2412984753009815,-0.6489393035913431,-0.5951820998295382,-0.2054722570440835,0.25246024465301764,0.25264557631995577,0.23075352672848637,-1.1225309733459672,-0.8308817819111404,-0.8277835410512494,-0.13774613821998263,-0.1940738244622459,-0.24733283866815045,-0.142857142857143,-0.09747403576571596,-0.17913206421351643,-0.5478288401640601,0.8361510385507289,-0.27463137047211456,-0.0,-0.9285620058523507,0.25,1.0,10.224289405684754,0.0802307043046047,0.3076923076923077,4.333333333333333,0.00014849463563128783,0.4230769230769231,0.0005560048524059846,2.2,0.16129032258064516,0
557,0xf9d27880cbc2a67aca8ef15d27b943bf72792c8d8d200a2bb11b3c2fa476fc6d,1,0xf208e288e3bf7d7f02f8e858cc3137c7d5a79924,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 12:52:03+00:00,175741,19000000000,13591216,102161,0.0,428,,55,2020-07-20T00:00:00,15400,19785,0.7783674500884509,31,433,465,0.9311827956989247,57,6,0xf9d27880cbc2a67aca8ef15d27b943bf72792c8d8d200a2bb11b3c2fa476fc6d,99,21,5,1935,30,191971,43,126,812277,4,5.0,1.0,1,2,-0.14868804664723034,0.24824446635837552,0.24878970272825296,0.25264557631995577,1.7900491140307884,1.7035778291702512,0.9378023959886537,-1.1709300810095427,0.47698062377534056,0.9710865839324043,-0.15678214873979832,0.25246024465301764,0.25264557631995577,0.23158296296599393,1.3438375547894714,0.5020130715358925,0.4969854030904311,-0.13774613821998263,-0.10969390078300853,-0.24733283866815045,-0.142857142857143,-0.09747403576571596,-0.15185627655157805,-1.1302124195554362,1.051285516418156,-0.17256594716076012,-0.0,1.6294773631872237,0.2,1.0,10.224806201550388,0.08022003208801283,0.44881889763779526,10.813953488372093,0.0005330687277015996,0.2129032258064516,0.005003790750568613,4.714285714285714,0.6774193548387096,0
600,0x4a87a9871df4a18290739491afb60f38251de6341191f76a950a66e71461415c,1,0x7cfa26b1c81de6627d34f2122f7253cc2b1db760,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 13:13:51+00:00,179145,21000000000,6799681,104430,0.0,474,,54,2020-07-20T00:00:00,15401,19786,0.7783786515718184,31,422,478,0.8828451882845189,46,7,0x4a87a9871df4a18290739491afb60f38251de6341191f76a950a66e71461415c,238,30,5,1935,30,192066,31,81,520364,4,5.0,1.0,1,2,-0.14868804664723034,0.24851764071667204,0.24900235440502977,0.25264557631995577,1.717056304665654,1.781734632456577,0.534209815555352,-1.1005616867181038,2.255422327229534,1.8521127185484971,-0.15678214873979832,0.25246024465301764,0.25264557631995577,0.23365655355976284,0.5439342483671671,-0.09185097207912218,-0.09736441738495125,-0.13774613821998263,-0.10969390078300853,-0.24733283866815045,-0.142857142857143,-0.09747403576571596,-0.14997251617986002,-0.7419566999611854,-0.5225884827581784,-0.15959845483232835,-0.0,1.918592377869829,0.2,1.0,10.22532299741602,0.0801855602472054,0.5609756097560976,15.419354838709678,0.0008109692235257944,0.497907949790795,0.012028707166683514,7.933333333333334,0.967741935483871,0
654,0xa981d4fec9c39f3ac7dde53da66dec9f79979d3e64e3545de06ca86aeadb33e3,1,0x5d925abf230d358f47eeeafa8b845c3902eeb442,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 13:22:19+00:00,179145,20800001896,14185112,104430,0.0,23,,53,2020-07-20T00:00:00,15402,19787,0.7783898519229797,31,27,29,0.9310344827586207,8,8,0xa981d4fec9c39f3ac7dde53da66dec9f79979d3e64e3545de06ca86aeadb33e3,12,5,5,1935,30,192101,6,25,161789,4,5.0,1.0,1,2,-0.14868804664723034,0.24879081507496856,0.24921500608180658,0.25264557631995577,-0.9040491225369017,-0.9176811118172894,-0.860019098668781,-1.030193292426665,-0.6361447589621763,-0.5951820998295382,-0.15678214873979832,0.25246024465301764,0.25264557631995577,0.23442050798904612,-1.1225309733459672,-0.8308817819111404,-0.8274414844458914,-0.13774613821998263,-0.10969390078300853,-0.24733283866815045,-0.142857142857143,-0.09747403576571596,-0.14997251617986002,-0.7807819038541883,1.1889152971105663,-0.15959845483232835,-0.0,-0.9159917878226722,0.2,1.0,10.225839793281654,0.08017615641690352,0.3076923076923077,4.833333333333333,0.00016688299647691453,0.41379310344827586,0.0006064587860716632,2.4,0.16129032258064516,0
518,0x62c6e7ca5ecd87025ee7edc8be13f3a544c3d6f68a6673d610a905f866aeb821,1,0x58470777f6ef220b317d839cdacbfa3a074a57c7,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 13:23:07+00:00,216256,16000000000,5634686,114171,0.0,36,,52,2020-07-20T00:00:00,15403,19788,0.7784010511421063,31,42,42,1.0,20,9,0x62c6e7ca5ecd87025ee7edc8be13f3a544c3d6f68a6673d610a905f866aeb821,2,2,5,1935,30,192111,15,72,461845,4,5.0,1.0,1,2,-0.14868804664723034,0.24906398943326505,0.2494276577585834,0.25264557631995577,-0.8045134734026275,-0.8395243085309636,-0.41973628365063376,-0.9598248981352261,-0.7640902052538449,-0.8888574780349024,-0.15678214873979832,0.25246024465301764,0.25264557631995577,0.23463878068312707,-0.5226034935292388,-0.2106237808021251,-0.21651209886675885,-0.13774613821998263,-0.10969390078300853,-0.24733283866815045,-0.142857142857143,-0.09747403576571596,-0.12943543299689061,-1.7125959989468122,-0.7925650550162076,-0.10392796440868181,-0.0,-0.8342853706297619,0.2,1.0,10.226356589147287,0.08017718830682102,0.273972602739726,2.8,9.093940404377217e-05,0.047619047619047616,0.00010107135637760258,1.0,0.06451612903225806,0
695,0xf31364bdf1e7d7cce63ed29a36bde98a22b167ca7b6d5ba5cd50ed05e15aa365,1,0xfb8d41fa22bfdacac1e4633917411c3a582f7ff7,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 13:43:11+00:00,175581,26400000000,6213916,87054,0.0,322,,51,2020-07-20T00:00:00,15404,19789,0.7784122492293698,31,356,361,0.9861495844875346,64,10,0xf31364bdf1e7d7cce63ed29a36bde98a22b167ca7b6d5ba5cd50ed05e15aa365,9,5,5,1935,30,192196,57,81,519342,4,5.0,1.0,1,2,-0.14868804664723034,0.24933716379156157,0.2496403094353602,0.25264557631995577,1.279099448474847,1.0783234028796453,1.194634038082573,-0.8894565038437873,-0.6745283928496768,-0.5951820998295382,-0.15678214873979832,0.25246024465301764,0.25264557631995577,0.23649409858281506,2.2770580789488264,-0.09185097207912218,-0.0994452617342123,-0.13774613821998263,-0.10969390078300853,-0.24733283866815045,-0.142857142857143,-0.09747403576571596,-0.15194481992980216,0.3063337429432915,-0.6583339811068618,-0.2589034996533202,-0.0,0.9632558076142632,0.2,1.0,10.22687338501292,0.08014693257438982,0.7804878048780488,6.333333333333333,0.0006854814640805787,0.024930747922437674,0.00045479812016776996,1.8,0.16129032258064516,0
