index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
815,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,6,0x8efab89b497b887cdaa2fb08ff71e4b3827774b2,0x10c509aa9ab291c76c45414e7cdbd375e1d5ace8,2021-12-21 14:18:15+00:00,10000000,52770827300,14328034,190098,0.0,2,2.0,1,2020-12-21T00:00:00,2,2,1.0,1,3,3,1.0,1,1,0x69272d8c84d67d1da2f6425b339192fa472898dce936f24818fda415c1c1ff3f,2,1,15,1,0,24,1,0,25,5,7.0,4.0,2,1,5.44007404309956,-6.98734826383651,-6.987920612224972,-6.858416734167369,-0.7850709315773564,-0.7278900320605073,-1.3113593874692147,-1.6336106673272695,-0.3565929832876472,-0.8209857747498552,3.1378581622109443,-6.997823594818347,-6.890328298334834,-6.893271830666544,-0.7604050583675048,-2.920468690482411,-2.90873904142813,-1.7854624004277007,2.2912878474779195,1.8953530702995454,7.000000000000001,-4.644198375781977,6.99534461378355,-0.30479431236992277,0.378875043382642,2.0811203999362746,0.0,-0.5461158937939932,0.4,1.0,2.0,0.08,1.0,3.0,0.11538461538461539,0.6666666666666666,1.0,2.0,1.0,1
486,0x5f3356a59da9e74ae0f71fb0face2c5c43c6321fd34954829a56538674ce8d0a,2,0x05e362bef8c3519a945a65e187e052e23613902c,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-13 12:47:15+00:00,140908,39592978670,12572222,93641,0.0,2696,2.0,50,2020-12-13T00:00:00,1639,1678,0.9767580452920143,90,1106,1127,0.9813664596273292,211,1,0x5f3356a59da9e74ae0f71fb0face2c5c43c6321fd34954829a56538674ce8d0a,8,6,8,921,102,648222,146,363,2340525,7,6.0,3.0,1,3,-0.47304991679126585,0.03957743122078709,0.04194430139390739,-0.14187745884941266,1.2929028578491748,1.1009466901229918,2.1595943731626868,-1.6336106673272695,2.0206935719633345,1.6820196360728739,-0.29417420270727584,0.09826540638624628,-0.10772371977709383,-0.11122692591394087,0.4206010841270132,0.6927901188056437,0.6968287449476316,0.3656971181598903,-0.4364357804719851,0.2891216547914563,-0.142857142857143,0.34956331860724593,-0.1677281444254,-0.9860301458921241,0.15015970279936708,-0.6002182217102023,0.0,1.5025601552786358,0.25,0.8737864077669902,1.8219326818675352,0.0025284508571895782,0.5796703296703297,7.719178082191781,0.0004725433513663168,0.00709849157054126,0.004767580452920143,1.3333333333333333,0.06666666666666667,0
394,0x4b25719d1d5d5da4e4f9bb6166c4ee5f55f8fa37d4496a3eb8f78ac76bc9f612,2,0x4721a43133d1a13f3651a415b68f81e73edb5dc6,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-13 13:40:53+00:00,166558,50630968054,3949435,110741,0.0,556,2.0,49,2020-12-13T00:00:00,1640,1679,0.9767718880285885,90,565,588,0.9608843537414966,122,2,0x4b25719d1d5d5da4e4f9bb6166c4ee5f55f8fa37d4496a3eb8f78ac76bc9f612,14,12,8,921,102,648487,73,308,1979001,7,6.0,3.0,1,3,-0.47304991679126585,0.043869994259918,0.04613873153329813,-0.14187745884941266,0.27369721861095775,0.22395114452076229,0.6885711127044047,-1.5641544314715181,4.397980127214316,4.685626129060148,-0.29417420270727584,0.09826540638624628,-0.10772371977709383,-0.10845425166971388,-0.17397442209436487,0.1453266628529082,0.13989676955702668,0.3656971181598903,-0.4364357804719851,0.2891216547914563,-0.142857142857143,0.34956331860724593,-0.14909226839867668,-0.41541546442583305,-0.9730605881441026,-0.12486764653002101,0.0,-0.12482170998321503,0.25,0.8737864077669902,1.8230184581976112,0.0025289596723455177,0.3948220064724919,8.054794520547945,0.0002854974375973344,0.023809523809523808,0.008338296605122097,1.1666666666666667,0.13333333333333333,0
727,0xb54f46644ab29633c61f227ce1a0a1ab2d17237a49585cb4f0bd8eb82a2618a6,3,0xbae1d68661b98ba3b7dca7468b014a05a8c5e64f,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-13 13:59:15+00:00,284239,42439597740,4440642,183103,0.0,38,2.0,48,2020-12-13T00:00:00,1641,1680,0.9767857142857143,90,36,37,0.972972972972973,22,3,0xb54f46644ab29633c61f227ce1a0a1ab2d17237a49585cb4f0bd8eb82a2618a6,1,1,12,922,102,648575,21,327,2107567,7,7.0,3.0,1,3,1.0052310731814407,0.048162557299048905,0.05033316167268887,-0.14187745884941266,-0.722901271512918,-0.6725693482933908,-0.9642640114060245,-1.4946981956157668,-0.7528074091628109,-0.8209857747498552,1.6669871486745644,0.10597854660494692,-0.10772371977709383,-0.10753351456219701,-0.5975076594027438,0.33445040218203503,0.3379542051576189,0.3656971181598903,2.2912878474779195,0.2891216547914563,-0.142857142857143,0.34956331860724593,-0.06359174104191932,-0.8388726720646498,-0.9090750496571298,1.886671436580405,0.0,-0.518739376434448,0.25,0.8737864077669902,1.822125813449024,0.0025301583777383066,0.06707317073170732,1.7619047619047619,1.708129939342408e-05,0.02702702702702703,0.0005952380952380953,1.0,0.011111111111111112,0
439,0x82c81f9adc710e754a425594d0bc9c0ed03baf8353b8fd9f516578acd09975f1,2,0xbae1d68661b98ba3b7dca7468b014a05a8c5e64f,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-13 14:19:25+00:00,166576,63833814028,6409387,105953,0.0,39,2.0,47,2020-12-13T00:00:00,1642,1681,0.9767995240928019,90,37,38,0.9736842105263158,22,4,0x82c81f9adc710e754a425594d0bc9c0ed03baf8353b8fd9f516578acd09975f1,2,1,8,922,102,648650,21,327,2107642,7,6.0,3.0,1,3,-0.47304991679126585,0.05245512033817981,0.05452759181207961,-0.14187745884941266,-0.7210173424200563,-0.6709422693590639,-0.9642640114060245,-1.4252419597600157,-0.3565929832876472,-0.8209857747498552,-0.29417420270727584,0.10597854660494692,-0.10772371977709383,-0.10674879543647238,-0.5975076594027438,0.33445040218203503,0.3380697435400065,0.3656971181598903,-0.4364357804719851,0.2891216547914563,-0.142857142857143,0.34956331860724593,-0.14907919059093863,0.26711261997538616,-0.6526226599954692,-0.2579658075804718,0.0,-0.5179789176189051,0.25,0.8737864077669902,1.8232104121475055,0.002531407490314514,0.06707317073170732,1.8095238095238095,1.755515521366759e-05,0.05263157894736842,0.001189767995240928,2.0,0.011111111111111112,0
543,0x8d8ee96453f1cb59c2ddf88eec21d2faf7f72947e8deb36fd5df51376c1a1a26,3,0x0b025d49201314db012911a95ec7e4609027a693,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-13 14:46:09+00:00,163582,45002384697,5097147,103958,0.0,1093,2.0,46,2020-12-13T00:00:00,1643,1682,0.9768133174791914,90,1032,1115,0.9255605381165919,168,5,0x8d8ee96453f1cb59c2ddf88eec21d2faf7f72947e8deb36fd5df51376c1a1a26,2,2,13,922,102,648777,200,328,2111109,7,7.0,3.0,1,3,1.0052310731814407,0.056747683377310724,0.058722021951470346,-0.14187745884941266,1.1534921049774038,1.0814217429110684,1.4488752697952023,-1.3557857239042643,-0.3565929832876472,-0.3203846925853094,2.1572774865200244,0.10597854660494692,-0.10772371977709383,-0.10542000438357871,0.8604240613318681,0.34440428319935745,0.34341069782984407,0.3656971181598903,2.2912878474779195,0.2891216547914563,-0.142857142857143,0.34956331860724593,-0.15125446594470118,-0.7063880489815478,-0.8235574858919756,-0.3134233746848263,0.0,0.2835446739633335,0.23076923076923078,0.8737864077669902,1.824295010845987,0.002532453319933783,0.5106382978723404,5.575,0.0004888423625486119,0.0017937219730941704,0.0011890606420927466,1.0,0.022222222222222223,0
211,0x619b87dae8dd189ac0f3eb268d53e4d6f99ccef58efad4cb62667d1bc8125a34,2,0x10690227d831a2daef1e7728226bf2501eb8beca,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-13 21:31:51+00:00,140926,91370029140,12354015,88853,0.0,170,2.0,45,2020-12-13T00:00:00,1644,1683,0.9768270944741533,90,117,117,1.0,38,6,0x619b87dae8dd189ac0f3eb268d53e4d6f99ccef58efad4cb62667d1bc8125a34,2,2,8,922,102,650631,46,330,2127865,7,6.0,3.0,1,3,-0.47304991679126585,0.06104024641644163,0.0629164520908611,-0.14187745884941266,-0.5703030149911148,-0.5424030335472343,-0.6998103915483558,-1.2863294880485132,-0.3565929832876472,-0.3203846925853094,-0.29417420270727584,0.10597854660494692,-0.10772371977709383,-0.08602174759566618,-0.39388591069679235,0.3643120452340024,0.3692235129669995,0.3656971181598903,-0.4364357804719851,0.2891216547914563,-0.142857142857143,0.34956331860724593,-0.16771506661766195,1.690611779858357,0.1217356526603689,-0.7333163827606531,0.0,-0.4183588127827825,0.25,0.8737864077669902,1.8253796095444685,0.0025267739674654796,0.1148036253776435,2.5434782608695654,5.498466538776408e-05,0.017094017094017096,0.0011883541295306002,1.0,0.022222222222222223,0
712,0xeab93827cecb1e6d8f0ea0e55d37161f0e705d0359bd549c9a9a8972a4fed509,2,0xccff041faeb4afda1cf84b0c082d907387291453,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-14 08:30:06+00:00,140890,52817541281,5214578,93629,0.0,153,2.0,44,2020-12-14T00:00:00,1645,1684,0.9768408551068883,91,156,160,0.975,42,7,0xeab93827cecb1e6d8f0ea0e55d37161f0e705d0359bd549c9a9a8972a4fed509,2,2,8,922,103,653523,47,358,2306349,7,6.0,3.0,1,3,-0.47304991679126585,0.06533280945557254,0.06711088223025183,-0.06641072541887383,-0.49682978036950576,-0.47243863937117514,-0.6336969865839386,-1.2168732521927619,-0.3565929832876472,-0.3203846925853094,-0.29417420270727584,0.10597854660494692,-0.0412275964579003,-0.055762978107724945,-0.3857410407485543,0.6430207137190314,0.6441802148612492,0.3656971181598903,-0.4364357804719851,0.2891216547914563,-0.142857142857143,0.34956331860724593,-0.16774122223313803,-0.3023794084901477,-0.8082607051660012,-0.600551801061206,0.0,-0.4312866126470121,0.25,0.875,1.82646420824295,0.0025171225540301504,0.116991643454039,3.404255319148936,6.763934355149912e-05,0.0125,0.0011876484560570072,1.0,0.02197802197802198,0
764,0x404c8dc7365d8d77cad320b682f0aac8494fa3563ef45d5e2383656af7a5b95f,3,0x32a59b87352e980dd6ab1baf462696d28e63525d,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-14 09:59:30+00:00,250959,38664348926,25144672,165716,0.0,7318,2.0,43,2020-12-14T00:00:00,1646,1685,0.9768545994065282,91,2872,3542,0.810841332580463,197,8,0x404c8dc7365d8d77cad320b682f0aac8494fa3563ef45d5e2383656af7a5b95f,1,1,6,923,103,653935,822,365,2354831,4,6.0,1.0,1,2,1.0052310731814407,0.06962537249470345,0.07130531236964256,-0.06641072541887383,4.619921635843059,5.030342316522592,1.9281974557872268,-1.1474170163370105,-0.7528074091628109,-0.8209857747498552,-1.274754878398196,0.11369168682364757,-0.0412275964579003,-0.05145225437707772,5.926533169135938,0.7126978808402886,0.7188673062601254,-2.861042159721496,-0.4364357804719851,-2.9233411762247217,-0.142857142857143,-2.1473175285873656,-0.08777115445982778,-1.0340361501686621,1.7878704507132637,1.4033427552553865,0.0,5.017400800718016,0.5,0.875,1.8255687973997834,0.0025170658902400234,0.5382513661202186,4.309002433090025,0.0012196199134375616,0.000282326369282891,0.0005934718100890207,1.0,0.01098901098901099,0
450,0x57f9cc3caa0d804e4f40364ee42bdd547642e5f1716af137b1b8bdf14dcf8473,2,0xd8047842874e3be4a1155ad052dbd5395d3a154f,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,2021-12-14 13:45:08+00:00,140944,103069156692,2613294,88865,0.0,25,2.0,42,2020-12-14T00:00:00,1647,1686,0.9768683274021353,91,28,29,0.9655172413793104,9,9,0x57f9cc3caa0d804e4f40364ee42bdd547642e5f1716af137b1b8bdf14dcf8473,4,4,8,923,103,654942,13,95,606631,7,6.0,3.0,1,3,-0.47304991679126585,0.07391793553383436,0.07549974250903331,-0.06641072541887383,-0.7379727042558122,-0.6855859797680064,-1.1791325775403803,-1.0779607804812594,0.43583586846268,0.6808174717437823,-0.29417420270727584,0.11369168682364757,-0.0412275964579003,-0.04091609224901519,-0.6626666189886482,-1.9748499938367765,-1.9742553616066154,0.3656971181598903,-0.4364357804719851,0.2891216547914563,-0.142857142857143,0.34956331860724593,-0.16770198880992387,2.295404347533288,-1.1471088028061949,-0.7329828034096495,0.0,-0.528625341036506,0.25,0.875,1.8266522210184182,0.0025147226552539688,0.09375,2.230769230769231,4.615648366719857e-05,0.13793103448275862,0.002372479240806643,1.0,0.04395604395604396,0
