transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0xbc8f180f6f02f52a8029778bd0531cf46fcd231b8cf8adb8555cfe11ff1f43b1,4,0xf7e83ce6e179e1794c419e7b606d775582b38924,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-03-03 23:44:29.000000 UTC,232650,44016137134,17885199,180754,0,12,2,555,2021-03-03T00:00:00,436066,3000291,0.14534123523351569,79,20,20,1.0,8,14,0xbc8f180f6f02f52a8029778bd0531cf46fcd231b8cf8adb8555cfe11ff1f43b1,2,1,17,623477,78,504810,7,298,1919781,7,8,3,2,6
0x6b7f31fadf51625a9c3101f818f636f5f9cf90e0b05f65f2f649b9a32b745404,5,0x3a2effd7d1d981932ae34d45ee9e8ab61054d425,0x881d40237659c251811cec9c364ef91dc08d300c,2022-03-03 23:29:59.000000 UTC,318530,65791218877,826261,242751,0,287,2,1072,2021-03-03T00:00:00,1490642,3737593,0.3988240560168001,366,320,331,0.96676737160120851,76,1,0x6b7f31fadf51625a9c3101f818f636f5f9cf90e0b05f65f2f649b9a32b745404,10,9,21,1012159,365,2355004,66,205,1322722,10,5,5,1,2
0x857feb033edc21b6c8e57708d9c651238e3e420d5da0792e3acb64d795a59a1b,3,0x5d55ee935d1aad8cace20528c63b26bc6417b6ce,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-03-03 23:57:04.000000 UTC,303656,80861533592,485223,247377,0,2599,,78,2021-03-03T00:00:00,436108,3000742,0.14533338754214792,79,1270,1398,0.90844062947067239,217,24,0x857feb033edc21b6c8e57708d9c651238e3e420d5da0792e3acb64d795a59a1b,41,11,15,623500,78,504853,311,363,2338944,8,3,4,4,5
0x81b16881ce0df966bd41a3afc3695a81b7eecf101d57b2d89b29b00508aed33f,2,0x8df4da8138605320e8eab55fa994fb8ee4529049,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,2022-03-03 23:52:40.000000 UTC,297864,39972957234,17769277,249264,0,913,2,219,2021-03-03T00:00:00,2090081,26832710,0.077893026831803422,366,831,843,0.98576512455516019,199,14,0x81b16881ce0df966bd41a3afc3695a81b7eecf101d57b2d89b29b00508aed33f,276,111,12,2484021,365,2355106,197,365,2355060,7,4,2,1,3
0x0b52ad23df65433a6b6d8dbbdbe028534a73e407e17d2787d11ed647d93d641c,6,0x057cb7f9bb16d72904f27515363f47db9c2b160b,0x881d40237659c251811cec9c364ef91dc08d300c,2022-03-03 23:34:42.000000 UTC,249345,41899603272,14794652,179224,0,11,2,885,2021-03-03T00:00:00,1490656,3737620,0.39882492067144332,366,12,13,0.92307692307692313,7,7,0x0b52ad23df65433a6b6d8dbbdbe028534a73e407e17d2787d11ed647d93d641c,1,1,20,1012168,365,2355030,5,198,1272058,9,5,6,1,2
0x58a254f3fca8074432c54acb04175b339d671c604f5cb778834b53d183c6b712,4,0xd6fda9ffcaf5a16de4d6c9ff0f90732a048f1e2f,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-03-03 23:53:13.000000 UTC,370934,44218340868,18715684,275611,60000000000000000,40,2,191,2021-03-03T00:00:00,436099,3000603,0.14533712057209835,79,54,57,0.94736842105263153,29,19,0x58a254f3fca8074432c54acb04175b339d671c604f5cb778834b53d183c6b712,1,1,28,623493,78,504844,21,127,817710,10,12,4,2,8
0x38b8e1ba03600d1ff7c8bfc6ff99d7f43e3278f0167feee66f8d7838482ab7b4,2,0x92e96a3286cb008f5eb43801df4bcbfe5194f61b,0x03f34be1bf910116595db1b11e9d1b2ca5d59659,2022-03-03 23:34:42.000000 UTC,361745,41899603272,15373819,275568,1350000000000000000,111,2,876,2021-03-03T00:00:00,223260,254804,0.876202885355018,366,210,213,0.9859154929577465,24,2,0x38b8e1ba03600d1ff7c8bfc6ff99d7f43e3278f0167feee66f8d7838482ab7b4,82,23,17,24636,365,2355018,12,24,155927,11,6,6,1,2
0x6be6cfa288d2ee0f57f4ba0e02ef4344b9129224b352016ca38ac6e30e1a5510,1,0x24a7471e40087126ee330dd4bd1c6a68af3bc02e,0x6b7a87899490ece95443e979ca9485cbe7e71522,2022-03-03 23:58:38.000000 UTC,99753,59309539944,24593903,79803,0,66,2,37,2021-03-03T00:00:00,96717,111294,0.86902258881880423,251,58,63,0.92063492063492058,22,5,0x6be6cfa288d2ee0f57f4ba0e02ef4344b9129224b352016ca38ac6e30e1a5510,1,1,5,28237,255,1641103,17,359,2315237,4,3,1,1,2
0x82681bbfd8b4c1f57beef63b1f4716b53f6ae43be82e3a07f65491db60d3c79a,5,0x4f7aec5cb7a07bcf816ead6b85559c82e62a3f7c,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-03-03 23:53:13.000000 UTC,471291,43718340868,29029668,337436,0,805,2,192,2021-03-03T00:00:00,436099,3000603,0.14533712057209835,79,585,601,0.9733777038269551,116,20,0x82681bbfd8b4c1f57beef63b1f4716b53f6ae43be82e3a07f65491db60d3c79a,6,5,34,623493,78,504844,50,365,2354547,11,8,4,4,9
0x69f34f71914477415aadfbb9112374e7e5cc1495aaf4e1b6daf6f956cf0fa2b1,2,0xdae070c037af4354ee50c495e36bfc305143abbe,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,2022-03-03 23:44:57.000000 UTC,147595,49450000000,1327625,128571,0,12777,,547,2021-03-03T00:00:00,2090054,26832543,0.077892505380500091,366,13298,13360,0.99535928143712571,319,10,0x69f34f71914477415aadfbb9112374e7e5cc1495aaf4e1b6daf6f956cf0fa2b1,7942,311,7,2484019,365,2355076,128,365,2354791,5,2,2,1,2
0xb9dc335fba31efcc89de0429c6366a454d2966f1887f0f88c3d8453fa35422ca,1,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,0xa24787320ede4cc19d800bf87b41ab9539c4da9d,2022-03-03 23:48:22.000000 UTC,500000,52573803207,2101239,68866,0,1080709,,433,2021-03-03T00:00:00,289124,522184,0.55368222695448344,366,214430,739659,0.28990386110356259,366,7,0xb9dc335fba31efcc89de0429c6366a454d2966f1887f0f88c3d8453fa35422ca,221724,366,6,71,365,2355085,2,365,2355085,7,0,5,1,2
0x6449da3defdee1ad412f1a073d37c5f112273ab234539cdf862507b4871f224a,3,0x2f34ee226e149a1fe2d03e883df9544d84c1c47c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,2022-03-03 23:38:00.000000 UTC,250240,47979948169,10024081,179946,0,3636,2,769,2021-03-03T00:00:00,123114,147342,0.83556623366046345,190,1468,1628,0.90171990171990168,161,1,0x6449da3defdee1ad412f1a073d37c5f112273ab234539cdf862507b4871f224a,2,1,14,46821,197,1267720,238,364,2345947,9,4,5,1,5
0x5ff121590b265b738d5ba4eceeb10f0897076dad6e0e65ee3c064000cac6eb94,6,0x929202f368dbd48fcad49432c8f756e2742bf731,0xdef1c0ded9bec7f1a1670819833240f027b25eff,2022-03-03 23:36:37.000000 UTC,656797,44842646429,4867537,440072,0,70,2,823,2021-03-03T00:00:00,776817,1100941,0.70559366941552726,366,68,72,0.94444444444444442,13,1,0x5ff121590b265b738d5ba4eceeb10f0897076dad6e0e65ee3c064000cac6eb94,9,3,31,212023,365,2355037,26,21,135739,14,7,7,1,4
0xd09e24d2d9cc6686fcde80dcfa0942006b93e954f2b16a0c1c90dff3e649bc5c,1,0x13c5b697dcf933b0f78553410738db282511c1ff,0x6b7a87899490ece95443e979ca9485cbe7e71522,2022-03-03 23:53:13.000000 UTC,99741,44218340868,19719638,79793,0,16,2,188,2021-03-03T00:00:00,96716,111293,0.86902141194864,251,18,18,1.0,9,4,0xd09e24d2d9cc6686fcde80dcfa0942006b93e954f2b16a0c1c90dff3e649bc5c,1,1,5,28236,255,1641089,9,37,242391,4,3,1,1,2
0x596d1e5c7e0766b62541404298476682c434af79a31075fe53022ceb31da1901,1,0xb5722c2da8e972c2bb93f1cb3ce010f80064f996,0xb37d31b2a74029b5951a2778f959282e2d518595,2022-03-03 23:32:05.000000 UTC,92785,49783770255,11617386,87801,0,4,2,997,2021-03-03T00:00:00,4985,5167,0.96477646603444944,78,7,7,1.0,2,1,0x596d1e5c7e0766b62541404298476682c434af79a31075fe53022ceb31da1901,2,1,2,1377,78,508205,4,26,169994,3,0,1,1,1
0x632429c51907f23cd39829e187527d2ba51a449f67cbc9f0bd076201f7952f78,1,0x87b2f17aab6205665064f8c7d375c889f6f2d90b,0x6b7a87899490ece95443e979ca9485cbe7e71522,2022-03-03 23:50:53.000000 UTC,99765,44641111176,27101445,79812,0,17,2,303,2021-03-03T00:00:00,96714,111291,0.86901905814486347,251,24,24,1.0,15,3,0x632429c51907f23cd39829e187527d2ba51a449f67cbc9f0bd076201f7952f78,2,1,5,28234,255,1641078,9,135,872031,4,3,1,1,2
0x6df6da5d8b66b2b681f9580abd433b7626c1338e7af77b61d9ed61c08e68e8b1,1,0xc6e6f2120ed2a4b865fb8b495df0278f607c9313,0xe2fe530c047f2d85298b07d9333c05737f1435fb,2022-03-03 23:31:10.000000 UTC,600000,58243534238,25360120,307667,26415770814884850,5,2,1015,2021-03-03T00:00:00,8543,8677,0.98455687449579343,218,7,7,1.0,1,1,0x6df6da5d8b66b2b681f9580abd433b7626c1338e7af77b61d9ed61c08e68e8b1,1,1,12,4050,217,1396592,3,0,198,10,5,5,1,5
0x2862fa152c467d9a86002cf3283cc19562486161b2c9071b7671202817dbe3f9,1,0xea18fbd4d6e70476a845f8ea1753618ab3002357,0xa929022c9107643515f5c777ce9a910f0d1e490c,2022-03-03 23:52:40.000000 UTC,400000,150000000000,2045764,114004,0,6248,,218,2021-03-03T00:00:00,10428,16639,0.62672035579061247,363,5610,6198,0.90513068731848989,347,1,0x2862fa152c467d9a86002cf3283cc19562486161b2c9071b7671202817dbe3f9,6191,347,12,26,365,2353785,1,365,2353785,5,5,2,1,2
0xe6f6f99f9366d60662577cc4f765bf2096a6507c6a5a8ac39919d8325fb966f3,1,0x6de8130edb74fd7997f5859ef284f1dc0bf49fa2,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,2022-03-03 23:45:36.000000 UTC,381446,31251949549,3546943,265239,0,27,2,518,2021-03-03T00:00:00,1017134,1820074,0.55884211301298736,366,36,37,0.972972972972973,13,2,0xe6f6f99f9366d60662577cc4f765bf2096a6507c6a5a8ac39919d8325fb966f3,14,12,6,629378,365,2355070,7,116,750238,7,1,4,1,3
0x0a3aaf4cca8e96a129dfa9e1bf08a79ac7aa19f619be9d8b2b258335f2a1690d,1,0x3cd751e6b0078be393132286c442345e5dc49699,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-03-03 23:35:34.000000 UTC,250000,43603087289,3600737,46097,0,6581467,2,860,2021-03-03T00:00:00,2247935,39479507,0.056939287514405891,366,1389694,7078860,0.19631607349205946,311,179,0x0a3aaf4cca8e96a129dfa9e1bf08a79ac7aa19f619be9d8b2b258335f2a1690d,1242284,310,1,7298206,365,2355036,3080571,309,1988110,2,,,1,0
0x44ca71d0632658b490375c8691b213331ce4c8a6e69b2eaa7249da202bb1a5c8,3,0x8abef398a60c87b0ff9d5bf79ce203a2f23fb034,0x197830c2a4078e1df662b798c671c8629e09edb0,2022-03-03 23:39:01.000000 UTC,159427,35573632025,10264798,106285,0,1,,726,2021-03-03T00:00:00,1,1,1.0,1,3,3,1.0,3,1,0x44ca71d0632658b490375c8691b213331ce4c8a6e69b2eaa7249da202bb1a5c8,1,1,4,1,0,0,2,43,282437,3,2,1,1,1
0xc04fa8cbb470539ee88ef2de47a2665a1c63b683145661dd552310ba28482c29,2,0x07ff272ab68ad9f98fe9e06f15c97a55e5e6fbd9,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,2022-03-03 23:36:20.000000 UTC,333812,46906354337,11953740,268501,0,90,2,837,2021-03-03T00:00:00,2090022,26832402,0.0778917221052368,366,86,87,0.9885057471264368,37,5,0xc04fa8cbb470539ee88ef2de47a2665a1c63b683145661dd552310ba28482c29,27,19,12,2484018,365,2355038,21,320,2060239,7,4,2,1,3
0x299cfb89529470d93225668bb156ebd568e7b302968767aa4c9dc935959d9202,1,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-03-03 23:42:59.000000 UTC,94831,48101544614,310094,63197,0,1738061,,612,2021-03-03T00:00:00,2247959,39479704,0.05693961130002393,366,367660,792811,0.46374230428185281,366,377,0x299cfb89529470d93225668bb156ebd568e7b302968767aa4c9dc935959d9202,82003,366,1,7298240,365,2355065,168203,365,2355063,2,,,1,0
0x5f61e46d28ec3848f978d3703b2881a6725a5bc899759bb5b1579cfdc01a77d7,1,0xa910f92acdaf488fa6ef02174fb86208ad7722ba,0xe6ce3ec98e6e545bde7bcc9dce3c43a6e1e1a5c8,2022-03-03 23:42:37.000000 UTC,70000,51500172443,1299584,46783,0,797728,,638,2021-03-03T00:00:00,9,9,1.0,9,277448,390010,0.71138688751570478,365,1,0x5f61e46d28ec3848f978d3703b2881a6725a5bc899759bb5b1579cfdc01a77d7,9,9,2,1,304,1954670,64823,365,2355038,3,0,1,1,1
