transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x24750e01aad1d335ce36d27ddd4ade5f0e41092a25ac661ce1c9e1d2de18b081,4,0x661f8f426fb1fedd25b0c67da0a0d40d9be3b25b,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-06-04 00:00:00.000000 UTC,256704,47675272097,12035371,190110,0.0,424,2,18,2021-06-04T00:00:00,948220,6632097,0.14297438653264571,172,494,497,0.993963782696177,131,75,0x24750e01aad1d335ce36d27ddd4ade5f0e41092a25ac661ce1c9e1d2de18b081,210,77,21,997074,171,1087841,53,227,1443276,8,9,4,2,6,1.325029098883854,-0.8328333553206302,-0.45145587223154876,-1.5088834055937272,-0.5352191001475373,-0.42738509091677046,-0.13550218501973413,-0.30886421125172087,-0.48134701442417693,-0.28767490665103085,1.0812201171522815,-0.8725084930993023,-1.5938469651814395,-1.6051361819658847,-0.23550231157265705,-0.038400085948874674,-0.05029704485392631,0.8667244681784471,2.0707670620190712,0.7716313826785015,0.6492154941116084,2.1219662242374926,0.02155874625112863,-0.7024958671226584,0.2230630819302221,0.5996383299135501,-0.0,-0.442698625246434,0.19047619047619047,1.0,6.651559462988705,0.8716523171563517,0.5745614035087719,9.377358490566039,0.0003422766385108333,0.4225352112676056,3.166419309005885e-05,2.727272727272727,0.4476744186046512,0
0x078ae87fe69c4c3195c1072279030fde2fe0782329226a46107066eb33cbe31d,1,0xac1b93856c8b652ba0965204f911a9088d97ddc9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-04 00:00:00.000000 UTC,250000,47675272097,9648394,43725,0.0,50,2,2,2021-06-04T00:00:00,1995957,11602082,0.1720343814153356,366,75,75,1.0,19,319,0x078ae87fe69c4c3195c1072279030fde2fe0782329226a46107066eb33cbe31d,25,19,2,2829207,365,2335483,5,56,351894,3,1,1,1,1,-0.5453914415941579,0.6918355008667509,0.6781243341268715,0.5322018235818676,-0.5366269170915295,-0.4278528995481161,-0.8629129143153033,2.0692108259578044,-0.4820035794928476,-0.6496786611465191,-0.5828218491935215,0.758031009090131,0.5298836454901447,0.5199308897124303,-0.23576880332710543,-1.2106563682844924,-1.2166081192943463,-0.6114755147666714,-0.5438941938876087,-0.689385642488817,-0.43693233254495556,-0.5597512821729597,0.005778601704290854,-0.7024958671226584,-0.07229456213458173,-0.6186079240566944,-0.0,-0.4430378863007032,0.5,1.0,4.100824718728605,0.854622425158982,0.3333333333333333,15.0,0.00021313175805282825,0.3333333333333333,2.154785666917369e-06,1.3157894736842106,0.05191256830601093,0
0xbb336791d5b0192f778fc88777df567841717b0ebd04458cf229e69646c8f54f,2,0xd5f8599710a3d1403587931b7770e6677b4e9821,0xbeefbabeea323f07c59926295205d3b7a17e8638,2022-06-03 23:48:52.000000 UTC,232818,59626476168,20236543,107856,0.0,5935,2,295,2021-06-03T00:00:00,2997,6386,0.469307860945819,4,5970,5971,0.9998325238653492,121,4,0xbb336791d5b0192f778fc88777df567841717b0ebd04458cf229e69646c8f54f,91,3,9,79,3,19245,3,120,764836,6,3,3,1,2,0.07808207189851284,-2.2083236455862263,-1.9573501553433197,-3.276421129828263,-0.5168200414713999,-0.42131688132438627,-0.20044957156398135,-1.0008450622430172,-0.4817693454683489,-0.7495417658349296,0.030246243670721706,-1.7598020089004773,-3.4329538857630175,-3.425240164139586,-0.23577990715020744,-0.7719171748957232,-0.7753154942541899,0.27544447500039965,0.10977112008906131,0.2846257076227287,-0.43693233254495556,-0.023407780890869135,-0.034665080217512044,-0.13583801939929338,1.2378524328499148,-0.08489647470487727,-0.0,-0.4376995138291151,0.2222222222222222,1.0,80.83544303797468,0.15572066922996985,1.0,1990.3333333333333,0.007805584719358504,0.015240328253223915,0.014249921703726902,30.333333333333332,0.75,0
0x4bd73bcc89d7b4bd7e80fe7671eb256ec52c6941a9d713adf1deabe7fc0e9cb5,1,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-03 23:50:19.000000 UTC,250000,61526884414,16811762,48513,0.0,1125547,2,261,2021-06-03T00:00:00,2001936,11637242,0.17202838954453298,366,635079,987738,0.6429630124587694,366,164,0x4bd73bcc89d7b4bd7e80fe7671eb256ec52c6941a9d713adf1deabe7fc0e9cb5,811772,366,2,2835676,365,2341848,23,365,2341843,3,1,1,1,1,-0.5453914415941579,0.700536152930336,0.6861155131858752,0.5322018235818676,1.5969515810059667,0.6670221626811399,1.3907613987700762,0.5585484047796224,2.398886824821852,1.5161024217833847,-0.5828218491935215,0.763788211236298,0.5298836454901447,0.5307721822556699,-0.23566886891918729,0.9076312997956589,0.9099612727898545,-0.6114755147666714,-0.5438941938876087,-0.689385642488817,-0.43693233254495556,-0.5597512821729597,0.005778601704290854,-0.04573151296893428,0.8140799174055251,-0.5787611975204405,-0.0,0.5779174580756739,0.5,1.0,4.103868707144257,0.8548527253465104,1.0,42945.13043478261,0.2711875769692601,0.8218495187995197,0.0697563907324433,2217.9562841530055,1.0,0
0x24de78024a885ee89be62d52b99f446d74868a8f194d3536e2c65427be9358a8,1,0xb4ed6aeef46a0d8523f3229dcaaadbe0907a72fb,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-03 23:47:33.000000 UTC,60760,49861604440,4015703,60311,0.0,3,2,327,2021-06-03T00:00:00,2001928,11637201,0.1720283081816667,366,7,7,1.0,3,123,0x24de78024a885ee89be62d52b99f446d74868a8f194d3536e2c65427be9358a8,1,1,2,2835667,365,2341839,2,109,693137,3,1,1,1,1,-0.5453914415941579,0.700524511315265,0.6861061946892477,0.5322018235818676,-0.5368553933497431,-0.4279282810337358,-0.9668287327860988,0.15895382885507103,-0.4820887555017562,-0.762024653920981,-0.5828218491935215,0.7637802015254749,0.5298836454901447,0.5307568528553731,-0.23578545906175846,-0.8473254737594179,-0.8519370050783593,-0.6114755147666714,-0.5438941938876087,-0.689385642488817,-0.43693233254495556,-0.5597512821729597,-0.4396621133976752,-0.5988324728293085,-0.7692674879336254,-0.4805758007629794,-0.0,-0.4430805207112664,0.5,1.0,4.10386727355504,0.8548525945410447,0.02727272727272727,3.5,1.0098999044923233e-05,0.14285714285714285,8.59313163019183e-08,1.0,0.00273224043715847,0
0xea6baeaa044fd42acdce2722608b7ac053cb0303581096aed8cf7de709970d8f,1,0xae2d4617c862309a3d75a0ffb358c7a5009c673f,0xa24787320ede4cc19d800bf87b41ab9539c4da9d,2022-06-03 23:41:23.000000 UTC,500000,52216180161,12145986,71363,0.0,468624,2,460,2021-06-03T00:00:00,244130,455554,0.5358969518432501,366,121331,253007,0.4795559016153703,366,1,0xea6baeaa044fd42acdce2722608b7ac053cb0303581096aed8cf7de709970d8f,128368,366,7,119,365,2341811,2,365,2341811,8,1,6,1,2,-0.5453914415941579,-1.8574264497259754,-1.8552630701449542,0.5322018235818676,-0.12921342935710578,-0.14746481247816393,1.3907613987700762,-1.0300836897496917,-0.026514224852841016,1.5161024217833847,-0.14491606857620493,-1.7597664101857073,0.5298836454901447,0.530709161387783,-0.23578545906175846,0.9076312997956589,0.9099270758227228,0.8667244681784471,-0.5438941938876087,1.7456427327900472,-0.43693233254495556,-0.023407780890869135,0.5942386459628594,-0.487191938332778,0.23675026274437666,-0.38859877033719026,-0.0,-0.017987326827140385,0.14285714285714285,1.0,3828.18487394958,0.10424833419591326,1.0,126503.5,0.05181073459355405,0.5073693613220187,0.28178437682470137,350.73224043715845,1.0,0
0x930f54464b75544da830704cc5026ba86c1b073c04004a75344baddbbf028d83,1,0xc4da528d891b734f658b1650ee9ca8b3b645ea1c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-03 23:47:28.000000 UTC,91140,48285528735,6123260,60311,0.0,0,2,335,2021-06-03T00:00:00,2001927,11637197,0.17202828138081705,366,2,2,1.0,1,118,0x930f54464b75544da830704cc5026ba86c1b073c04004a75344baddbbf028d83,1,1,2,2835665,365,2341838,1,0,0,3,1,1,1,1,-0.5453914415941579,0.7005230561133813,0.6861052855676255,0.5322018235818676,-0.5368721930746118,-0.42793382379003136,-0.9798182100949483,0.11022278301061356,-0.4820887555017562,-0.762024653920981,-0.5828218491935215,0.7637784215897363,0.5298836454901447,0.5307551495886734,-0.23579101097330946,-1.5945531624996656,-1.592661480289064,-0.6114755147666714,-0.5438941938876087,-0.689385642488817,-0.43693233254495556,-0.5597512821729597,-0.3681524488193739,-0.6735609823199556,-0.5084844681339852,-0.4805758007629794,-0.0,-0.44308324205662153,0.5,1.0,4.1038687574166905,0.8548525325609488,1.0,2.0,2.0,0.5,8.593134583869294e-08,1.0,0.00273224043715847,0
0x26bea4730b1087b31b0f7eabef90d6c92e4a15ee490a1fb18c70252b20a19ed8,1,0x912fd21d7a69678227fe6d08c64222db41477ba0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-03 23:50:57.000000 UTC,120000,79217949738,4573670,65625,0.0,1083172,0,254,2021-06-03T00:00:00,2001937,11637253,0.1720283128673064,366,463818,594652,0.7799822417144817,366,172,0x26bea4730b1087b31b0f7eabef90d6c92e4a15ee490a1fb18c70252b20a19ed8,32988,366,2,2835676,365,2341849,309322,365,2341843,3,1,1,1,1,-0.5453914415941579,0.7005376081322198,0.6861180132703362,0.5322018235818676,1.0215240448602492,0.23126618244147382,1.3907613987700762,0.6365180781307544,-0.36501788025721704,1.5161024217833847,-0.5828218491935215,0.763788211236298,0.5298836454901447,0.5307738855223695,1.481531821896014,0.9076312997956589,0.9099612727898545,-0.6114755147666714,-0.5438941938876087,-0.689385642488817,-0.43693233254495556,-0.5597512821729597,-0.3002206213101648,0.793077776946612,-0.700226261903418,-0.4363515934084152,-0.0,0.5394784549348846,0.5,1.0,4.10387258628983,0.8548527873262591,1.0,1.922436813417733,0.1980567450265688,0.055474462374632556,0.002834689595560052,90.1311475409836,1.0,0
0xbc974103a93159b14546f13f502ec44343f39274243e11245ab3948019dd58cb,1,0x74dc2a94edf7232b57371402d2720fd2e3879776,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-03 23:55:07.000000 UTC,72779,59787624413,20827068,60825,0.0,214,2,138,2021-06-03T00:00:00,2001950,11637323,0.17202839519019966,366,152,156,0.9743589743589743,55,242,0xbc974103a93159b14546f13f502ec44343f39274243e11245ab3948019dd58cb,1,1,2,2835693,365,2341863,53,365,2340211,3,1,1,1,1,-0.5453914415941579,0.70055652575671,0.6861339228987243,0.5322018235818676,-0.5363682013285525,-0.42776310689612795,-0.6291023227560132,1.3187527199531592,-0.4820887555017562,-0.762024653920981,-0.5828218491935215,0.7638033406900753,0.5298836454901447,0.5307977312561646,-0.23550231157265705,0.9076312997956589,0.9082172274661394,-0.6114755147666714,-0.5438941938876087,-0.689385642488817,-0.43693233254495556,-0.5597512821729597,-0.41137130830990026,-0.12819728988504478,1.3109222918227361,-0.4762981864272161,-0.0,-0.44288911942129106,0.5,1.0,4.103872668867893,0.8548532280269051,0.15027322404371585,2.943396226415094,6.495138047322208e-05,0.00641025641025641,8.593041544004579e-08,1.0,0.00273224043715847,0
0x7be309f52d4709768a3c5c1705292a4f1e4330957aed032c155400de5734381a,4,0x0fb19cbbcface7f005f11e7de9c5af0eef919fca,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-06-03 23:52:48.000000 UTC,241068,89000000000,298937,159809,0.0,1947,0,212,2021-06-03T00:00:00,948190,6631896,0.14297419621779353,171,2274,2296,0.990418118466899,247,47,0x7be309f52d4709768a3c5c1705292a4f1e4330957aed032c155400de5734381a,69,43,19,997059,170,1087809,384,288,1843377,6,4,5,4,5,1.325029098883854,-0.8328770113771459,-0.45150155559306354,-1.5194044634760757,-0.5292383980943005,-0.4253908072016263,0.6178874988935339,-0.5817580679806827,-0.48184742347651516,-0.49988400411390327,0.9060578049053549,-0.872521842617341,-1.6047940301849013,-1.6051906865002734,-0.23366462884927341,0.379773207749796,0.3772729784694256,0.27544447500039965,0.43660377707739634,1.2586370577342743,2.821511147424736,1.5856227229554023,-0.015245898756979284,1.2568867383580533,-1.2291693844748006,0.3474671392754904,-0.0,-0.4413170889211615,0.21052631578947367,1.0,6.651457937795056,0.8716503801215286,0.8546712802768166,5.979166666666667,0.0012336048276587873,0.03005226480836237,1.040426448183144e-05,1.6046511627906976,0.25146198830409355,0
