transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0xf798ba3e8eaeacaaa0bc59cbc8f56bc529916505f36aa5146d776eda75f55893,1,0x8df9bd5b38765d32dad71ed581d17c88d9198662,0xf4e4c445a64d1f3eb7192ef78b956aca78f893e5,2022-02-12 22:40:03.000000 UTC,1143522,48971450669,5267803,750291,0,50,2,147,2021-02-12T00:00:00,16,16,1.0,8,51,56,0.9107142857142857,8,10,0xf798ba3e8eaeacaaa0bc59cbc8f56bc529916505f36aa5146d776eda75f55893,4,3,9,10,14,91394,19,11,75455,8,1,4,1,3
0x2971d5e60b7c8643d7334f0be1df68341614e72baaa1ba7b342a6f21acbfb2fe,1,0x810ea87d6f4d08a9c1701dd0a6b6ae94bb4fe3fa,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2021-10-26 20:39:56.000000 UTC,262833,166909330455,20838302,168171,0,10,2,626,2020-10-26T00:00:00,142,144,0.98611111111111116,35,14,14,1.0,5,144,0x2971d5e60b7c8643d7334f0be1df68341614e72baaa1ba7b342a6f21acbfb2fe,4,4,7,91,90,578167,4,18,115090,8,2,3,1,4
0x6beb016cc4295f6887931e3dd527de2bfe501d733c6d288c35320e46effdc2d5,1,0x0f74fa649a61e3c21073fb0e7f773e181538c27c,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-01-18 14:36:00.000000 UTC,147274,158303749422,9495704,97133,0,136,2,389,2021-01-18T00:00:00,365,368,0.99184782608695654,112,144,150,0.96,39,368,0x6beb016cc4295f6887931e3dd527de2bfe501d733c6d288c35320e46effdc2d5,6,3,5,182,174,1113080,38,87,554484,6,1,3,1,3
0x75957d3ec0a0e57a2c367835c6b6b86fca44d1fd9814beadbab0031a19088f72,1,0x0ea04fd8592e677ab4cd20835334f5c8a5098893,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2021-11-11 14:37:32.000000 UTC,173313,137405763460,5520873,109421,0,1,2,570,2020-11-11T00:00:00,198,200,0.99,51,3,3,1.0,2,200,0x75957d3ec0a0e57a2c367835c6b6b86fca44d1fd9814beadbab0031a19088f72,1,1,5,109,106,678505,2,0,37,6,1,3,1,3
0x62cedb17f4572f6a6a7e375d12cdc10fb7c747419fa19be2bcfb6c715b38f25d,31,0x2fa3f1d0a1c75fbe0df8de9c787d12d0b5c3c752,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-26 02:04:24.000000 UTC,2000000,53153397800,7125778,865642,0,24,2,48,2021-02-26T00:00:00,662,671,0.98658718330849482,151,28,28,1.0,7,671,0x62cedb17f4572f6a6a7e375d12cdc10fb7c747419fa19be2bcfb6c715b38f25d,8,6,80,254,213,1361948,4,17,109404,11,27,9,3,6
0x898e8ebbaedf73712650a2cbc9093951aaf578ddbc993bce31e1f6f7a55d18a7,2,0x2a2ce7cab6625d3b7b18384dccd4105d972060d4,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-01-20 00:08:30.000000 UTC,594007,116600000000,1410757,380707,0,10,,376,2021-01-20T00:00:00,378,381,0.99212598425196852,114,12,12,1.0,3,381,0x898e8ebbaedf73712650a2cbc9093951aaf578ddbc993bce31e1f6f7a55d18a7,4,3,18,183,176,1122156,3,4,24611,9,7,5,2,5
0xdbed8b106734f6d4f75da113430a2b98aa82a7c9b949379e26775e8e63266bc9,1,0xecedc424736852f940ed2d6a9375c747b412fe2b,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-04 21:09:31.000000 UTC,382153,154707896297,17255160,248476,0,28,2,228,2021-02-04T00:00:00,507,513,0.98830409356725146,129,31,32,0.96875,13,513,0xdbed8b106734f6d4f75da113430a2b98aa82a7c9b949379e26775e8e63266bc9,3,3,9,206,191,1224930,13,198,1270678,8,4,3,1,4
0x9dd2d906ff3f58c5e63551280115fec63e31bf30cfe11694543f5982712563a6,1,0x7139887d44353eff8e45c4a911a7d81e1b252d81,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2021-10-10 16:12:45.000000 UTC,292554,73337197471,3496955,192473,0,5,,685,2020-10-10T00:00:00,86,86,1.0,20,8,9,0.88888888888888884,5,86,0x9dd2d906ff3f58c5e63551280115fec63e31bf30cfe11694543f5982712563a6,1,1,5,63,74,474919,5,323,2087837,6,1,3,1,3
0x4ed0632393eea27fb5e4cd191adcb5bf9d73d67633a70e2600cb8f8b7ec70c1e,1,0xaddd5517468a007ae41ab9615a5a9f08c80aa779,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2021-10-08 04:00:04.000000 UTC,246130,100612822805,5474448,162007,0,1,2,696,2020-10-08T00:00:00,75,75,1.0,18,3,3,1.0,1,75,0x4ed0632393eea27fb5e4cd191adcb5bf9d73d67633a70e2600cb8f8b7ec70c1e,1,1,5,56,72,458938,2,0,35,6,1,3,1,3
0xeceb5718568dcb6c01a9d79b2d28fb59b33e5693ff202712659c49a53069a10b,1,0xbc62d3508a7b138ed8e6ecc67aa1b21b79953666,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-01-07 07:37:38.000000 UTC,147256,116901491504,9024630,97121,0,886,2,418,2021-01-07T00:00:00,336,339,0.99115044247787609,103,815,821,0.99269183922046289,203,339,0xeceb5718568dcb6c01a9d79b2d28fb59b33e5693ff202712659c49a53069a10b,3,2,5,176,163,1040040,205,365,2349980,6,1,3,1,3
