transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0xb1aa13d956409bbc409f8dd1cda5470efde884347cf0aa64e6ec163ca868e9e8,2,0xcfc39bf6b0a6d1af7d988c40c1d04b227506d928,0xd06527d5e56a3495252a528c4987003b712860ee,2021-08-19 04:32:39.000000 UTC,846858,23615961652,15979243,418506,0,110,2,352,2020-08-19T00:00:00,19254,19620,0.98134556574923548,366,131,131,1.0,22,234,0xb1aa13d956409bbc409f8dd1cda5470efde884347cf0aa64e6ec163ca868e9e8,1,1,34,3265,365,2366326,44,128,820300,19,6,7,2,3
0x58c364b02628a07dfd4ad91ade7df06c6bfc3069b07890c6951fa06f36d683f9,1,0xcca5653c42f4bd2413a1ffb3010cea758b40df79,0xd06527d5e56a3495252a528c4987003b712860ee,2021-08-17 20:23:44.000000 UTC,251154,55594770562,27690927,120732,6832620763378228216,703,2,393,2020-08-17T00:00:00,19565,19935,0.981439678956609,366,690,710,0.971830985915493,118,218,0x58c364b02628a07dfd4ad91ade7df06c6bfc3069b07890c6951fa06f36d683f9,18,12,6,3276,365,2370663,171,362,2350432,5,2,2,1,2
0xec4d1c2193e1aa9b158c9cbce46276d8c98c1a3e40efb8ce4b7746de20845b1d,1,0xf9f048c4c86cb89e5c39ad94355ecd7aee56c606,0x797aab1ce7c01eb727ab980762ba88e7133d2157,2021-08-01 01:55:53.000000 UTC,774948,21200000000,12326231,362083,0,2632,,929,2020-08-01T00:00:00,10930,11062,0.988067257277165,364,1558,1692,0.92080378250591022,158,15,0xec4d1c2193e1aa9b158c9cbce46276d8c98c1a3e40efb8ce4b7746de20845b1d,25,19,36,1829,364,2356669,193,347,2245041,18,7,6,4,5
0xba24906b12667a2e1718596c66def994d451544d72cf6885a775f2bf9bf5de33,1,0xb0e83c2d71a991017e0116d58c5765abc57384af,0x44fbebd2f576670a6c33f6fc0b00aa8c5753b322,2021-08-03 12:43:46.000000 UTC,2194266,34000000000,13435829,1075653,0,7565,,848,2020-08-03T00:00:00,20391,20766,0.98194163536550128,366,3443,3576,0.9628076062639821,295,17,0xba24906b12667a2e1718596c66def994d451544d72cf6885a775f2bf9bf5de33,6,5,144,2786,365,2368163,437,365,2365681,62,26,8,4,5
0x60358bd5ac3d1fcbf54ed8f9c80835db601b576934ade30dfc5d4921483246e5,1,0x3ee505ba316879d246a8fd2b3d7ee63b51b44fab,0x10a3da2bb0fae4d591476fd97d6636fd172923a8,2021-08-08 19:45:32.000000 UTC,2975274,67732726988,6699355,1422022,0,9281,,674,2020-08-08T00:00:00,436,437,0.99771167048054921,134,6698,7480,0.8954545454545455,329,3,0x60358bd5ac3d1fcbf54ed8f9c80835db601b576934ade30dfc5d4921483246e5,1,1,190,151,233,1508564,648,365,2364626,76,37,7,4,4
0x386dd650d7e381be810c77478964ab28a1d44ed1deaeb76a5217a60df90ece26,1,0x31adfbf4f653bcdc3a12c889fa721ee76605ffa8,0x17107f40d70f4470d20cb3f138a052cae8ebd4be,2021-08-30 01:16:05.000000 UTC,3527496,72774022779,16927830,1650467,0,1337,2,78,2020-08-30T00:00:00,1442,1447,0.99654457498272286,261,998,1059,0.94239848914069879,126,1,0x386dd650d7e381be810c77478964ab28a1d44ed1deaeb76a5217a60df90ece26,8,8,185,348,365,2364914,186,365,2364840,78,27,9,4,5
0x47552db1b5d524cc6c746383e159e92c3d9c05b3ec646a12f00bbb47b1b4fbf6,2,0xb48275048fb56da1da442b0f7cb7819a78a6a331,0xd06527d5e56a3495252a528c4987003b712860ee,2021-08-12 08:49:33.000000 UTC,955959,46200000000,11695107,627583,0,480,,535,2020-08-12T00:00:00,19656,20029,0.98137700334514955,366,486,494,0.98380566801619429,118,156,0x47552db1b5d524cc6c746383e159e92c3d9c05b3ec646a12f00bbb47b1b4fbf6,25,18,79,3266,365,2366936,82,336,2176087,37,15,5,2,3
0x65c962be276ab87f6b87cb1d3a900d0d25093dadfa4cdef4767e03d57cc79449,1,0x9bf62c518ffe86bd43d57c7026aa1a4fbea83b15,0x797aab1ce7c01eb727ab980762ba88e7133d2157,2021-08-14 01:22:30.000000 UTC,1492539,47335172539,14759525,951899,0,1685,,487,2020-08-14T00:00:00,10497,10622,0.98823197138015439,365,1562,1820,0.85824175824175819,133,42,0x65c962be276ab87f6b87cb1d3a900d0d25093dadfa4cdef4767e03d57cc79449,20,12,127,1812,365,2365278,160,328,2119916,53,26,6,4,4
0xe23055a0f5bdc483210fff5eee17cf189ccb4b1afc93aacd37f594e70b03a76e,1,0x6aed19abab347eb07a2c8b264fc5c4c1b002210b,0x797aab1ce7c01eb727ab980762ba88e7133d2157,2021-08-06 02:01:47.000000 UTC,980926,48000000000,4444176,478462,0,3687,,785,2020-08-06T00:00:00,10702,10827,0.98845478895354211,365,3585,3758,0.95396487493347526,243,25,0xe23055a0f5bdc483210fff5eee17cf189ccb4b1afc93aacd37f594e70b03a76e,8,8,60,1825,365,2365680,218,365,2362205,27,10,7,4,5
0xe37a1f01d80b0ed4bd2799b68e3185f855a95a6f247754a21fa2989e5ad6442c,1,0xe7c176b1b200fd38f0f828d645bf8987b350ba54,0x1d0986fb43985c88ffa9ad959cc24e6a087c7e35,2021-08-02 04:46:08.000000 UTC,1009152,25000000000,6599038,492355,0,350,,887,2020-08-02T00:00:00,474,474,1.0,129,358,367,0.97547683923705719,60,1,0xe37a1f01d80b0ed4bd2799b68e3185f855a95a6f247754a21fa2989e5ad6442c,1,1,42,114,165,1060826,55,323,2093453,20,9,7,4,5
0x3d716a67f002588362d16ddb9adf90ada9d8ce2ee618133bbc23ebbfac50ab49,1,0xf3b0f4411c77c60a132003dbc01d58fe137b75ae,0xd06527d5e56a3495252a528c4987003b712860ee,2021-08-16 22:34:14.000000 UTC,216954,52000000000,3639490,103632,11000000000000000000,519,,414,2020-08-16T00:00:00,19637,20009,0.98140836623519412,366,521,545,0.95596330275229358,90,207,0x3d716a67f002588362d16ddb9adf90ada9d8ce2ee618133bbc23ebbfac50ab49,2,1,6,3278,365,2370369,95,114,735007,5,2,2,1,2
0x5140b385a7a9ee37e0d94dc42173c6ad9c6beaa96b6310b2f6ac1c88978c70dc,1,0x2091b12446f0e79cc5ea6657ed52a9dee5ee91a8,0x44fbebd2f576670a6c33f6fc0b00aa8c5753b322,2021-08-04 23:28:32.000000 UTC,1696328,61000000000,6946353,830574,0,1866,,823,2020-08-04T00:00:00,20335,20707,0.982035060607524,366,1798,1912,0.94037656903765687,200,21,0x5140b385a7a9ee37e0d94dc42173c6ad9c6beaa96b6310b2f6ac1c88978c70dc,37,29,119,2781,365,2371435,261,356,2310107,48,20,7,4,5
0x2f518eda4c1a208ab3008e5e23d2a5c35aea0b6fac234de32132bc4181fe6556,1,0xcca5653c42f4bd2413a1ffb3010cea758b40df79,0x44fbebd2f576670a6c33f6fc0b00aa8c5753b322,2021-08-20 19:27:57.000000 UTC,1692630,35542089606,24257077,828754,0,741,2,299,2020-08-20T00:00:00,18869,19206,0.98245339997917314,366,726,748,0.97058823529411764,121,82,0x2f518eda4c1a208ab3008e5e23d2a5c35aea0b6fac234de32132bc4181fe6556,16,10,106,2720,365,2370286,174,365,2369532,45,20,7,4,5
