transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0xbb5f7dcb922cd58c91db010bc7b954966b16356bc1d5e2be909469b4bd607f69,18,0x171f8fd240b3a9571697acc6054fed2e02180b4c,0x0fc584529a2aefa997697fafacba5831fac0c22d,2022-05-13 00:36:20.000000 UTC,731675,94194261942,8480162,545312,795849553098832466,958,2,372,2021-05-13T00:00:00,8084,8275,0.97691842900302117,114,987,1022,0.96575342465753422,185,35,0xbb5f7dcb922cd58c91db010bc7b954966b16356bc1d5e2be909469b4bd607f69,2,2,124,3383,113,721075,255,359,2302538,20,11,9,2,6
0x827a4fee3f9e86512a8b47a7e51b3773844f26220ac26f6df1c38f30160b6489,2,0x74be0af0bf7254328ddffc09425ff71d64a1a836,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,2022-02-21 19:31:58.000000 UTC,195508,154453474561,872491,133542,0,1392,2,830,2021-02-21T00:00:00,1317222,2582007,0.51015431019358193,366,1134,1380,0.82173913043478264,182,81,0x827a4fee3f9e86512a8b47a7e51b3773844f26220ac26f6df1c38f30160b6489,279,93,16,394661,365,2354324,87,365,2353652,8,4,4,2,4
0xbfb6fb4e3c6415c1074c06801b88ad6af0b8ecef8afeb242b4c4c0681c75631b,5,0xacc6c466d9c56f483f480d19db91a69e209dedd8,0x97369300dbbf1098c05d80d4a3e9e7235d9119ba,2022-05-11 18:56:34.000000 UTC,2700000,70212055806,15765581,852715,0,715,2,430,2021-05-11T00:00:00,763,853,0.89449003516998826,148,744,744,1.0,257,22,0xbfb6fb4e3c6415c1074c06801b88ad6af0b8ecef8afeb242b4c4c0681c75631b,67,50,171,14,175,1121414,5,321,2057285,28,37,8,1,1
0xb6e6b4b07a9e77b40d44de1ef4679372756df2b9be69db42a9d38b07da14353d,6,0x8a4edbd1a9004355038b54aec415ee797452851e,0xdc774d5260ec66e5dd4627e1dd800eff3911345c,2022-06-07 09:15:43.000000 UTC,369135,21460020726,24741864,356735,0,231,2,251,2021-06-07T00:00:00,985,994,0.99094567404426559,37,280,282,0.99290780141843971,53,6,0xb6e6b4b07a9e77b40d44de1ef4679372756df2b9be69db42a9d38b07da14353d,1,1,54,648,36,223993,84,85,532529,12,8,7,1,5
0x7286cadc25de5430bffbc2917a9b7f9926799e975c6b0c2b523157c4579e1024,19,0x581eeec38be03a9b14493bb486dfabfe2e49c59a,0x0fc584529a2aefa997697fafacba5831fac0c22d,2022-06-18 20:57:15.000000 UTC,714676,101970278880,5922131,532597,0,1066,2,135,2021-06-18T00:00:00,12440,12841,0.96877190249980527,150,1093,1103,0.99093381686310067,174,73,0x7286cadc25de5430bffbc2917a9b7f9926799e975c6b0c2b523157c4579e1024,31,21,121,4743,149,943879,132,188,1198899,20,11,9,1,4
0x282752ea5d16d79eb0ae72bed9acf0092e60abe1e471f50d6723cbd7d7798166,2,0x74be0af0bf7254328ddffc09425ff71d64a1a836,0x3e135c3e981fae3383a5ae0d323860a34cfab893,2022-02-04 06:10:06.000000 UTC,129226,93497795987,11913391,122894,0,1303,2,852,2021-02-04T00:00:00,293,299,0.979933110367893,16,1061,1307,0.81178270849273149,170,5,0x282752ea5d16d79eb0ae72bed9acf0092e60abe1e471f50d6723cbd7d7798166,38,8,18,102,15,94787,84,354,2277054,9,3,6,2,4
0x664c233fe260c170ff7b7d5d89f4c503d55c82e1297587934f40cca0245efc12,2,0xf41fa837908c0318a9a2b739c8fb990bfd4ac8a7,0x1111111254fb6c44bac0bed2854e76f90643097d,2022-05-24 17:37:24.000000 UTC,185336,51948155390,19598228,125762,0,3931,2,299,2021-05-24T00:00:00,578739,1068684,0.54154361813220742,199,3140,3323,0.94492928077038818,323,87,0x664c233fe260c170ff7b7d5d89f4c503d55c82e1297587934f40cca0245efc12,493,100,16,111498,198,1267804,245,365,2343117,8,4,4,2,4
0x3f10ada698e683d01e5287228fc3b4c869ea5703aa39420e4171b2fd81ba4cda,2,0x9a20cfcdc25eab32b8d21fbf8dab66f2658b791e,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,2022-04-19 15:17:22.000000 UTC,195523,39600998875,979529,133554,0,112,2,607,2021-04-19T00:00:00,1255752,2461985,0.51005672252267986,366,110,116,0.94827586206896552,14,166,0x3f10ada698e683d01e5287228fc3b4c869ea5703aa39420e4171b2fd81ba4cda,4,2,16,395860,365,2349068,33,31,197794,8,4,4,2,4
0x318b134a5fa8b4bcd9c5f9a20bff3ef810eb7ff8b88bab92b626ba54912a1324,1,0x6887444a5b74b746f56ae08952f4e1b404ff7ca5,0x688c3e4658b5367da06fd629e41879beab538e37,2022-06-22 08:18:11.000000 UTC,168518,21374752834,6573343,161567,0,3860,2,88,2021-06-22T00:00:00,6658,6943,0.9589514619040761,358,1823,2308,0.78986135181975736,217,22,0x318b134a5fa8b4bcd9c5f9a20bff3ef810eb7ff8b88bab92b626ba54912a1324,177,62,13,1358,361,2295232,327,364,2316969,10,3,6,1,3
0xb1cf6167b34d54f0a4421f8cde38ef4accc6e2fbc3fa201509c7061091b492e8,29,0x818e2052934fee3d367875027bc618aab9814576,0x41e60a222ffd9af0113d88a9453fe399d83584f3,2022-05-13 00:20:59.000000 UTC,2000000,100286828012,1021127,758782,2000000000000000000,625,2,387,2021-05-13T00:00:00,9,9,1.0,1,26,26,1.0,6,9,0xb1cf6167b34d54f0a4421f8cde38ef4accc6e2fbc3fa201509c7061091b492e8,9,1,202,1,0,40,5,261,1671806,22,11,13,6,6
0xd105390eca81d1a11a3d12d6c31194ab6f3860c3ba1d29faad0b84a1fd628d97,29,0x818e2052934fee3d367875027bc618aab9814576,0x41e60a222ffd9af0113d88a9453fe399d83584f3,2022-05-13 00:12:47.000000 UTC,2000000,107016170288,1036904,786142,1000000000000000000,617,2,402,2021-05-13T00:00:00,1,1,1.0,1,18,18,1.0,6,1,0xd105390eca81d1a11a3d12d6c31194ab6f3860c3ba1d29faad0b84a1fd628d97,1,1,202,1,0,0,5,261,1671766,22,11,13,6,6
