transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0xe27672754583fdc23107d7e67425a88fb23afb8f7d7a2ac653bac03b12e833ef,1,0x33459acd9ca8493c0e0163eac92a928e293b2218,0xee913f6f0016db2929a0b2061a38f1461ef93477,2022-12-13 19:02:23.000000 UTC,57975,22156945190,10323148,38515,0,227,2,972,2021-12-13T00:00:00,13,13,1.0,12,46,47,0.97872340425531912,38,1,0xe27672754583fdc23107d7e67425a88fb23afb8f7d7a2ac653bac03b12e833ef,13,12,2,1,351,2291271,6,362,2360870,3,0,1,1,1
0xe31b88ba668fc29bb4d0b4e774978c67b263358740b56f1e784f488ca29628a3,2,0x0fd41963ccb8fe664ce3a25b495fe7b018148bb3,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-20 15:20:23.000000 UTC,600000,26529605183,10040813,198095,0,244,2,251,2022-01-20T00:00:00,14732,16419,0.89725318228881179,366,196,202,0.97029702970297027,64,747,0xe31b88ba668fc29bb4d0b4e774978c67b263358740b56f1e784f488ca29628a3,2,2,22,1319,365,2408362,71,363,2391448,9,11,6,2,4
0xf57bd052392780fac58a256f6e50c2fd1ace583c6b33d837316348e1fc54df02,1,0x3ca2070165b221fe655f27bfbbb814418d37844c,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2022-12-21 11:23:59.000000 UTC,700000,29027482792,2641165,123709,0,5726,2,705,2021-12-21T00:00:00,14798,16512,0.89619670542635654,366,5395,5840,0.92380136986301364,193,295,0xf57bd052392780fac58a256f6e50c2fd1ace583c6b33d837316348e1fc54df02,4803,192,9,1335,365,2387516,47,210,1390638,6,3,3,1,4
0x70f300d463681f94a04d5d3a73b6069188a24433222c403c89a5f0a1904904af,1,0x869c0a603d4fe5b4c70bd62b61326ee2e09afcae,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-02-02 12:48:35.000000 UTC,70000,24727710181,17475621,54197,133000000000000000,27,2,7,2022-02-02T00:00:00,14610,16280,0.89742014742014742,366,28,30,0.93333333333333335,13,988,0x70f300d463681f94a04d5d3a73b6069188a24433222c403c89a5f0a1904904af,8,4,2,1294,365,2417908,10,62,441562,3,0,1,1,1
0xef322e98de55227ffe772a178524d9caefc671ed28df4f8ed6d9420286af5892,1,0xef5b30c0c5d70d735cf8fb0849a5f69d2e8803dc,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2022-12-26 03:19:23.000000 UTC,200000,10445625090,2096923,156224,0,156,2,626,2021-12-26T00:00:00,14755,16454,0.8967424334508326,366,36,37,0.972972972972973,17,374,0xef322e98de55227ffe772a178524d9caefc671ed28df4f8ed6d9420286af5892,5,4,7,1318,365,2388270,10,327,2140754,6,2,3,1,4
0x59c4cb1fb3b39fcbba09ff66613748252d6dd83e0dd3262a4000ff447d0f279f,1,0x3ca2070165b221fe655f27bfbbb814418d37844c,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-15 21:36:23.000000 UTC,700000,150127097228,429619,117713,0,5883,2,370,2022-01-15T00:00:00,14663,16349,0.89687442657043248,366,5534,5996,0.9229486324216144,210,629,0x59c4cb1fb3b39fcbba09ff66613748252d6dd83e0dd3262a4000ff447d0f279f,4884,209,8,1315,365,2407010,48,235,1572802,6,2,3,1,4
0xff61cd17fdeb4397797fd55f83d59f6695363aacf3b924fea805dddd4d54c62d,1,0xfc92591799ba3e960e5c9e71642412dbaf050498,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2022-12-13 23:43:47.000000 UTC,150000,14956146310,6042618,91201,0,403,2,963,2021-12-13T00:00:00,14806,16576,0.893219111969112,366,142,142,1.0,47,37,0xff61cd17fdeb4397797fd55f83d59f6695363aacf3b924fea805dddd4d54c62d,3,2,4,1350,365,2385618,13,364,2372886,4,1,2,1,2
0x6078e7aeca9c6de43983514ade4fa64240e30eebf6fb64038a6a9ff17880363c,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2022-12-14 13:46:23.000000 UTC,500000,14323530664,11599522,298138,0,14874,2,944,2021-12-14T00:00:00,14780,16504,0.89554047503635481,366,3461,4747,0.72909205814198441,356,56,0x6078e7aeca9c6de43983514ade4fa64240e30eebf6fb64038a6a9ff17880363c,4733,356,9,1350,365,2383149,5,365,2382788,7,3,3,1,5
0x3d6d4df3c3c57cd814b6c4e2bc593d3dcc87fcb2d4676130b5de8ebecee594ca,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-17 20:10:11.000000 UTC,500000,30161145904,6375253,285024,0,14950,2,299,2022-01-17T00:00:00,14706,16392,0.89714494875549045,366,3309,4584,0.72185863874345546,347,699,0x3d6d4df3c3c57cd814b6c4e2bc593d3dcc87fcb2d4676130b5de8ebecee594ca,4577,347,16,1318,365,2408701,4,365,2403099,8,8,3,1,6
0x0e8154289611e46391c1da47707c02f67ddadeef257a1919332978d84f700264,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-27 03:23:47.000000 UTC,500000,16435238132,1019939,257988,0,14999,2,106,2022-01-27T00:00:00,14749,16431,0.89763252388777315,366,3302,4573,0.722064290400175,347,891,0x0e8154289611e46391c1da47707c02f67ddadeef257a1919332978d84f700264,4566,347,13,1319,365,2409084,4,365,2409027,8,8,3,1,6
0x7775ed66676346076486ee70587eaf59f89dfe9f4953ff89bc9b42a2a0bdf567,1,0xef5b30c0c5d70d735cf8fb0849a5f69d2e8803dc,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2022-12-26 03:25:35.000000 UTC,150000,10696465081,7881608,66021,0,159,2,624,2021-12-26T00:00:00,14757,16456,0.89675498298492951,366,39,40,0.975,17,376,0x7775ed66676346076486ee70587eaf59f89dfe9f4953ff89bc9b42a2a0bdf567,7,4,4,1318,365,2388301,10,327,2140785,4,1,2,1,2
0xb7dcf308f9a3ca65b64a3f3f839e63233fc79f943b4cb4129847fa7f868393f1,1,0xff7fbdd739e20451c712cf52aa3fc06ac901974e,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-16 12:06:23.000000 UTC,700000,15519858993,19684166,59261,0,513,2,357,2022-01-16T00:00:00,14665,16351,0.89688704054797874,366,562,567,0.99118165784832446,185,642,0xb7dcf308f9a3ca65b64a3f3f839e63233fc79f943b4cb4129847fa7f868393f1,442,184,3,1315,365,2405516,25,236,1577370,4,0,2,1,2
0xcbeabf596147a212100f1feea06f550692135e72a6c6b5f65f00f288820c3b98,1,0x2260137f516ff471be2aec994c6686cb08eaddaa,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-13 19:58:11.000000 UTC,70000,25731525497,7853139,37097,20000000000000000,1094,2,414,2022-01-13T00:00:00,14666,16357,0.89661918444702571,366,533,542,0.98339483394833949,137,585,0xcbeabf596147a212100f1feea06f550692135e72a6c6b5f65f00f288820c3b98,22,14,2,1319,365,2406191,95,365,2406269,3,0,1,1,1
0x413ca2ba3d3a6d0185c9b69919e3725d6638c63664414edb7c6bb6240186ef23,1,0x3ca2070165b221fe655f27bfbbb814418d37844c,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2022-12-13 23:18:35.000000 UTC,700000,17278526290,6275657,105645,0,5343,2,967,2021-12-13T00:00:00,14802,16572,0.89319333816075308,366,5047,5454,0.92537587092042539,185,33,0x413ca2ba3d3a6d0185c9b69919e3725d6638c63664414edb7c6bb6240186ef23,4640,184,7,1350,365,2385492,45,202,1336887,6,2,3,1,4
0x056c4ed0ea7fecbca257fc0af50284392bd83a26eac28c4d1fdee350c35235bc,1,0x3ca2070165b221fe655f27bfbbb814418d37844c,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-17 13:46:47.000000 UTC,700000,18284061173,8729653,59261,0,5916,2,313,2022-01-17T00:00:00,14692,16378,0.89705702772011231,366,5566,6029,0.92320451152761651,212,685,0x056c4ed0ea7fecbca257fc0af50284392bd83a26eac28c4d1fdee350c35235bc,4915,211,3,1317,365,2406792,48,237,1584792,4,0,2,1,2
0x6a2c6171c11051ba81f8382e0199de744cf821e54f6cef7b6bf79b11a615eb9d,2,0xcded18d07cab6c7e14f32ae275caf126924a0482,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-26 23:19:59.000000 UTC,600000,24562375613,10443266,313169,0,410,2,111,2022-01-26T00:00:00,14755,16438,0.897615281664436,366,177,177,1.0,74,886,0x6a2c6171c11051ba81f8382e0199de744cf821e54f6cef7b6bf79b11a615eb9d,87,47,42,1321,365,2415480,15,358,2366800,14,16,10,2,4
0xb4c78a0ee3d60f8da333056cf374ee06604358bf70be47cf2799f6e1537776a6,1,0x3ca2070165b221fe655f27bfbbb814418d37844c,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2022-12-22 23:08:59.000000 UTC,700000,14839736991,6517263,114677,0,5811,2,655,2021-12-22T00:00:00,14839,16553,0.89645381501842569,366,5466,5924,0.92268737339635376,194,345,0xb4c78a0ee3d60f8da333056cf374ee06604358bf70be47cf2799f6e1537776a6,4840,193,8,1333,365,2391622,47,211,1401316,6,2,3,1,4
0xf48769c26759c89d460b08bfc93d6df78b688d84f05f5fc78f64e173ecf0cd06,1,0xff7fbdd739e20451c712cf52aa3fc06ac901974e,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2022-12-27 10:38:59.000000 UTC,700000,11732031258,6407512,59290,0,489,2,597,2021-12-27T00:00:00,14765,16463,0.896859624612768,366,537,542,0.9907749077490775,173,403,0xf48769c26759c89d460b08bfc93d6df78b688d84f05f5fc78f64e173ecf0cd06,421,172,3,1318,365,2391505,23,216,1433672,4,0,2,1,2
