transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x5a846ce9d93358447cee44367fc39ed6fe072550c7a979950703e72675490f54,2,0x75c0c0591cdf9af7cb826a65ac213cff31916668,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-05 02:40:13.000000 UTC,1064875,49000000000,14474351,597016,0,3900,,459,2020-05-05T00:00:00,25570,26802,0.95403328109842545,211,3544,3915,0.9052362707535121,256,420,0x5a846ce9d93358447cee44367fc39ed6fe072550c7a979950703e72675490f54,140,65,73,4680,210,1364364,289,318,2061546,15,11,5,2,2
0xb1f44fe2e99807e9f480edc557dd66a1af13bd4fde6403a9a7fe9dc782fb139b,2,0x4d2caa5429c33cc97b826de5fcaecb9604e9491c,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-04 00:43:35.000000 UTC,958321,53900000000,8724983,461891,0,35,,630,2020-05-04T00:00:00,25452,26677,0.95408029388611915,210,38,38,1.0,6,295,0xb1f44fe2e99807e9f480edc557dd66a1af13bd4fde6403a9a7fe9dc782fb139b,10,3,52,4665,209,1357371,14,40,254708,12,10,5,2,2
0x86fe0c7ad70a5c2338fb6e59aa24c4d423a5a23264f8f1539064ee3bb8ecc99c,6,0x1d2c4cd9bee9dfe088430b95d274e765151c32db,0xd6e194af3d9674b62d1b30ec676030c23961275e,2021-05-08 14:03:25.000000 UTC,543720,370000000000,499055,314707,0,2387,,164,2020-05-08T00:00:00,2182,2205,0.9895691609977324,179,2285,2326,0.98237317282889081,257,52,0x86fe0c7ad70a5c2338fb6e59aa24c4d423a5a23264f8f1539064ee3bb8ecc99c,4,2,60,744,200,1300641,284,333,2164669,12,32,7,2,5
0x8f38aabd332496c775972f216f963ab2db888bae9dffed4037ea0404462fa843,15,0xcb36b1ee0af68dce5578a487ff2da81282512233,0x2f755e8980f0c2e81681d82cccd1a4bd5b4d5d46,2021-05-08 13:48:53.000000 UTC,1000000,190000000000,7839368,387249,1031000000000000000000,13,,196,2020-05-08T00:00:00,3,5,0.6,1,16,21,0.76190476190476186,2,4,0x8f38aabd332496c775972f216f963ab2db888bae9dffed4037ea0404462fa843,5,1,100,1,0,7,6,1,6351,13,32,8,2,1
0x092a74c4e4181f7d199e394870ed91b4e2690b527254e8ca8830aca37c7bb0ae,9,0x205f2228d6c8e2a65042d55650f5616ef795c8f0,0xd6e194af3d9674b62d1b30ec676030c23961275e,2021-05-07 03:16:33.000000 UTC,394111,41000000000,6218766,256322,500000000000000000,99,,294,2020-05-07T00:00:00,2166,2189,0.98949291914116033,178,102,105,0.97142857142857142,29,36,0x092a74c4e4181f7d199e394870ed91b4e2690b527254e8ca8830aca37c7bb0ae,1,1,50,739,199,1291265,34,279,1808004,10,25,7,1,4
0xe7fe80d75ff19a8f5e2d4948b674a8e5f1c3e0068ae5fe480f69004606a9df09,2,0x856565db827588a88780454863f98a4a323e13aa,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-05 01:34:38.000000 UTC,1110042,38500000000,12359023,619367,0,1053,,469,2020-05-05T00:00:00,25562,26794,0.9540195566171531,211,993,1030,0.96407766990291266,180,412,0xe7fe80d75ff19a8f5e2d4948b674a8e5f1c3e0068ae5fe480f69004606a9df09,2,2,73,4679,210,1364079,298,359,2323858,15,11,5,2,2
0xc96d2be2395515a73305d1c9fbfb9d5ab943d4bf1905f2b594aedc45937c15cc,6,0x0197abe48f0a9826d10f44dad7050f26586eb9ba,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2021-05-04 20:14:39.000000 UTC,509599,120000100001,882250,226399,0,106959,,493,2020-05-04T00:00:00,544099,1150048,0.47310981802498681,194,103607,106983,0.96844358449473278,155,31,0xc96d2be2395515a73305d1c9fbfb9d5ab943d4bf1905f2b594aedc45937c15cc,98442,154,57,108,193,1255138,3,154,1001217,25,13,4,10,16
0x4f52e8b85f64ae3092167d6ea63cdfb31cf7d85c24e38691875560aed0f069b0,2,0xdc72bd8115311209270c453d52a031773372c52f,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-03 09:16:48.000000 UTC,1080769,53000000000,11711654,586492,0,241,,787,2020-05-03T00:00:00,25339,26548,0.9544598463161067,209,255,265,0.96226415094339623,21,166,0x4f52e8b85f64ae3092167d6ea63cdfb31cf7d85c24e38691875560aed0f069b0,101,20,73,4657,208,1353137,26,21,135605,15,11,5,2,2
0x819b427686fa8c3253a4dfaf37fbfedd064c9a354d9c9e84c590cb70bca6b7f4,1,0xd3b0c47ef1e750650d7182424a7e0b7c443fe36c,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-08 04:27:33.000000 UTC,119802,48000000000,7804293,62795,0,59,,217,2020-05-08T00:00:00,25732,26965,0.95427405896532547,214,67,68,0.98529411764705888,21,583,0x819b427686fa8c3253a4dfaf37fbfedd064c9a354d9c9e84c590cb70bca6b7f4,2,2,5,4701,213,1384295,27,92,597005,4,2,2,1,2
0x3adbffbc3a80d0b8062cfb3cf65ef1edc5825fcd75231e71eb79721d81749b47,2,0xe3c7066203b03e055457513cb58fd43d58bacfb9,0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2021-05-06 18:48:02.000000 UTC,1001310,99000000000,6193444,468753,0,2,,314,2020-05-06T00:00:00,25670,26902,0.9542041483904542,212,4,5,0.8,3,520,0x3adbffbc3a80d0b8062cfb3cf65ef1edc5825fcd75231e71eb79721d81749b47,2,2,52,4691,211,1375247,3,88,570446,13,10,5,2,2
