transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0xb699a03760c9f76ce574ea08e4caaa2251353b89adc9dcba807acd0f96e0df8a,1,0xe6271903f4d8f018b2a359d090fe9576121630ea,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-26 13:47:54.000000 UTC,152081,25318315344,8900352,142295,0,69,2,8,2021-03-26T00:00:00,556,586,0.94880546075085326,124,48,51,0.94117647058823528,31,535,0xb699a03760c9f76ce574ea08e4caaa2251353b89adc9dcba807acd0f96e0df8a,9,3,21,262,183,1171383,15,338,2170502,7,12,2,1,4
0xaa62b753a1c3a7a57439dbd5d77a78063e6de29559986eb3703f76fd7e1f722e,1,0xbc9293d4522ff0f0d136111aa067de641becc503,0x02935e8f0db2b1b123d0a858e1a4d90f42a36724,2021-10-23 13:29:12.000000 UTC,562357,46354726700,14007955,522557,0,25,2,772,2020-10-23T00:00:00,149,156,0.95512820512820518,21,32,32,1.0,20,101,0xaa62b753a1c3a7a57439dbd5d77a78063e6de29559986eb3703f76fd7e1f722e,1,1,29,104,20,125446,11,162,1042356,9,12,3,2,4
0xe163609dd601873f1a5abbd7f21b50938874a85eb5e2f65122493171f375ee2e,1,0xff7efba11a8888d6974997d4a8940bf83cd7a580,0x02935e8f0db2b1b123d0a858e1a4d90f42a36724,2021-11-07 03:55:34.000000 UTC,562324,76688599691,28933583,522524,0,652,2,628,2020-11-07T00:00:00,246,256,0.9609375,35,637,673,0.94650817236255569,125,137,0xe163609dd601873f1a5abbd7f21b50938874a85eb5e2f65122493171f375ee2e,1,1,29,173,35,218497,153,258,1657958,9,12,3,2,4
0x57332a94cf78b8d47e342e5f76c4cc4f687158b3bcce79f8486d36a84616a80a,1,0x9e0a65e903d017316a0d187a8d55bd8962992a50,0xbcbb435cf6f664caa5222c3ee01d1a377f12c428,2022-02-21 23:31:14.000000 UTC,563603,81177050257,24644359,543703,0,1311,2,203,2021-02-21T00:00:00,281,289,0.972318339100346,78,1200,1210,0.99173553719008267,156,140,0x57332a94cf78b8d47e342e5f76c4cc4f687158b3bcce79f8486d36a84616a80a,1,1,26,168,93,598836,63,364,2343467,9,12,3,2,4
0x4baefef6e46ed53a7f85148d39923c156b5cbeaedc97f7e3ef388aed2bb86ae9,1,0x6552be7816f797945120ee965b9903da3f0c4845,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-01-06 15:06:32.000000 UTC,152081,254966503217,16322103,142295,0,4289,2,281,2021-01-06T00:00:00,415,438,0.94748858447488582,79,3365,3581,0.93968165316950569,310,387,0x4baefef6e46ed53a7f85148d39923c156b5cbeaedc97f7e3ef388aed2bb86ae9,2,1,21,218,104,661775,445,365,2354161,7,12,2,1,4
0x375b46d5f7a5521800bb86849babbc5cdbe74d82830016ad625d3868b121da61,1,0x9acf8d0315094d33aa6875b673eb126483c3a2c0,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2022-03-21 03:05:39.000000 UTC,335725,29570031835,19680602,335725,0,2162,2,125,2021-03-21T00:00:00,474,498,0.95180722891566261,119,922,945,0.97566137566137567,234,447,0x375b46d5f7a5521800bb86849babbc5cdbe74d82830016ad625d3868b121da61,1,1,18,250,178,1136412,253,364,2341941,7,8,2,1,5
0x17fea2fa1f87642fc47fc67a0418541e4075dcbebdd4bb1dee1000d53b89c7c8,1,0x9325eafe32eba5aa10787143ea5bc3438a7f6d2b,0x86eaf259dbfa7a0013e52b503b010dff81a4cfa1,2021-10-03 13:31:41.000000 UTC,561524,43479064774,14831506,520286,0,568,2,932,2020-10-03T00:00:00,510,525,0.97142857142857142,10,173,182,0.9505494505494505,58,63,0x17fea2fa1f87642fc47fc67a0418541e4075dcbebdd4bb1dee1000d53b89c7c8,1,1,29,434,9,55234,58,345,2233417,9,12,3,2,4
0x63d92ac9fd52a181479522692ed3c4111626ea3152a318526725a27bfd903c50,1,0xaf84f7d4061df1aafbbec39de7726d4f80beb652,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-10-07 02:30:45.000000 UTC,1000000,150000000000,16496748,534457,0,9,,900,2020-10-07T00:00:00,65,70,0.9285714285714286,12,9,11,0.81818181818181823,3,19,0x63d92ac9fd52a181479522692ed3c4111626ea3152a318526725a27bfd903c50,8,1,18,38,13,78384,3,4,20651,7,8,2,1,5
0x8b89d507736280fb27ad0ee3165fa483f5d1a5f545ea9677a5e2cb394f1e73f3,1,0x0ab6e627b710a81913355f37d10650f0e38ba73b,0x02935e8f0db2b1b123d0a858e1a4d90f42a36724,2021-10-09 10:44:58.000000 UTC,557128,50988350046,3868999,517328,0,13,2,883,2020-10-09T00:00:00,49,52,0.94230769230769229,7,18,18,1.0,10,32,0x8b89d507736280fb27ad0ee3165fa483f5d1a5f545ea9677a5e2cb394f1e73f3,3,2,29,36,6,35459,7,18,114138,9,12,3,2,4
0x6140da9d1b57f2dc092ee7c986385643c43db203aedeb0d40f3062b6fb417dad,1,0xf0e3ea754d038b979cd0124e2f1a4bf44f32746a,0x2320a28f52334d62622cc2eafa15de55f9987ed9,2021-12-05 02:20:57.000000 UTC,355514,96932316675,21986182,352714,0,126,2,470,2020-12-05T00:00:00,281,301,0.93355481727574752,55,131,133,0.98496240601503759,32,250,0x6140da9d1b57f2dc092ee7c986385643c43db203aedeb0d40f3062b6fb417dad,27,3,20,164,72,452582,11,147,939624,8,8,2,1,5
