transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x27aa4ed2204497e6fe6ee60d961437e72a56d84d043a7a4f479538d49a70ae63,1,0x1d4bad632befcf4cf2c0cd30a56f4bc3d53ff46c,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 06:30:39.000000 UTC,183442,15000000000,5839343,92295,0,10,,261,2020-07-19T00:00:00,15210,19579,0.77685275039583224,30,13,13,1.0,2,740,0x27aa4ed2204497e6fe6ee60d961437e72a56d84d043a7a4f479538d49a70ae63,5,2,5,1919,29,183904,5,1,5127,4,3,1,1,2
0x4d2e5721a482445634b7965c66a7057a347638112f8331526e1078080f82c7f0,1,0xb222ca7875f4bb697c43f54c31d719f20ed51c5f,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-19 15:32:56.000000 UTC,219354,29000000000,10168264,146236,0,159,,181,2020-07-19T00:00:00,15282,19659,0.77735388371738134,30,174,178,0.97752808988764039,24,820,0x4d2e5721a482445634b7965c66a7057a347638112f8331526e1078080f82c7f0,8,4,3,1927,29,186333,30,55,352514,3,1,1,1,1
0x6395ab151eb2a55ade02b927af6436fea2442f1bb6f0dd849f486a4c6002b582,1,0xdc8beec06ce3029bbb6c5e8c0d56d3a25548a1a5,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-18 10:19:44.000000 UTC,126471,16000000000,11020243,84314,0,123,,473,2020-07-18T00:00:00,15015,19368,0.7752478314745973,29,127,133,0.95488721804511278,14,526,0x6395ab151eb2a55ade02b927af6436fea2442f1bb6f0dd849f486a4c6002b582,16,2,4,1909,28,178484,28,180,1165451,4,2,1,1,2
0x38456634f77b8fc3bc041a5cd0f5b7d6b29f2a49d353a0eae218be8c70717502,1,0x70c25bc57ba1f582075893d50de804d407fe68ea,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-15 19:58:17.000000 UTC,163809,28000000000,14869638,109206,0,658,,926,2020-07-15T00:00:00,14608,18914,0.7723379507243312,26,677,717,0.94421199442119941,104,75,0x38456634f77b8fc3bc041a5cd0f5b7d6b29f2a49d353a0eae218be8c70717502,4,3,4,1882,25,162018,162,315,2042394,4,2,1,1,2
0xfb8198904d6991a52047edea8c64a737102ce068fc1300519fd9a46844b81ceb,1,0x2e73967cb69bb3ff6818e535b4c9195587f93b44,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-17 10:55:05.000000 UTC,126453,15000000000,12236100,84302,0,65,,677,2020-07-17T00:00:00,14829,19163,0.77383499452069093,28,76,79,0.96202531645569622,13,324,0xfb8198904d6991a52047edea8c64a737102ce068fc1300519fd9a46844b81ceb,8,4,4,1901,27,172317,22,34,218858,4,2,1,1,2
0x97b06285a53fa4e9cff9c1e1ef2f2157c265e6424add5a963dd468dc25a00c81,1,0xa23a9bcbf155cc20a9b4c7f7b686072c32ad3a27,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-17 20:18:10.000000 UTC,126471,29000000000,4632573,84314,0,278,,575,2020-07-17T00:00:00,14924,19265,0.77466908902154163,28,252,281,0.896797153024911,39,426,0x97b06285a53fa4e9cff9c1e1ef2f2157c265e6424add5a963dd468dc25a00c81,15,9,4,1904,27,174808,37,86,553989,4,2,1,1,2
0xcb5be11f920077864c8b75d47be0783e1703225177685689b5316d9b09bf9b58,1,0x89b5e9179e882edf696adf741ebd3cd067f2dfe2,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-17 10:08:59.000000 UTC,190695,18139000000,818929,127130,0,30,,685,2020-07-17T00:00:00,14821,19155,0.77374053771861129,28,34,35,0.97142857142857142,8,316,0xcb5be11f920077864c8b75d47be0783e1703225177685689b5316d9b09bf9b58,5,3,5,1900,27,172104,14,72,463708,4,3,1,1,2
0x5083432903c18cf98538a97a9ae638a0ea9cc1195f6893717095428674f5b705,1,0xe1f9507f8cd6f74533e7d106d95e442157814e26,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-17 19:50:49.000000 UTC,126471,22000000000,2923616,84314,0,20,,577,2020-07-17T00:00:00,14922,19263,0.77464569381716242,28,29,31,0.93548387096774188,11,424,0x5083432903c18cf98538a97a9ae638a0ea9cc1195f6893717095428674f5b705,10,5,4,1904,27,174687,8,84,546388,4,2,1,1,2
0x2948517f86c3b7878f1415375e910b6d7223aea86b2e021f969dd03ff4a366fe,1,0xfdee40c6c3bfa44a4681723c901c24dcef233d50,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-16 04:38:12.000000 UTC,219336,23000000000,8825332,146224,0,18,,866,2020-07-16T00:00:00,14665,18974,0.7728997575629809,27,21,21,1.0,10,135,0x2948517f86c3b7878f1415375e910b6d7223aea86b2e021f969dd03ff4a366fe,1,1,3,1890,26,164287,7,31,197384,3,1,1,1,1
0xa9969d1ee1c8b32de36d0b061014921be7261f185c4fe619154af2315b90f9b3,1,0xd85fb9e990360cc65500ad0a77df4574bf4dfce6,0x35c674c288577df3e9b5dafef945795b741c7810,2021-07-20 18:06:55.000000 UTC,152359,18700000000,11948895,84473,0,41,,31,2020-07-20T00:00:00,15423,19811,0.77850689011155416,31,35,44,0.79545454545454541,9,971,0xa9969d1ee1c8b32de36d0b061014921be7261f185c4fe619154af2315b90f9b3,6,2,4,1935,30,193409,17,9,56284,4,2,1,1,2
