transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x34d91f770e13aa222a6c97f824566d4e0084cd163e1f82a1bbc0b8a2846ae781,5,0x64e5183d3f9f3d00da39bddff73e6b8aee8c95f0,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-10-18 02:13:35.000000 UTC,379693,15470523518,5583426,341293,9708738000000000.0,111,2,466,2021-10-18T00:00:00,431,442,0.9751131221719457,61,61,63,0.9682539682539683,24,442,0x34d91f770e13aa222a6c97f824566d4e0084cd163e1f82a1bbc0b8a2846ae781,3,1,14,140,91,602201,36,365,2328589,6,7.0,2.0,2,3,1.1470852620599625,-0.09833832347346128,-0.09845820585657115,0.02976928960983815,-0.6471078288587876,-0.5536407561686413,-1.3002381905083993,-0.01931308918673859,-0.05648776717101192,-0.292451559278471,-0.005839456628441025,-0.09918539853772648,0.0624406669255449,0.028555059799909004,-0.8305068255062202,0.4604999648452201,0.41929456372871354,0.2557949711563341,-0.14558762417113355,1.2961815116263493,1.599675250991515,0.059448236812674964,-0.08027386193266653,-0.05680484945578693,-0.8314826308126616,-0.08535443777481021,-0.1734186,-0.6781471356943087,0.35714285714285715,0.6630434782608695,3.157142857142857,0.000715706689781834,0.06557377049180328,1.75,2.6196110092373495e-05,0.047619047619047616,0.006787330316742082,3.0,0.01639344262295082,0
0x6d017a010b57bb3afd39fb405bf68a96b74b1657a3e78e21679c29a62d9c3bdd,4,0xd0d801c1053555726bdcf188f4a55e690c440e74,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-04 04:56:59.000000 UTC,273746,11064526403,6072172,249746,6472492000000000.0,931,2,335,2021-12-04T00:00:00,562,573,0.9808027923211169,87,411,442,0.9298642533936652,121,573,0x6d017a010b57bb3afd39fb405bf68a96b74b1657a3e78e21679c29a62d9c3bdd,6,1,12,167,138,939474,102,363,2354925,6,5.0,2.0,2,3,0.8008877724595994,-0.09748469922231001,-0.09832746166141798,0.5617867959205881,-0.2761935920057884,-0.24143592040492698,-0.027065086788082133,0.4748598107287296,-0.05238716488842207,-0.292451559278471,-0.07088746440465096,-0.09896496073799597,0.7483510755000783,0.7543034912094086,-0.432410149506866,0.4362241966072371,0.4683902539268606,0.2557949711563341,-0.22592087341356631,1.2961815116263493,1.599675250991515,0.059448236812674964,-0.19344258831097189,-0.37584175492567923,-0.7617265591951522,-0.19183805234152712,-0.18928552,-0.2106412913772215,0.3333333333333333,0.6258992805755396,3.431137724550898,0.0005982064450890125,0.3324175824175824,4.333333333333333,0.00017452777709363267,0.013574660633484163,0.010471204188481676,6.0,0.011494252873563218,0
0x91ee64a3c7de9db5fac31710fd8ffa26b57726beba7ec5b286d2704cfdc7cdb4,1,0x7e53a3857f6f80e4340d2b80b24cf893b5ad41e4,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-11-02 13:22:59.000000 UTC,248206,11720691578,7428524,248206,9708738000000000.0,349,2,445,2021-11-02T00:00:00,452,463,0.9762419006479481,70,370,375,0.9866666666666667,114,463,0x91ee64a3c7de9db5fac31710fd8ffa26b57726beba7ec5b286d2704cfdc7cdb4,3,1,8,147,106,712877,90,365,2343701,4,7.0,1.0,1,2,-0.23770469634148975,-0.09820148294465077,-0.098437246863455,0.21392919564048235,-0.3196435454657112,-0.29662780429983165,-0.11894355819057925,0.059905467288260135,-0.05648776717101192,-0.292451559278471,-0.20098347995707083,-0.09912824799705561,0.2813482441301832,0.2667091171797698,-0.5047913633249304,0.4604999648452201,0.44746642241167217,-0.22200092008893216,-0.14558762417113355,-0.45299735648615447,-0.3630771597711048,-0.20967949535899175,-0.22072348604004322,-0.3283290350020961,-0.5681417784490139,-0.1936293154788527,-0.1734186,-0.5424564150266664,0.125,0.6542056074766355,3.1496598639455784,0.0006340495849219642,0.3114754098360656,4.166666666666667,0.00015786989984221543,0.008,0.0064794816414686825,3.0,0.014285714285714285,0
0x3d4e8a19ba9fcdceac7afb961b5e2eade8293c9920c4b904c8ecce0bb7bf26e3,1,0x1420477b898e0fc2dd7caaa3bac49f7fcf2db551,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-07-20 14:01:53.000000 UTC,238359,17018769010,11996808,238359,4000000000000000.0,331,2,790,2021-07-20T00:00:00,109,119,0.9159663865546218,2,299,303,0.9867986798679867,118,119,0x3d4e8a19ba9fcdceac7afb961b5e2eade8293c9920c4b904c8ecce0bb7bf26e3,1,1,6,59,1,10211,106,347,2204317,4,5.0,1.0,1,2,-0.23770469634148975,-0.10043654491522239,-0.09878057513164348,-1.1775012054799405,-0.3948861477987482,-0.3559384855003262,-0.06644157453200947,-1.2377699340164807,-0.05922150202607182,-0.292451559278471,-0.2660314877332808,-0.09984671193691799,-1.251004796302285,-1.2452967276544964,-0.40828307823417787,0.24201805070337323,0.18762613981072554,-0.22200092008893216,-0.22592087341356631,-0.45299735648615447,-0.3630771597711048,-0.20967949535899175,-0.23124169277215617,0.0553031337732014,0.08386467454113297,-0.20508293113680393,-0.20140785,-0.5527187384385048,0.16666666666666666,1.0,2.016949152542373,0.010673717195456326,0.3390804597701149,2.858490566037736,0.00013564286096652117,0.0033003300330033004,0.008403361344537815,1.0,0.5,0
0xf54b57bdded602f9975a566c4e8044d2d4449a8a67abaea133a88b28c6172b44,1,0xcab57e3f0cbc5f9dac0058b3a2af139a80172050,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-23 19:32:47.000000 UTC,232228,15925065851,8487802,232228,8090615000000000.0,29,2,97,2021-12-23T00:00:00,799,811,0.9852034525277436,106,15,15,1.0,6,811,0xf54b57bdded602f9975a566c4e8044d2d4449a8a67abaea133a88b28c6172b44,1,1,7,233,157,1079808,11,346,2266707,4,6.0,1.0,1,2,-0.23770469634148975,-0.09594035611144856,-0.09808992640610154,0.9505688197630592,-0.6958565571308961,-0.5931812103023044,-1.5364971169719632,1.3726701174453817,-0.05922150202607182,-0.292451559278471,-0.23350748384517578,-0.09842611278309918,1.0256340066259535,1.0562760190234368,-0.9813010209605211,0.22988016658438173,0.3039338597174082,-0.22200092008893216,-0.18575424879234995,-0.45299735648615447,-0.3630771597711048,-0.20967949535899175,-0.2377906036561396,-0.02389157794417239,-0.4169567620379289,-0.2122142521075462,-0.18135206,-0.7248977201260175,0.14285714285714285,0.6708860759493671,3.48068669527897,0.0007399456755778105,0.01729106628242075,1.3636363636363635,6.617526386283545e-06,0.06666666666666667,0.0012330456226880395,1.0,0.009433962264150943,0
0x384a01944d4703c305a12c3399e4df22a0b0d77cb1197d10351f219961f9c2c1,2,0x6e09f230d90dad2bbf4bd5f96fdf93fee27aa8ca,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-23 05:41:35.000000 UTC,104851,12407759036,1827561,104851,1618123000000000.0,696,2,119,2021-12-23T00:00:00,777,789,0.9847908745247148,106,361,368,0.9809782608695652,112,789,0x384a01944d4703c305a12c3399e4df22a0b0d77cb1197d10351f219961f9c2c1,12,2,4,224,157,1075660,183,364,2375870,4,2.0,2.0,2,2,0.10849279325887334,-0.09608371285591671,-0.09811188344650894,0.9505688197630592,-0.3291813401276455,-0.3023941205276575,-0.14519455001986414,1.289679248757288,-0.044185960323242374,-0.10899559820207863,-0.3310794955094907,-0.09849959204967602,1.0256340066259535,1.04735029863228,0.05616304376506871,0.44836208072622863,0.507436017565993,-0.22200092008893216,-0.34642074727721545,1.2961815116263493,1.599675250991515,-0.20967949535899175,-0.3738500754664731,-0.2785786902042909,-1.3675369165269118,-0.36037381356411713,-0.2130859,-0.3446216248095575,0.5,0.6708860759493671,3.5223214285714284,0.0007223465385469957,0.30684931506849317,2.010928961748634,0.00015194427643588394,0.03260869565217391,0.015209125475285171,6.0,0.018867924528301886,0
0x185c8d0d05cedc9acf0e41919cbbfff9edd86f3f9d5cd9e9e1dc41835e22bf1d,1,0x18c6a47aca1c6a237e53ed2fc3a8fb392c97169b,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-07-24 00:54:39.000000 UTC,85267,8000000000,704683,52045,0.0,5451,0,716,2021-07-24T00:00:00,181,192,0.9427083333333334,6,3809,4117,0.9251882438668934,350,192,0x185c8d0d05cedc9acf0e41919cbbfff9edd86f3f9d5cd9e9e1dc41835e22bf1d,2,1,3,91,5,32533,1125,365,2316460,3,2.0,1.0,1,2,-0.23770469634148975,-0.09996737738787208,-0.09870771767938255,-1.0956523583552098,3.3248537703556154,2.7858800992036485,2.978673477665038,-0.9623911424605329,-0.05785463459854187,-0.292451559278471,-0.3636034993975957,-0.09958545232242258,-1.192629442381048,-1.1972639575071,5.738088328483124,0.4604999648452201,0.39668362712431937,-0.4608988657115653,-0.34642074727721545,-0.45299735648615447,-0.3630771597711048,-0.20967949535899175,-0.3947689909373475,-0.5977431758356883,-1.5277992167518255,-0.4217955286482821,-0.22101937,2.366342143151113,0.3333333333333333,1.0,2.10989010989011,0.00556341058584865,0.9562841530054644,3.6595555555555555,0.0016443186395108745,0.00048579062424095217,0.010416666666666666,2.0,0.16666666666666666,0
0x4ab143b98ea1ec18f35f95b675c53e1cb7e541e7b8f6268b933fe48104d5bf94,1,0xced561031ef6bbe74b8c8a8dab9211889836a864,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-07-21 00:57:18.000000 UTC,66903,12862016976,29957189,66903,3e+17,412,2,766,2021-07-21T00:00:00,132,142,0.9295774647887324,3,41,41,1.0,16,142,0x4ab143b98ea1ec18f35f95b675c53e1cb7e541e7b8f6268b933fe48104d5bf94,1,1,2,71,2,13141,13,365,2310551,3,1.0,1.0,1,1,-0.23770469634148975,-0.10028667195509659,-0.09875762004394482,-1.1570389936987577,-0.6683029281075304,-0.5717634643132369,-1.4052421578255387,-1.1510067531152917,-0.05922150202607182,-0.292451559278471,-0.3961275032857006,-0.09974873958148221,-1.2364109578219757,-1.2389919155170592,-0.969237485324177,0.4604999648452201,0.3856680426247427,-0.4608988657115653,-0.38658737189843184,-0.45299735648615447,-0.3630771597711048,-0.47880722753065846,-0.41438474684559595,-0.24568601150295039,2.647252657898041,-0.4045133288467345,1.2498443,-0.5065382830852316,0.5,1.0,2.0,0.010044133313042155,0.04371584699453552,3.1538461538461537,1.7744677462355316e-05,0.024390243902439025,0.007042253521126761,1.0,0.3333333333333333,0
0x3ed8e3d2b01eb920f41e38ee012eb97475f96e73402847a18ba5c78bfbbce543,1,0x5b4f87cadc9625cb9b9cff449324d204e799d19a,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-07-19 23:19:51.000000 UTC,66903,17883742881,29330076,66903,1e+18,8589,2,886,2021-07-19T00:00:00,26,32,0.8125,1,8517,9873,0.8626557277423276,281,32,0x3ed8e3d2b01eb920f41e38ee012eb97475f96e73402847a18ba5c78bfbbce543,1,1,2,21,0,6277,1162,287,1818679,3,1.0,1.0,1,1,-0.23770469634148975,-0.10097739081480678,-0.09886740524598185,-1.197963417261123,8.314180133509673,7.527439557398741,2.073014259554709,-1.5659610965557613,-0.05922150202607182,-0.292451559278471,-0.3961275032857006,-0.10015695772913129,-1.265598634782594,-1.2537619600601886,5.961263737755489,-0.4862549964361164,-0.5312819622789251,-0.4608988657115653,-0.38658737189843184,-0.45299735648615447,-0.3630771597711048,-0.47880722753065846,-0.41438474684559595,0.11793562760227506,2.5577482131756875,-0.4045133288467345,4.6818595,4.1554071912816255,0.5,1.0,1.5238095238095237,0.00414144632048423,0.9756944444444444,8.496557659208262,0.004683066839685926,0.00010128633647320976,0.03125,1.0,1.0,0
0x56439c41f66a0d5b571edda167c3748eed0d81def0eb5d03e17e33c210233ecf,1,0xbd0103e03d9050e5164d36a219d68bf28c317c77,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-11-28 22:41:23.000000 UTC,306889,9865602720,7398566,204593,6472492000000000.0,300,2,385,2021-11-28T00:00:00,512,523,0.9789674952198852,81,304,314,0.9681528662420382,98,523,0x56439c41f66a0d5b571edda167c3748eed0d81def0eb5d03e17e33c210233ecf,4,1,6,158,132,901808,104,362,2349684,4,5.0,1.0,1,2,-0.23770469634148975,-0.09781051000519217,-0.09837736402598027,0.4390135252334919,-0.3895873729865625,-0.3468771314280284,-0.32895149282485836,0.2862442000739708,-0.05512089974348197,-0.292451559278471,-0.2660314877332808,-0.0990384400045728,0.6607880446182229,0.6732533021415905,-0.4203466138705219,0.42408631248824563,0.45861995804561484,-0.22200092008893216,-0.22592087341356631,-0.45299735648615447,-0.3630771597711048,-0.20967949535899175,-0.15804044291415864,-0.4626554526506915,-0.5724175216643391,-0.24435812015948913,-0.18928552,-0.5703927398700045,0.16666666666666666,0.6090225563909775,3.310126582278481,0.0005677477159797696,0.2699724517906336,3.019230769230769,0.00012937904442510378,0.012738853503184714,0.0076481835564053535,4.0,0.012345679012345678,0
