transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus
0xff0e57714aa93fc9aa90bbd0ee9bb1f2b38e2956478ddd9857b031a08a039be3,2,0x9ac65fdbf132b8124bf9948f40a87ed254c74974,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-17 03:56:11+00:00,2072176,22050001531,5409533,1235630,0,9,,250,2192,2289,0.9576234163390128,64,11,11,1.0,5,767,4756511,1,0xff0e57714aa93fc9aa90bbd0ee9bb1f2b38e2956478ddd9857b031a08a039be3,2,2,110,519,66,426590,6,34,13,9,2,5,0
0xe108487e1e78297e57ebd11d6513025ba767df6a0c1f6bb4aefa475170601d6d,1,0x93bb2d258786109439cb268c0a425b314d8abf56,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-17 05:14:08+00:00,832228,20000000000,5688747,486596,0,353,,249,2193,2290,0.95764192139738,64,346,367,0.9427792915531336,51,84,540830,2,0xe108487e1e78297e57ebd11d6513025ba767df6a0c1f6bb4aefa475170601d6d,3,3,48,519,66,426945,98,20,6,6,1,4,0
0xf601c4d60a9aaa8a204df4ec59bc5d09ecb39d46d75e047f824dd02a44a238d7,1,0xa68e8c09dddd6ab170d5872422f38877622adada,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-17 07:23:04+00:00,442489,22100000000,10030236,271630,0,810,,248,2194,2291,0.9576604103011784,64,818,862,0.948955916473318,162,865,5335325,3,0xf601c4d60a9aaa8a204df4ec59bc5d09ecb39d46d75e047f824dd02a44a238d7,8,7,13,519,66,427518,179,10,2,5,1,4,0
0x66ceca4b4c6652659de9d7de352d6de76826f303379a90d9b12527eda857115a,1,0xf1111dcdfbb2e5d93173aecfa4e388b48a31f17c,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-17 10:23:04+00:00,1105782,23100000000,5572415,621116,0,203,,247,2195,2292,0.9576788830715532,64,186,230,0.808695652173913,25,35,223956,4,0x66ceca4b4c6652659de9d7de352d6de76826f303379a90d9b12527eda857115a,10,7,74,519,66,428303,27,22,8,6,1,5,0
0xa6206aad80eb14530e598f4487a915b1f173b9f5196d5890cc528a9e1dab4333,2,0x74ab5d0ccdb5a8b8be357bf395f121e5bcaeb86f,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-17 20:01:17+00:00,2325027,17000001347,11208762,1399359,0,192,,246,2196,2293,0.957697339729612,64,202,208,0.971153846153846,33,43,280515,5,0xa6206aad80eb14530e598f4487a915b1f173b9f5196d5890cc528a9e1dab4333,3,3,144,519,66,430920,51,34,13,9,2,5,0
0xe5c385696278a676bc656026719bdcd08db9b6d9b9b595e1d2f43b6e2a99e0cc,1,0x268cb4c8b97da9d146702d84501a64f597a3aa14,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-17 21:25:34+00:00,885852,19100000000,10527620,504987,0,1505,,245,2197,2294,0.9577157802964253,64,1466,1531,0.9575440888308296,278,378,2396462,6,0xe5c385696278a676bc656026719bdcd08db9b6d9b9b595e1d2f43b6e2a99e0cc,9,7,43,519,66,431273,198,20,6,6,1,6,0
0xbd2930986f8331575d8701437bd19e0761ec9fa2e15c3a100078caf43f692be9,1,0x280a8675cf1d930c638f4f9eb9dbe75823801d5a,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-17 21:27:21+00:00,864007,19100000000,7535337,494851,0,1199,,244,2198,2295,0.9577342047930282,64,1177,1226,0.960032626427406,157,255,1651389,7,0xbd2930986f8331575d8701437bd19e0761ec9fa2e15c3a100078caf43f692be9,10,9,43,519,66,431278,175,20,6,6,1,6,0
0x10684ec81116a46ae32b001ce67298f9f1a4077b45cee333e096d811dcae18d2,2,0x0d0ca2d40a2d6df958abb6767e62e140b1d0c584,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-17 23:53:46+00:00,2120694,17000000000,8630278,1265142,0,63,,243,2199,2296,0.957752613240418,64,68,72,0.9444444444444444,20,254,1645853,8,0x10684ec81116a46ae32b001ce67298f9f1a4077b45cee333e096d811dcae18d2,2,2,112,519,66,431995,31,34,13,9,2,5,0
0x0dee34ad070d235e6aa105edb80190687db7534e928f9157eb463e333f433816,2,0x3ead180ae502757fc6e444e4cf3d861fe27fe0ac,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-18 04:43:22+00:00,2403255,19800000000,8220993,1462370,0,101,,242,2200,2297,0.957771005659556,65,97,109,0.8899082568807339,19,66,429101,9,0x0dee34ad070d235e6aa105edb80190687db7534e928f9157eb463e333f433816,2,2,146,519,67,433256,31,34,13,9,2,5,0
0xeb84d81d29714f02b80a4fe0a8c408605e82fcc97f26501d687dce0afcea44db,1,0x33f14f6233bfdefd12520c6eca0d4ad526f2c6e6,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-18 05:20:31+00:00,1486659,22000000000,4837024,826066,0,64,,241,2201,2298,0.9577893820713664,65,71,71,1.0,24,48,308241,10,0xeb84d81d29714f02b80a4fe0a8c408605e82fcc97f26501d687dce0afcea44db,6,4,100,519,67,433439,17,25,11,6,1,6,0
0x5b30de65f2dd369ecd415753a7193824441eaad26cbe5f4f48f0b1cad0dbde83,2,0x14200888c9b85b4f1e589de4be12e46916b7af31,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-18 07:44:54+00:00,2583280,18000000000,9443618,1561120,0,74,,240,2202,2299,0.9578077424967376,65,86,87,0.9885057471264368,29,470,2983647,11,0x5b30de65f2dd369ecd415753a7193824441eaad26cbe5f4f48f0b1cad0dbde83,2,2,114,519,67,434089,35,34,13,9,2,5,0
0x794c18369c6ed42c09b194c1655ce936c2aeb4db552c519898359eb528628bd8,2,0x87dd56068af560b0d8472c4ef41cb902fcbf5ebe,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-18 08:46:02+00:00,2549575,16000000000,8790022,1573632,0,731,,239,2203,2300,0.9578260869565216,65,733,739,0.9918809201623816,85,259,1676736,12,0x794c18369c6ed42c09b194c1655ce936c2aeb4db552c519898359eb528628bd8,2,2,56,519,67,434362,137,18,6,7,2,5,0
0x7a0df756d5a008f8422a9901742bac5827602bdeb615bf2786d81fdf08a8ac4c,2,0x7b7d9ce0df9cbde17cd6eb6d19e4c7941bd99978,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-18 09:21:18+00:00,1365145,21000000000,9704403,795945,0,309,,238,2204,2301,0.957844415471534,65,310,313,0.9904153354632588,30,66,428721,13,0x7a0df756d5a008f8422a9901742bac5827602bdeb615bf2786d81fdf08a8ac4c,4,4,78,519,67,434500,58,21,15,10,2,6,0
0x2cbf11d941500b86e66f182cbe2fe4cb9cd2e9cd159cb481a2af25efafff45df,2,0x7b7d9ce0df9cbde17cd6eb6d19e4c7941bd99978,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-18 09:24:08+00:00,1009756,21000000000,8568293,626158,0,310,,237,2205,2302,0.9578627280625543,65,311,314,0.9904458598726114,30,66,428735,14,0x2cbf11d941500b86e66f182cbe2fe4cb9cd2e9cd159cb481a2af25efafff45df,5,4,70,519,67,434514,58,20,12,10,2,5,0
0x0b0bb6d5d6f1f25fbe3ecc4f50a5f45bd831bbf36bfa3d86c1be481cf0e98430,2,0xd9233c98d84e50f07b122ee0de0a6a50f49127e0,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-18 09:55:28+00:00,2222437,31000000000,3779312,1339507,0,1445,,236,2206,2303,0.9578810247503255,65,1425,1450,0.9827586206896552,64,86,554502,15,0x0b0bb6d5d6f1f25fbe3ecc4f50a5f45bd831bbf36bfa3d86c1be481cf0e98430,2,2,112,519,67,434645,61,34,13,9,2,5,0
0x3391c3fe91d538b35a9f29a68f43e5067580cc89ce86f4e52858bb85eb23294b,2,0xe5546ea6535859c5d16373ecabde6de89fb2a4ce,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-18 17:57:47+00:00,2169046,18000000000,7151309,1304469,0,141,,235,2207,2304,0.9578993055555556,65,152,160,0.95,36,90,583842,16,0x3391c3fe91d538b35a9f29a68f43e5067580cc89ce86f4e52858bb85eb23294b,3,2,114,519,67,436859,40,34,13,9,2,5,0
0x18d96afb5f66efdbb906853f576436df0170f71d14f197f26b92088731d4a55f,1,0x12d4f5e2efd434f752893b06a1406c3e7ac1c704,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-18 19:43:37+00:00,846664,16000000000,11851395,498470,0,192,,234,2208,2305,0.9579175704989152,65,197,209,0.9425837320574164,86,1165,6942473,17,0x18d96afb5f66efdbb906853f576436df0170f71d14f197f26b92088731d4a55f,7,5,36,519,67,437354,58,17,6,6,1,5,0
0x222f7c413657f708600024ae1bc724e9e45624b41b9bc4c81d5e2bb21f7ceeec,1,0x22510fe99f63ae03ba792c21a29ec10fd87cae08,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-18 20:30:53+00:00,557116,16000000000,8352463,336054,0,376,,233,2209,2306,0.9579358196010408,65,390,406,0.960591133004926,86,701,4360384,18,0x222f7c413657f708600024ae1bc724e9e45624b41b9bc4c81d5e2bb21f7ceeec,3,3,29,519,67,437557,117,15,6,6,1,4,0
0xabbb95b72a9d9246e81ec0d631a4757eda901a5a4a090ec6ffb3c1a9f12f24a9,2,0xcdca0bbc8b3ba779c43b4870157e3c5c7398e6d7,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-18 22:06:16+00:00,1766625,17000000000,10862063,1106078,0,155,,232,2210,2307,0.9579540528825314,65,160,166,0.963855421686747,26,48,311599,19,0xabbb95b72a9d9246e81ec0d631a4757eda901a5a4a090ec6ffb3c1a9f12f24a9,4,3,56,519,67,437964,34,18,6,7,2,5,0
0xdc343bf349e6672074d83c123a47a263ace20ebb1385a08cf59f2ee3726d3755,2,0x25b9f3bf60c74a7041115cf6fac3dc3715b2a8ee,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-18 22:31:07+00:00,4719322,17000000000,8648029,2959773,0,75,,231,2211,2308,0.9579722703639514,65,79,81,0.9753086419753086,25,70,455686,20,0xdc343bf349e6672074d83c123a47a263ace20ebb1385a08cf59f2ee3726d3755,3,3,247,519,67,438076,26,41,18,9,2,5,0
0x7df7550db5305531bc03baf55952b3fc7516e68e157bebc3c3438a8c237b9dd9,1,0x77fb0deba36c1ae0057b8a07174ed3c87f53f11e,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-19 00:05:34+00:00,2278068,19800000000,8551720,1384428,0,551,,230,2212,2309,0.9579904720658292,66,541,557,0.971274685816876,96,635,3971626,21,0x7df7550db5305531bc03baf55952b3fc7516e68e157bebc3c3438a8c237b9dd9,4,3,58,519,68,438499,136,18,7,6,1,5,0
0xe6181df63d3135ba057f74a0e4c16974abf62d244b5867571b09d0b729ff0cd2,1,0xed576e57ae40d9e8fae69fc5e71db3a9ae66c23a,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-19 00:49:29+00:00,2950393,25410000000,2655057,1744642,0,58,,229,2213,2310,0.958008658008658,66,66,73,0.9041095890410958,22,139,899622,22,0xe6181df63d3135ba057f74a0e4c16974abf62d244b5867571b09d0b729ff0cd2,10,6,100,519,68,438697,23,25,11,6,1,6,0
0x95e7ad82659e908b4223f1177a94ef80a44cc3c19f6c8ce8961984d5f043ed2c,1,0x928efa31db4d805dc355945a5ab3c8c7a8db2fe2,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-10-19 01:37:04+00:00,1372978,20000000000,8418250,751463,0,745,,228,2214,2311,0.9580268282128948,66,751,762,0.9855643044619422,48,71,455158,23,0x95e7ad82659e908b4223f1177a94ef80a44cc3c19f6c8ce8961984d5f043ed2c,21,13,100,519,68,438901,135,25,11,6,1,6,0
