transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus
0xf5b4f888a9ff3b1e3a99885357506a6ec71565b622d8090b4dc122d307688b87,1,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,0x36850f22e2ab02154b6a2fa141acc711b8379523,2016-06-17 00:48:22+00:00,500000,20000000000,36459,36459,0,5864,,146,1,1,1.0,1,4002,5866,0.682236617797477,21,20,118492,1,0xf5b4f888a9ff3b1e3a99885357506a6ec71565b622d8090b4dc122d307688b87,1,1,2,1,0,0,1261,3,0.0,1.0,1,1,0
0x62a95ac624fba79d9b9ed55893976e8982d79b60b310a431d89f57e0495fa7ce,1,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,0x36850f22e2ab02154b6a2fa141acc711b8379523,2016-06-17 01:01:09+00:00,500000,20000000000,57459,36459,0,5865,,133,2,2,1.0,1,4003,5867,0.6822907789330152,21,20,118546,2,0x62a95ac624fba79d9b9ed55893976e8982d79b60b310a431d89f57e0495fa7ce,2,1,2,1,0,54,1261,3,0.0,1.0,1,1,0
0xabbc915baeb30a2ec14c8352e4f4a35f282d0904e0d020ad8e6246bf66e4ada6,1,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,0x36850f22e2ab02154b6a2fa141acc711b8379523,2016-06-17 01:12:18+00:00,500000,20000000000,274030,36523,0,5866,,125,3,3,1.0,1,4004,5868,0.6823449216087252,21,20,118599,3,0xabbc915baeb30a2ec14c8352e4f4a35f282d0904e0d020ad8e6246bf66e4ada6,3,1,2,1,0,107,1261,3,0.0,1.0,1,1,0
0x95206dd38daa8643562e81de354e5126722e0262420d54f748673983fb96e96e,1,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,0x3ec6ee9942e7979b1e26866828a68990609a3397,2016-06-17 00:21:22+00:00,500000,20000000000,88730,25730,0,5860,,164,1,1,1.0,1,3998,5862,0.6820197884680996,21,20,118364,1,0x95206dd38daa8643562e81de354e5126722e0262420d54f748673983fb96e96e,1,1,2,1,0,0,1260,3,0.0,1.0,1,1,0
0xe11112b361cc2ffdc4815513dcb337beb83be014bcc89cd39a984f3d458e668d,1,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,0x447f914fee54e1f9dc1fc5276ae2572b9369ae5d,2016-06-17 03:34:48+00:00,500000,20000000000,4081851,36395,0,5870,,2,1,1,1.0,1,4008,5872,0.6825613079019073,21,20,119203,1,0xe11112b361cc2ffdc4815513dcb337beb83be014bcc89cd39a984f3d458e668d,1,1,2,1,0,0,1262,3,0.0,1.0,1,1,0
0xbb9959fefe8770d8b64771c065fec2209af3b64e996a711ecfe493b62a9e697c,1,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,0x4e32fbbdcaffd8aae05a6ec664f8857afa3254d7,2016-06-16 23:48:31+00:00,500000,20000000000,194232,36523,0,5856,,194,1,1,1.0,1,3994,5858,0.6818026630249232,20,19,118212,1,0xbb9959fefe8770d8b64771c065fec2209af3b64e996a711ecfe493b62a9e697c,1,1,2,1,0,0,1259,3,0.0,1.0,1,1,0
0x11ae68f918598517c60ca4d512c7eaf0d95f7508f5d96c9dbddf8e14b0bfdff9,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 22:39:13+00:00,250000,20000000000,456580,50376,0,13572,,250,6977,10704,0.6518124065769805,20,7992,13580,0.5885125184094256,21,20,121265,1,0x11ae68f918598517c60ca4d512c7eaf0d95f7508f5d96c9dbddf8e14b0bfdff9,10704,20,2,1,19,116698,3,3,0.0,1.0,1,1,0
0x077697315dfc468de8777b5d6d4955fa19dc71e1988832f8989474cd6a078eff,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 22:43:41+00:00,250000,20000000000,50376,50376,0,13583,,245,6984,10715,0.6517965468968735,20,7999,13591,0.5885512471488485,21,20,121284,2,0x077697315dfc468de8777b5d6d4955fa19dc71e1988832f8989474cd6a078eff,10715,20,2,1,19,116717,3,3,0.0,1.0,1,1,0
0x26629bc2be35e33f7fd5998f56568ff247816b7096cdc5c9fd5c51fa69d9c2ce,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 22:57:03+00:00,250000,20000000000,122376,80376,0,13603,,235,6998,10734,0.6519470840320477,20,8013,13610,0.5887582659808964,21,20,121326,3,0x26629bc2be35e33f7fd5998f56568ff247816b7096cdc5c9fd5c51fa69d9c2ce,10734,20,2,1,19,116759,3,3,0.0,1.0,1,1,0
0xf33af6030af7ebcdb88788d42eec6857ecdea0db4ad20f502b7fce9fc91a1229,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 22:59:47+00:00,250000,20000000000,71376,50376,0,13604,,230,6999,10735,0.6519795062878435,20,8014,13611,0.5887884799059584,21,20,121335,4,0xf33af6030af7ebcdb88788d42eec6857ecdea0db4ad20f502b7fce9fc91a1229,10735,20,2,1,19,116768,3,3,0.0,1.0,1,1,0
0x7b95bfafba1bc3d99c878b82fee42209ab8a31e713cb938f056d805594ae4e73,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 23:05:43+00:00,250000,20000000000,71376,50376,0,13609,,226,7003,10740,0.652048417132216,20,8018,13616,0.5888660399529964,21,20,121357,5,0x7b95bfafba1bc3d99c878b82fee42209ab8a31e713cb938f056d805594ae4e73,10740,20,2,1,19,116790,3,3,0.0,1.0,1,1,0
0x9c7aeaf35c5603991de33712daa7546c03b5c23b107dc92d018955093050f5f8,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 23:10:12+00:00,250000,20000000000,575376,50376,0,13611,,221,7005,10742,0.652113200521318,20,8020,13618,0.5889264209134969,21,20,121373,6,0x9c7aeaf35c5603991de33712daa7546c03b5c23b107dc92d018955093050f5f8,10742,20,2,1,19,116806,3,3,0.0,1.0,1,1,0
0xd4b23c4e4bb55f8fca576541dd66f80ebd0d64486579098e70152d47cec3eee7,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 23:15:55+00:00,250000,20000000000,392883,50376,0,13617,,217,7010,10748,0.652214365463342,20,8025,13624,0.589034057545508,21,20,121399,7,0xd4b23c4e4bb55f8fca576541dd66f80ebd0d64486579098e70152d47cec3eee7,10748,20,2,1,19,116832,3,3,0.0,1.0,1,1,0
0x675ab73b81f431eef78d0dbed8f365011cc4cc5baae8e68a197bf71161d49623,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 23:27:04+00:00,250000,20000000000,80440,80440,0,13631,,214,7024,10762,0.6526667905593756,20,8039,13638,0.589455931954832,21,20,121446,8,0x675ab73b81f431eef78d0dbed8f365011cc4cc5baae8e68a197bf71161d49623,10762,20,2,1,19,116879,3,3,0.0,1.0,1,1,0
0x59dc4b8127777cca61d71fbc3497df32779e12d864b377579713362d13966751,2,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 23:30:26+00:00,250000,20000000000,25677,25677,0,13640,,210,7030,10771,0.6526784885340265,20,8045,13647,0.589506851322635,21,20,121455,9,0x59dc4b8127777cca61d71fbc3497df32779e12d864b377579713362d13966751,10771,20,4,1,19,116888,3,4,1.0,2.0,1,1,0
0x4df1ea16828565ff082580718da94aa31affc5a4cde095e0ff974f05a3b90312,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 23:34:27+00:00,250000,20000000000,882390,50376,0,13668,,206,7039,10799,0.6518196129271228,20,8054,13675,0.5889579524680073,21,20,121470,10,0x4df1ea16828565ff082580718da94aa31affc5a4cde095e0ff974f05a3b90312,10799,20,2,1,19,116903,3,3,0.0,1.0,1,1,0
0x78aafc4cff7ecf12f1e59c1616c57c52d3b0f22981dd8d4a248ad67f71fdbe91,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 23:36:24+00:00,250000,20000000000,155376,50376,0,13669,,204,7040,10800,0.6518518518518519,20,8055,13676,0.5889880081895291,21,20,121478,11,0x78aafc4cff7ecf12f1e59c1616c57c52d3b0f22981dd8d4a248ad67f71fdbe91,10800,20,2,1,19,116911,3,3,0.0,1.0,1,1,0
0x396719bd04b81d859420eba66b45729a81d088799b4d83744bc8cf1adbe3dc83,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 23:44:00+00:00,250000,20000000000,239376,50376,0,13671,,199,7042,10802,0.6519163117941122,20,8057,13678,0.5890481064483111,21,20,121508,12,0x396719bd04b81d859420eba66b45729a81d088799b4d83744bc8cf1adbe3dc83,10802,20,2,1,19,116941,3,3,0.0,1.0,1,1,0
0xce512f029388617f15e9189d29e3e18a175a4049a22e7236b916f65942626ac7,2,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 23:56:51+00:00,250000,20000000000,67709,25709,0,13680,,185,7050,10812,0.6520532741398446,20,8065,13688,0.5892022209234365,21,20,121570,13,0xce512f029388617f15e9189d29e3e18a175a4049a22e7236b916f65942626ac7,10812,20,4,1,19,117003,3,4,1.0,2.0,1,1,0
0x393c46c390912c7ba495315e6a93970b8ef98483c44788590b7eaad231e608ec,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 23:56:51+00:00,250000,20000000000,169085,80376,0,13681,,186,7050,10812,0.6520532741398446,20,8065,13688,0.5892022209234365,21,20,121570,14,0x393c46c390912c7ba495315e6a93970b8ef98483c44788590b7eaad231e608ec,10812,20,2,1,19,117003,3,3,0.0,1.0,1,1,0
0x996d2a91a946efbeb6bd49b5d3cf7c9dfbe25754fbbc26541e3cd5b77230ef11,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-17 00:09:20+00:00,250000,20000000000,134376,50376,0,13685,,179,7053,10816,0.65208949704142,21,8068,13692,0.5892491966111598,22,21,121620,15,0x996d2a91a946efbeb6bd49b5d3cf7c9dfbe25754fbbc26541e3cd5b77230ef11,10816,21,2,1,20,117053,3,3,0.0,1.0,1,1,0
0x4b8bbb2ee01c86eea861e07163560a1da49a2e8c45d7716b155f710394788f75,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-17 00:12:41+00:00,250000,20000000000,101312,80312,0,13686,,178,7054,10817,0.65212166034945,21,8069,13693,0.5892791937486306,22,21,121636,16,0x4b8bbb2ee01c86eea861e07163560a1da49a2e8c45d7716b155f710394788f75,10817,21,2,1,20,117069,3,3,0.0,1.0,1,1,0
0x2db210aa8c1ae80f2f167d6ab69d5b4fb4104459a8f6f0a1ffbf3ea552a07569,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-17 00:13:16+00:00,250000,20000000000,208212,80312,0,13687,,177,7055,10818,0.652153817711222,21,8070,13694,0.5893091865050387,22,21,121640,17,0x2db210aa8c1ae80f2f167d6ab69d5b4fb4104459a8f6f0a1ffbf3ea552a07569,10818,21,2,1,20,117073,3,3,0.0,1.0,1,1,0
0xb02ba19af408c0900f0e92071819064239a63e75e89ada9304c780377f7a6229,2,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-17 00:15:16+00:00,250000,20000000000,184614,36354,0,13688,,174,7056,10819,0.6521859691283852,21,8071,13695,0.5893391748813435,22,21,121651,18,0xb02ba19af408c0900f0e92071819064239a63e75e89ada9304c780377f7a6229,10819,21,4,1,20,117084,3,4,1.0,2.0,1,1,0
0x69c2c398da1bcb2dcd022dee9e7e12d4bf1560d1bff42e7d4603c9cb74d91978,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-17 00:16:21+00:00,250000,20000000000,80312,80312,0,13689,,173,7057,10820,0.6522181146025878,21,8072,13696,0.5893691588785047,22,21,121655,19,0x69c2c398da1bcb2dcd022dee9e7e12d4bf1560d1bff42e7d4603c9cb74d91978,10820,21,2,1,20,117088,3,3,0.0,1.0,1,1,0
0x9b198e32f68022ca1902a9fc412178c59ab2dd0a1d6b8bb8ed5ac624f30257af,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-17 00:20:34+00:00,250000,20000000000,92376,50376,0,13693,,167,7061,10824,0.6523466371027346,21,8076,13700,0.5894890510948904,22,21,121674,20,0x9b198e32f68022ca1902a9fc412178c59ab2dd0a1d6b8bb8ed5ac624f30257af,10824,21,2,1,20,117107,3,3,0.0,1.0,1,1,0
