transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus
0x84033e0c908cab415359b5a1a54289a533b20b8450836ceb13190848c2aac6a8,6,0xcf267ea3f1ebae3c29fea0a3253f94f3122c2199,0xc5918a927c4fb83fe99e30d6f66707f4b396900e,2018-10-07 00:39:09+00:00,881764,13370000000,2343232,744511,100000000000000000,2,,3,1,1,1.0,1,5,5,1.0,2,5,25465,1,0x84033e0c908cab415359b5a1a54289a533b20b8450836ceb13190848c2aac6a8,1,1,19,1,0,0,1,3,2.0,10.0,2,2,0
0x21e9d20b57f6ae60dac23466c8395d47f42dc24628e5a31f224567a2b4effa88,33,0xcf267ea3f1ebae3c29fea0a3253f94f3122c2199,0xc5918a927c4fb83fe99e30d6f66707f4b396900e,2018-10-07 00:39:30+00:00,4340996,13370000000,5036311,4090579,5000000000000000000,3,,1,2,2,1.0,1,6,6,1.0,2,5,25467,2,0x21e9d20b57f6ae60dac23466c8395d47f42dc24628e5a31f224567a2b4effa88,2,1,100,1,0,2,1,3,2.0,64.0,2,2,1
0xe303f3617886d131b824aecc90a3d82587c6723eff414a4474022b6883526a17,1,0xf36cb9c2984838eb2bbda4fcdb3f9cb2ac05d1fa,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-06 18:29:53+00:00,1000000,10000000000,5519324,56713,0,2142,,250,1966,2147,0.9156963204471356,37,1895,2161,0.8769088385006941,78,79,475492,1,0xe303f3617886d131b824aecc90a3d82587c6723eff414a4474022b6883526a17,1262,37,2,381,36,216623,426,3,0.0,1.0,1,1,0
0x22d1850eb780c983df42c177e6c31bd55f4ad1ebda3da62c0ebdc09330e778ed,1,0xa539f00f08372b31d73ab9724d1433a2bebc8b61,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-06 18:30:24+00:00,750000,10000000000,843214,224227,613920143166088335,15,,249,1967,2148,0.9157355679702048,37,26,26,1.0,13,183,1076569,2,0x22d1850eb780c983df42c177e6c31bd55f4ad1ebda3da62c0ebdc09330e778ed,4,2,2,381,36,216625,4,3,0.0,1.0,1,1,0
0xd505eb59194a1a986e0ecd51eff3776a302da7648d0af3fc69189b7527981557,1,0xf36cb9c2984838eb2bbda4fcdb3f9cb2ac05d1fa,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-06 18:31:08+00:00,90000,10000000000,3211426,62361,0,2144,,247,1968,2150,0.9153488372093024,37,1896,2163,0.8765603328710125,78,79,475497,3,0xd505eb59194a1a986e0ecd51eff3776a302da7648d0af3fc69189b7527981557,1263,37,1,382,36,216628,426,2,,,1,0,0
0x3b0bfa0a5d8a478502a77adc313c0a6a2391bf381d6b27e3c67417d1f2bc258e,1,0x3c152bd1eca5f439aed235acb10bee88f7d9f934,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-06 18:31:08+00:00,750000,10000000000,3594574,188668,0,5,,248,1968,2150,0.9153488372093024,37,10,10,1.0,4,77,460011,4,0x3b0bfa0a5d8a478502a77adc313c0a6a2391bf381d6b27e3c67417d1f2bc258e,1,1,2,382,36,216628,3,3,0.0,1.0,1,1,0
0x375da6a88a52649bf14a932ac7ba588d4d82e8d08f3233318dd5f426e9ac762f,1,0xf36cb9c2984838eb2bbda4fcdb3f9cb2ac05d1fa,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-06 18:31:20+00:00,1000000,20000000000,234771,56713,0,2145,,246,1969,2151,0.9153881915388192,37,1897,2164,0.8766173752310537,78,79,475499,5,0x375da6a88a52649bf14a932ac7ba588d4d82e8d08f3233318dd5f426e9ac762f,1264,37,2,382,36,216630,426,3,0.0,1.0,1,1,0
0xa477830669854621f533292cb82940f05261f206dbae0c9446a18717209eaa6d,1,0xf36cb9c2984838eb2bbda4fcdb3f9cb2ac05d1fa,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-06 18:31:58+00:00,90000,20000000000,535855,62425,0,2146,,245,1970,2152,0.9154275092936804,37,1898,2165,0.8766743648960738,78,79,475502,6,0xa477830669854621f533292cb82940f05261f206dbae0c9446a18717209eaa6d,1265,37,1,382,36,216633,426,2,,,1,0,0
0x77a63a920c696dee3d52a214678ab7f6710c2462dc98fdf6dcde03d689a13ea2,1,0x8c6e858b00d13a4a060b466829e4caf2d0e66efb,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-06 18:35:41+00:00,750000,10000000000,2633992,224803,165420869213269784,5,,244,1971,2154,0.915041782729805,37,8,8,1.0,4,121,719670,7,0x77a63a920c696dee3d52a214678ab7f6710c2462dc98fdf6dcde03d689a13ea2,3,2,2,382,36,216647,3,3,0.0,1.0,1,1,0
0x5026734637d7bc56fdf43ce428816461f3ce6e32d8949e83a21c9c8d325ca72e,1,0x25c09ec7357dd8bd24f69679103a101b3caccbba,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-06 18:35:41+00:00,1000000,10000000000,2680681,46689,0,29,,243,1971,2154,0.915041782729805,37,57,57,1.0,34,187,1096593,8,0x5026734637d7bc56fdf43ce428816461f3ce6e32d8949e83a21c9c8d325ca72e,8,8,1,382,36,216647,3,2,,,1,0,0
