transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio
0x7d2296bcb936aa5e2397ddf8ccba59f54a178c3901666b49291d880369dbcf31,5,0x7c42f2a7d9ad01294ecef9be1e38272c84607593,0x580cac65c2620d194371ef29eb887a7d8dcc91bf,2022-03-05 12:46:23+00:00,423932,25953071246,7718821,332490,0.0,1,2.0,1,1,1,1.0,1,2,2,1.0,1,0,4,1,0x7d2296bcb936aa5e2397ddf8ccba59f54a178c3901666b49291d880369dbcf31,1,1,46,1,0,0,1,9,10,12,3,4,1,0.6608567103080545,-0.1279087836911875,-0.14860486383897736,-2.6736360235041934,-0.09403078717182754,-0.08989418918463056,-0.500258268272639,-1.425658474157781,-0.713255802744027,-0.6993235624124697,2.782035995871718,-0.1483874322730636,-2.989848005053049,-2.9837235195789042,-0.0901681990280822,-0.7437589511989187,-0.7559279366826002,0.6294058295155492,1.4411953637691548,4.594987608109373,3.9237740121518816,0.6239351853605123,-0.48402568296271037,-1.0647386314500025,-0.18856550207546685,-0.2975176945702462,-0.0805007,-0.08978046651146256,0.10869565217391304,1.0,1.0,1.0,1.0,2.0,0.4,0.5,1.0,1.0,1.0
0xdbdeaff94401eabd6ccfe802aa67309fd5bfd47adac4f0234a7c009f50e32f9c,1,0x8c733c2309d7196203eef6e829cb3dbdc6031fe4,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-02-09 06:50:35+00:00,342279,60215009513,3902903,254314,0.0,13,2.0,181,307671,2116077,0.14539688300567513,57,19,19,1.0,7,69,442574,1,0xdbdeaff94401eabd6ccfe802aa67309fd5bfd47adac4f0234a7c009f50e32f9c,4,4,17,504901,56,358108,8,8,4,5,3,3,0,-0.19076276173840745,2.0005039274706675,3.958660930535764,-1.498263784320035,-0.0938805592175705,-0.08986260950474892,-0.45372838655818754,-1.425658474157781,0.07690941447609148,0.5091848979777428,0.48767119436222467,4.010160452933492,-2.07679783336771,-2.0737437208713803,-0.09014177385147278,-0.5603025221632372,-0.5676945931434078,0.1151853805649372,-0.07478853921382718,0.5582264062060583,3.9237740121518816,-0.6651870984421991,-0.6116326203207011,-0.1456213056832475,-0.7488499087616768,-0.49634714042164796,-0.0805007,-0.08975635603392072,0.058823529411764705,1.0,4.191073101459494,0.859154614935676,0.1,2.375,4.293057673840592e-05,0.21052631578947367,1.8902903816827082e-06,1.0,0.07017543859649122
0xbd557fe3d8d45223b05195e36da9616297be019fc537280a4cb087c5ec50c656,1,0x86365de1e2e47cfb0fe7d1804121b0904b44d75d,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-02-12 06:14:22+00:00,342802,47508292822,6606909,239238,2.0007287e+17,11,2.0,159,324873,2257945,0.1438799439313181,60,15,16,0.9375,7,71,458383,2,0xbd557fe3d8d45223b05195e36da9616297be019fc537280a4cb087c5ec50c656,1,1,22,524790,59,377323,9,10,4,5,4,5,0,-0.19076276173840745,2.1195046602603647,4.234024189566326,-1.4352974143637407,-0.09391590697151334,-0.08986818238943392,-0.45372838655818754,-1.4109019379701668,-0.713255802744027,-0.6993235624124697,0.8832513325535166,4.17397379991086,-2.0278844313131383,-2.0249169372413998,-0.09013799882624285,-0.554984944510029,-0.5609707281547933,1.1436262784661613,-0.07478853921382718,0.5582264062060583,6.006456608835471,1.9130574691632238,-0.6108152782972821,-0.4864941241821505,-0.3518255499085904,-0.5346907845791353,3.0166347,-0.08976037444684436,0.045454545454545456,1.0,4.302568646506222,0.8609921446820239,0.09722222222222222,1.7777777777777777,3.272365527592586e-05,0.0625,4.428805838937618e-07,1.0,0.016666666666666666
0x3603e63a7afaf72484b75c0bd27541f2be263248bd3a8fabd1a751c0cd31bd81,1,0x8893b758d0c37a86767562533575844d4dd0b7c6,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-02-14 21:22:56+00:00,312697,92713600524,14088880,235226,0.0,13,2.0,131,339794,2358669,0.14406175686372272,62,29,29,1.0,13,295,1896634,3,0x3603e63a7afaf72484b75c0bd27541f2be263248bd3a8fabd1a751c0cd31bd81,1,1,17,538936,61,394373,10,8,4,5,3,3,0,-0.19076276173840745,2.222725793498074,4.429527678038669,-1.3933198343928779,-0.09379218983271342,-0.08984403322246562,-0.4071985048437361,-1.3961454017825528,-0.713255802744027,-0.6993235624124697,0.48767119436222467,4.290485620834077,-1.9952754966100903,-1.981591584085471,-0.09013422380101294,0.04058375264928469,0.05074446848887203,0.1151853805649372,-0.07478853921382718,0.5582264062060583,3.9237740121518816,-0.6651870984421991,-0.6578632354961886,0.7261921284676063,0.7467388538805971,-0.544894731273208,-0.0805007,-0.08975635603392072,0.058823529411764705,1.0,4.376528938501046,0.86160345256026,0.04391891891891892,2.9,1.529023771047144e-05,0.034482758620689655,4.239679242827205e-07,1.0,0.016129032258064516
0x84651dc5e3e47f70e469b00bd1eb3ceb7396a51f60cc579b6ca91cc6d4b20eb0,3,0x8e08e916e53e310323e905d4e042173cbff9ba19,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-03-04 13:59:49+00:00,213372,29452149066,19191362,167560,0.0,805,2.0,4,439420,3023301,0.14534444304420896,80,821,832,0.9867788461538461,223,552,3563799,4,0x84651dc5e3e47f70e469b00bd1eb3ceb7396a51f60cc579b6ca91cc6d4b20eb0,5,4,14,626242,79,508632,179,8,4,6,3,3,0,0.23504697428482352,2.9119228057586484,5.7195665421658894,-1.0155216146551127,-0.08679333455203256,-0.08835235775511568,1.2213473551620648,-1.3813888655949385,0.340297820216131,0.5091848979777428,0.2503231114474495,5.00957094795993,-1.70179508428266,-1.6912507321063948,-0.08949624453715689,0.723892481086533,0.7598210940656569,0.1151853805649372,-0.07478853921382718,1.134906577906532,3.9237740121518816,-0.6651870984421991,-0.8130878941502788,-0.970871698893365,1.4959271488065011,-0.7169934992196487,-0.0805007,-0.08816506451615913,0.21428571428571427,1.0,4.827688018369895,0.8639234969024817,0.40325497287522605,4.648044692737431,0.00023037207475166957,0.006009615384615385,1.6538214355765437e-06,1.25,0.05
0xe6d8f716acd412f56fe0788626b932e5c57d0379ad87cdd75863bf3644d78633,7,0x2cb533ae1807beded8c4ba50aca827d19be9d090,0x881d40237659c251811cec9c364ef91dc08d300c,2022-02-25 12:52:58+00:00,909531,38094285742,8837510,592073,0.0,46,2.0,51,1707727,4017539,0.4250679333791159,502,63,64,0.984375,28,299,1922382,1,0xe6d8f716acd412f56fe0788626b932e5c57d0379ad87cdd75863bf3644d78633,2,1,74,1091110,501,3233612,26,21,8,12,1,2,0,1.0866664463312854,11.685871323506749,7.649364776665763,7.841747759196939,-0.09349173392419934,-0.08977901623447403,-0.2908738005576075,-1.425658474157781,-0.4498673970039875,-0.6993235624124697,4.9972847697429525,8.838400098881303,5.178690138060431,5.233131722019258,-0.09007382339733426,0.051218907955701005,0.06169557708061373,6.800051216922894,0.9358673961081607,4.594987608109373,-0.24159118121529655,-1.9543093822449105,0.2748662276113401,-0.7390360832706935,-0.024310399468076057,0.3626944426898391,-0.0805007,-0.08969005222068065,0.0945945945945946,1.0,3.6820659695172804,0.5281173102656378,0.09333333333333334,2.4615384615384617,3.2771825385472096e-05,0.03125,4.978171960496215e-07,2.0,0.00199203187250996
0xd6ddd9813862f185c9b01b98fdb071385c1caaecdce065947488a5d46fddf2ed,1,0x0b439a274b287500b4e97cc7b22ef7f1b777f577,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-04 04:33:25+00:00,408193,102728840877,1155202,248464,0.0,110,2.0,250,487,492,0.9898373983739838,129,117,128,0.9140625,48,251,1610565,1,0xd6ddd9813862f185c9b01b98fdb071385c1caaecdce065947488a5d46fddf2ed,1,1,9,203,191,1220373,40,8,5,3,1,4,0,-0.19076276173840745,-0.12454671206371434,-0.14765184159164882,0.012929094631026036,-0.0930145392459711,-0.08966012802786083,-0.13577419484276929,-1.425658474157781,-0.713255802744027,-0.6993235624124697,-0.14525702674384242,-0.14672368366381086,0.12430525908801823,0.11733754827799191,-0.09002097304411541,-0.0764029557212948,-0.0709260567453581,0.1151853805649372,0.17787544461666982,-0.5951339371948887,-0.24159118121529655,0.6239351853605123,-0.508622520642617,0.9948628866256988,-1.1522899262191026,-0.5112257765533342,-0.0805007,-0.08956146300712416,0.1111111111111111,0.671875,2.4236453201970445,0.0003990579936970142,0.19047619047619047,3.2,7.264526880612157e-05,0.0078125,0.0020325203252032522,1.0,0.007751937984496124
0x0e92de5c953d821d0f8b7660af9a6b33f988cceb942ed404457742b1abe38238,1,0xeebda44b6143fd5d8ad250c09f49792c014dd237,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-04 05:05:08+00:00,289407,89516961337,5827005,185611,0.0,5,2.0,249,488,493,0.9898580121703854,129,5,6,0.8333333333333334,2,66,422139,2,0x0e92de5c953d821d0f8b7660af9a6b33f988cceb942ed404457742b1abe38238,4,2,6,203,191,1220519,3,6,3,3,1,3,0,-0.19076276173840745,-0.12453979422085946,-0.14764990060947505,0.012929094631026036,-0.09400427635637042,-0.08988675867171723,-0.4925032879868971,-1.4109019379701668,0.07690941447609148,-0.29648740894906556,-0.3826051096586176,-0.14672368366381086,0.12430525908801823,0.11770854543698109,-0.09016064897762235,-0.5682788886430494,-0.5763859829240603,-0.9132555173362868,-0.32745252304432415,-0.5951339371948887,-0.24159118121529655,-0.6651870984421991,-0.6942607416633546,0.6404384726732252,-0.4663374576362202,-0.671083369166133,-0.0805007,-0.08977242968561529,0.16666666666666666,0.671875,2.4285714285714284,0.00039982958083439846,0.029850746268656716,2.0,1.1844411806509688e-05,0.6666666666666666,0.008113590263691683,2.0,0.015503875968992248
0x5e5c8a176fe55e335f593c096765b0ae2db95ee202f650cd0bdb939dabd20956,1,0xb29b72193c40f2dedceaecbb22d3a5028ec77e12,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-04 06:09:45+00:00,875553,83857898803,8630253,555169,0.0,9,2.0,248,489,494,0.9898785425101214,129,13,13,1.0,2,2,9123,3,0x5e5c8a176fe55e335f593c096765b0ae2db95ee202f650cd0bdb939dabd20956,3,2,12,203,191,1220814,6,10,5,6,1,4,0,-0.19076276173840745,-0.12453287637800457,-0.14764795962730126,0.012929094631026036,-0.09393358084848476,-0.08987375527411891,-0.4925032879868971,-1.3961454017825528,-0.186478991263948,-0.29648740894906556,0.09209105617093274,-0.14672368366381086,0.12430525908801823,0.11845816298425375,-0.0901493239019326,-0.7384413735457105,-0.752049454499592,1.1436262784661613,0.17787544461666982,1.134906577906532,-0.24159118121529655,0.6239351853605123,0.22176556361185681,0.4886273759961092,-0.05474157363810901,0.2688344105866344,-0.0805007,-0.089764392859768,0.08333333333333333,0.671875,2.4334975369458127,0.0004005520902020372,0.6666666666666666,2.1666666666666665,0.001424813678211311,0.23076923076923078,0.006072874493927126,1.5,0.015503875968992248
0xfc3f04dabd9f3ecac16602be8d0dac48361f1553303edc3ca2779f414304a43f,1,0x88dda000a73cb5ae14ee0268dd11ed00cd282def,0xb8919522331c59f5c16bdfaa6a121a6e03a91f62,2022-02-04 06:15:20+00:00,289425,90822960112,4637137,190423,0.0,222,2.0,247,490,495,0.98989898989899,129,232,249,0.9317269076305221,87,1365,8544391,4,0xfc3f04dabd9f3ecac16602be8d0dac48361f1553303edc3ca2779f414304a43f,2,2,6,203,191,1220839,90,6,3,3,1,3,0,-0.19076276173840745,-0.1245259585351497,-0.14764601864512747,0.012929094631026036,-0.09199829132011467,-0.08943535501223276,0.16667003630116511,-1.3813888655949385,-0.4498673970039875,-0.29648740894906556,-0.3826051096586176,-0.14672368366381086,0.12430525908801823,0.11852168989503957,-0.08983222178261954,2.8854877971156494,2.878160531814608,-0.9132555173362868,-0.32745252304432415,-0.5951339371948887,-0.24159118121529655,-0.6651870984421991,-0.6942326113451489,0.6754734462400538,-0.6410436453517077,-0.6588447371890946,-0.0805007,-0.0893364318834003,0.16666666666666666,0.671875,2.438423645320197,0.0004013629959699879,0.0636896046852123,2.7666666666666666,2.7152312300278357e-05,0.008032128514056224,0.00404040404040404,1.0,0.015503875968992248
