transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio
0xf6329b3271ee3e69afb68be7c401e69c9cbe4b72953558604aab844328b6128e,1,0x8fea4f946aa309703f4d3eca069d841cedf62777,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,46175,218917585373,5111740,46175,0.0,2,2.0,983,570,10279,0.05545286506469501,4,4,4,1.0,2,4,26620,1,0xf6329b3271ee3e69afb68be7c401e69c9cbe4b72953558604aab844328b6128e,2,1,1,6700,3,18707,2,2,0.0,0.0,1,0,0,-0.06337242505244778,-0.41679052635178765,-0.4167951818069466,-0.41675384773080953,-0.4228577142228092,-0.4275693750158115,-0.683031247074943,-1.4229760902752944,-0.17256126965195467,-0.19450907051262029,-0.210301235374578,-0.4168946626832731,-0.4167541206843515,-0.41675676744122336,-0.5208620288883339,-0.6399634188392731,-0.6508790152392333,-0.4188053752091744,-0.41880537520917444,-0.1161072271902796,-0.06337242505244785,-0.4196783503236811,-0.1292070911313826,1.7176180520873936,-0.9976927266355741,-0.2533870274342576,-0.0,-0.41187862551867904,1.0,1.0,1.5341791044776119,0.030468248877485567,0.4,2.0,0.00015025731565305585,0.5,0.0001945714563673509,2.0,0.25
0x358104c707d2bc40f6fb5e94b9d22f9c763a1fd450f15354635636239d7b07ab,1,0xc3a46f2329e18c576ea92d343274756dab1fd75c,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,185351,218917585373,5742877,185351,4e+17,36,2.0,984,570,10279,0.05545286506469501,4,50,50,1.0,29,76,488338,2,0x358104c707d2bc40f6fb5e94b9d22f9c763a1fd450f15354635636239d7b07ab,1,1,1,6700,3,18707,20,2,0.0,0.0,1,0,0,-0.06337242505244778,-0.41679052635178765,-0.4167951818069466,-0.41675384773080953,-0.3269640478868603,-0.33553980656643323,-0.2799836976601458,-1.407530448447888,-0.18400736076710159,-0.19450907051262029,-0.210301235374578,-0.4168946626832731,-0.4167541206843515,-0.41675676744122336,-0.34700954928608624,-0.40957198022836255,-0.4146267939682194,-0.4188053752091744,-0.41880537520917444,-0.1161072271902796,-0.06337242505244785,-0.4196783503236811,-0.054861360659600164,1.7176180520873936,-0.9209648119097844,-0.00016207735926221007,-0.0,-0.33998720663271303,1.0,1.0,1.5341791044776119,0.030468248877485567,0.37662337662337664,2.5,0.00010238789037942905,0.02,9.728572818367545e-05,1.0,0.25
0x1501844c4187ffc623674276a76623c2b3bfa1cce99670495c9d603eda3438ba,1,0xe671bc4dce6de2dbc2ed9111c0cadaad901df8bf,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,46175,218917585373,7083536,46175,0.0,98,2.0,980,570,10279,0.05545286506469501,4,100,107,0.9345794392523364,30,68,440020,3,0x1501844c4187ffc623674276a76623c2b3bfa1cce99670495c9d603eda3438ba,2,1,1,6700,3,18707,34,2,0.0,0.0,1,0,0,-0.06337242505244778,-0.41679052635178765,-0.4167951818069466,-0.41675384773080953,-0.2227318018695245,-0.2215031674008993,-0.26505601064478296,-1.3920848066204816,-0.17256126965195467,-0.19450907051262029,-0.210301235374578,-0.4168946626832731,-0.4167541206843515,-0.41675676744122336,-0.21179095403989365,-0.43517102896290816,-0.4393501853616086,-0.4188053752091744,-0.41880537520917444,-0.1161072271902796,-0.06337242505244785,-0.4196783503236811,-0.1292070911313826,1.7176180520873936,-0.7579796447775099,-0.2533870274342576,-0.0,-0.20889108984065743,1.0,1.0,1.5341791044776119,0.030468248877485567,0.43478260869565216,3.1470588235294117,0.0002272618806829674,0.018691588785046728,0.0001945714563673509,2.0,0.25
0xbc072ec0f060f9193feb4a6c242695b23e1a1656d2232f4acfbd29deb07730f3,1,0x5d030a9d3cdbd2c62f934e0b0de292eae11677e2,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,185331,218917585373,4805110,185331,4e+17,0,2.0,979,570,10279,0.05545286506469501,4,2,2,1.0,2,7,47794,4,0xbc072ec0f060f9193feb4a6c242695b23e1a1656d2232f4acfbd29deb07730f3,1,1,1,6700,3,18707,1,2,0.0,0.0,1,0,0,-0.06337242505244778,-0.41679052635178765,-0.4167951818069466,-0.41675384773080953,-0.42702700406350264,-0.4315706606005671,-0.683031247074943,-1.3766391647930754,-0.18400736076710159,-0.19450907051262029,-0.210301235374578,-0.4168946626832731,-0.4167541206843515,-0.41675676744122336,-0.5305204999773476,-0.6303637755638185,-0.640044686637809,-0.4188053752091744,-0.41880537520917444,-0.1161072271902796,-0.06337242505244785,-0.4196783503236811,-0.05487204435944379,1.7176180520873936,-1.0349700222027312,-0.00019846652838260374,-0.0,-0.4161075325119712,1.0,1.0,1.5341791044776119,0.030468248877485567,0.25,2.0,4.184538131603724e-05,0.5,9.728572818367545e-05,1.0,0.25
0xf94a1beca2b1abdc8a2a049092a69849ce4e7f7a76b179533e12035cd922d736,1,0x8ef517e81f2b5816b39dbee32336d7c17d27677e,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,46175,218917585373,6590576,46175,0.0,25,2.0,986,570,10279,0.05545286506469501,4,34,36,0.9444444444444444,14,119,760264,5,0xf94a1beca2b1abdc8a2a049092a69849ce4e7f7a76b179533e12035cd922d736,1,1,1,6700,3,18707,17,2,0.0,0.0,1,0,0,-0.06337242505244778,-0.41679052635178765,-0.4167951818069466,-0.41675384773080953,-0.36031836661240774,-0.36354880565972225,-0.5038990028905888,-1.3611935229656689,-0.18400736076710159,-0.19450907051262029,-0.210301235374578,-0.4168946626832731,-0.4167541206843515,-0.41675676744122336,-0.3759849625531275,-0.2719770932801799,-0.27548748919486915,-0.4188053752091744,-0.41880537520917444,-0.1161072271902796,-0.06337242505244785,-0.4196783503236811,-0.1292070911313826,1.7176180520873936,-0.8179092525223026,-0.2533870274342576,-0.0,-0.3632461950958197,1.0,1.0,1.5341791044776119,0.030468248877485567,0.11666666666666667,2.1176470588235294,4.472124851203199e-05,0.027777777777777776,9.728572818367545e-05,1.0,0.25
0x080807dc07fd502631838d855776cbcae3f756d303193a6b049ae15ece94ff83,1,0xa65e38ee42ff2c42905ccc84971cc134f8473820,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,46175,218917585373,6544401,46175,0.0,96,2.0,988,570,10279,0.05545286506469501,4,109,112,0.9732142857142857,34,206,1321398,6,0x080807dc07fd502631838d855776cbcae3f756d303193a6b049ae15ece94ff83,2,1,1,6700,3,18707,43,2,0.0,0.0,1,0,0,-0.06337242505244778,-0.41679052635178765,-0.4167951818069466,-0.41675384773080953,-0.20396999758640405,-0.21149995343901032,-0.20534526258333152,-1.3457478811382626,-0.17256126965195467,-0.19450907051262029,-0.210301235374578,-0.4168946626832731,-0.4167541206843515,-0.41675676744122336,-0.12486471423876983,0.006412561708003646,0.011633987400561709,-0.4188053752091744,-0.41880537520917444,-0.1161072271902796,-0.06337242505244785,-0.4196783503236811,-0.1292070911313826,1.7176180520873936,-0.8235227904110072,-0.2533870274342576,-0.0,-0.21311999683394955,1.0,1.0,1.5341791044776119,0.030468248877485567,0.1642512077294686,2.604651162790698,8.248833244160167e-05,0.017857142857142856,0.0001945714563673509,2.0,0.25
0x11f46abeed544c8a6ec786135a96da7fa5ddb83eca5ef3e6b87694d1f4120c60,1,0x5b44393855c6590ef5dbba26a40b934542fe5eb0,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,185351,218917585373,4421629,185351,4e+17,252,2.0,982,570,10279,0.05545286506469501,4,266,291,0.9140893470790378,72,894,5719871,7,0x11f46abeed544c8a6ec786135a96da7fa5ddb83eca5ef3e6b87694d1f4120c60,1,1,1,6700,3,18707,77,2,0.0,0.0,1,0,0,-0.06337242505244778,-0.41679052635178765,-0.4167951818069466,-0.41675384773080953,0.12331925490803032,0.14661510639661385,0.3619068440004572,-1.3303022393108561,-0.18400736076710159,-0.19450907051262029,-0.210301235374578,-0.4168946626832731,-0.4167541206843515,-0.41675676744122336,0.20352330278769792,2.2079307528789265,2.262248034179289,-0.4188053752091744,-0.41880537520917444,-0.1161072271902796,-0.06337242505244785,-0.4196783503236811,-0.054861360659600164,1.7176180520873936,-1.0815901656374538,-0.00016207735926221007,-0.0,0.1167347486428356,1.0,1.0,1.5341791044776119,0.030468248877485567,0.08044692737430167,3.779220779220779,4.650453716446802e-05,0.003436426116838488,9.728572818367545e-05,1.0,0.25
0x27a78c6f02017553e6d54005eb1dd35b15e28be70574a1f03bd6a23d565b5063,1,0xeaa5fb0853b939f7c90c3848b4978f23309588bc,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:04:04+00:00,185351,205985452979,5741428,185351,4e+17,789,2.0,958,571,10295,0.05546381738708111,4,783,845,0.9266272189349113,132,215,1382982,8,0x27a78c6f02017553e6d54005eb1dd35b15e28be70574a1f03bd6a23d565b5063,1,1,1,6711,3,18708,173,2,0.0,0.0,1,0,0,-0.06337242505244778,-0.4167891094270861,-0.416792260570107,-0.41675384773080953,1.2010806787272823,1.2549712133739088,1.2575680649222287,-1.3148565974834499,-0.18400736076710159,-0.19450907051262029,-0.210301235374578,-0.41686716521455774,-0.4167541206843515,-0.41675642956538556,1.1307365273330185,0.03521149153436746,0.04314533587463922,-0.4188053752091744,-0.41880537520917444,-0.1161072271902796,-0.06337242505244785,-0.4196783503236811,-0.054861360659600164,1.1802200723635001,-0.9211409681935037,-0.00016207735926221007,-0.0,1.252196276341769,1.0,1.0,1.5340485769631949,0.03052007055427869,0.6111111111111112,4.884393063583815,0.0005661674800051772,0.001183431952662722,9.713453132588635e-05,1.0,0.25
0x91bd965c33eb04f47184ff87d6dd6bc71dac8860aaa65136a306febe593b12f1,1,0x9f8755555862aa14448e53bbfca8f30e31f877bf,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:04:04+00:00,185351,205485452979,6461716,185351,4e+17,17,2.0,974,571,10295,0.05546381738708111,4,21,24,0.875,11,45,289954,9,0x91bd965c33eb04f47184ff87d6dd6bc71dac8860aaa65136a306febe593b12f1,1,1,1,6711,3,18708,10,2,0.0,0.0,1,0,0,-0.06337242505244778,-0.4167891094270861,-0.416792260570107,-0.41675384773080953,-0.38741875057691505,-0.38755651916825573,-0.5486820639366773,-1.2994109556560434,-0.18400736076710159,-0.19450907051262029,-0.210301235374578,-0.41686716521455774,-0.4167541206843515,-0.41675642956538556,-0.44359426017622383,-0.5087682940747268,-0.5161360716325705,-0.4188053752091744,-0.41880537520917444,-0.1161072271902796,-0.06337242505244785,-0.4196783503236811,-0.054861360659600164,1.1594424479412035,-0.8335748831089506,-0.00016207735926221007,-0.0,-0.38016182306898816,1.0,1.0,1.5340485769631949,0.03052007055427869,0.2391304347826087,2.4,7.242503147040058e-05,0.041666666666666664,9.713453132588635e-05,1.0,0.25
0x14469fdbeb09acadc5e32c6e1178f768383cff01a668367567fc2f4e76d67024,1,0x722fdb1007ecc99359cd61a162347f6045fce6be,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:04:04+00:00,46175,205485452979,6864003,46175,0.0,87,2.0,969,571,10295,0.05546381738708111,4,95,104,0.9134615384615384,32,185,1188712,10,0x14469fdbeb09acadc5e32c6e1178f768383cff01a668367567fc2f4e76d67024,2,1,1,6711,3,18708,31,2,0.0,0.0,1,0,0,-0.06337242505244778,-0.4167891094270861,-0.416792260570107,-0.41675384773080953,-0.23315502647125805,-0.22750509577803263,-0.23520063661405724,-1.283965313828637,-0.17256126965195467,-0.19450907051262029,-0.210301235374578,-0.41686716521455774,-0.4167541206843515,-0.41675642956538556,-0.2407663673069349,-0.060784941220178586,-0.056258887106314256,-0.4188053752091744,-0.41880537520917444,-0.1161072271902796,-0.06337242505244785,-0.4196783503236811,-0.1292070911313826,1.1594424479412035,-0.7846684766848402,-0.2533870274342576,-0.0,-0.23215007830376408,1.0,1.0,1.5340485769631949,0.03052007055427869,0.17204301075268819,3.3548387096774195,7.991836549276403e-05,0.019230769230769232,0.0001942690626517727,2.0,0.25
