transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x34d91f770e13aa222a6c97f824566d4e0084cd163e1f82a1bbc0b8a2846ae781,5,0x64e5183d3f9f3d00da39bddff73e6b8aee8c95f0,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-10-18 02:13:35.000000 UTC,379693,15470523518,5583426,341293,9708737900000000,111,2,466,2021-10-18T00:00:00,431,442,0.97511312217194568,61,61,63,0.96825396825396826,24,442,0x34d91f770e13aa222a6c97f824566d4e0084cd163e1f82a1bbc0b8a2846ae781,3,1,14,140,91,602201,36,365,2328589,6,6,2,2,3
0x6d017a010b57bb3afd39fb405bf68a96b74b1657a3e78e21679c29a62d9c3bdd,4,0xd0d801c1053555726bdcf188f4a55e690c440e74,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-04 04:56:59.000000 UTC,273746,11064526403,6072172,249746,6472492000000000,931,2,335,2021-12-04T00:00:00,562,573,0.98080279232111689,87,411,442,0.92986425339366519,121,573,0x6d017a010b57bb3afd39fb405bf68a96b74b1657a3e78e21679c29a62d9c3bdd,6,1,12,167,138,939474,102,363,2354925,6,4,2,2,3
0x91ee64a3c7de9db5fac31710fd8ffa26b57726beba7ec5b286d2704cfdc7cdb4,1,0x7e53a3857f6f80e4340d2b80b24cf893b5ad41e4,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-11-02 13:22:59.000000 UTC,248206,11720691578,7428524,248206,9708737900000000,349,2,445,2021-11-02T00:00:00,452,463,0.97624190064794814,70,370,375,0.98666666666666669,114,463,0x91ee64a3c7de9db5fac31710fd8ffa26b57726beba7ec5b286d2704cfdc7cdb4,3,1,8,147,106,712877,90,365,2343701,4,6,1,1,2
0x3d4e8a19ba9fcdceac7afb961b5e2eade8293c9920c4b904c8ecce0bb7bf26e3,1,0x1420477b898e0fc2dd7caaa3bac49f7fcf2db551,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-07-20 14:01:53.000000 UTC,238359,17018769010,11996808,238359,4000000000000000,331,2,790,2021-07-20T00:00:00,109,119,0.91596638655462181,2,299,303,0.98679867986798675,118,119,0x3d4e8a19ba9fcdceac7afb961b5e2eade8293c9920c4b904c8ecce0bb7bf26e3,1,1,6,59,1,10211,106,347,2204317,4,4,1,1,2
0xf54b57bdded602f9975a566c4e8044d2d4449a8a67abaea133a88b28c6172b44,1,0xcab57e3f0cbc5f9dac0058b3a2af139a80172050,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-23 19:32:47.000000 UTC,232228,15925065851,8487802,232228,8090614900000000,29,2,97,2021-12-23T00:00:00,799,811,0.98520345252774355,106,15,15,1.0,6,811,0xf54b57bdded602f9975a566c4e8044d2d4449a8a67abaea133a88b28c6172b44,1,1,7,233,157,1079808,11,346,2266707,4,5,1,1,2
0x384a01944d4703c305a12c3399e4df22a0b0d77cb1197d10351f219961f9c2c1,2,0x6e09f230d90dad2bbf4bd5f96fdf93fee27aa8ca,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-23 05:41:35.000000 UTC,104851,12407759036,1827561,104851,1618123000000000,696,2,119,2021-12-23T00:00:00,777,789,0.98479087452471481,106,361,368,0.98097826086956519,112,789,0x384a01944d4703c305a12c3399e4df22a0b0d77cb1197d10351f219961f9c2c1,12,2,4,224,157,1075660,183,364,2375870,4,1,2,2,2
0x185c8d0d05cedc9acf0e41919cbbfff9edd86f3f9d5cd9e9e1dc41835e22bf1d,1,0x18c6a47aca1c6a237e53ed2fc3a8fb392c97169b,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-07-24 00:54:39.000000 UTC,85267,8000000000,704683,52045,0,5451,0,716,2021-07-24T00:00:00,181,192,0.94270833333333337,6,3809,4117,0.92518824386689336,350,192,0x185c8d0d05cedc9acf0e41919cbbfff9edd86f3f9d5cd9e9e1dc41835e22bf1d,2,1,3,91,5,32533,1125,365,2316460,3,1,1,1,2
0x4ab143b98ea1ec18f35f95b675c53e1cb7e541e7b8f6268b933fe48104d5bf94,1,0xced561031ef6bbe74b8c8a8dab9211889836a864,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-07-21 00:57:18.000000 UTC,66903,12862016976,29957189,66903,300000000000000000,412,2,766,2021-07-21T00:00:00,132,142,0.92957746478873238,3,41,41,1.0,16,142,0x4ab143b98ea1ec18f35f95b675c53e1cb7e541e7b8f6268b933fe48104d5bf94,1,1,2,71,2,13141,13,365,2310551,3,0,1,1,1
0x3ed8e3d2b01eb920f41e38ee012eb97475f96e73402847a18ba5c78bfbbce543,1,0x5b4f87cadc9625cb9b9cff449324d204e799d19a,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-07-19 23:19:51.000000 UTC,66903,17883742881,29330076,66903,1000000000000000000,8589,2,886,2021-07-19T00:00:00,26,32,0.8125,1,8517,9873,0.86265572774232757,281,32,0x3ed8e3d2b01eb920f41e38ee012eb97475f96e73402847a18ba5c78bfbbce543,1,1,2,21,0,6277,1162,287,1818679,3,0,1,1,1
0x56439c41f66a0d5b571edda167c3748eed0d81def0eb5d03e17e33c210233ecf,1,0xbd0103e03d9050e5164d36a219d68bf28c317c77,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-11-28 22:41:23.000000 UTC,306889,9865602720,7398566,204593,6472492000000000,300,2,385,2021-11-28T00:00:00,512,523,0.97896749521988524,81,304,314,0.96815286624203822,98,523,0x56439c41f66a0d5b571edda167c3748eed0d81def0eb5d03e17e33c210233ecf,4,1,6,158,132,901808,104,362,2349684,4,4,1,1,2
