index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus,rn
313,0xa6f63fcb6bec8818864d96a5b1bb19e8bd85ee37b2cc916412e720988440b2aa,6,0x837962b686fd5a407fb4e5f92e8be86a230484bd,0x5061f7e6dfc1a867d945d0ec39ea2a33f772380a,2023-02-02 15:56:35+00:00,1,1,1.0,1,12,18,0.6666666666666666,1,1,0xa6f63fcb6bec8818864d96a5b1bb19e8bd85ee37b2cc916412e720988440b2aa,1,1,95,1,0,0,8,0,4209,19,17,12,3,7,970231,45000000000,1298304,897331,0.0,15,2,12.630136456029756,-11.857448661961136,-11.87208540003825,-12.083144941731598,-0.8580659288931701,-0.8122114654347431,-0.986152601261518,-1.7065869845442343,-0.7585358148849529,-0.7963768954365814,9.502185929659849,-12.01663208074023,-17.70399097911628,-17.541332501560465,-0.5061174305979126,-1.3028788818072807,-1.326034933432396,5.96120617414294,3.197397696999269,6.233219494804168,6.594052291705378,2.7140085197919155,2.1512726945564387,2.220364918160072,-1.464191835371507,9.192178812884816,-0.0,-0.8044327235453559,0.0631578947368421,1.0,1.0,1.0,1.0,2.25,0.0028503562945368,0.0555555555555555,1.0,1.0,1.0,1,
17,0xc6d395f157f5c6c61cca3492a404e05a143cc7ac15cdfd9d43c981562f4e4605,1,0x5e0a81e923693cbe0040ac31b4219109b92ff8ba,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 13:08:23+00:00,31056,35665,0.8707696621337445,748,20,20,1.0,7,1,0xc6d395f157f5c6c61cca3492a404e05a143cc7ac15cdfd9d43c981562f4e4605,12,7,4,2700,786,5126558,3,180,1248204,4,2,2,1,2,150000,17099753364,9145863,78471,0.0,15,2,-0.2841134990108946,0.2572211026900339,0.2356569159722842,0.5243150636229515,-0.8562460840794498,-0.8118497804905527,-0.9583512047931532,1.5642634136174451,-0.7564222295147429,-0.770167929736638,-0.6314003776066018,0.2587285816984631,0.6856578215685368,0.7410748926148192,-0.5836191809651049,-0.8181608878150222,-0.8023086033762097,-0.92505432736989,-0.6172022755601069,-0.7429634876291481,-0.3107145058918767,-1.178717412210258,-1.3011389464590382,-0.2199134943126689,0.2558135315962411,-0.8271252799679338,-0.0,-0.8044327235453559,0.25,0.9504447268106736,13.20925925925926,0.0060578645442293,0.0386740331491712,6.666666666666667,1.6023009040982852e-05,0.6,0.0003364643207626,1.7142857142857142,0.0093582887700534,0,
770,0x5d5fbd4cf710dc23bec9543a425229d1e8f7da2ea48c066c0c65bf5995e542a6,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 14:02:35+00:00,31057,35666,0.8707732854819716,748,11430,15031,0.7604284478743929,691,2,0x5d5fbd4cf710dc23bec9543a425229d1e8f7da2ea48c066c0c65bf5995e542a6,14992,690,16,2700,786,5126827,9,782,5099348,9,11,3,1,7,500000,96799357121,283854,283854,0.0,15012,2,-0.2841134990108946,0.2576112063694624,0.2359964107658018,0.5243150636229515,1.7393075814890675,1.902776568130811,2.2110079926004147,1.567728297513803,2.1218967564622084,2.213285999106924,0.7048967178571057,0.2587285816984631,0.6856578215685368,0.7420342044160381,-0.4906170805244741,0.8029515143146427,0.8190367506146842,1.3703658398010534,1.6715577079755184,-0.0453451893858165,-0.3107145058918767,2.7140085197919155,0.1720363838508585,6.750964758780866,-1.686536062986799,1.6858741735435048,-0.0,1.911005323721892,0.0625,0.9504447268106736,13.20962962962963,0.0060577417459684,0.8825031928480205,1670.111111111111,0.0022414625866948,0.9974053622513472,0.4203443055010374,21.72753623188406,0.9224598930481284,0,
950,0xd5dae202d0518de673eae79a363b872c1b4e72e44a7ff41e88ac242f78a7d53a,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 14:14:23+00:00,31058,35667,0.8707769086270222,748,11431,15032,0.7604443853113358,691,3,0xd5dae202d0518de673eae79a363b872c1b4e72e44a7ff41e88ac242f78a7d53a,14993,690,8,2700,786,5126886,9,782,5099407,6,4,3,1,4,500000,106248276990,1336460,219069,0.0,15013,2,-0.2841134990108946,0.2580013100488909,0.2363359055593193,0.5243150636229515,1.7395350620907828,1.9029574106029064,2.2110079926004147,1.5711931814101605,2.122088900586773,2.213285999106924,-0.1859680124520326,0.2587285816984631,0.6856578215685368,0.7422446110936288,-0.4906170805244741,0.8029515143146427,0.8190615898250293,-0.0068862605015126,-0.1085889458855234,-0.0453451893858165,-0.3107145058918767,0.3783729605906114,0.1720363838508585,7.577408893068678,-1.4558289132473126,0.8931860270282695,-0.0,1.9111863891381269,0.125,0.9504447268106736,13.21,0.0060578670838659,0.8825031928480205,1670.2222222222222,0.0022416327542334,0.9974055348589675,0.4203605573779684,21.72898550724637,0.9224598930481284,0,
291,0xc6995e92499bc39995b016812efdb11ceed91cd77a26a9cde207bdcc1be453d1,1,0xc1afb4565cad1b732f1ae84fd9f8d963e9f62ab6,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 14:17:11+00:00,31059,35668,0.8707805315689133,748,210,218,0.963302752293578,98,4,0xc6995e92499bc39995b016812efdb11ceed91cd77a26a9cde207bdcc1be453d1,38,25,4,2700,786,5126900,63,838,5464368,4,2,2,1,2,150000,49286383466,9776611,66012,0.0,215,2,-0.2841134990108946,0.2583914137283193,0.2366754003528369,0.5243150636229515,-0.8130247697535937,-0.776042971015699,-0.5366966916896231,1.5746580653065183,-0.7514264822760646,-0.6915410326368077,-0.6314003776066018,0.2587285816984631,0.6856578215685368,0.7422945381018707,0.3464018234412027,0.9537526680011232,0.9727114719737806,-0.92505432736989,-0.6172022755601069,-0.7429634876291481,-0.3107145058918767,-1.178717412210258,-1.3011389464590382,2.5952708885669167,0.3940590605822829,-0.9795695435695904,-0.0,-0.7682196402984766,0.25,0.9504447268106736,13.21037037037037,0.006058045591284,0.1168057210965435,3.4603174603174605,3.8430786793498025e-05,0.1743119266055046,0.0010653807334305,1.52,0.0334224598930481,0,
983,0x2648c14bf98c65374b3258397f20a3b92355253bff0fbfa24e818894261e2825,1,0x15e030e12cd2c949181bff268cbef26f524d7929,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 14:17:47+00:00,31060,35669,0.8707841543076621,748,11432,15033,0.7604603206279519,691,5,0x2648c14bf98c65374b3258397f20a3b92355253bff0fbfa24e818894261e2825,14994,690,14,2700,786,5126903,9,782,5099424,8,9,3,1,6,500000,94989054294,287953,266953,0.0,15014,2,-0.2841134990108946,0.2587815174077478,0.2370148951463545,0.5243150636229515,1.7397625426924976,1.9031382530750007,2.2110079926004147,1.578122949202876,2.122281044711338,2.213285999106924,0.4821805352798211,0.2587285816984631,0.6856578215685368,0.742305236746494,-0.4906170805244741,0.8029515143146427,0.8190687468856372,0.9112818063668648,1.162944378300935,-0.0453451893858165,-0.3107145058918767,1.9354633333914808,0.1720363838508585,6.5926277029690965,-1.6856376559790656,1.4790790455933005,-0.0,1.9113674545543609,0.0714285714285714,0.9504447268106736,13.21074074074074,0.0060582370959159,0.8825031928480205,1670.3333333333333,0.0022418213818224,0.997405707443624,0.4203650228489725,21.730434782608697,0.9224598930481284,0,
125,0x5a725aa12beb6f967973241284f56053690b3afa7008df56fbe1637dd7691aac,2,0xc1afb4565cad1b732f1ae84fd9f8d963e9f62ab6,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 14:20:11+00:00,31061,35670,0.8707877768432857,748,211,219,0.9634703196347032,98,6,0x5a725aa12beb6f967973241284f56053690b3afa7008df56fbe1637dd7691aac,39,25,30,2700,786,5126914,63,838,5464382,11,17,6,2,4,600000,40839686283,13803657,267585,0.0,216,2,2.298736491997236,0.2591716210871763,0.2373543899398721,0.5243150636229515,-0.8127972891518787,-0.7758621285436037,-0.5366966916896231,1.5815878330992337,-0.7512343381515001,-0.6915410326368077,2.2639099958980977,0.2587285816984631,0.6856578215685368,0.7423444651101125,0.3464018234412027,0.9537526680011232,0.9727173660236932,2.288533906669431,3.197397696999269,2.047509705344178,3.1416688929067504,0.3783729605906114,0.5929436210822576,1.8564855630718744,1.2766953979485904,1.4868119916239808,-0.0,-0.7680385748822421,0.0666666666666666,0.9504447268106736,13.21111111111111,0.0060584191467968,0.1168057210965435,3.4761904761904763,3.8613691609830425e-05,0.1780821917808219,0.0010933557611438,1.56,0.0334224598930481,0,
93,0xa774ce3dd77c60b707cadb704c0216a6f8c7a002ab7b18a44cb1300568409256,1,0x051a3190c9342211eb311723b23b8c7cbd7b5a5d,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 20:44:35+00:00,31062,35671,0.8707913991758011,748,276,288,0.9583333333333334,90,7,0xa774ce3dd77c60b707cadb704c0216a6f8c7a002ab7b18a44cb1300568409256,2,2,7,2700,786,5128831,139,792,5166289,5,4,3,1,3,200000,36192293895,14327147,112845,0.0,275,2,-0.2841134990108946,0.2595617247666048,0.2376938847333896,0.5243150636229515,-0.7980110500404016,-0.7633839979690334,-0.5737652203141093,1.5850527169955917,-0.7583436707603883,-0.7920087344865908,-0.2973261037406749,0.2587285816984631,0.6856578215685368,0.7491808990243751,1.5244284290225256,0.8298802917586572,0.8472191502708655,-0.4659702939357014,-0.1085889458855234,-0.0453451893858165,-0.3107145058918767,-0.4001722258098232,-1.0906853278433386,1.450004162864709,1.391432427584678,-0.4065362184827954,-0.0,-0.7573557153244127,0.1428571428571428,0.9504447268106736,13.21148148148148,0.0060563496718161,0.1134930643127364,2.071942446043165,5.34232495659361e-05,0.0069444444444444,5.606795436068515e-05,1.0,0.0026737967914438,0,
373,0xc3efd60c3309074c37de6dcc185591bc8c56568c65302bd8aacbfa7128445c26,1,0x3ca2070165b221fe655f27bfbbb814418d37844c,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 20:49:47+00:00,31063,35672,0.8707950213052253,748,5600,6064,0.9234828496042216,225,8,0xc3efd60c3309074c37de6dcc185591bc8c56568c65302bd8aacbfa7128445c26,4946,224,3,2700,786,5128857,49,251,1687184,4,1,2,1,2,700000,31358508163,4052817,59273,0.0,5951,2,-0.2841134990108946,0.2599518284460332,0.2380333795269072,0.5243150636229515,0.4130956734904299,0.2811621208529635,0.0517662002240949,1.588517600891949,0.1916168810867443,0.1777229964113165,-0.7427584688952441,0.2587285816984631,0.6856578215685368,0.74927362061111,0.1293969224130642,-0.6269665679625201,-0.6174964583369895,-0.92505432736989,-0.8715089403973986,-0.7429634876291481,-0.3107145058918767,-1.178717412210258,1.0138508583136567,1.027219980122105,-0.86046561383148,-1.0620257513239495,-0.0,0.2703715872220232,0.3333333333333333,0.9504447268106736,13.211851851851852,0.0060565139452096,0.8928571428571429,123.75510204081633,0.0033191380909621,0.8156332453825857,0.1386521641623682,22.080357142857142,0.2994652406417112,0,
703,0xfc298d94cbea37d1ec5c6abeaa52b24100dcdf7d1d0de3687a76dc77ebee01ca,1,0xc1eab99c6f2cd06ad1c60e5b642be32c3c874613,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,2023-01-31 22:54:47+00:00,31064,35673,0.8707986432315757,748,126,127,0.9921259842519684,41,9,0xfc298d94cbea37d1ec5c6abeaa52b24100dcdf7d1d0de3687a76dc77ebee01ca,12,8,9,2700,786,5129474,30,372,2463330,7,3,3,1,5,216837,36441415621,12755921,214008,0.0,121,2,-0.2841134990108946,0.2603419321254617,0.2383728743204247,0.5243150636229515,-0.8321331402976564,-0.7924996359763641,-0.8008099581390871,1.5919824847883068,-0.7564222295147429,-0.7657997687866475,-0.0746099211633903,0.2587285816984631,0.6856578215685368,0.751473975188627,-0.1651097289822665,-0.3011283608899462,-0.2907362252429747,0.452197772932676,-0.3628956107228151,-0.0453451893858165,-0.3107145058918767,1.156918146991046,-1.019817176310688,1.4717934458759687,1.0470556407750131,0.8312612804123306,-0.0,-0.7852397894245099,0.1111111111111111,0.9504447268106736,13.212222222222222,0.0060559803878564,0.1099195710455764,4.233333333333333,5.115025142784303e-05,0.0944881889763779,0.0003363888655285,1.5,0.0106951871657754,0,
