index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
827,0x8d0d8906a077f2d5d139b4b7d63dbaec45937d05c4637d9d15ec88bfacdb673a,1,0x278aea15fd6074ad8c5f890a05bb28e336be3be5,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-11-09 14:57:47+00:00,2313852,68000000000,8259739,1377945,0.0,24,,50,2375,2476,0.9592084006462036,87,25,26,0.9615384615384616,4,1,0x8d0d8906a077f2d5d139b4b7d63dbaec45937d05c4637d9d15ec88bfacdb673a,3,2,113,535,89,579420,9,77,499383,36,14,9,1,5,-0.46810221085895,1.1360436217901688,1.1329121762324903,2.0953602728325937,-0.346981882025131,-0.3499870833710466,-0.6960985109608064,1.653543869546538,-0.2016365969193833,-0.3681532085172687,-0.1621199587100382,0.7673205471570241,2.0756309639642647,2.0859489417327115,-0.7826343852212602,-0.5472945754393664,-0.5501386793883881,0.3252962777613662,0.0911792953156811,0.3977492097274551,-1.331545621106898,-0.2087734005719118,-0.1378223124380645,0.088404823477717,0.3184740263986497,-0.1190738887843665,0.0,-0.3391613223380847,0.0088495575221238,0.9666666666666668,4.6280373831775705,0.0040989194385429,0.0512820512820512,2.888888888888889,5.006167598481329e-05,0.1153846153846153,0.0012116316639741,1.5,0.0229885057471264,0
254,0x1f483b0ad45e020f9dc182e5d4b6f9980845501b710fb3de7fe9adafdce556d4,1,0x278aea15fd6074ad8c5f890a05bb28e336be3be5,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-11-09 14:59:24+00:00,3614445,68000000000,7786089,2257212,0.0,25,,49,2376,2477,0.9592248687928946,87,26,27,0.9629629629629628,4,2,0x1f483b0ad45e020f9dc182e5d4b6f9980845501b710fb3de7fe9adafdce556d4,4,2,245,535,89,579423,9,77,499386,43,19,9,1,5,-0.46810221085895,1.1382599376611713,1.135039275429523,2.0953602728325937,-0.3462074985357037,-0.3492606646574549,-0.6960985109608064,1.657029307126603,-0.1620067626191901,-0.3681532085172687,0.7189304982756368,0.7673205471570241,2.0756309639642647,2.085976133721241,-0.7826343852212602,-0.5472945754393664,-0.5501373624996494,0.8576960776981358,0.8924033314815947,0.3977492097274551,-1.331545621106898,-0.2087734005719118,0.4225899622229506,0.088404823477717,0.1469057026606678,0.4473364085030801,0.0,-0.3384256224599097,0.0040816326530612,0.9666666666666668,4.629906542056075,0.0041006240680399,0.0512820512820512,3.0,5.2063830255893725e-05,0.1481481481481481,0.0016148566814695,2.0,0.0229885057471264,0
750,0x885dc42e96546c91b101e25de04c33ac72d6dfeb16390b3222ddd972f5147aef,16,0x52cc6357cebe1b5114aea23e62cd773d6004b71d,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-11-09 15:21:20+00:00,5527252,74000000000,8828407,3438680,0.0,35,,48,2377,2478,0.9592413236481032,87,34,37,0.918918918918919,8,3,0x885dc42e96546c91b101e25de04c33ac72d6dfeb16390b3222ddd972f5147aef,5,5,291,535,89,579516,12,77,499111,55,24,9,2,5,3.71885853027656,1.1404762535321735,1.137166374626556,2.0953602728325937,-0.3400124306202854,-0.3419964775215381,-0.6421415687888193,1.660514744706668,-0.1223769283189968,0.2900468067102678,1.0259632332857964,0.7673205471570241,2.0756309639642647,2.086819085365659,-0.7474582251591783,-0.5472945754393664,-0.5502580773007019,1.770381449018312,1.6936273676475084,0.3977492097274551,0.7013484569189005,-0.2087734005719118,1.246799012907917,0.2443374980063934,0.5244603359593605,1.2084199486741602,0.0,-0.3310686236781593,0.0549828178694158,0.9666666666666668,4.631775700934579,0.0041016915810925,0.1025641025641025,3.083333333333333,6.812098286556925e-05,0.1351351351351351,0.0020177562550443,1.0,0.057471264367816,0
649,0xd32c4365c5fd773bc6db00b2b59613807381aa5c879415f07cd3744df53b429b,1,0x52cc6357cebe1b5114aea23e62cd773d6004b71d,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-11-09 15:22:05+00:00,4432774,74000000000,4603638,2775031,0.0,36,,47,2378,2479,0.9592577652279144,87,35,38,0.9210526315789472,8,4,0xd32c4365c5fd773bc6db00b2b59613807381aa5c879415f07cd3744df53b429b,6,5,345,535,89,579522,12,77,499117,74,28,13,1,5,-0.46810221085895,1.1426925694031762,1.1392934738235891,2.0953602728325937,-0.3392380471308581,-0.3412700588079464,-0.6421415687888193,1.664000182286733,-0.0827470940188035,0.2900468067102678,1.386392965689027,0.7673205471570241,2.0756309639642647,2.0868734693427182,-0.7474582251591783,-0.5472945754393664,-0.5502554435232244,3.215466620275258,2.3346065965802394,2.3215664272725824,-1.331545621106898,-0.2087734005719118,0.7751995920695467,0.2443374980063934,-1.0058606510778818,0.7809074554445534,0.0,-0.3303329237999842,0.0028985507246376,0.9666666666666668,4.633644859813084,0.0041033746719284,0.1025641025641025,3.1666666666666665,7.01236982036312e-05,0.1578947368421052,0.0024203307785397,1.2,0.057471264367816,0
683,0x133b1ab28658cb413e2db80143c827cbc3db2eb35e089efa0927bdc84a3c8ee4,1,0x52cc6357cebe1b5114aea23e62cd773d6004b71d,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-11-09 15:23:22+00:00,2282433,74000000000,10530394,1363879,0.0,37,,46,2379,2480,0.959274193548387,87,36,39,0.9230769230769232,8,5,0x133b1ab28658cb413e2db80143c827cbc3db2eb35e089efa0927bdc84a3c8ee4,7,5,115,535,89,579527,12,77,499122,36,14,9,1,5,-0.46810221085895,1.144908885274179,1.141420573020622,2.0953602728325937,-0.3384636636414309,-0.3405436400943547,-0.6421415687888193,1.667485619866798,-0.0431172597186102,0.2900468067102678,-0.1487707093617704,0.7673205471570241,2.0756309639642647,2.086918789323601,-0.7474582251591783,-0.5472945754393664,-0.5502532487086598,0.3252962777613662,0.0911792953156811,0.3977492097274551,-1.331545621106898,-0.2087734005719118,-0.1513604394751733,0.2443374980063934,1.1409642029789668,-0.1281349899534599,0.0,-0.3295972239218092,0.008695652173913,0.9666666666666668,4.635514018691588,0.0041050648113637,0.1025641025641025,3.25,7.212650989836173e-05,0.1794871794871795,0.0028225806451612,1.4,0.057471264367816,0
362,0x15def81725cd566092c3ba83f3b6041d503d7c42206a3047abf11f3dc85e01b1,16,0x7b8ea0a8778ca882c6314040f7b7dd6dd9cc77ec,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-11-09 15:27:47+00:00,6438715,75000000000,4420218,4031373,0.0,28,,45,2380,2481,0.9592906086255544,87,31,31,1.0,7,6,0x15def81725cd566092c3ba83f3b6041d503d7c42206a3047abf11f3dc85e01b1,5,4,393,535,89,579549,10,77,499096,86,28,13,2,5,3.71885853027656,1.1471252011451811,1.143547672217655,2.0953602728325937,-0.3423355810885672,-0.3463549898030882,-0.6556308043318161,1.670971057446863,-0.1223769283189968,0.0706468016344222,1.7067749500474545,0.7673205471570241,2.0756309639642647,2.087118197239485,-0.7709089985338996,-0.5472945754393664,-0.5502646617443957,4.128151991595434,2.3346065965802394,2.3215664272725824,0.7013484569189005,-0.2087734005719118,1.6395391346057524,0.2703262770945062,-1.0723001358029334,1.5902236764726432,0.0,-0.3362185228253846,0.0407124681933842,0.9666666666666668,4.6373831775700936,0.0041066344577689,0.0897435897435897,3.1,6.211217458730467e-05,0.1612903225806451,0.0020153164046755,1.25,0.0459770114942528,0
757,0xc7802ed12792785e4c488d152efee4bfc13e2be71f7e500586cb5eb986dd5064,1,0x7b8ea0a8778ca882c6314040f7b7dd6dd9cc77ec,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-11-09 15:29:55+00:00,2282433,75000000000,6618619,1363879,0.0,29,,44,2381,2482,0.959307010475423,87,32,32,1.0,7,7,0xc7802ed12792785e4c488d152efee4bfc13e2be71f7e500586cb5eb986dd5064,6,4,115,535,89,579563,10,77,499110,36,14,9,1,5,-0.46810221085895,1.1493415170161836,1.1456747714146878,2.0953602728325937,-0.34156119759914,-0.3456285710894965,-0.6556308043318161,1.674456495026928,-0.0827470940188035,0.0706468016344222,-0.1487707093617704,0.7673205471570241,2.0756309639642647,2.0872450931859565,-0.7709089985338996,-0.5472945754393664,-0.5502585162636148,0.3252962777613662,0.0911792953156811,0.3977492097274551,-1.331545621106898,-0.2087734005719118,-0.1513604394751733,0.2703262770945062,-0.2759822333984088,-0.1281349899534599,0.0,-0.3354828229472095,0.008695652173913,0.9666666666666668,4.639252336448598,0.0041082606925205,0.0897435897435897,3.2,6.411399468254557e-05,0.1875,0.0024174053182917,1.5,0.0459770114942528,0
901,0x181eedbd29e92b961bc2c194705270b416c9b43c8e0840e8a61655a9ff3c72eb,16,0x6e561fff127d63e298d1b08bdbc07d59fd748ba2,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-11-09 17:14:35+00:00,9093801,18100000000,8623655,5579144,0.0,242,,43,2382,2483,0.959323399113975,87,237,255,0.9294117647058824,33,8,0x181eedbd29e92b961bc2c194705270b416c9b43c8e0840e8a61655a9ff3c72eb,9,3,190,535,89,580057,35,77,499994,48,24,9,2,5,3.71885853027656,1.151557832887186,1.1478018706117206,2.0953602728325937,-0.1828125822665464,-0.1836371979585507,-0.3049106802138995,1.6779419326069929,0.0361424088817763,-0.1487532034414232,0.3518261411982722,0.7673205471570241,2.0756309639642647,2.0917227072971656,-0.4777743313498837,-0.5472945754393664,-0.549870473048595,1.2379816490815427,1.6936273676475084,0.3977492097274551,0.7013484569189005,-0.2087734005719118,2.783588644852706,-1.2084352530191091,0.4502938471553929,2.587273983424785,0.0,-0.1787787488959258,0.0842105263157894,0.9666666666666668,4.641121495327103,0.0041064859031338,0.4230769230769231,7.285714285714286,0.0004740047400474,0.0352941176470588,0.0036246476037051,3.0,0.0344827586206896,0
415,0xb3edd60a1d5335bff4adf2e09ed4d972d89f331232c6f383480c1fd4f20c150b,16,0x4ff9288793ce6c98d7dab429f8ad97691d8a0f5d,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-11-10 04:47:59+00:00,9274347,40000000000,6437909,5680904,0.0,515,,41,2383,2484,0.959339774557166,88,544,546,0.9963369963369964,58,9,0xb3edd60a1d5335bff4adf2e09ed4d972d89f331232c6f383480c1fd4f20c150b,2,2,163,535,90,583221,83,228,1475923,48,24,9,2,5,3.71885853027656,1.1537741487581883,1.1499289698087536,2.154596421104795,0.0549231489876302,0.0277506476966295,0.0323202083610203,1.681427370187058,-0.2412664312195766,-0.3681532085172687,0.1716112749966568,0.7673205471570241,2.134304385605046,2.1204011911997283,0.0850442296434266,-0.1468105485179385,-0.1214738364071757,1.2379816490815427,1.6936273676475084,0.3977492097274551,0.7013484569189005,-0.2087734005719118,2.8613840770447503,-0.6392809909894399,-0.3414400857845393,2.6528262125565165,0.0,0.0220673178458603,0.0981595092024539,0.967032967032967,4.642990654205607,0.0040859226846723,0.2532751091703056,6.578313253012048,0.000368582664148,0.0036630036630036,0.000805152979066,1.0,0.0227272727272727,0
734,0x61e027480ecc1162f3992a17bccfed2142a2015d40628e22c63d2ed110c5bc09,1,0xbfc0291d53dc23bdd31d0130faa9d7e8c21acdb2,0x73fc3038b4cd8ffd07482b92a52ea806505e5748,2020-11-10 21:30:20+00:00,90000,20000000000,4134843,88271,0.0,111,,40,2384,2485,0.9593561368209256,88,130,133,0.9774436090225564,29,10,0x61e027480ecc1162f3992a17bccfed2142a2015d40628e22c63d2ed110c5bc09,1,1,17,536,90,587654,32,124,804731,13,5,4,1,4,-0.46810221085895,1.1559904646291908,1.1520560690057864,2.154596421104795,-0.265671615635266,-0.2722602810167363,-0.3588676223858866,1.684912807767123,-0.2808962655197699,-0.5875532135931143,-0.8028839274268929,0.7768114504218794,2.134304385605046,2.1605818862503163,-0.5129504914119656,-0.4226406067949484,-0.4161022318546186,-1.424017350602305,-1.3510239697829634,-2.0070223122039543,-1.331545621106898,-0.8319775813835891,-1.0960574850319873,-1.1590565727516948,-1.1756703678027782,-0.9498620722870916,0.0,-0.2751554329368562,0.0588235294117647,0.967032967032967,4.6361940298507465,0.0040568020352077,0.232,4.15625,0.0001615444644925,0.0075187969924812,0.0004024144869215,1.0,0.0113636363636363,0
