index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
640,0xd4fafa1261f6e4f9c8543228a67caf9d02811e4ad3058a2714323964a8db61f6,12,0x0348d20b74ddc0ac9bfc3626e06d30bb6fac213b,0xed42cb11b9d03c807ed1ba9c2ed1d3ba5bf37340,2022-12-29 05:02:23+00:00,1,1,1.0,1,2,2,1.0,1,1,0xd4fafa1261f6e4f9c8543228a67caf9d02811e4ad3058a2714323964a8db61f6,1,1,38,1,0,0,1,0,14,7,11.0,6.0,4,4,622123,20000000000,587426,368666,0.0,1,0,3.5704676892625047,-0.0920040095338528,-0.0866874536116975,-0.8558895552123428,-0.8046065814218026,-0.7543455401945166,-1.3215493969391037,-1.6829027751617118,-0.0592215020260718,-0.292451559278471,0.7747366366860781,-0.0931874228560306,-1.0482835178120102,-1.069370173470523,-1.0192649535889742,-1.4167132010482948,-1.4519060235191512,0.4946929167789672,0.0150788743137319,8.292896984076364,5.525180072516756,0.3285759689843416,0.1786810337783264,0.2711731592669751,-1.5445346737983372,-0.0535153170877888,-0.22101942,-0.7408613343222107,0.3157894736842105,1.0,1.0,1.0,1.0,2.0,0.1333333333333333,0.5,1.0,1.0,1.0,1
705,0xffa5cf706b38b6c48123a76f3d648dfc58a2c7e26ed66a94f84a3966a5c05446,1,0x2c8b8377fe8457c8f45b96240cc446f05f09e918,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-25 20:47:59+00:00,845,858,0.9848484848484848,108,1095,1101,0.994550408719346,149,1,0xffa5cf706b38b6c48123a76f3d648dfc58a2c7e26ed66a94f84a3966a5c05446,30,4,3,240,159,1094516,164,1800,11325171,4,2.0,1.0,1,2,166710,15115874629,7828157,152310,8130081600000000.0,993,2,-0.2377046963414898,-0.0895836691948358,-0.0864938199270918,0.6400345775385025,-0.1063456150362598,-0.1466116413859363,-0.3930919488563267,1.549968791460855,-0.0195823466277032,0.2579163239507062,-0.3636034993975956,-0.09226824992914,0.8161950398680915,0.8613236678289827,-0.4009305851839962,2.5379791805385747,2.550121693767088,-0.2220009200889321,-0.3464207472772154,-0.4529973564861544,-0.3630771597711049,-0.2096794953589917,-0.3077745448234573,-0.0824848671956295,-0.5111043230658084,-0.3051715036716923,-0.1811586,-0.1752932885142222,0.3333333333333333,0.675,3.575,0.0007720300369934,0.0827318156579677,6.713414634146342,9.668727327055166e-05,0.0272479564032697,0.0349650349650349,7.5,0.037037037037037,0
20,0x169e1914eba9a5136893d166c46fc070e48683f5bac5a8de5037a3cc6ec66912,1,0x2c8b8377fe8457c8f45b96240cc446f05f09e918,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-25 21:15:11+00:00,846,859,0.9848661233993016,108,1096,1102,0.9945553539019965,149,2,0x169e1914eba9a5136893d166c46fc070e48683f5bac5a8de5037a3cc6ec66912,31,4,6,240,159,1094652,164,1800,11325307,4,5.0,1.0,1,2,327114,11964624317,8359325,294714,3.2520326e+16,994,2,-0.2377046963414898,-0.0895808014930123,-0.0864935939834691,0.6400345775385025,-0.1057067669425859,-0.1460586533069477,-0.3930919488563267,1.5537411036739504,-0.0182154792001733,0.2579163239507062,-0.2660314877332807,-0.09226824992914,0.8161950398680915,0.8615635678052431,-0.4009305851839962,2.5379791805385747,2.55016975277144,-0.2220009200889321,-0.2259208734135663,-0.4529973564861544,-0.3630771597711049,-0.2096794953589917,-0.1364368345911176,-0.3106659398701432,-0.4352935889648046,-0.1395331687316204,-0.06157616,-0.1747231594357867,0.1666666666666666,0.675,3.5791666666666666,0.0007728476512648,0.0827318156579677,6.719512195121951,9.677441002046037e-05,0.028130671506352,0.0360884749708963,7.75,0.037037037037037,0
41,0x81e5bef52c266ec4f4f13b3b96ac7186048df1d71a57ebf997491de9ed68386f,1,0x2c8b8377fe8457c8f45b96240cc446f05f09e918,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-25 21:27:11+00:00,847,860,0.9848837209302326,108,1098,1104,0.9945652173913044,149,3,0x81e5bef52c266ec4f4f13b3b96ac7186048df1d71a57ebf997491de9ed68386f,32,4,2,240,159,1094712,164,1800,11325367,3,1.0,1.0,1,1,49803,11018675901,5440337,49803,1.5e+17,996,2,-0.2377046963414898,-0.0895779337911888,-0.0864933680398465,0.6400345775385025,-0.1044290707552381,-0.1449526771489702,-0.3930919488563267,1.5575134158870454,-0.0168486117726433,0.2579163239507062,-0.3961275032857005,-0.09226824992914,0.8161950398680915,0.861669406030064,-0.4009305851839962,2.5379791805385747,2.55019095527336,-0.4608988657115653,-0.3865873718984318,-0.4529973564861544,-0.3630771597711049,-0.4788072275306584,-0.4326503439938778,-0.379161775772384,-0.8519049494233055,-0.4244033286183367,0.5144125,-0.1735829012789158,0.5,0.675,3.583333333333333,0.000773718773779,0.0827318156579677,6.7317073170731705,9.69504920281619e-05,0.0289855072463768,0.0372093023255813,8.0,0.037037037037037,0
162,0xc7e1a4c4e00cec26efea8dfa3125bf6dfaec76f49a2f765951781216b9bf326e,1,0x2c8b8377fe8457c8f45b96240cc446f05f09e918,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-25 21:27:59+00:00,848,861,0.9849012775842044,108,1099,1105,0.9945701357466064,149,4,0xc7e1a4c4e00cec26efea8dfa3125bf6dfaec76f49a2f765951781216b9bf326e,33,4,9,240,159,1094716,164,1800,11325371,4,8.0,1.0,1,2,440775,11789401680,16594468,402375,5.6910567e+16,997,2,-0.2377046963414898,-0.0895750660893654,-0.0864931420962238,0.6400345775385025,-0.1037902226615643,-0.1443996890699816,-0.3930919488563267,1.5612857281001409,-0.0154817443451134,0.2579163239507062,-0.1684594760689658,-0.09226824992914,0.8161950398680915,0.8616764619117186,-0.4009305851839962,2.5379791805385747,2.550192368773488,-0.2220009200889321,-0.1054209995499171,-0.4529973564861544,-0.3630771597711049,-0.2096794953589917,-0.0150282943881428,-0.3233537575008986,0.7400638050362333,-0.0143064280643423,0.05800626,-0.1730127722004803,0.1111111111111111,0.675,3.5875,0.0007746294247737,0.0827318156579677,6.737804878048781,9.703875510667553e-05,0.0298642533936651,0.0383275261324041,8.25,0.037037037037037,0
534,0x1b45585118bb7f51a0662bc5ca68ac3eb504b293c0d1b44ba833c77a2baabf3e,1,0x984b6d329d3aa1d6d5a14b134fb1fb8bcc66d60c,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-25 23:53:47+00:00,849,862,0.9849187935034804,108,1210,1224,0.988562091503268,311,5,0x1b45585118bb7f51a0662bc5ca68ac3eb504b293c0d1b44ba833c77a2baabf3e,1,1,3,241,159,1095444,316,628,4078326,4,2.0,1.0,1,2,170646,10538567485,4823616,161046,1618123000000000.0,1070,2,-0.2377046963414898,-0.0895721983875419,-0.0864929161526012,0.6400345775385025,-0.0328780842637644,-0.0785941076703264,0.6231925551261724,1.565058040313236,-0.0592215020260718,-0.292451559278471,-0.3636034993975956,-0.092264404017312,0.8161950398680915,0.8629606323728778,0.1756756970096027,-0.036964970139098,-0.0107323900109289,-0.2220009200889321,-0.3464207472772154,-0.4529973564861544,-0.3630771597711049,-0.2096794953589917,-0.3035702529886246,-0.4139262795459394,-0.9399262002243802,-0.2950101564199545,-0.21308595,-0.1313933494746908,0.3333333333333333,0.675,3.5767634854771786,0.0007750275002396,0.4944356120826709,3.873417721518988,0.0002966902850114,0.0008169934640522,0.0011600928074245,1.0,0.0092592592592592,0
273,0xe773c5244953c7e80ca07e8bbcb2aa9d4366317c2b10f5abe53d1fd48ca2fbd1,1,0xc0f0adbd3e06b2ba2258b4cec3b60b5510789ec4,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-26 00:59:11+00:00,850,863,0.984936268829664,109,254,254,1.0,91,6,0xe773c5244953c7e80ca07e8bbcb2aa9d4366317c2b10f5abe53d1fd48ca2fbd1,7,5,4,241,160,1095769,108,422,2744234,4,3.0,1.0,1,2,244422,10455786481,7811780,220422,1.6260163e+16,239,2,-0.2377046963414898,-0.0895693306857184,-0.0864926902089785,0.6540151769100058,-0.6436168618159868,-0.6149925442893645,-0.7569468947266043,1.568830352526331,-0.0510202974608921,0.4413722850270986,-0.3310794955094907,-0.092264404017312,0.8279213201050732,0.8635339227573239,-0.6133644786237432,-0.4895575426984842,-0.4821671932026051,-0.2220009200889321,-0.306254122655999,-0.4529973564861544,-0.3630771597711049,-0.2096794953589917,-0.2247654170113355,-0.4199204267635893,-0.5134417236478693,-0.2259464940551213,-0.14129779,-0.6051706136545684,0.25,0.6770186335403726,3.58091286307054,0.0007757102311616,0.2151300236406619,2.351851851851852,9.255767089917592e-05,0.0275590551181102,0.0081112398609501,1.4,0.0458715596330275,0
378,0x5b65c3b7fa206349380a4701c91fd624a5bd225e4c766b90c67b9249e17f9fd2,1,0x08d656d0d726febef66388ae5d827a45c0afde4f,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-26 06:55:11+00:00,851,864,0.9849537037037036,109,904,963,0.9387331256490136,271,7,0x5b65c3b7fa206349380a4701c91fd624a5bd225e4c766b90c67b9249e17f9fd2,2,2,6,241,160,1097539,212,648,4206861,5,5.0,1.0,1,3,328066,10797346313,14240849,294466,6472492000000000.0,834,2,-0.2377046963414898,-0.0895664629838949,-0.0864924642653559,0.6540151769100058,-0.2283656009279694,-0.2229239962863768,0.3722581096983949,1.5726026647394262,-0.0578546345985418,-0.1089955982020786,-0.2660314877332807,-0.092264404017312,0.8279213201050732,0.8666561503895377,-0.2188443908070702,0.0069760563229782,0.0346886697272615,0.0168970255337009,-0.2259208734135663,-0.4529973564861544,-0.3630771597711049,0.0594482368126749,-0.1354199428668389,-0.3951881836436126,0.4041445023220814,-0.1398216318862027,-0.18928555,-0.2659438119854623,0.1666666666666666,0.6770186335403726,3.585062240663901,0.0007753703737449,0.4175654853620955,4.54245283018868,0.0002148870107933,0.0020768431983385,0.0023148148148148,1.0,0.018348623853211,0
714,0xaf2d0556798a618c9653cbb47876e884d5b6f8b1bd4f3162afdde9fb2919bbe5,1,0x71b0e047a904b6b0263d76a10fd2c7698d5eafe7,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-26 10:12:11+00:00,852,865,0.984971098265896,109,1787,1882,0.9495217853347504,393,8,0xaf2d0556798a618c9653cbb47876e884d5b6f8b1bd4f3162afdde9fb2919bbe5,1,1,12,242,160,1098523,588,674,4371527,4,11.0,1.0,1,2,872958,10524284961,23966670,772158,1.618123e+16,1799,2,-0.2377046963414898,-0.0895635952820715,-0.0864922383217333,0.6540151769100058,0.3357372657860601,0.2852720483042375,1.1376081682531165,1.5763749769525213,-0.0592215020260718,-0.292451559278471,-0.0708874644046509,-0.092260558105484,0.8279213201050732,0.8683918972765989,1.2074974651455168,0.0640993907236774,0.0928775227466639,-0.2220009200889321,0.0150788743137319,-0.4529973564861544,-0.3630771597711049,-0.2096794953589917,0.4466138443449514,-0.4149604727467808,1.792258300112911,0.4158095827860874,-0.14168479,0.2842307487047684,0.0833333333333333,0.6770186335403726,3.574380165289256,0.0007755861501432,0.5822222222222222,3.200680272108844,0.0004087815518967,0.0005313496280552,0.0011560693641618,1.0,0.0091743119266055,0
124,0x55f39054674fe235cd96e74927e88801783f0a0e731abf6b24d1c94590f3f0f9,1,0x800b8f19273e29e37fcb147e1916e6860195dab4,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-26 16:27:47+00:00,853,866,0.9849884526558892,109,958,1008,0.9503968253968254,236,9,0x55f39054674fe235cd96e74927e88801783f0a0e731abf6b24d1c94590f3f0f9,1,1,14,243,160,1100386,272,606,3932983,7,10.0,2.0,1,4,479051,13775505888,6813564,449451,1.4563107e+16,943,2,-0.2377046963414898,-0.089560727580248,-0.0864920123781106,0.6540151769100058,-0.1938678038695803,-0.1980395327318854,0.1526904699490895,1.5801472891656163,-0.0592215020260718,-0.292451559278471,-0.005839456628441,-0.092256712193656,0.8279213201050732,0.871678174157285,0.0087633521640872,-0.085300099247382,-0.0620929772869847,0.4946929167789672,-0.0250877503074844,1.296181511626349,-0.3630771597711049,0.3285759689843416,0.0258567346438827,-0.1795405583719538,-0.655911691250149,0.0404503923595139,-0.14961825,-0.2037997424359958,0.0714285714285714,0.6770186335403726,3.5637860082304527,0.0007751818223952,0.3887973640856672,3.7058823529411766,0.0002435809553255,0.0009920634920634,0.0011547344110854,1.0,0.0091743119266055,0
