index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
392,0x8bd742aa3b5b59f28b1531680a700096dcbd344bba28b22c38b81ab14bd040e4,1,0xa24ad03a13390d8a352bd8ff74f2d5ab66ddf010,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,2020-04-19 01:08:17+00:00,334389,3960000144,9264681,242222,0.0,21,,12,9036,9299,0.9717173889665556,204,23,25,0.92,6,1,0x8bd742aa3b5b59f28b1531680a700096dcbd344bba28b22c38b81ab14bd040e4,4,2,12,1040,257,1604200,5,9,58117,6,7,2,1,3,-0.5983741612294179,0.6541291541830476,0.6530647595211797,0.6046348077168355,-0.7492990441058046,-0.750346384741642,-0.9111344238249556,1.9093838711436597,-0.8110279378497643,-1.089619636469826,-0.1853188428785568,0.6038690246413221,0.5922347022159372,0.5887437307620146,-0.7671050365782272,-0.9311682874482304,-0.9453504595063004,-0.2599154402376433,-0.1750731069573693,-0.6941350290052479,-1.114518939438767,0.5329147433625236,-0.137344212844413,-0.8483670396877614,1.404715800492153,-0.0754958520029242,0.0,-0.752466033135463,0.0833333333333333,0.7906976744186046,8.941346153846155,0.0056327106141936,0.6,5.0,0.0003957465845349,0.16,0.0004301537799763,2.0,0.0098039215686274,0
255,0x2ed100b882f20e19e927358e15a5f1903f7cdf7ddd71eeb99c0a2c9eb88b46e4,2,0xa9bf70a420d364e923c74448d9d817d3f2a77822,0x538359785a8d5ab1a741a0ba94f26a800759d91d,2020-04-19 00:58:43+00:00,711007,5100000000,5346899,120042,0.0,47,,59,2,16,0.125,1,14,59,0.2372881355932203,1,1,0x2ed100b882f20e19e927358e15a5f1903f7cdf7ddd71eeb99c0a2c9eb88b46e4,16,1,14,1,0,55,15,0,64,7,5,3,1,3,0.144025542529165,-2.375808620135893,-2.4523723485841886,-2.205881449072815,-0.752528968539621,-0.7391924616711489,-0.9511807680507358,-1.2504936462273746,-0.7764091854115699,-1.1267661825602302,-0.1512466158370865,-1.8707892774764416,-2.167940088228831,-2.182056345272448,-0.6856964429840866,-0.9522555869979108,-0.9686406137000908,-0.0805397050839902,-0.8246950251665326,-0.0665265036840472,-1.114518939438767,0.5329147433625236,0.2680880869302926,-0.5986881004106883,-0.0015257173195221,-0.4295343744442035,0.0,-0.7434699449383108,0.1428571428571428,1.0,16.0,0.0357142857142857,1.0,3.933333333333333,0.2153846153846154,0.2711864406779661,1.0,16.0,1.0,0
95,0x778fa9e3c18e2436265726f875e83db7b0f08f366607bc692ded4df675154d6d,2,0xa9bf70a420d364e923c74448d9d817d3f2a77822,0x538359785a8d5ab1a741a0ba94f26a800759d91d,2020-04-19 00:58:43+00:00,711007,5100000000,5947109,120042,0.0,52,,60,2,16,0.125,1,14,59,0.2372881355932203,1,2,0x778fa9e3c18e2436265726f875e83db7b0f08f366607bc692ded4df675154d6d,16,1,14,1,0,55,15,0,64,7,5,3,1,3,0.144025542529165,-2.375808620135893,-2.4523723485841886,-2.205881449072815,-0.752528968539621,-0.7391924616711489,-0.9511807680507358,-1.233971410842428,-0.7764091854115699,-1.1267661825602302,-0.1512466158370865,-1.8707892774764416,-2.167940088228831,-2.182056345272448,-0.6856964429840866,-0.9522555869979108,-0.9686406137000908,-0.0805397050839902,-0.8246950251665326,-0.0665265036840472,-1.114518939438767,0.5329147433625236,0.2680880869302926,-0.5986881004106883,0.2139125641891849,-0.4295343744442035,0.0,-0.7417399279773199,0.1428571428571428,1.0,16.0,0.0357142857142857,1.0,3.933333333333333,0.2153846153846154,0.2711864406779661,1.0,16.0,1.0,0
717,0x0a89f4476cf5403fc4dc3f6500498c770a75795fe0756e5ab733c762bb50896b,2,0xa9bf70a420d364e923c74448d9d817d3f2a77822,0x538359785a8d5ab1a741a0ba94f26a800759d91d,2020-04-19 00:58:43+00:00,711007,5100000000,6427277,120042,0.0,56,,56,2,16,0.125,1,14,59,0.2372881355932203,1,3,0x0a89f4476cf5403fc4dc3f6500498c770a75795fe0756e5ab733c762bb50896b,16,1,14,1,0,55,15,0,64,7,5,3,1,3,0.144025542529165,-2.375808620135893,-2.4523723485841886,-2.205881449072815,-0.752528968539621,-0.7391924616711489,-0.9511807680507358,-1.258754763919848,-0.7764091854115699,-1.1267661825602302,-0.1512466158370865,-1.8707892774764416,-2.167940088228831,-2.182056345272448,-0.6856964429840866,-0.9522555869979108,-0.9686406137000908,-0.0805397050839902,-0.8246950251665326,-0.0665265036840472,-1.114518939438767,0.5329147433625236,0.2680880869302926,-0.5986881004106883,0.3862631893961506,-0.4295343744442035,0.0,-0.7403559144085273,0.1428571428571428,1.0,16.0,0.0357142857142857,1.0,3.933333333333333,0.2153846153846154,0.2711864406779661,1.0,16.0,1.0,0
769,0x91ed9995ab4a5f3aad065d9fae0df4f8f4238e242b58efb2280c4520347f424a,2,0xa9bf70a420d364e923c74448d9d817d3f2a77822,0x538359785a8d5ab1a741a0ba94f26a800759d91d,2020-04-19 00:58:55+00:00,711007,5100000000,9176417,120042,0.0,63,,41,3,23,0.1304347826086956,1,15,66,0.2272727272727272,1,4,0x91ed9995ab4a5f3aad065d9fae0df4f8f4238e242b58efb2280c4520347f424a,23,1,14,1,0,57,15,0,66,7,5,3,1,3,0.144025542529165,-2.3754732274223307,-2.450030642265462,-2.205881449072815,-0.7521700880469748,-0.736896065744871,-0.9511807680507358,-1.1802741458413517,-0.7562149131559565,-1.1267661825602302,-0.1512466158370865,-1.8707892774764416,-2.167940088228831,-2.182052890721798,-0.6856964429840866,-0.9522555869979108,-0.9686398113245306,-0.0805397050839902,-0.8246950251665326,-0.0665265036840472,-1.114518939438767,0.5329147433625236,0.2680880869302926,-0.5986881004106883,1.3730344814886632,-0.4295343744442035,0.0,-0.7379338906631402,0.1428571428571428,1.0,23.0,0.0517241379310344,1.0,4.4,0.2238805970149253,0.3484848484848485,1.0,23.0,1.0,0
265,0xc43b2844df46c5c71381908b42a9b7d4c3f16c01b19c83ff4724b914d34f3ce3,2,0xa9bf70a420d364e923c74448d9d817d3f2a77822,0x538359785a8d5ab1a741a0ba94f26a800759d91d,2020-04-19 00:58:55+00:00,711007,5100000000,8696249,120042,0.0,59,,46,3,23,0.1304347826086956,1,15,66,0.2272727272727272,1,5,0xc43b2844df46c5c71381908b42a9b7d4c3f16c01b19c83ff4724b914d34f3ce3,23,1,14,1,0,57,15,0,66,7,5,3,1,3,0.144025542529165,-2.3754732274223307,-2.450030642265462,-2.205881449072815,-0.7521700880469748,-0.736896065744871,-0.9511807680507358,-1.1926658223800617,-0.7562149131559565,-1.1267661825602302,-0.1512466158370865,-1.8707892774764416,-2.167940088228831,-2.182052890721798,-0.6856964429840866,-0.9522555869979108,-0.9686398113245306,-0.0805397050839902,-0.8246950251665326,-0.0665265036840472,-1.114518939438767,0.5329147433625236,0.2680880869302926,-0.5986881004106883,1.2006838562816975,-0.4295343744442035,0.0,-0.7393179042319328,0.1428571428571428,1.0,23.0,0.0517241379310344,1.0,4.4,0.2238805970149253,0.3484848484848485,1.0,23.0,1.0,0
244,0xae7d664bdfcc54220df4f18d339005c6faf6e62c9ca79c56387bc0389274363b,6,0xa9bf70a420d364e923c74448d9d817d3f2a77822,0x538359785a8d5ab1a741a0ba94f26a800759d91d,2020-04-19 00:58:55+00:00,711007,5100000000,8576207,515366,0.0,58,,45,3,23,0.1304347826086956,1,15,66,0.2272727272727272,1,6,0xae7d664bdfcc54220df4f18d339005c6faf6e62c9ca79c56387bc0389274363b,23,1,46,1,0,57,15,0,66,8,6,6,2,3,3.113624357563497,-2.3754732274223307,-2.450030642265462,-2.205881449072815,-0.7521700880469748,-0.736896065744871,-0.9511807680507358,-1.176143586995115,-0.7562149131559565,-1.1267661825602302,0.3939090168264378,-1.8707892774764416,-2.167940088228831,-2.182052890721798,-0.6856964429840866,-0.9522555869979108,-0.9686398113245306,0.0988360300696628,-0.4998840660619509,1.8162990722795551,0.8972480992593679,0.5329147433625236,0.2680880869302926,-0.5986881004106883,1.1575961999799562,0.7159880092976226,0.0,-0.7396639076241309,0.1304347826086956,1.0,23.0,0.0517241379310344,1.0,4.4,0.2238805970149253,0.3484848484848485,1.0,23.0,1.0,0
594,0x17fd735814afaa6aa92b0fcd834ed694889034f13e2016fb39d81042b1dda59d,2,0xa9bf70a420d364e923c74448d9d817d3f2a77822,0x538359785a8d5ab1a741a0ba94f26a800759d91d,2020-04-19 00:58:55+00:00,711007,5100000000,9056375,120042,0.0,62,,42,3,23,0.1304347826086956,1,15,66,0.2272727272727272,1,7,0x17fd735814afaa6aa92b0fcd834ed694889034f13e2016fb39d81042b1dda59d,23,1,14,1,0,57,15,0,66,7,5,3,1,3,0.144025542529165,-2.3754732274223307,-2.450030642265462,-2.205881449072815,-0.7521700880469748,-0.736896065744871,-0.9511807680507358,-1.1885352635338249,-0.7562149131559565,-1.1267661825602302,-0.1512466158370865,-1.8707892774764416,-2.167940088228831,-2.182052890721798,-0.6856964429840866,-0.9522555869979108,-0.9686398113245306,-0.0805397050839902,-0.8246950251665326,-0.0665265036840472,-1.114518939438767,0.5329147433625236,0.2680880869302926,-0.5986881004106883,1.329946825186922,-0.4295343744442035,0.0,-0.7382798940553383,0.1428571428571428,1.0,23.0,0.0517241379310344,1.0,4.4,0.2238805970149253,0.3484848484848485,1.0,23.0,1.0,0
639,0xa9c2f363e31efba9ba2056f2bdb9a867b05fd407ad2fe1a5cf70803db4f94732,2,0xa9bf70a420d364e923c74448d9d817d3f2a77822,0x538359785a8d5ab1a741a0ba94f26a800759d91d,2020-04-19 00:58:55+00:00,711007,5100000000,9296459,120042,0.0,64,,47,3,23,0.1304347826086956,1,15,66,0.2272727272727272,1,8,0xa9c2f363e31efba9ba2056f2bdb9a867b05fd407ad2fe1a5cf70803db4f94732,23,1,14,1,0,57,15,0,66,7,5,3,1,3,0.144025542529165,-2.3754732274223307,-2.450030642265462,-2.205881449072815,-0.7521700880469748,-0.736896065744871,-0.9511807680507358,-1.1844047046875883,-0.7562149131559565,-1.1267661825602302,-0.1512466158370865,-1.8707892774764416,-2.167940088228831,-2.182052890721798,-0.6856964429840866,-0.9522555869979108,-0.9686398113245306,-0.0805397050839902,-0.8246950251665326,-0.0665265036840472,-1.114518939438767,0.5329147433625236,0.2680880869302926,-0.5986881004106883,1.4161221377904047,-0.4295343744442035,0.0,-0.737587887270942,0.1428571428571428,1.0,23.0,0.0517241379310344,1.0,4.4,0.2238805970149253,0.3484848484848485,1.0,23.0,1.0,0
391,0xc705ab5016cc3ef4540fe8139ab640afb0499e5eec85a83107ccd2378c62d81e,2,0xa9bf70a420d364e923c74448d9d817d3f2a77822,0x538359785a8d5ab1a741a0ba94f26a800759d91d,2020-04-19 00:58:55+00:00,711007,5100000000,8936333,120042,0.0,61,,44,3,23,0.1304347826086956,1,15,66,0.2272727272727272,1,9,0xc705ab5016cc3ef4540fe8139ab640afb0499e5eec85a83107ccd2378c62d81e,23,1,14,1,0,57,15,0,66,7,5,3,1,3,0.144025542529165,-2.3754732274223307,-2.450030642265462,-2.205881449072815,-0.7521700880469748,-0.736896065744871,-0.9511807680507358,-1.2009269400725349,-0.7562149131559565,-1.1267661825602302,-0.1512466158370865,-1.8707892774764416,-2.167940088228831,-2.182052890721798,-0.6856964429840866,-0.9522555869979108,-0.9686398113245306,-0.0805397050839902,-0.8246950251665326,-0.0665265036840472,-1.114518939438767,0.5329147433625236,0.2680880869302926,-0.5986881004106883,1.2868591688851805,-0.4295343744442035,0.0,-0.7386258974475365,0.1428571428571428,1.0,23.0,0.0517241379310344,1.0,4.4,0.2238805970149253,0.3484848484848485,1.0,23.0,1.0,0
