index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
697,0x84033e0c908cab415359b5a1a54289a533b20b8450836ceb13190848c2aac6a8,6,0xcf267ea3f1ebae3c29fea0a3253f94f3122c2199,0xc5918a927c4fb83fe99e30d6f66707f4b396900e,2018-10-07 00:39:09+00:00,881764,13370000000,2343232,744511,1e+17,2,,2,1,1,1.0,1,5,5,1.0,2,1,0x84033e0c908cab415359b5a1a54289a533b20b8450836ceb13190848c2aac6a8,1,1,19,1,0,0,1,5,25430,3,3.0,10.0,2,2,4.8488651325253365,-6.255454801256667,-6.300748872889876,-6.238923175533885,-1.0691315491952815,-1.066446423528834,-1.2639950064483485,-1.723446469603809,-1.0567338737872685,-1.1855129028094773,5.294461703384694,-10.174996432957917,-6.238923175533885,-6.028753050185076,-1.0688461468544728,-1.3145961235943904,-1.3478675848742188,1.2528211290718156,2.733546400857453,4.651500120496743,22.33830790368868,2.231765266931585,0.6248611719085349,-0.0938567201529986,0.0533334641018113,3.1511446060367327,0.049526494,-1.0575169400239872,0.3157894736842105,1.0,1.0,1.0,0.3333333333333333,5.0,0.0001966104360819,0.2,1.0,1.0,1.0,0
214,0x21e9d20b57f6ae60dac23466c8395d47f42dc24628e5a31f224567a2b4effa88,33,0xcf267ea3f1ebae3c29fea0a3253f94f3122c2199,0xc5918a927c4fb83fe99e30d6f66707f4b396900e,2018-10-07 00:39:30+00:00,4340996,13370000000,5036311,4090579,5e+18,3,,1,2,2,1.0,1,6,6,1.0,2,2,0x21e9d20b57f6ae60dac23466c8395d47f42dc24628e5a31f224567a2b4effa88,2,1,100,1,0,2,1,5,25432,3,3.0,64.0,2,2,31.227942017108063,-6.251832255894892,-6.297416619039919,-6.238923175533885,-1.0679706345753173,-1.065434142251873,-1.2639950064483485,-1.7199822834473082,-1.055029145364229,-1.1855129028094773,29.819876204937945,-10.174996432957917,-6.238923175533885,-6.028688896115419,-1.0688461468544728,-1.3145961235943904,-1.3478608248428414,1.2528211290718156,2.733546400857453,30.581200389602152,22.33830790368868,2.231765266931585,8.487829565297757,-0.0938567201529986,1.4798366647812713,19.619641696760905,20.229393,-1.056501012124389,0.33,1.0,2.0,0.6666666666666666,0.3333333333333333,6.0,0.0002359139700389,0.3333333333333333,1.0,2.0,1.0,1
128,0x5a32c22cbdd7c2d069273778326bf34aeab11e281852222f0749a1554bb6c2cb,1,0x955f3782b2b9644220b8bcf777581d5f334df497,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-07 00:03:41+00:00,750000,20000000000,1233885,224227,5.106734e+16,3,,50,2123,2347,0.9045590115040476,38,5,5,1.0,2,1,0x5a32c22cbdd7c2d069273778326bf34aeab11e281852222f0749a1554bb6c2cb,3,2,2,383,37,218035,2,15,87938,3,1.0,1.0,1,1,-0.036149105360354,1.4315864564289686,1.516718659107673,1.076562721938901,-1.0691315491952815,-1.066446423528834,-1.2639950064483485,1.5675303790720176,-1.05332441694119,-1.1204391898437578,0.1471524870093195,0.8462093327435151,1.076562721938901,0.965163238547065,-1.06380039742755,-1.11741656403321,-1.1365895642011363,1.2528211290718156,0.6283893728578743,0.3298834089791744,-0.0447661481035845,0.8816350389027979,0.3253564935907644,0.7976720226183723,-0.5342790961551127,0.590438864147944,-0.15199482,-1.056501012124389,0.5,1.0,6.127937336814622,0.0097369241776587,0.125,2.5,5.685759446889321e-05,0.6,0.0012782275244993,1.5,0.0526315789473684,0
730,0x3ba031eb5914c038dc7bcfbd5e8f990f96a805b3065b022b98d9dda760c3f9e6,1,0x5917c6552ba2861149b60b066a9f8ded70c907ad,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-07 00:03:47+00:00,1000000,20000000000,1039338,747501,0.0,4,,49,2124,2348,0.9045996592844976,38,9,9,1.0,4,2,0x3ba031eb5914c038dc7bcfbd5e8f990f96a805b3065b022b98d9dda760c3f9e6,5,4,5,383,37,218036,1,14,85082,4,4.0,1.0,1,3,-0.036149105360354,1.4352090017907433,1.520050912957629,1.076562721938901,-1.0644878907154245,-1.0623972984209893,-1.204221757615286,1.5709945652285189,-1.0499149600951114,-0.9902917639123188,1.0555011722520324,0.8462093327435151,1.076562721938901,0.9651953155818932,-1.0688461468544728,-1.137134519989328,-1.146242889008238,3.0273553062273617,3.786124914857243,0.3298834089791744,-0.0447661481035845,3.581895494960372,0.8936161819687933,0.7976720226183723,-0.6373291433993958,3.165860626841231,-0.3623075,-1.055485084224791,0.2,1.0,6.130548302872063,0.0097414658979897,0.2666666666666666,9.0,0.0001057790627975,0.5555555555555556,0.002129471890971,1.25,0.1052631578947368,0
855,0xf90df7ab5cd40779e11b409ea664ebe7aba285eb2616c953522e6b6d8d980af6,1,0xf36cb9c2984838eb2bbda4fcdb3f9cb2ac05d1fa,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-07 00:04:27+00:00,90000,25500000000,486148,62425,0.0,2381,,48,2125,2349,0.9046402724563644,38,2068,2400,0.8616666666666667,79,3,0xf90df7ab5cd40779e11b409ea664ebe7aba285eb2616c953522e6b6d8d980af6,1389,38,1,383,37,218039,428,80,472659,2,0.0,0.0,1,0,-0.036149105360354,1.438831547152518,1.5233831668075852,1.076562721938901,1.3258353117910229,1.3579672347932266,1.0372750736245435,1.5744587513850197,1.309429177391224,1.222214476922143,-0.1556304080715848,0.8462093327435151,1.076562721938901,0.9652915466863772,1.085688858441541,0.1642505731144633,0.1637734515947455,-0.5217130480837306,-0.4241891411419152,-0.1502962256338887,-0.0447661481035845,-0.468495189125989,-1.1748490837272316,1.537250919336704,-0.9303496250057172,-0.2059094964572058,-0.3623075,1.359375533119984,1.0,1.0,6.133159268929504,0.0097459181801504,0.9753086419753086,5.607476635514018,0.0043752380146405,0.57875,0.5913154533844189,36.55263157894737,1.0,0
944,0x9888b4a2a848bd8882025bef6b41bc59e9caf0a48189d94e45e9da34c62f4500,1,0xf36cb9c2984838eb2bbda4fcdb3f9cb2ac05d1fa,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-07 00:05:14+00:00,1000000,20000000000,1522222,50460,5.106734e+16,2383,,47,2126,2350,0.9046808510638298,38,2070,2402,0.861781848459617,79,4,0x9888b4a2a848bd8882025bef6b41bc59e9caf0a48189d94e45e9da34c62f4500,1390,38,1,383,37,218044,428,80,472664,2,0.0,0.0,1,0,-0.036149105360354,1.4424540925142924,1.5267154206575415,1.076562721938901,1.3281571410309514,1.359991797347149,1.0372750736245435,1.5779229375415202,1.311133905814263,1.222214476922143,-0.1556304080715848,0.8462093327435151,1.076562721938901,0.9654519318605174,1.085688858441541,0.1642505731144633,0.1637903516731892,-0.5217130480837306,-0.4241891411419152,-0.1502962256338887,-0.0447661481035845,-0.468495189125989,0.8936161819687933,0.7976720226183723,-0.3815492084042099,-0.2647981884056404,-0.15199482,1.36140738891918,1.0,1.0,6.135770234986945,0.0097502809053177,0.9753086419753086,5.61214953271028,0.0043794230586144,0.578684429641965,0.5914893617021276,36.578947368421055,1.0,0
488,0xefd8663da1592337fcbe7ad8f42fb8833184f136b45f2eea7cc596aa180de969,1,0xf36cb9c2984838eb2bbda4fcdb3f9cb2ac05d1fa,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-07 00:05:40+00:00,1000000,20000000000,882164,71585,0.0,2384,,46,2127,2351,0.9047213951509996,38,2071,2403,0.861839367457345,79,5,0xefd8663da1592337fcbe7ad8f42fb8833184f136b45f2eea7cc596aa180de969,1391,38,2,383,37,218046,428,80,472666,3,1.0,1.0,1,1,-0.036149105360354,1.446076637876067,1.530047674507498,1.076562721938901,1.3293180556509157,1.3610040786241102,1.0372750736245435,1.5813871236980213,1.3128386342373024,1.222214476922143,0.1471524870093195,0.8462093327435151,1.076562721938901,0.9655160859301736,1.085688858441541,0.1642505731144633,0.1637971117045668,1.2528211290718156,0.6283893728578743,0.3298834089791744,-0.0447661481035845,0.8816350389027979,0.8936161819687933,0.7976720226183723,-0.720583000439458,-0.160826302286904,-0.3623075,1.3624233168187785,0.5,1.0,6.138381201044386,0.0097547776396831,0.9753086419753086,5.614485981308412,0.0043815201822847,0.5788597586350396,0.5916631220757125,36.60526315789474,1.0,0
874,0x771585d4e97af4e03e5483f1dd015dff533fbd3857d60fca5606759291edcbf8,1,0xf36cb9c2984838eb2bbda4fcdb3f9cb2ac05d1fa,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-07 00:05:46+00:00,1000000,20000000000,3497327,56713,0.0,2386,,44,2128,2355,0.9036093418259024,38,2072,2407,0.8608226007478189,79,6,0x771585d4e97af4e03e5483f1dd015dff533fbd3857d60fca5606759291edcbf8,1395,38,2,383,37,218047,428,80,472667,3,1.0,1.0,1,1,-0.036149105360354,1.4496991832378416,1.5433766899073234,1.076562721938901,1.33047897027088,1.365053203731955,1.0372750736245435,1.5952438683240246,1.3196575479294594,1.222214476922143,0.1471524870093195,0.8462093327435151,1.076562721938901,0.9655481629650016,1.085688858441541,0.1642505731144633,0.1638004917202555,1.2528211290718156,0.6283893728578743,0.3298834089791744,-0.0447661481035845,0.8816350389027979,0.8936161819687933,0.7976720226183723,0.6646486952510503,-0.2340225101144945,-0.3623075,1.3644551726179746,0.5,1.0,6.148825065274152,0.0097593190490167,0.9753086419753086,5.623831775700935,0.0043836265624074,0.5795596177814707,0.5923566878980892,36.71052631578947,1.0,0
391,0x35fe21bdf1a3db1092ccdd200a1bcd46cf165b474135973d497c077e918db7f2,1,0xf36cb9c2984838eb2bbda4fcdb3f9cb2ac05d1fa,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-07 00:05:46+00:00,1000000,20000000000,3440614,56649,0.0,2385,,45,2128,2355,0.9036093418259024,38,2072,2407,0.8608226007478189,79,7,0x35fe21bdf1a3db1092ccdd200a1bcd46cf165b474135973d497c077e918db7f2,1395,38,2,383,37,218047,428,80,472667,3,1.0,1.0,1,1,-0.036149105360354,1.4496991832378416,1.5433766899073234,1.076562721938901,1.33047897027088,1.365053203731955,1.0372750736245435,1.584851309854522,1.3196575479294594,1.222214476922143,0.1471524870093195,0.8462093327435151,1.076562721938901,0.9655481629650016,1.085688858441541,0.1642505731144633,0.1638004917202555,1.2528211290718156,0.6283893728578743,0.3298834089791744,-0.0447661481035845,0.8816350389027979,0.8936161819687933,0.7976720226183723,0.6346082560288314,-0.234337501864156,-0.3623075,1.3634392447183763,0.5,1.0,6.148825065274152,0.0097593190490167,0.9753086419753086,5.623831775700935,0.0043836265624074,0.5795596177814707,0.5923566878980892,36.71052631578947,1.0,0
476,0xc8a37a46192e38e9116e9c85b88c56b01deec2a971e98125e714ac3691ce3f29,1,0xf36cb9c2984838eb2bbda4fcdb3f9cb2ac05d1fa,0xf91546835f756da0c10cfa0cda95b15577b84aa7,2018-10-07 00:05:46+00:00,1000000,20000000000,3583228,29252,0.0,2388,,42,2128,2355,0.9036093418259024,38,2072,2407,0.8608226007478189,79,8,0xc8a37a46192e38e9116e9c85b88c56b01deec2a971e98125e714ac3691ce3f29,1395,38,1,383,37,218047,428,80,472667,2,0.0,0.0,1,0,-0.036149105360354,1.4496991832378416,1.5433766899073234,1.076562721938901,1.33047897027088,1.365053203731955,1.0372750736245435,1.5883154960110228,1.3196575479294594,1.222214476922143,-0.1556304080715848,0.8462093327435151,1.076562721938901,0.9655481629650016,1.085688858441541,0.1642505731144633,0.1638004917202555,-0.5217130480837306,-0.4241891411419152,-0.1502962256338887,-0.0447661481035845,-0.468495189125989,0.8936161819687933,0.7976720226183723,0.7101497932290771,-0.3691785794497191,-0.3623075,1.3664870284171708,1.0,1.0,6.148825065274152,0.0097593190490167,0.9753086419753086,5.623831775700935,0.0043836265624074,0.5795596177814707,0.5923566878980892,36.71052631578947,1.0,0
