transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus
0xf6329b3271ee3e69afb68be7c401e69c9cbe4b72953558604aab844328b6128e,1,0x8fea4f946aa309703f4d3eca069d841cedf62777,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,46175,218917585373,5111740,46175,0,2,2.0,983,570,10279,0.055452865064695,4,4,4,1.0,2,4,26620,1,0xf6329b3271ee3e69afb68be7c401e69c9cbe4b72953558604aab844328b6128e,2,1,1,6700,3,18707,2,2,,,1,0,0
0x358104c707d2bc40f6fb5e94b9d22f9c763a1fd450f15354635636239d7b07ab,1,0xc3a46f2329e18c576ea92d343274756dab1fd75c,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,185351,218917585373,5742877,185351,400000000000000000,36,2.0,984,570,10279,0.055452865064695,4,50,50,1.0,29,76,488338,2,0x358104c707d2bc40f6fb5e94b9d22f9c763a1fd450f15354635636239d7b07ab,1,1,1,6700,3,18707,20,2,,,1,0,0
0x1501844c4187ffc623674276a76623c2b3bfa1cce99670495c9d603eda3438ba,1,0xe671bc4dce6de2dbc2ed9111c0cadaad901df8bf,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,46175,218917585373,7083536,46175,0,98,2.0,980,570,10279,0.055452865064695,4,100,107,0.9345794392523364,30,68,440020,3,0x1501844c4187ffc623674276a76623c2b3bfa1cce99670495c9d603eda3438ba,2,1,1,6700,3,18707,34,2,,,1,0,0
0xbc072ec0f060f9193feb4a6c242695b23e1a1656d2232f4acfbd29deb07730f3,1,0x5d030a9d3cdbd2c62f934e0b0de292eae11677e2,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,185331,218917585373,4805110,185331,400000000000000000,0,2.0,979,570,10279,0.055452865064695,4,2,2,1.0,2,7,47794,4,0xbc072ec0f060f9193feb4a6c242695b23e1a1656d2232f4acfbd29deb07730f3,1,1,1,6700,3,18707,1,2,,,1,0,0
0xf94a1beca2b1abdc8a2a049092a69849ce4e7f7a76b179533e12035cd922d736,1,0x8ef517e81f2b5816b39dbee32336d7c17d27677e,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,46175,218917585373,6590576,46175,0,25,2.0,986,570,10279,0.055452865064695,4,34,36,0.9444444444444444,14,119,760264,5,0xf94a1beca2b1abdc8a2a049092a69849ce4e7f7a76b179533e12035cd922d736,1,1,1,6700,3,18707,17,2,,,1,0,0
0x080807dc07fd502631838d855776cbcae3f756d303193a6b049ae15ece94ff83,1,0xa65e38ee42ff2c42905ccc84971cc134f8473820,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,46175,218917585373,6544401,46175,0,96,2.0,988,570,10279,0.055452865064695,4,109,112,0.9732142857142856,34,206,1321398,6,0x080807dc07fd502631838d855776cbcae3f756d303193a6b049ae15ece94ff83,2,1,1,6700,3,18707,43,2,,,1,0,0
0x11f46abeed544c8a6ec786135a96da7fa5ddb83eca5ef3e6b87694d1f4120c60,1,0x5b44393855c6590ef5dbba26a40b934542fe5eb0,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,185351,218917585373,4421629,185351,400000000000000000,252,2.0,982,570,10279,0.055452865064695,4,266,291,0.9140893470790376,72,894,5719871,7,0x11f46abeed544c8a6ec786135a96da7fa5ddb83eca5ef3e6b87694d1f4120c60,1,1,1,6700,3,18707,77,2,,,1,0,0
0xe93105f383a56f40370dee8ab8aa65c54d1b8ee844750ce00f1bdded8ed72ba6,1,0xb43d184ec7d4d2acb4ebc8db53f4031bca9319a4,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,277996,218917585373,4190015,185331,400000000000000000,364,2.0,992,570,10279,0.055452865064695,4,365,385,0.948051948051948,90,181,1163892,8,0xe93105f383a56f40370dee8ab8aa65c54d1b8ee844750ce00f1bdded8ed72ba6,2,1,1,6700,3,18707,135,2,,,1,0,0
0x39703902f296bdff74fbe1cbeaa156c84478741bda9fb17561f9591fddc1f378,1,0xafe87b29a0a007571b8d6070517ce93f88b5d509,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,46175,219417585373,2447979,46175,0,108,2.0,978,570,10279,0.055452865064695,4,130,134,0.9701492537313432,32,78,499516,9,0x39703902f296bdff74fbe1cbeaa156c84478741bda9fb17561f9591fddc1f378,1,1,1,6700,3,18707,29,2,,,1,0,0
0x32e53fb077bba2e2d5a55a67f53b1338dd17ef22f1dc3a9d2d477af9d98d96cc,1,0xb4e88f3fea216dcc39d4ed7724bda1bddcd534bc,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,93342,218917585373,6317124,83742,0,17,2.0,985,570,10279,0.055452865064695,4,33,33,1.0,14,40,258636,10,0x32e53fb077bba2e2d5a55a67f53b1338dd17ef22f1dc3a9d2d477af9d98d96cc,2,1,1,6700,3,18707,9,2,,,1,0,0
0xf2875fe2a8203777c46a0a8a9c7f6daed8c5f73ec8c52dcdf3a4387c8711af99,1,0x2ba19436256d1650e148e1dfbc48701450215bd5,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,185331,218917585373,7037361,185331,400000000000000000,85,2.0,987,570,10279,0.055452865064695,4,101,104,0.971153846153846,36,68,436625,11,0xf2875fe2a8203777c46a0a8a9c7f6daed8c5f73ec8c52dcdf3a4387c8711af99,1,1,1,6700,3,18707,39,2,,,1,0,0
0x664da06feff23284c0337b50ce20aea016ecf8c52fab5bca5f2546017720fd25,1,0xed5bff74623a65a9785789fce5c913acd07b240e,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:03:51+00:00,185351,218917585373,7531446,185351,400000000000000000,230,2.0,991,570,10279,0.055452865064695,4,242,254,0.952755905511811,93,332,2134799,12,0x664da06feff23284c0337b50ce20aea016ecf8c52fab5bca5f2546017720fd25,1,1,1,6700,3,18707,108,2,,,1,0,0
