transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus
0x90bd2030e76846b03e588836f9bb2fc3a04a7791f4ef9a3577deb75557b9c6af,1,0x9c6a33b7024f12328fd27441a6068cd9c513414b,0x069c97dba948175d10af4b2414969e0b88d44669,2020-04-16 16:38:02+00:00,147842,6771875000,5667204,132687,0,218,,4,3071,3158,0.9724509183027232,408,204,223,0.9147982062780268,24,28,183099,1,0x90bd2030e76846b03e588836f9bb2fc3a04a7791f4ef9a3577deb75557b9c6af,19,5,11,644,528,3234188,54,8,3,5,1,4,0
0x625e80fb4e346c5721f075cde1daf927531c5706b7b86b5c2527408cab3f7f29,1,0xbb5ccbb60032f50450bee3a4eda304afa9a1b811,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-02-22 22:49:05+00:00,122000,8800000000,1877120,121913,0,46,,630,30460,32344,0.941751174870146,148,48,53,0.9056603773584904,10,9,61105,1,0x625e80fb4e346c5721f075cde1daf927531c5706b7b86b5c2527408cab3f7f29,2,2,10,3155,147,897488,26,7,2,3,2,4,0
0x2c0cfb60cd9c3e7e523c537a4dd05d65d2e500ee792b91619640dc5a9cf1de10,1,0x34aaa3d5a73d6f9594326d0422ce69748f09b14f,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-02-26 17:28:28+00:00,445743,17000000000,6921139,135459,0,220,,579,32631,34731,0.9395352854798306,152,309,310,0.9967741935483873,115,751,4523290,2,0x2c0cfb60cd9c3e7e523c537a4dd05d65d2e500ee792b91619640dc5a9cf1de10,1,1,26,3365,151,922072,32,12,5,4,3,5,0
0x867441f9751cdd5620eed3546421d2db323d1e96d3a1a076c5dd3afff90a68c9,1,0x34aaa3d5a73d6f9594326d0422ce69748f09b14f,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-03-12 11:28:02+00:00,465323,71000000000,5331394,146337,0,226,,306,42052,45045,0.9335553335553336,167,315,316,0.9968354430379746,120,766,4619220,3,0x867441f9751cdd5620eed3546421d2db323d1e96d3a1a076c5dd3afff90a68c9,2,2,28,3990,166,1018002,32,13,7,4,3,6,0
0x90f90a711877e39f42ca2ff51d6107883ac4724febb526a5f733f0dc60c2b333,1,0x6d5dd24353349ce619ca13059eac568401425085,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-03-12 11:50:29+00:00,647213,210000000000,239144,181080,0,135,,305,42069,45065,0.9335182514146232,167,129,138,0.9347826086956522,8,8,53450,4,0x90f90a711877e39f42ca2ff51d6107883ac4724febb526a5f733f0dc60c2b333,22,4,40,3990,166,1018077,14,18,8,5,2,6,0
0x974968d98e3c30cda8e3b9d78a8d1353ff23560b2442fd03023265589d618707,1,0x6d5dd24353349ce619ca13059eac568401425085,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-03-12 23:57:51+00:00,2084434,110000000000,916784,578590,0,219,,276,42805,45998,0.9305839384321056,167,210,222,0.945945945945946,8,8,56753,5,0x974968d98e3c30cda8e3b9d78a8d1353ff23560b2442fd03023265589d618707,42,4,152,4058,166,1021380,18,52,22,8,2,6,0
0xa16f8947f54fb3949114deb283148682e9c25b6b6fc00ab96a452ad821ae4539,1,0x7ca70f0e62db17a053a5238aed94efa4d644a79d,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-03-15 12:19:07+00:00,708922,8800000000,6802259,240790,0,50,,251,45672,49414,0.9242724733881084,170,55,57,0.9649122807017544,13,112,682541,6,0xa16f8947f54fb3949114deb283148682e9c25b6b6fc00ab96a452ad821ae4539,1,1,55,4258,169,1037597,12,22,8,6,2,6,0
0xd0c7eebc2f3e1ba70f3bf78264d0a2c168a8d42d5170e57b29de1465d01537c6,1,0x7ffdd8fefb6085886efe2651943bcb772432deef,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-03-18 03:25:35+00:00,653918,9900000000,3114383,183484,0,556,,231,49029,53494,0.9165326952555428,173,570,587,0.9710391822827938,87,303,1898828,7,0xd0c7eebc2f3e1ba70f3bf78264d0a2c168a8d42d5170e57b29de1465d01537c6,38,22,44,4531,172,1054691,61,19,8,6,2,6,0
0x313e785425118667821e24031b7237d922ccd9bec6242f25a57cb62875ef970c,1,0xec7aba9973f3db776f61e41cbcb017b9d6287e00,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-03-18 14:01:09+00:00,731433,11000000000,3206502,204367,0,147,,229,49298,53782,0.916626380573426,173,137,149,0.919463087248322,3,2,14496,8,0x313e785425118667821e24031b7237d922ccd9bec6242f25a57cb62875ef970c,17,2,46,4549,172,1057554,27,20,8,6,2,6,0
0x3a796649954534a99dbaac75c2b8409324e312fc27c8fdadfe25f75057bbb7cb,1,0x6d5dd24353349ce619ca13059eac568401425085,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-03-19 14:33:30+00:00,2302583,25080000000,3226030,638871,0,334,,227,50006,54560,0.916532258064516,174,320,337,0.9495548961424332,14,15,99593,9,0x3a796649954534a99dbaac75c2b8409324e312fc27c8fdadfe25f75057bbb7cb,87,10,124,4592,173,1064220,30,51,24,6,2,6,0
