transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio
0x90bd2030e76846b03e588836f9bb2fc3a04a7791f4ef9a3577deb75557b9c6af,1,0x9c6a33b7024f12328fd27441a6068cd9c513414b,0x069c97dba948175d10af4b2414969e0b88d44669,2020-04-16 16:38:02+00:00,147842,6771875000,5667204,132687,0.0,218,,4,3071,3158,0.9724509183027232,408,204,223,0.9147982062780269,24,28,183099,1,0x90bd2030e76846b03e588836f9bb2fc3a04a7791f4ef9a3577deb75557b9c6af,19,5,11,644,528,3234188,54,8,4,5,1,4,0,-0.05973476910895077,-0.013269176432610039,-0.028903046446599048,7.904983581436627,-0.5373306446640743,-0.4802043926024312,-0.6034022341259162,-1.5021346518451508,-0.36085743065765374,-0.8014561741992476,-0.05562698939121049,0.2523070039139658,10.553535486433068,10.398045817930498,-0.03141948470930676,-0.47941442027414466,-0.4915470342631185,0.07519359846642927,0.02598728578165544,2.2643100470920414,-0.20012199518698948,1.4661312746051065,-0.08243874818488628,-0.19689959610831495,-0.2879851262002824,0.09182490218581986,-0.0,-0.47995259154278136,0.09090909090909091,0.7712665406427222,4.903726708074534,0.0009495425282814332,0.8275862068965517,4.12962962962963,0.0011141452758055706,0.08520179372197309,0.006016466117796073,3.8,0.012254901960784314
0x625e80fb4e346c5721f075cde1daf927531c5706b7b86b5c2527408cab3f7f29,1,0xbb5ccbb60032f50450bee3a4eda304afa9a1b811,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-02-22 22:49:05+00:00,122000,8800000000,1877120,121913,0.0,46,,630,30460,32344,0.9417511748701459,148,48,53,0.9056603773584906,10,9,61105,1,0x625e80fb4e346c5721f075cde1daf927531c5706b7b86b5c2527408cab3f7f29,2,2,10,3155,147,897488,26,7,3,3,2,4,0,-0.05973476910895077,2.3200764695796416,2.2163946009583704,1.980711884792012,-0.6080708680724414,-0.5450139685416483,-0.7802986898530248,-1.5021346518451508,-0.38510004074625354,-0.9322326186077114,-0.07171035178265531,2.178992154372674,1.1317957582177405,1.0952423773924667,-0.26681341224960003,-0.607235541925623,-0.6277131587775862,-0.004236259068531255,-0.09975764541990322,-0.21305324294301506,3.7496542256088574,1.4661312746051065,-0.12243152344233595,-0.13720922929553156,-1.698825715735283,0.03684763895616359,-0.0,-0.5469815930119125,0.1,1.0,10.251664025356577,0.03393913463006232,1.0,2.0384615384615383,0.0007855202435112754,0.03773584905660377,6.183527083848628e-05,1.0,0.013513513513513514
0x2c0cfb60cd9c3e7e523c537a4dd05d65d2e500ee792b91619640dc5a9cf1de10,1,0x34aaa3d5a73d6f9594326d0422ce69748f09b14f,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-02-26 17:28:28+00:00,445743,17000000000,6921139,135459,0.0,220,,579,32631,34731,0.9395352854798307,152,309,310,0.9967741935483871,115,751,4523290,2,0x2c0cfb60cd9c3e7e523c537a4dd05d65d2e500ee792b91619640dc5a9cf1de10,1,1,26,3365,151,922072,32,12,6,4,3,5,0,-0.05973476910895077,2.5050300420902336,2.40002803768679,2.071854526278852,-0.4897170327545965,-0.4470371390335377,0.5464247281002894,-1.4974172675964776,-0.3865260766338182,-0.9758247667438661,0.1856234464804619,2.3401247237061384,1.230711660876169,1.193115497511518,-0.21637185634810863,4.384515629937373,4.352846854965629,0.39291302860627136,0.27747714818477276,1.0256284020745132,7.699430446404705,2.683848280091075,0.378589335630976,0.10412747720176216,0.1787861629422725,0.10596978557848805,-0.0,-0.47917318454895425,0.038461538461538464,1.0,10.321248142644874,0.035388738201856035,0.1529255319148936,9.6875,6.831309327655462e-05,0.0032258064516129032,2.879272120008062e-05,1.0,0.006578947368421052
0x867441f9751cdd5620eed3546421d2db323d1e96d3a1a076c5dd3afff90a68c9,1,0x34aaa3d5a73d6f9594326d0422ce69748f09b14f,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-03-12 11:28:02+00:00,465323,71000000000,5331394,146337,0.0,226,,306,42052,45045,0.9335553335553336,167,315,316,0.9968354430379747,120,766,4619220,3,0x867441f9751cdd5620eed3546421d2db323d1e96d3a1a076c5dd3afff90a68c9,2,2,28,3990,166,1018002,32,13,8,4,3,6,0,-0.05973476910895077,3.3076314269922533,3.193490654535103,2.413639431854503,-0.48699625493119775,-0.44474974223568303,0.609602033717114,-1.4926998833478047,-0.38510004074625354,-0.9322326186077114,0.21779017126335154,2.819685941960496,1.6016462958452764,1.575029279362339,-0.21637185634810863,4.485427041767487,4.4599211071802705,0.4723428861412319,0.5289670105878901,1.0256284020745132,7.699430446404705,3.9015652855770435,0.4088911133393912,1.6934179834034524,-0.4129887879586362,0.1614777370739587,-0.0,-0.47683496356747296,0.03571428571428571,1.0,11.289473684210526,0.0413083262033609,0.15645371577574968,9.875,6.819331657870451e-05,0.006329113924050633,4.44000444000444e-05,1.0,0.011976047904191617
0x90f90a711877e39f42ca2ff51d6107883ac4724febb526a5f733f0dc60c2b333,1,0x6d5dd24353349ce619ca13059eac568401425085,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-03-12 11:50:29+00:00,647213,210000000000,239144,181080,0.0,135,,305,42069,45065,0.9335182514146233,167,129,138,0.9347826086956522,8,8,53450,4,0x90f90a711877e39f42ca2ff51d6107883ac4724febb526a5f733f0dc60c2b333,22,4,40,3990,166,1018077,14,18,9,5,2,6,0,-0.05973476910895077,3.309079704621309,3.19502926732713,2.413639431854503,-0.5713403674565585,-0.5126091805720397,-0.8055696120997545,-1.4879824990991315,-0.3565793229949597,-0.8450483223354023,0.41079051996068944,2.819685941960496,1.6016462958452764,1.5753278672247262,-0.3676965240525829,-0.613962969380964,-0.6362574452437915,0.8694921738160344,0.6547119417894488,2.2643100470920414,3.7496542256088574,3.9015652855770435,0.6903819380270129,5.784369471589285,-2.308554425042038,0.33876333725847213,-0.0,-0.5122979817866062,0.025,1.0,11.294486215538846,0.041321981223442605,0.8888888888888888,9.857142857142858,0.0024134253802548127,0.15942028985507245,0.00048818373460556973,5.5,0.023952095808383235
0x974968d98e3c30cda8e3b9d78a8d1353ff23560b2442fd03023265589d618707,1,0x6d5dd24353349ce619ca13059eac568401425085,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-03-12 23:57:51+00:00,2084434,110000000000,916784,578590,0.0,219,,276,42805,45998,0.9305839384321057,167,210,222,0.9459459459459459,8,8,56753,5,0x974968d98e3c30cda8e3b9d78a8d1353ff23560b2442fd03023265589d618707,42,4,152,4058,166,1021380,18,52,23,8,2,6,0,-0.05973476910895077,3.3717816066792525,3.2668055540751886,2.413639431854503,-0.5346098668406756,-0.48058562540207367,-0.8055696120997545,-1.4832651148504583,-0.3280586052436658,-0.8450483223354023,2.2121271078025098,2.8718622025065703,1.6016462958452764,1.5884776766842619,-0.3340688201182553,-0.613962969380964,-0.6325707335262375,3.570107330004692,2.41514097861127,5.980354982144626,3.7496542256088574,3.9015652855770435,2.9146082536483684,2.8412389045491175,-2.05630618540078,2.3671661501803825,-0.0,-0.47956288804586783,0.006578947368421052,1.0,11.335140463282405,0.04190894485015875,0.8888888888888888,12.333333333333334,0.003700179723015118,0.1891891891891892,0.0009130831775294578,10.5,0.023952095808383235
0xa16f8947f54fb3949114deb283148682e9c25b6b6fc00ab96a452ad821ae4539,1,0x7ca70f0e62db17a053a5238aed94efa4d644a79d,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-03-15 12:19:07+00:00,708922,8800000000,6802259,240790,0.0,50,,251,45672,49414,0.9242724733881086,170,55,57,0.9649122807017544,13,112,682541,6,0xa16f8947f54fb3949114deb283148682e9c25b6b6fc00ab96a452ad821ae4539,1,1,55,4258,169,1037597,12,22,9,6,2,6,0,-0.05973476910895077,3.6160293691794214,3.5296006189533964,2.4819964129696332,-0.6048966272784762,-0.5434890373430785,-0.7423923064829301,-1.4785477306017853,-0.3865260766338182,-0.9758247667438661,0.6520409558323618,3.025321792347965,1.675833222839098,1.6530403348753884,-0.3845103760197467,0.08568948597449635,0.0659154766780323,1.1872116039558764,0.6547119417894488,3.50299169210957,3.7496542256088574,3.9015652855770435,0.7858820606321504,-0.13720922929553156,0.13453365316045215,0.6434498406409462,-0.0,-0.5454227790242583,0.01818181818181818,1.0,11.604978863316111,0.04401704706447006,0.11504424778761062,4.75,8.058112174781918e-05,0.017543859649122806,2.023717974663051e-05,1.0,0.0058823529411764705
0xd0c7eebc2f3e1ba70f3bf78264d0a2c168a8d42d5170e57b29de1465d01537c6,1,0x7ffdd8fefb6085886efe2651943bcb772432deef,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-03-18 03:25:35+00:00,653918,9900000000,3114383,183484,0.0,556,,231,49029,53494,0.9165326952555427,173,570,587,0.9710391822827938,87,303,1898828,7,0xd0c7eebc2f3e1ba70f3bf78264d0a2c168a8d42d5170e57b29de1465d01537c6,38,22,44,4531,172,1054691,61,19,9,6,2,6,0,-0.05973476910895077,3.9020216045170804,3.8434776285269,2.5503533940847634,-0.3713631974367516,-0.3414356535325781,0.19263181664607232,-1.4738303463531122,-0.3337627487939246,-0.06038965588461944,0.47512396952646874,3.2347941324814684,1.7500201498329193,1.721094480470697,0.027428997175766568,1.3706281299446206,1.4234993503712328,0.948922031350995,0.6547119417894488,3.50299169210957,3.7496542256088574,3.9015652855770435,0.700758517165671,-0.10483479305808972,-1.2382604986240413,0.35103040063364327,-0.0,-0.34823280958600045,0.022727272727272728,1.0,11.806223791657471,0.04648655721291145,0.28618421052631576,9.62295081967213,0.0003001850087606625,0.06473594548551959,0.0007103600403783602,1.7272727272727273,0.12716763005780346
0x313e785425118667821e24031b7237d922ccd9bec6242f25a57cb62875ef970c,1,0xec7aba9973f3db776f61e41cbcb017b9d6287e00,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-03-18 14:01:09+00:00,731433,11000000000,3206502,204367,0.0,147,,229,49298,53782,0.916626380573426,173,137,149,0.9194630872483222,3,2,14496,8,0x313e785425118667821e24031b7237d922ccd9bec6242f25a57cb62875ef970c,17,2,46,4549,172,1057554,27,20,9,6,2,6,0,-0.05973476910895077,3.924938468176845,3.8656336527320883,2.5503533940847634,-0.5677126636920269,-0.5084156197759727,-0.868746917716579,-1.469112962104439,-0.36370950243278316,-0.9322326186077114,0.5072906943093584,3.248605495567194,1.7500201498329193,1.7324925744708939,-0.25840648626601814,-0.6543275341130097,-0.6797367574586264,1.0283518888859555,0.6547119417894488,3.50299169210957,3.7496542256088574,3.9015652855770435,0.8207198194673972,-0.07246035682064787,-1.203969642730775,0.4575915838548157,-0.0,-0.5076215398236437,0.021739130434782608,1.0,11.822818201802594,0.046615069665407474,1.0,5.518518518518518,0.009450231082292888,0.11409395973154363,0.00031609088542635083,8.5,0.011560693641618497
0x3a796649954534a99dbaac75c2b8409324e312fc27c8fdadfe25f75057bbb7cb,1,0x6d5dd24353349ce619ca13059eac568401425085,0x11111254369792b2ca5d084ab5eea397ca8fa48b,2020-03-19 14:33:30+00:00,2302583,25080000000,3226030,638871,0.0,334,,227,50006,54560,0.9165322580645161,174,320,337,0.9495548961424333,14,15,99593,9,0x3a796649954534a99dbaac75c2b8409324e312fc27c8fdadfe25f75057bbb7cb,87,10,124,4592,173,1064220,30,51,25,6,2,6,0,-0.05973476910895077,3.985254971786932,3.925485690341938,2.5731390544564734,-0.4847289400783655,-0.4367438534431915,-0.7297568453595651,-1.464395577855766,-0.2638869903032547,-0.5834954335184747,1.7617929608420548,3.2815993073830936,1.7747491254975265,1.7590310636798752,-0.23318570831527244,-0.5668709771935772,-0.5847539820942015,3.4906774724697316,2.6666308410143875,3.50299169210957,3.7496542256088574,3.9015652855770435,3.252213080273142,0.3419324270186077,-1.1967004383985123,2.674766336253049,-0.0,-0.43474698590080924,0.008064516129032258,1.0,11.881533101045296,0.04698836050030961,0.875,11.233333333333333,0.0032130449625479445,0.258160237388724,0.001594574780058651,8.7,0.05747126436781609
