transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x64a5267d590a51434414575c8baab145a9bd0ed5e975c085c3f1a7ff32871d42,5,0x52c9915216a01b375085e0c7477534a5f279adff,0x881d40237659c251811cec9c364ef91dc08d300c,2022-03-03 23:50:53.000000 UTC,256210,45141111176,10401990,184159,0,30,2.0,300,1731556,4071211,0.4253171844937538,508,48,51,0.9411764705882352,15,2,0x64a5267d590a51434414575c8baab145a9bd0ed5e975c085c3f1a7ff32871d42,9,7,19,1103418,507,3275330,8,25,161563,10,4.0,5.0,1,2
0xed78c333df62129bc06434666c54fec8088b378b5bafebc707fd8522b52fa4c6,3,0x018a50095636713cc12a33f2a768129bac607343,0xe592427a0aece92de3edee1f18e0157c05861564,2022-03-03 23:52:02.000000 UTC,258754,50600000000,1635987,211199,0,236,,254,1404940,5278772,0.2661490210223135,304,238,238,1.0,14,1,0xed78c333df62129bc06434666c54fec8088b378b5bafebc707fd8522b52fa4c6,96,14,12,1170134,303,1947208,17,13,87866,7,3.0,5.0,3,3
0x1418a12bf2be55776efa8c30cc524e26807d51f1b461c64f3248028808ddcb6b,1,0x2d15894fac906386ff7f4bd07fceac43fcf80c73,0x9008d19f58aabd9ed0d60971565aa8510560ab41,2022-03-03 23:53:34.000000 UTC,496784,52047971231,2408543,406204,0,4940,2.0,179,130760,136488,0.9580329406248168,210,4941,4941,1.0,74,1,0x1418a12bf2be55776efa8c30cc524e26807d51f1b461c64f3248028808ddcb6b,4914,74,30,36,211,1357739,3,76,492746,16,5.0,7.0,2,6
0x81b16881ce0df966bd41a3afc3695a81b7eecf101d57b2d89b29b00508aed33f,2,0x8df4da8138605320e8eab55fa994fb8ee4529049,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,2022-03-03 23:52:40.000000 UTC,297864,39972957234,17769277,249264,0,913,2.0,220,3748652,53299479,0.0703318694728704,637,986,999,0.986986986986987,234,1,0x81b16881ce0df966bd41a3afc3695a81b7eecf101d57b2d89b29b00508aed33f,362,142,12,3080621,636,4108629,221,433,2791398,7,4.0,2.0,1,3
0x82681bbfd8b4c1f57beef63b1f4716b53f6ae43be82e3a07f65491db60d3c79a,5,0x4f7aec5cb7a07bcf816ead6b85559c82e62a3f7c,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-03-03 23:53:13.000000 UTC,471291,43718340868,29029668,337436,0,805,2.0,194,436099,3000603,0.1453371205720983,79,860,889,0.967379077615298,168,3,0x82681bbfd8b4c1f57beef63b1f4716b53f6ae43be82e3a07f65491db60d3c79a,6,5,34,623493,78,504844,66,444,2865385,11,8.0,4.0,4,9
0x87389ec01a2026119c450e65cb1f3b80454a58dcaea764312781a2ef8b423d15,5,0xa2986437ab5facc05190d628f67886828b03a532,0x881d40237659c251811cec9c364ef91dc08d300c,2022-03-03 23:51:29.000000 UTC,256238,48503253349,9824185,184178,0,11,2.0,267,1731557,4071216,0.4253169077739918,508,15,16,0.9375,7,3,0x87389ec01a2026119c450e65cb1f3b80454a58dcaea764312781a2ef8b423d15,1,1,19,1103419,507,3275332,6,17,110753,10,4.0,5.0,1,2
0x6fef0b607fbeec751c9d8be8bfa2fad34d1c53324821a7207b8cb4276b7f3e3a,4,0xa1e21e077dc456dda6c1cca90704c020f605477c,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-03-03 23:58:38.000000 UTC,270274,59309539944,24847262,185779,107000000000000000,74,2.0,29,436113,3000799,0.1453322931659201,79,88,90,0.9777777777777776,31,10,0x6fef0b607fbeec751c9d8be8bfa2fad34d1c53324821a7207b8cb4276b7f3e3a,5,4,22,623504,78,504858,23,97,629173,9,9.0,5.0,2,6
0x13462faaf56a6f9e69fd8eda7564b410e5427e78f8b0129da3e73c1888d306d6,7,0xbae8616a1e2cdad0e0e05d8688f933a3b56d7e3d,0x881d40237659c251811cec9c364ef91dc08d300c,2022-03-03 23:50:06.000000 UTC,383510,40348123298,20990446,269174,0,24,2.0,318,1731555,4071208,0.4253172522750004,508,34,35,0.9714285714285714,15,1,0x13462faaf56a6f9e69fd8eda7564b410e5427e78f8b0129da3e73c1888d306d6,2,2,25,1103418,507,3275329,8,100,646025,11,5.0,8.0,1,2
0x58a254f3fca8074432c54acb04175b339d671c604f5cb778834b53d183c6b712,4,0xd6fda9ffcaf5a16de4d6c9ff0f90732a048f1e2f,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-03-03 23:53:13.000000 UTC,370934,44218340868,18715684,275611,60000000000000000,40,2.0,193,436099,3000603,0.1453371205720983,79,54,57,0.9473684210526316,29,4,0x58a254f3fca8074432c54acb04175b339d671c604f5cb778834b53d183c6b712,1,1,28,623493,78,504844,21,127,817710,10,12.0,4.0,2,8
0x1b0fe56c264243c7bf8e7293080f466f99f016123f781762b105a32848a82b4a,4,0x24afc19102b7bf3eabaf801271299192f94db86a,0x6571d6be3d8460cf5f7d6711cd9961860029d85f,2022-03-03 23:54:04.000000 UTC,289855,54897926085,6428804,236555,0,14,2.0,162,36602,38897,0.9409980204128852,98,17,18,0.9444444444444444,6,1,0x1b0fe56c264243c7bf8e7293080f466f99f016123f781762b105a32848a82b4a,1,1,18,19171,98,633640,8,144,924743,10,4.0,5.0,1,4
0x857feb033edc21b6c8e57708d9c651238e3e420d5da0792e3acb64d795a59a1b,3,0x5d55ee935d1aad8cace20528c63b26bc6417b6ce,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-03-03 23:57:04.000000 UTC,303656,80861533592,485223,247377,0,2599,,82,436108,3000742,0.1453333875421479,79,2521,2763,0.9124140427072022,375,8,0x857feb033edc21b6c8e57708d9c651238e3e420d5da0792e3acb64d795a59a1b,41,11,15,623500,78,504853,502,595,3849796,8,3.0,4.0,4,5
0xf7c68c37caf8df56318235ed6190efbf27d5cb074670158057151d58c4eb4687,2,0x62c4ee3905acb37106dfa2175226affa6ddf3032,0x1111111254fb6c44bac0bed2854e76f90643097d,2022-03-03 23:52:36.000000 UTC,198698,43397920012,2767040,149772,0,1299,2.0,226,328458,592766,0.5541107283481171,117,1380,1421,0.9711470795214636,293,2,0xf7c68c37caf8df56318235ed6190efbf27d5cb074670158057151d58c4eb4687,39,16,12,73267,116,747862,207,1111,7090797,7,4.0,2.0,1,3
0x2867c7ff70c94964bf13072830ad46a181b7a0cdd92bfbb46ed3590f783b80e3,4,0xaf459a854745da71a2718b4cc787498a9aa730af,0x881d40237659c251811cec9c364ef91dc08d300c,2022-03-03 23:53:34.000000 UTC,268404,50047969672,7898455,202335,420000000000000000,0,2.0,178,1731562,4071230,0.4253166733395067,508,2,2,1.0,1,5,0x2867c7ff70c94964bf13072830ad46a181b7a0cdd92bfbb46ed3590f783b80e3,1,1,16,1103422,507,3275342,1,0,0,11,3.0,6.0,1,1
0x1d1aa2be469bdeff335f19c8cccefd5eb1d3a56b99cf6b75e052d7c654265f30,1,0x46340b20830761efd32832a74d7169b29feb9758,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-03-03 23:59:27.000000 UTC,350000,70578258420,4203900,63209,0,5511358,,23,6098508,126506429,0.0482070994194295,1506,1236801,5513691,0.2243145290514103,1184,283,0x1d1aa2be469bdeff335f19c8cccefd5eb1d3a56b99cf6b75e052d7c654265f30,1097317,911,1,18210170,1556,9682267,1181304,1183,7480175,2,,,1,0
0xac0195d0e029b595bafd3710dec7f43ecdb3d3b9e291d58d5f44e3266626221c,1,0xe2fd85a4dddf7f4f8b9973a92328bf565520a0ce,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-03-03 23:52:02.000000 UTC,94813,43767494027,9957139,58409,0,1,2.0,260,6098490,126506218,0.0482070375386607,1506,4,4,1.0,3,85,0xac0195d0e029b595bafd3710dec7f43ecdb3d3b9e291d58d5f44e3266626221c,1,1,1,18210139,1556,9682246,2,93,600021,2,,,1,0
