transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x9ca46d50964a42c337d4e7aa25c532d78df018c05d538abdf7d5c8dd355b2e8c,1,0x8984d8d48a771fb217bd40963990ed746c681a21,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,2022-10-03 23:35:47.000000 UTC,541043,12901722504,9093984,445174,185000000000000000,117,2,343552,538490,0.63799142045349033,228,133,133,1.0,27,4,0x9ca46d50964a42c337d4e7aa25c532d78df018c05d538abdf7d5c8dd355b2e8c,5,3,24,97682,227,1438123,34,93,607781,18,4,6,2,6
0xff4fd417c1eddd789ee61aae46371609260d084511bffbb8d0f8e473eb562b07,1,0x0f4bc970e348a061b69d05b7e2e5c13eb687e5e3,0x39da41747a83aee658334415666f3ef92dd0d541,2022-10-03 23:41:23.000000 UTC,5133800,18909578571,9772368,2991273,8705900000000000000,3414,2,8966,9776,0.91714402618657942,65,3299,3561,0.92642516147149678,378,1,0xff4fd417c1eddd789ee61aae46371609260d084511bffbb8d0f8e473eb562b07,108,25,138,1506,69,449849,399,669,4288692,40,39,6,2,6
0x297a7fae04b123d68c5056c2b8bd9585036a01c38a155f570f7da1cb07e5f182,1,0x2bf8f06adc558fb713fa2ccc221c9bcc72dbf75d,0x39da41747a83aee658334415666f3ef92dd0d541,2022-10-03 23:49:35.000000 UTC,836500,15924355288,18081310,534115,1080000000000000000,2161,2,8968,9778,0.917160973614236,65,2250,2332,0.96483704974271012,296,2,0x297a7fae04b123d68c5056c2b8bd9585036a01c38a155f570f7da1cb07e5f182,100,29,33,1506,69,449890,454,426,2716904,23,10,5,2,6
0xd8c6be8f88903341f70af3e57c2eae9d0339ddc9421c2d3095150ab86871edab,3,0xfcb95624971d38bca2926d05cd433cdf4948a893,0xb4e7b8946fa2b35912cc0581772cccd69a33000c,2022-10-03 23:59:47.000000 UTC,404964,11677904290,11964753,383584,47600000000000000,740,2,10304,11525,0.894056399132321,20,787,800,0.98375,158,4,0xd8c6be8f88903341f70af3e57c2eae9d0339ddc9421c2d3095150ab86871edab,1,1,25,4030,40,268711,223,513,3278330,11,4,4,1,1
0x7ef69187c5cbf368834f9eda5af993f8b05e9a62679d0c93276d579ec6c687b6,1,0x9836ecfaf7f4c350a7fd29c5d1847bc87ffa90d6,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:49:11.000000 UTC,393340,15018186644,9477074,348396,19100000000000000,220,2,647436,6888895,0.093982561789662925,115,267,271,0.985239852398524,87,764,0x7ef69187c5cbf368834f9eda5af993f8b05e9a62679d0c93276d579ec6c687b6,50,25,12,629750,114,724444,70,226,1432292,10,6,3,1,6
0xcff6ec06bd97cbeb8f3797c92f3abb69e319c3ac83ebaf28130f8e2af172621b,1,0x51420a2e3a4f8a5fde548f7e50b9af955b197967,0xb4e7b8946fa2b35912cc0581772cccd69a33000c,2022-10-03 23:48:23.000000 UTC,184829,14893075891,1648667,177890,188000000000000000,1,2,10301,11522,0.89402881444193716,20,5,5,1.0,3,2,0xcff6ec06bd97cbeb8f3797c92f3abb69e319c3ac83ebaf28130f8e2af172621b,1,1,9,4028,40,268654,2,9,70288,10,4,3,1,1
0xefd9f802f1b5c412de8661834824d78b6bae53fd911331bf9439d0a99f4a7573,1,0x31aca600fbeb0cbb919222fe13cef07fb5d00dd2,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:32:23.000000 UTC,239607,13405750163,1297253,239607,24000000000000000,587,2,647357,6888277,0.093979524923286331,115,683,703,0.97155049786628733,172,149,0xefd9f802f1b5c412de8661834824d78b6bae53fd911331bf9439d0a99f4a7573,143,19,8,629711,114,724360,182,420,2676979,8,3,3,1,4
0xdeb63c7014aa46d439999c8972da3bbe6dbeb1df29b5b742169531fd42f3e1a9,1,0x114e6de851c6204d6d0de861d402ef262fb216c4,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:31:11.000000 UTC,204650,14798615810,1185986,199730,0,423,2,647351,6888218,0.09397945883826557,115,383,427,0.89695550351288056,9,90,0xdeb63c7014aa46d439999c8972da3bbe6dbeb1df29b5b742169531fd42f3e1a9,235,9,7,629707,114,724354,143,13,93279,6,3,2,1,2
0x8bb84bac43bfd6f320468faef3426085e359e23b68046ab1b837af094b658970,1,0x013d3ad09367d89ca9d363ff93e5abe8153ec889,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:57:23.000000 UTC,164150,14869935313,1051539,154379,53600000000000000,189,2,647475,6889352,0.093981988436648317,115,204,213,0.95774647887323938,36,1221,0x8bb84bac43bfd6f320468faef3426085e359e23b68046ab1b837af094b658970,91,18,7,629765,114,724485,31,255,1622405,8,4,2,1,5
0x14d25c310a86e0595280d27f25ce98395c62c771aee9a4cc575848f723653e23,1,0x2fa1ddc720cac9c5c2e03e0a03c6e2330c94ec05,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:44:59.000000 UTC,244969,12972454057,6075819,206322,21000000000000000,613,2,647416,6888718,0.0939820732972376,115,706,707,0.99858557284299854,169,586,0x14d25c310a86e0595280d27f25ce98395c62c771aee9a4cc575848f723653e23,286,66,9,629738,114,724423,173,358,2283264,9,4,3,1,5
