transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x64a5267d590a51434414575c8baab145a9bd0ed5e975c085c3f1a7ff32871d42,5,0x52c9915216a01b375085e0c7477534a5f279adff,0x881d40237659c251811cec9c364ef91dc08d300c,2022-03-03 23:50:53.000000 UTC,256210,45141111176,10401990,184159,0.0,30,2.0,300,1731556,4071211,0.42531718449375383,508,48,51,0.9411764705882353,15,2,0x64a5267d590a51434414575c8baab145a9bd0ed5e975c085c3f1a7ff32871d42,9,7,19,1103418,507,3275330,8,25,161563,10,5.0,5.0,1,2,4.382921258992613,-1.7640217129110962,-2.293677679755309,-1.8688477052442067,-0.6171317910820131,-0.5512024514980431,-0.6414479404009406,-1.3066235230276388,-0.5967946884843902,-0.6692806146502969,2.6764122983358756,-2.1854306032982724,-1.9241680721301329,-1.9013966246449905,-0.4531289410288011,-0.751068342945546,-0.7639236141024299,3.0505751814058186,2.08722962402318,2.82304228595606,-0.18989012482992856,1.2279373603286332,0.41723823344930916,-0.4747982873314011,0.40236249086002557,1.8718538565650837,-0.0,-0.5493691882163195,0.2631578947368421,1.0,3.6896362031433236,0.5286659577306844,0.5769230769230769,6.375,0.00029709588769775443,0.17647058823529413,2.2106444495261975e-06,1.2857142857142858,0.013779527559055118,0
0xed78c333df62129bc06434666c54fec8088b378b5bafebc707fd8522b52fa4c6,3,0x018a50095636713cc12a33f2a768129bac607343,0xe592427a0aece92de3edee1f18e0157c05861564,2022-03-03 23:52:02.000000 UTC,258754,50600000000,1635987,211199,0.0,236,,254,1404940,5278772,0.2661490210223135,304,238,238,1.0,14,1,0xed78c333df62129bc06434666c54fec8088b378b5bafebc707fd8522b52fa4c6,96,14,12,1170134,303,1947208,17,13,87866,7,4.0,5.0,3,3,2.0468464762808143,-1.9281662411646312,-2.2667434807724534,-2.336664058145667,-0.6167925279443923,-0.5511237962456796,-0.6437798968911698,-1.3171836004541817,-0.5966007584496906,-0.6477678666666541,1.5061784855596303,-2.1751898101136464,-2.3802122883260184,-2.3826064040921,-0.45311934772543466,-0.7778220672260292,-0.7902732407788775,1.7684788743440003,1.5956210315547326,2.82304228595606,4.673149657399955,2.0282689732057686,0.43344350496352657,-0.16716838303828568,-0.8554720870064868,2.323942473039942,-0.0,-0.5492764634459902,0.25,1.0,4.511254266605363,0.7215147423825589,1.0,14.0,0.0027086391933262774,0.40336134453781514,1.818604781566622e-05,6.857142857142857,0.046052631578947366,0
0x1418a12bf2be55776efa8c30cc524e26807d51f1b461c64f3248028808ddcb6b,1,0x2d15894fac906386ff7f4bd07fceac43fcf80c73,0x9008d19f58aabd9ed0d60971565aa8510560ab41,2022-03-03 23:53:34.000000 UTC,496784,52047971231,2408543,406204,0.0,4940,2.0,179,130760,136488,0.9580329406248168,210,4941,4941,1.0,74,1,0x1418a12bf2be55776efa8c30cc524e26807d51f1b461c64f3248028808ddcb6b,4914,74,30,36,211,1357739,3,76,492746,16,6.0,7.0,2,6,-0.2892283064309846,-2.568519668461791,-2.3814402128483954,-2.5522264952669276,-0.6083948724905459,-0.5491456376795553,-0.5038625074774158,-1.3171836004541817,-0.5858610468728759,-0.46337288394971576,4.515351146984262,-2.3547978745021636,-2.585879287786908,-2.5961848611020044,-0.4531342706417824,-0.6373650147534929,-0.6455124384563937,5.614767795529456,2.578838216491628,4.107077113876295,2.2416297662850133,4.429263811837175,1.9496938109891453,-0.08556949623675543,-0.7446179554098811,5.584280515039933,-0.0,-0.5471590978167243,0.03333333333333333,0.9905660377358491,3791.3333333333335,0.09630709856084375,0.961038961038961,1647.0,0.010027458310248464,0.994535519125683,0.036003165113416565,66.4054054054054,0.3523809523809524,0
0x81b16881ce0df966bd41a3afc3695a81b7eecf101d57b2d89b29b00508aed33f,2,0x8df4da8138605320e8eab55fa994fb8ee4529049,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,2022-03-03 23:52:40.000000 UTC,297864,39972957234,17769277,249264,0.0,913,2.0,220,3748652,53299479,0.07033186947287046,637,986,999,0.986986986986987,234,1,0x81b16881ce0df966bd41a3afc3695a81b7eecf101d57b2d89b29b00508aed33f,362,142,12,3080621,636,4108629,221,433,2791398,7,5.0,2.0,1,3,0.8788090849249148,-0.7503075306233564,-1.1956594712396635,-1.5730226585565188,-0.6154569025394429,-0.5508037072240295,-0.1307494690407385,-1.3171836004541817,-0.5960078229412986,-0.2543919035371856,1.5061784855596303,-1.881933286207593,-1.6357871707121463,-1.59947283450862,-0.4529018995157955,0.15855828259087887,0.17634763806055387,1.7684788743440003,2.08722962402318,0.8969900440757074,-0.18989012482992856,2.0282689732057686,0.6825740745079619,-0.766044134940469,1.4594951810571934,2.9603608601004257,-0.0,-0.5489717320405878,0.16666666666666666,1.0,17.301537254988524,0.9123849068911049,0.5391705069124424,4.520361990950226,0.0003532278975524459,0.36236236236236236,6.791811229524401e-06,2.5492957746478875,0.22291993720565148,0
0x82681bbfd8b4c1f57beef63b1f4716b53f6ae43be82e3a07f65491db60d3c79a,5,0x4f7aec5cb7a07bcf816ead6b85559c82e62a3f7c,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-03-03 23:53:13.000000 UTC,471291,43718340868,29029668,337436,0.0,805,2.0,194,436099,3000603,0.14533712057209835,79,860,889,0.9673790776152981,168,3,0x82681bbfd8b4c1f57beef63b1f4716b53f6ae43be82e3a07f65491db60d3c79a,6,5,34,623493,78,504844,66,444,2865385,11,9.0,4.0,4,9,4.382921258992613,-2.415068134818595,-2.317557193009412,-2.852637976786983,-0.6156818875675493,-0.5508499750195375,-0.2846585973958679,-1.296063445601096,-0.5968013757269661,-0.6754271140741949,5.184056182856402,-2.2590982792550376,-2.8832022326597153,-2.905208742071932,-0.4530671175182174,0.18308252984798837,0.20280095134210296,3.4779406170930915,4.05366399389697,2.181024871995943,7.104669548514898,6.83025865046858,1.787303486023758,-0.5549770027792844,3.0752497227903954,4.43453088568553,-0.0,-0.549020345026974,0.14705882352941177,1.0,4.812568866049819,0.8638275114143945,0.3775280898876405,13.469696969696969,0.00030013408315668463,0.006749156355455568,1.999598080785762e-06,1.2,0.06329113924050633,0
0x87389ec01a2026119c450e65cb1f3b80454a58dcaea764312781a2ef8b423d15,5,0xa2986437ab5facc05190d628f67886828b03a532,0x881d40237659c251811cec9c364ef91dc08d300c,2022-03-03 23:51:29.000000 UTC,256238,48503253349,9824185,184178,0.0,11,2.0,267,1731557,4071216,0.42531690777399184,508,15,16,0.9375,7,3,0x87389ec01a2026119c450e65cb1f3b80454a58dcaea764312781a2ef8b423d15,1,1,19,1103419,507,3275332,6,17,110753,10,5.0,5.0,1,2,4.382921258992613,-1.764021210349898,-2.293677568232169,-1.8688477052442067,-0.6171907157322315,-0.5512171730693411,-0.6601035923227745,-1.296063445601096,-0.5968125211312592,-0.6877201129219908,2.6764122983358756,-2.1854304497999633,-1.9241680721301329,-1.9013958999980387,-0.4531310728739936,-0.7689041591325348,-0.7820902223962587,3.0505751814058186,2.08722962402318,2.82304228595606,-0.18989012482992856,1.2279373603286332,0.4174165933559122,-0.2853283222438987,0.3194531981910452,1.872171522382873,-0.0,-0.5493777405009616,0.2631578947368421,1.0,3.6896373906920217,0.5286659402265358,0.3888888888888889,2.6666666666666665,0.00013543528901890676,0.0625,2.4562685939532563e-07,1.0,0.001968503937007874,0
0x6fef0b607fbeec751c9d8be8bfa2fad34d1c53324821a7207b8cb4276b7f3e3a,4,0xa1e21e077dc456dda6c1cca90704c020f605477c,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-03-03 23:58:38.000000 UTC,270274,59309539944,24847262,185779,1.07e+17,74,2.0,29,436113,3000799,0.14533229316592014,79,88,90,0.9777777777777777,31,10,0x6fef0b607fbeec751c9d8be8bfa2fad34d1c53324821a7207b8cb4276b7f3e3a,5,4,22,623504,78,504858,23,97,629173,9,10.0,5.0,2,6,3.2148838676367135,-2.415061098961823,-2.3175528213023093,-2.852637976786983,-0.6170603672635666,-0.5511860474614539,-0.6041366365572728,-1.222142903615296,-0.5968036048078247,-0.6785003637861439,3.177941075239981,-2.2590965907736384,-2.8832022326597153,-2.9052036695432695,-0.45311295218985703,-0.5905459972626476,-0.5967343264764257,2.623209745718546,4.545272586365418,2.82304228595606,2.2416297662850133,4.429263811837175,0.5068258665373413,0.3236485260055806,2.475115900628075,1.8989390473450123,-0.0,-0.5493493829255696,0.18181818181818182,1.0,4.812798314044497,0.8638312875476123,0.3163265306122449,3.9130434782608696,0.00013986591944358795,0.05555555555555555,1.666222895968707e-06,1.25,0.05063291139240506,0
0x13462faaf56a6f9e69fd8eda7564b410e5427e78f8b0129da3e73c1888d306d6,7,0xbae8616a1e2cdad0e0e05d8688f933a3b56d7e3d,0x881d40237659c251811cec9c364ef91dc08d300c,2022-03-03 23:50:06.000000 UTC,383510,40348123298,20990446,269174,0.0,24,2.0,318,1731555,4071208,0.42531725227500045,508,34,35,0.9714285714285714,15,1,0x13462faaf56a6f9e69fd8eda7564b410e5427e78f8b0129da3e73c1888d306d6,2,2,25,1103418,507,3275329,8,100,646025,11,6.0,8.0,1,2,6.718996041704412,-1.7640222154722942,-2.2936777466691933,-1.8688477052442067,-0.6171567894184694,-0.5512091813592079,-0.6414479404009406,-1.3171836004541817,-0.5968102920504006,-0.6846468632100418,3.679469852144086,-2.1854306032982724,-1.9241680721301329,-1.9013969869684664,-0.4531289410288011,-0.5838575661925268,-0.5907090620999722,3.4779406170930915,2.578838216491628,4.749094527836413,-0.18989012482992856,1.2279373603286332,1.2281388088266196,-0.7449020483211308,1.9217010175543627,3.2932411986364625,-0.0,-0.5493718889377854,0.28,1.0,3.689633484318726,0.5286658138263931,0.1485148514851485,4.375,5.2629460733778515e-05,0.05714285714285714,4.912546841134131e-07,1.0,0.003937007874015748,0
0x58a254f3fca8074432c54acb04175b339d671c604f5cb778834b53d183c6b712,4,0xd6fda9ffcaf5a16de4d6c9ff0f90732a048f1e2f,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2022-03-03 23:53:13.000000 UTC,370934,44218340868,18715684,275611,6e+16,40,2.0,193,436099,3000603,0.14533712057209835,79,54,57,0.9473684210526315,29,4,0x58a254f3fca8074432c54acb04175b339d671c604f5cb778834b53d183c6b712,1,1,28,623493,78,504844,21,127,817710,10,13.0,4.0,2,8,3.2148838676367135,-2.415068134818595,-2.317557193009412,-2.852637976786983,-0.6171210775092462,-0.5511999278001063,-0.6088005495377313,-1.2855033681745531,-0.5968125211312592,-0.6877201129219908,4.180998629048191,-2.2590982792550376,-2.8832022326597153,-2.905208742071932,-0.4531150840350496,-0.5236616865614399,-0.5293248041797597,3.0505751814058186,6.020098363770761,2.181024871995943,2.2416297662850133,6.029927037591445,1.1480297307752052,-0.5268000317682042,1.5952952086564212,3.400863033852759,-0.0,-0.5493646870138763,0.14285714285714285,1.0,4.812568866049819,0.8638275114143945,0.2265625,2.7142857142857144,6.603800120091328e-05,0.017543859649122806,3.33266346797627e-07,1.0,0.012658227848101266,0
0x1b0fe56c264243c7bf8e7293080f466f99f016123f781762b105a32848a82b4a,4,0x24afc19102b7bf3eabaf801271299192f94db86a,0x6571d6be3d8460cf5f7d6711cd9961860029d85f,2022-03-03 23:54:04.000000 UTC,289855,54897926085,6428804,236555,0.0,14,2.0,162,36602,38897,0.9409980204128853,98,17,18,0.9444444444444444,6,1,0x1b0fe56c264243c7bf8e7293080f466f99f016123f781762b105a32848a82b4a,1,1,18,19171,98,633640,8,144,924743,10,5.0,5.0,1,4,3.2148838676367135,-2.6158398257452564,-2.383616943806861,-2.809066845879494,-0.6171871445413092,-0.5512163318366955,-0.6624355488130037,-1.3171836004541817,-0.5968125211312592,-0.6877201129219908,2.5092360393678406,-2.3518606843590524,-2.838492015385609,-2.858542927671094,-0.4531289410288011,-0.4857605771640888,-0.4910562234768789,3.0505751814058186,2.08722962402318,2.82304228595606,-0.18989012482992856,2.8286005860829038,0.6315567712228333,0.07503669437133523,-0.16775033423199606,2.747875866506529,-0.0,-0.5493763901402285,0.2222222222222222,0.98989898989899,2.0289499765270462,0.057764570158812326,0.041379310344827586,2.25,1.838346612684159e-05,0.05555555555555555,2.5708923567370234e-05,1.0,0.01020408163265306,0
