transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x92372f28fc9cef67c66997687c801ab2ddada34833467050c4e9646f8fbe3c8c,1,0x4a92825835f2e64baa0c82c8b36f5603d098a86e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:59:59.000000 UTC,123170,37000000000,1369495,33513,0.0,8,,2925806,10655232,0.27458867155590794,992,9,9,1.0,8,313,0x92372f28fc9cef67c66997687c801ab2ddada34833467050c4e9646f8fbe3c8c,9,8,2,3745299,1035,6482133,1,48,316460,3,1,1,1,1,-0.343565757086026,0.7634505580515112,0.14816714430031153,0.7588746440403197,-0.38758191100408507,-0.3512782675026805,-0.5352798019746514,2.1359606110977363,-0.5295782879637616,-0.42323028428360765,-0.33834668577911475,0.7989096468537493,0.7619076780768214,0.7585452185366849,-0.24908307886840558,-0.6295557554994535,-0.6368506975784982,-0.4574022920817905,-0.528808393046913,-0.6722627274746085,-0.2808844443138408,-0.5791995455763139,-0.46001528559897115,0.10197650958726356,-1.281596887341312,-0.44466528631784846,-0.0,-0.35354503500077344,0.5,0.9575289575289575,2.844961643916814,0.45136462775993214,0.16326530612244897,9.0,2.8439523353588595e-05,1.0,8.446554706645524e-07,1.125,0.008064516129032258,0
0x6b7fba570f368099452fa180120cd37bb361cc74693164bcdd05e1bade59be08,3,0xf42ed7184f3bdd07b0456952f67695683afd9044,0xd54f502e184b6b739d7d27a6410a67dc462d69c8,2021-06-03 23:59:59.000000 UTC,142531,28123456789,4190172,78079,0.0,4872,,27197,36208,0.751132346442775,105,4583,4877,0.9397170391634201,84,1,0x6b7fba570f368099452fa180120cd37bb361cc74693164bcdd05e1bade59be08,297,80,9,19033,112,730311,3,90,584176,6,3,4,1,3,0.3220136616230651,-1.5176691967242841,-0.9563032682980025,-1.5516725416557813,-0.36131951145549246,-0.34164112551501785,-0.24170769851506196,-0.9476842690169227,-0.5252716343326838,-0.08151456678952712,-0.1051463725311315,-1.4137356158769259,-1.537252329047781,-1.5443701349522359,-0.24906401446754453,-0.5184630155848999,-0.5228476387711897,-0.005168387481150237,-0.008912501006408636,0.7245892458400465,-0.2808844443138408,0.4990974807625684,-0.4035677941744617,-0.6300170221588677,-0.6034281275906149,-0.25215092113233506,-0.0,-0.3431921435796105,0.3333333333333333,0.9292035398230089,1.902380076708874,0.037240248003592984,0.9230769230769231,1625.6666666666667,0.007845224991740517,0.06089809309001435,0.008202607158638974,3.7125,0.7619047619047619,0
0xae308997e98aea76e1395e3fb17358e51a32573835f477d90f4f04f39047d96b,1,0xbe86f784eb2a34a8e49f4c0bddb919e6ef099988,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:59:59.000000 UTC,73206,50000000000,726581,48537,0.0,724,,2925806,10655232,0.27458867155590794,992,726,750,0.968,93,312,0xae308997e98aea76e1395e3fb17358e51a32573835f477d90f4f04f39047d96b,29,21,2,3745299,1035,6482133,96,267,1739062,3,1,1,1,1,-0.343565757086026,0.7634505580515112,0.14816714430031153,0.7588746440403197,-0.38346513346225275,-0.3498113155279767,-0.2069425810001106,2.1260771339178817,-0.5292792147949368,-0.3615316130693987,-0.33834668577911475,0.7989096468537493,0.7619076780768214,0.7585452185366849,-0.248177519827505,-0.05028646880213867,-0.031055827397430562,-0.4574022920817905,-0.528808393046913,-0.6722627274746085,-0.2808844443138408,-0.5791995455763139,-0.6056866074074618,1.1740059794497413,-1.4361711934410035,-0.3797652319592084,-0.0,-0.3520210485169016,0.5,0.9575289575289575,2.844961643916814,0.45136462775993214,0.34701492537313433,7.8125,0.0004174661872514107,0.03866666666666667,2.721667627696891e-06,1.380952380952381,0.021169354838709676,0
0x8e60c2fca059dbcff6221be3680693056276ea7c2a1f205af4fa84e6a6072f0d,1,0x8a64ab9031237087d03259b69b2789b05937507a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:59:56.000000 UTC,60424,20000000000,10341863,59975,0.0,15,,2925805,10655230,0.2745886292459196,992,16,19,0.8421052631578947,7,309,0x8e60c2fca059dbcff6221be3680693056276ea7c2a1f205af4fa84e6a6072f0d,3,2,2,3745299,1035,6482132,9,14,90340,3,1,1,1,1,-0.343565757086026,0.7634497710810177,0.14816693628299984,0.7588746440403197,-0.38754171931260273,-0.3512584705799449,-0.539142592809646,2.0964267023783174,-0.529668009914409,-0.45170659407478103,-0.33834668577911475,0.7989096468537493,0.7619076780768214,0.7585448181565352,-0.24900682126496132,-0.7194879735255206,-0.7331406901732949,-0.4574022920817905,-0.528808393046913,-0.6722627274746085,-0.2808844443138408,-0.5791995455763139,-0.6429528558134366,-1.2999081817713611,0.8756085206465016,-0.3303558322151905,-0.0,-0.35353013569157354,0.5,0.9575289575289575,2.844961109914055,0.45136454312183966,0.4666666666666667,2.111111111111111,0.00017710674001837482,0.15789473684210525,2.815518764024803e-07,1.5,0.0020161290322580645,0
0xf754caced690c55420fc274815801bb6b3bd017a163a842772c74a93362c733a,1,0x9a2458258873089d047a614eb7fc2dd56af5e6af,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:59:56.000000 UTC,99244,20000000000,13938116,50625,0.0,59,,2925805,10655230,0.2745886292459196,992,67,68,0.9852941176470589,26,310,0xf754caced690c55420fc274815801bb6b3bd017a163a842772c74a93362c733a,7,5,2,3745299,1035,6482132,20,136,886276,3,1,1,1,1,-0.343565757086026,0.7634497710810177,0.14816693628299984,0.7588746440403197,-0.38724889413180297,-0.3511614656585408,-0.46574956694474867,2.106310179558172,-0.5296081952806441,-0.4374684391791943,-0.33834668577911475,0.7989096468537493,0.7619076780768214,0.7585448181565352,-0.24890196706022547,-0.39679001472610326,-0.39420264158877283,-0.4574022920817905,-0.528808393046913,-0.6722627274746085,-0.2808844443138408,-0.5791995455763139,-0.5297721514541859,-1.2999081817713611,1.7402472002116287,-0.3707455758422728,-0.0,-0.3534364828908887,0.5,0.9575289575289575,2.844961109914055,0.45136454312183966,0.1897810218978102,3.4,7.559713272487044e-05,0.10294117647058823,6.56954378272454e-07,1.4,0.005040322580645161,0
0xe4b1dab4be0547da0c981bb6d046bdbc802cbc6bad41de90f5f9832de43c339f,1,0xdb7d1c96fcffd3381e6a8b9f36acb7ac76ba1c42,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:59:56.000000 UTC,99226,23000000000,982194,65613,0.0,89,,2925805,10655230,0.2745886292459196,992,106,107,0.9906542056074766,59,311,0xe4b1dab4be0547da0c981bb6d046bdbc802cbc6bad41de90f5f9832de43c339f,26,20,2,3745299,1035,6482132,17,163,1060410,3,1,1,1,1,-0.343565757086026,0.7634497710810177,0.14816693628299984,0.7588746440403197,-0.38702496899354427,-0.35108425765987217,-0.3382774693899269,2.116193656738027,-0.5293240757702604,-0.3662776647012609,-0.33834668577911475,0.7989096468537493,0.7619076780768214,0.7585448181565352,-0.24893056366151706,-0.3253732533524617,-0.3200501492373562,-0.4574022920817905,-0.528808393046913,-0.6722627274746085,-0.2808844443138408,-0.5791995455763139,-0.5298246309152489,-1.052516765649251,-1.374714758980002,-0.30600103279599367,-0.0,-0.3533726287086036,0.5,0.9575289575289575,2.844961109914055,0.45136454312183966,0.3597560975609756,6.294117647058823,9.996124144317628e-05,0.24299065420560748,2.4401162621548292e-06,1.3,0.020161290322580645,0
0x3867a2c24ace2829cbf378df6fe7a13863370915def681e8e927d9472acb323f,3,0xe5896982dad7207cb5294ebf99bf5dfbff4de241,0xc36442b4a4522e871399cd717abdd847ab11fe88,2021-06-03 23:59:54.000000 UTC,316232,25000000000,3037104,183227,0.0,66,,54628,71734,0.7615356734602838,31,75,80,0.9375,17,4,0x3867a2c24ace2829cbf378df6fe7a13863370915def681e8e927d9472acb323f,6,4,15,14534,30,194865,28,110,714704,6,4,4,2,4,0.3220136616230651,-1.4960818091210388,-0.952608256790545,-1.7444352155470004,-0.38720296077010885,-0.3511377093512581,-0.5005146844597,-0.9180338374773587,-0.5296231489390854,-0.44221449081105657,0.09473961025285416,-1.4164071082065195,-1.7415113979364238,-1.758752084596058,-0.2488257094567812,-0.465561710863684,-0.4672641426036077,-0.005168387481150237,0.2510354450138435,0.7245892458400465,0.8447974890049871,1.0382459939320097,0.10286192060931533,-0.8875891549011774,-0.8806575641649611,0.20206306420461156,-0.0,-0.35342158358168885,0.2,1.0,4.935599284436494,0.28033623105108124,0.15315315315315314,2.857142857142857,0.00010493840115851995,0.075,8.36423453313631e-05,1.5,0.12903225806451613,0
0x71f362b85562ea97e48d9ce04dd356256494d8d9c3175c173f8df8f34acc10d3,4,0xfd21a5bacf0b024d96ac044efc522f9ac99b5bc8,0xe592427a0aece92de3edee1f18e0157c05861564,2021-06-03 23:59:54.000000 UTC,269286,26400000000,1546646,168444,0.0,1313,,168171,731428,0.2299214686886474,31,1177,1403,0.8389166072701354,187,31,0x71f362b85562ea97e48d9ce04dd356256494d8d9c3175c173f8df8f34acc10d3,1,1,19,322539,30,194725,175,653,4179165,6,4,5,4,5,0.6548033709776107,-1.406726818393932,-0.8839943705832408,-1.7444352155470004,-0.3808756401967488,-0.3485185764733457,0.15615975748938166,-0.6511799536212824,-0.5296979172312916,-0.45645264570664323,0.2279969321088446,-1.2335146887852109,-1.7415113979364238,-1.758808137817018,-0.2474244759934929,0.9707087123173295,1.0080274018637636,-0.005168387481150237,0.2510354450138435,1.1902065702782647,3.0961613556426424,1.5773945071014508,-0.03401034489427531,-0.772139827377526,-1.2390048876339383,0.13820407168705456,-0.0,-0.35076737807137015,0.21052631578947367,1.0,2.267719562595531,0.8636288939330136,0.28593272171253825,8.017142857142858,0.00028163513964269424,0.0007127583749109052,1.3671885681160688e-06,1.0,0.03225806451612903,0
0xc22a1a9a9d232c1f5209b20ec5aeb42b2c03e36fb6d03f1f912be2bb2200e508,1,0x1403f78f4e82f738081c2894ff21b3308e9cc585,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2021-06-03 23:59:54.000000 UTC,200000,22000000000,5883479,50625,0.0,0,,2925804,10655227,0.2745886127062333,992,2,2,1.0,1,308,0xc22a1a9a9d232c1f5209b20ec5aeb42b2c03e36fb6d03f1f912be2bb2200e508,1,1,2,3745299,1035,6482131,1,0,0,3,1,1,1,1,-0.343565757086026,0.7634489841105244,0.1481666242570323,0.7588746440403197,-0.3876221026955674,-0.35129212534859533,-0.5623193378196136,2.086543225198463,-0.5296979172312916,-0.45645264570664323,-0.33834668577911475,0.7989096468537493,0.7619076780768214,0.7585444177763855,-0.24908307886840558,-0.7565188868303718,-0.7716106969440978,-0.4574022920817905,-0.528808393046913,-0.6722627274746085,-0.2808844443138408,-0.5791995455763139,-0.2360154526283055,-1.1349805710232876,-0.1963102945075737,-0.3707455758422728,-0.0,-0.3535620627827161,0.5,0.9575289575289575,2.8449603089099162,0.4513644584837211,1.0,2.0,2.0,0.5,9.385065189132057e-08,1.0,0.0010080645161290322,0
0x7d2755c60cf829889f00a66f1e148d1d88e40396b8be9b6781c72dbed5b2a9b8,1,0x6102dca4db26e0cb2712202caec2d75feef2ccd9,0xbd6a40bb904aea5a49c59050b5395f7484a4203d,2021-06-03 23:59:54.000000 UTC,225000,20001000000,13853372,125011,0.0,19,,12860,13577,0.9471901009059439,502,22,23,0.9565217391304348,7,1,0x7d2755c60cf829889f00a66f1e148d1d88e40396b8be9b6781c72dbed5b2a9b8,10,4,5,1972,569,3642480,6,73,476298,5,2,3,1,1,-0.343565757086026,-1.5289519926875272,-0.9586570881883721,-0.5175268452393753,-0.38750726929133217,-0.3512505518108507,-0.539142592809646,-0.9476842690169227,-0.5295633343053203,-0.44221449081105657,-0.23840369438712194,-1.423866385077903,-0.3988816646318078,-0.3783954747394412,-0.2490354178662529,-0.5634291245979335,-0.5687859539186401,-0.15591302234803034,-0.2688604470266608,0.2589719214018282,-0.2808844443138408,-0.5791995455763139,-0.16312731226299715,-1.2998257179659871,1.7198723989223235,-0.04941600691776533,-0.0,-0.3535216218006022,0.2,0.8807017543859649,6.884888438133874,0.0035305606261226896,0.0945945945945946,3.8333333333333335,4.618947341900781e-05,0.43478260869565216,0.0007365397363187744,2.5,0.00796812749003984,0
