transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x107892f873479f0cda0f448532bdeb09f206db5af47d1247a81e843c41fcd658,1,0x0d40a230c889db840308ee006853c1da89df5d6a,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 17:46:42.000000 UTC,100000,21000000000,331000,100000,0.0,4,,585,62872,109521,0.5740634216269026,48,5,7,0.7142857142857143,3,44,265896,336,0x107892f873479f0cda0f448532bdeb09f206db5af47d1247a81e843c41fcd658,6,2,1,32096,47,286985,1,2,0.0,0.0,1,0,-0.0725264215544584,0.5111709212740901,0.5118461883274374,0.4822999790577392,-0.3528190065914407,-0.3959396047847919,-0.4661682260020116,0.0525011550514451,-0.8831713907799401,-0.9190297964744798,-0.1484366310849028,0.513241279165178,0.4489335206571906,0.462596268905429,-0.6878437438439015,-0.1155897826500495,-0.0844790709662276,-0.4219650780517908,-0.4437581508882774,-0.2769934395714601,-0.0548545994538608,-0.4890695592815074,-0.2406928791218644,0.0062709753523664,0.0039952587983495,0.0498655764754592,-0.0,-0.906302748474038,1.0,1.0,3.412294366899302,0.2190768887680932,0.0666666666666666,7.0,1.88042738353573e-05,0.8571428571428571,5.478401402470759e-05,3.0,0.0416666666666666,0
0xf2af72848a7b39605dea3a93b00ad3281fdd49f74092f602778461a5fe7899b0,1,0x9a9d6a470fc8034085ee8e509623e2f742da6625,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 16:26:24.000000 UTC,3178507,20000000000,3153285,3048507,0.0,2,,684,62809,109442,0.5739021582207927,48,5,5,1.0,3,8,47816,256,0xf2af72848a7b39605dea3a93b00ad3281fdd49f74092f602778461a5fe7899b0,3,2,12,32088,47,286637,1,8,5.0,3.0,1,3,-0.0725264215544584,0.5085247757729793,0.5099582673235716,0.4822999790577392,-0.3528190065914407,-0.3959758620125421,-0.4661682260020116,-0.2690985696128437,-0.8838031670291764,-0.9190297964744798,3.974803121273511,0.5126284318044783,0.4489335206571906,0.4586092993210486,-0.6878437438439015,-0.5577096482898479,-0.586609478822037,8.75118879263932,7.683680510069186,2.6697452792738603,-0.0548545994538608,5.701684355674283,7.342373500801781,-0.1124976483161674,5.181349121556009,9.060523836217486,-0.0,-0.9065109976600978,0.0833333333333333,1.0,3.4106831214161057,0.2191230750982075,0.3333333333333333,5.0,0.0001045653219566,0.6,2.7411779755486924e-05,1.5,0.0416666666666666,0
0x46d429b37b3bcc33adb590b6c7db86864b42076d7be2042cce68d72fcf13514e,1,0x77d0967ffddbad3aba301837208392573da29299,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 19:11:28.000000 UTC,185925,20000000000,345855,85925,0.0,3,,493,62928,109592,0.5742024965325936,48,7,7,1.0,3,39,238887,407,0x46d429b37b3bcc33adb590b6c7db86864b42076d7be2042cce68d72fcf13514e,3,2,1,32106,47,287362,2,2,0.0,0.0,1,0,-0.0725264215544584,0.5135230506084109,0.5135429274574941,0.4822999790577392,-0.3527656778258865,-0.3959396047847919,-0.4661682260020116,0.3379209106910015,-0.8838031670291764,-0.9190297964744798,-0.1484366310849028,0.5140073383660526,0.4489335206571906,0.4669154859551745,-0.6875984900327456,-0.1769953195444659,-0.1466674430580175,-0.4219650780517908,-0.4437581508882774,-0.2769934395714601,-0.0548545994538608,-0.4890695592815074,-0.0290399646750435,-0.1124976483161674,0.0312460827340134,0.0068522768611564,-0.0,-0.9064068730670678,1.0,1.0,3.4134429701613405,0.2189843508036873,0.075,3.5,2.930243461371019e-05,0.4285714285714285,2.737426089495584e-05,1.5,0.0416666666666666,0
0x273a554b80feeff4386373589e7f0eba7298a6478e028e6472ff91e5a5adaa56,2,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 14:53:53.000000 UTC,250000,20000000000,36354,36354,0.0,12698,,780,6474,9838,0.6580605814189876,20,7481,12704,0.5888696473551638,21,20,119293,18,0x273a554b80feeff4386373589e7f0eba7298a6478e028e6472ff91e5a5adaa56,9838,20,4,1,19,114726,3,4,2.0,2.0,1,1,1.5391718352112875,-1.8576753322441637,-1.8703516525378172,-1.492027420593824,-0.1534760809499534,-0.1657605944132079,-0.2313753425715955,-1.2258577504891028,1.1873699700505642,0.4761406797455284,0.9760833013764828,-1.9454257260419328,-1.4960051422549765,-1.510942218553741,-0.6873532362215898,-0.4103363597432484,-0.422033290440206,2.6357528788452464,2.807217313494707,1.6874990396587537,-0.0548545994538608,1.5745150790370896,0.1287914056267317,-0.1124976483161674,-0.5365194681856699,-0.1446370499722788,-0.0,0.4154548354485942,0.5,1.0,9838.0,0.0564296111638934,1.0,4234.666666666667,0.0627106141130316,0.7744017632241813,1.0,491.9,1.0,0
0x1ef7dace3f5ceb9fdad711371cce2afbbd6922858c3e975ea551ca5e82c0fc88,2,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-16 21:18:29.000000 UTC,250000,20000000000,167063,36354,0.0,13313,,339,6839,10445,0.6547630445189085,20,7853,13320,0.5895645645645645,21,20,120909,82,0x1ef7dace3f5ceb9fdad711371cce2afbbd6922858c3e975ea551ca5e82c0fc88,10445,20,4,1,19,116342,3,4,2.0,2.0,1,1,1.5391718352112875,-1.8423444892615368,-1.8558457278625449,-1.492027420593824,-0.1435569305568778,-0.1545933682661735,-0.2313753425715955,-0.9685779707576718,1.31519936447938,0.4761406797455284,0.9760833013764828,-1.9454257260419328,-1.4960051422549765,-1.492428014966503,-0.6873532362215898,-0.4103363597432484,-0.4183124414898438,2.6357528788452464,2.807217313494707,1.6874990396587537,-0.0548545994538608,1.5745150790370896,0.1287914056267317,-0.1124976483161674,-0.296739734371689,-0.1446370499722788,-0.0,0.4794914601620351,0.5,1.0,10445.0,0.058783081062032,1.0,4440.0,0.064949135720784,0.7841591591591591,1.0,522.25,1.0,0
0x0863b150ca65f395d8ab14f481c80cb2a55a5874730449e15631a19ca998df41,1,0x303e33b483b5df3148cb2eaa1c17c486531ddf31,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 19:28:19.000000 UTC,150000,20000000000,2322868,54154,0.0,1550,,467,62942,109614,0.574214972540004,48,1841,1991,0.9246609743847312,100,104,617988,427,0x0863b150ca65f395d8ab14f481c80cb2a55a5874730449e15631a19ca998df41,277,20,1,32108,47,287431,697,2,0.0,0.0,1,0,-0.0725264215544584,0.514111082941991,0.5140686776104694,0.4822999790577392,-0.3038631998127127,-0.3599724348566812,0.7991045347063416,0.4183208418570737,-0.8261009362655923,0.4761406797455284,-0.1484366310849028,0.5141605502062275,0.4489335206571906,0.4677060057865603,-0.5171470912794345,0.6212766600829479,0.7262147091271675,-0.4219650780517908,-0.4437581508882774,-0.2769934395714601,-0.0548545994538608,-0.4890695592815074,-0.1175314508723324,-0.1124976483161674,3.6579867883226087,-0.0902401239946881,-0.0,-0.7453261276496808,1.0,1.0,3.4139155350691417,0.2189804892983383,0.9523809523809524,2.8565279770444763,0.0029790174258765,0.1391260673028629,0.0025270494644844,13.85,0.4166666666666667,0
0xd65254905aca31c5179d707a55c994643a3761c52e93cc701805e303501cc556,1,0x1a45221bb8d9c78d59bf1de0b3a361f5da3f965e,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 22:28:41.000000 UTC,162714,20000000000,62714,62714,0.0,7,,261,63066,109780,0.574476225177628,48,136,136,1.0,117,307,1633166,595,0xd65254905aca31c5179d707a55c994643a3761c52e93cc701805e303501cc556,3,2,1,32130,47,288192,4,2,0.0,0.0,1,0,-0.0725264215544584,0.5193193693251299,0.5180357014920102,0.4822999790577392,-0.3493259724476426,-0.3936010135949098,1.02085336905729,1.0936802636520802,-0.8838031670291764,-0.9190297964744798,-0.1484366310849028,0.5158458804481517,0.4489335206571906,0.4764246375501049,-0.6871079824104339,3.114341457996256,3.063667676782362,-0.4219650780517908,-0.4437581508882774,-0.2769934395714601,-0.0548545994538608,-0.4890695592815074,-0.0862139628970413,-0.1124976483161674,-0.4881632434166292,-0.0640807034122063,-0.0,-0.905990374694948,1.0,1.0,3.416744475568005,0.2188325184858758,0.3798701298701298,34.0,8.327378645294694e-05,0.0220588235294117,2.7327382036800877e-05,1.5,0.0416666666666666,0
0x2df75800d7287d5942afc7303e250f0eefb88767d3f0ad7e7ad3abc9f5fbe35d,1,0xd870bf727ed6576efa82a42f28c7a02c1175dcaf,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 14:39:17.000000 UTC,100000,21000000000,47714,47714,0.0,2,,799,62742,109361,0.5737145783231682,48,5,5,1.0,2,45,270410,176,0x2df75800d7287d5942afc7303e250f0eefb88767d3f0ad7e7ad3abc9f5fbe35d,3,2,1,32077,47,286204,1,2,0.0,0.0,1,0,-0.0725264215544584,0.5057106210337027,0.5080225508512536,0.4822999790577392,-0.3528190065914407,-0.3959758620125421,-0.4792122750814792,-0.5906982942771325,-0.8838031670291764,-0.9190297964744798,-0.1484366310849028,0.5117857666835163,0.4489335206571906,0.4536485009588741,-0.6878437438439015,-0.1033086752711662,-0.0740855609650302,-0.4219650780517908,-0.4437581508882774,-0.2769934395714601,-0.0548545994538608,-0.4890695592815074,-0.2406928791218644,0.0062709753523664,-0.515680063277616,-0.1099208095730974,-0.0,-0.9065109976600978,1.0,1.0,3.409327555569411,0.219220488810468,0.0434782608695652,5.0,1.8490372063266654e-05,0.6,2.743208273516153e-05,1.5,0.0416666666666666,0
0xecfa835b72d09f720d63818c0c5987c26a478f9adb3eb8dab6258c354f195658,1,0x18a138f4f88938e9f959c0196a5704595fd37f1c,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 17:33:41.000000 UTC,100000,21000000000,47778,47778,0.0,16,,602,62860,109504,0.5740429573348919,48,109,109,1.0,85,111,651965,319,0xecfa835b72d09f720d63818c0c5987c26a478f9adb3eb8dab6258c354f195658,3,2,1,32093,47,286920,7,2,0.0,0.0,1,0,-0.0725264215544584,0.5106668935595928,0.5114399268455929,0.4822999790577392,-0.3500459107826238,-0.3940904861695363,0.6034437985143282,-0.0158387864397162,-0.8838031670291764,-0.9190297964744798,-0.1484366310849028,0.5130114614049156,0.4489335206571906,0.4618515763106453,-0.6863722209769664,0.7072444117351309,0.8044469398118558,-0.4219650780517908,-0.4437581508882774,-0.2769934395714601,-0.0548545994538608,-0.4890695592815074,-0.2406928791218644,0.0062709753523664,-0.5155626581795424,-0.1097252251201442,-0.0,-0.905053253357678,1.0,1.0,3.412083631944661,0.2190846957873421,0.7589285714285714,15.571428571428571,0.0001671866324317,0.0275229357798165,2.739625949736996e-05,1.5,0.0416666666666666,0
0xc6819bf20882f95b071f69072c6b3f0c9c2edf33be8b7b4795b7d1de2f46e1bd,1,0x21ceb462eda61b77a7493df8a72fe8c5a989a653,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-16 16:26:24.000000 UTC,162778,32210000000,83778,62778,0.0,5,,683,62809,109442,0.5739021582207927,48,9,9,1.0,3,33,202434,255,0xc6819bf20882f95b071f69072c6b3f0c9c2edf33be8b7b4795b7d1de2f46e1bd,5,2,1,32088,47,286637,2,2,0.0,0.0,1,0,-0.0725264215544584,0.5085247757729793,0.5099582673235716,0.4822999790577392,-0.3527123490603324,-0.3959033475570419,-0.4661682260020116,-0.2731185661711472,-0.8833819828630188,-0.9190297964744798,-0.1484366310849028,0.5126284318044783,0.4489335206571906,0.4586092993210486,-0.6875984900327456,-0.2506819638177657,-0.2306006774562559,-0.4219650780517908,-0.4437581508882774,-0.2769934395714601,-0.0548545994538608,-0.4890695592815074,-0.0860563162688819,1.3376672466766313,-0.4495222905131743,-0.0638851189592532,-0.0,-0.906198623881008,1.0,1.0,3.4106831214161057,0.2191230750982075,0.088235294117647,4.5,4.445871514313236e-05,0.5555555555555556,4.568629959247821e-05,2.5,0.0416666666666666,0
