transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0xd2f027e47e53645f5784805e6d777968e856e57e81847d8d5d667d131c0ecd5e,1,0x3a8713065e4daa9603b91ef35d6a8336ef7b26c6,0x39da41747a83aee658334415666f3ef92dd0d541,2022-10-03 23:55:11.000000 UTC,6251000,15649063932,5949150,4324015,9.2922e+17,18296,2,244,8972,9782,0.9171948476794112,65,16809,22969,0.7318124428577648,278,592,3787533,4,0xd2f027e47e53645f5784805e6d777968e856e57e81847d8d5d667d131c0ecd5e,143,34,232,1506,69,449918,2286,49,40.0,6.0,3,9,-0.049139900814895054,-6.459358253538047,-4.9749576249355325,-2.5626555824426056,7.175844019230321,9.236797508425816,1.6798325754224428,-1.5895034124018375,-0.03691825545518635,0.4610064297998965,19.132399488667648,-5.2074245713902805,-2.3719443048233035,-2.307285422857908,9.072704330707523,1.027966834626227,1.0541291978784944,10.792089902476894,10.229843777877058,3.190159206084472,9.467544294944553,2.3591660475510423,17.637186140169728,0.03426329400993397,-0.8695311279041371,16.832388998027394,2.444711,7.611662544659008,0.004310344827586207,0.9285714285714286,6.49535192563081,0.019941367223878077,0.4688026981450253,10.047681539807524,0.0044379799626881235,0.006225782576516174,0.014618687384992843,4.205882352941177,0.5230769230769231,0
0x1b0c9792c6925e5b9c80776e00b6fa560c62004704b31c25b95416fc2f6b8b06,1,0x47b20272ebee4233aad387dd88aa80ddaf55032b,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,2022-10-03 23:47:23.000000 UTC,3452075,13977802700,6435168,2340368,3.6312e+17,3809,2,700,343562,538501,0.6379969582229188,228,3619,4087,0.8854905798874481,313,404,2575077,7,0x1b0c9792c6925e5b9c80776e00b6fa560c62004704b31c25b95416fc2f6b8b06,270,67,127,97685,227,1438181,760,25,21.0,6.0,3,7,-0.049139900814895054,-2.9710463426896148,-4.576422077390411,5.546637952535583,1.2659632834169823,1.35348978301664,2.024101712303331,-1.5800492672880266,0.08480549257926946,1.889664886452426,10.160143268133861,-4.3780876203338845,5.665782917484645,5.6936399308697725,2.6171832036727327,0.3595849383091327,0.3667356980321282,4.584459416235449,4.794617461659913,3.190159206084472,9.467544294944553,1.4789514150471652,9.422112429356325,-0.10012576467610478,-0.7971913619364338,8.751369044948097,0.82358897,1.3185793442779101,0.007874015748031496,1.0,5.512627322516251,0.2388863161964202,0.7728395061728395,5.377631578947368,0.0014053943220360705,0.06606312698801077,0.0005013918265704242,4.029850746268656,0.29385964912280704,0
0xc562db705a9e7c34c1cff3ff7fce0c2c3524c8d415d1e3f5b99e21ffa40d56cd,1,0xd2bc00b438fb54c6366e3f9aa77944755b509b94,0x39da41747a83aee658334415666f3ef92dd0d541,2022-10-03 23:58:23.000000 UTC,1262800,12944023954,10048783,742200,3.393e+17,1814,2,84,8974,9784,0.9172117743254292,65,1786,1836,0.9727668845315904,319,548,3507748,5,0xc562db705a9e7c34c1cff3ff7fce0c2c3524c8d415d1e3f5b99e21ffa40d56cd,16,9,32,1506,69,449934,435,20,11.0,6.0,2,6,-0.049139900814895054,-6.459337402275841,-4.974956117384082,-2.5626555824426056,0.4446735647857579,0.4136886131248881,2.083119278625769,-1.5863520306972339,-0.15864200348964216,-0.6213105828156563,2.0423876400318624,-5.2074245713902805,-2.3719443048233035,-2.3071558876980776,1.2423179570893075,0.8715370291052049,0.8955070372767772,3.291203064935148,1.9339720320719407,3.190159206084472,4.653317590992499,1.0388440987952265,2.996411312591491,-0.1832537340829686,-0.2593346088997517,2.240720982882199,0.75537646,0.45196092881851296,0.03125,0.9285714285714286,6.49667994687915,0.01994510318157067,0.581056466302368,4.220689655172414,0.0005091584375050781,0.008714596949891068,0.001635322976287817,1.7777777777777777,0.13846153846153847,0
0x5da59639c50f62ca87b674825fdfefc48ecd0033d15a5d6558b0b852859f99eb,1,0x6b7a91c6a6832bc3498883ff65268612f67c8119,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,2022-10-03 23:42:59.000000 UTC,562359,12868816442,18187300,469006,2.7988889e+16,400,2,873,343558,538497,0.6379942692345547,228,490,498,0.9839357429718876,115,267,1699666,6,0x5da59639c50f62ca87b674825fdfefc48ecd0033d15a5d6558b0b852859f99eb,3,3,22,97684,227,1438159,49,18,6.0,6.0,2,6,-0.049139900814895054,-2.9710880452140276,-4.576425092493312,5.546637952535583,-0.13600918226610612,-0.14493154028033797,0.07652202366287804,-1.5832006489926302,-0.17110191470576758,-0.881066665843389,1.187887047600073,-4.378096243182438,5.665782917484645,5.693461820025006,-0.3905989203913141,-0.12748059251768604,-0.1295724823010198,2.773900524415027,0.5036493172779547,3.190159206084472,4.653317590992499,1.0388440987952265,0.9405597106100692,-0.18930130256016223,0.9520164420987193,1.127777921409293,-0.1361149,-0.16227387792814754,0.045454545454545456,1.0,5.5126428074198435,0.23888718918618235,0.4291044776119403,10.16326530612245,0.0002882917653869846,0.006024096385542169,5.571061677223828e-06,1.0,0.013157894736842105,0
0x4a3394e8c4ea2dfd66dca9f3116d5dce5b3a33f83a2fec8f804180aae890857a,1,0x07e9ddcbeb02b121df864ede32e79e6d11fcd4cc,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,2022-10-03 23:52:23.000000 UTC,826856,16111682404,9179892,587955,8.058e+16,2148,2,414,343570,538515,0.6379952276166866,228,2341,2781,0.8417835311039195,283,455,2900459,16,0x4a3394e8c4ea2dfd66dca9f3116d5dce5b3a33f83a2fec8f804180aae890857a,4,1,30,97688,227,1438206,542,18,7.0,6.0,3,7,-0.049139900814895054,-2.9709629376407882,-4.576411524530262,5.546637952535583,0.6933455745186164,0.808229752861763,1.7290138806911413,-1.5516868319465942,-0.17014345999683483,-0.9676520268526332,1.8714875215455042,-4.3780617517882225,5.665782917484645,5.693842329557008,1.6949658998106198,0.5409013037994083,0.5512087607799807,2.773900524415027,0.7897138602367518,3.190159206084472,9.467544294944553,1.4789514150471652,1.716880030478952,0.07146325999517593,-0.38866185931320074,1.6123546845122185,0.014488542,0.5970489241886576,0.03333333333333333,1.0,5.512601343051347,0.2388877261757174,0.6206140350877193,5.130996309963099,0.0008071133544334347,0.001438331535418914,7.427833950772031e-06,4.0,0.0043859649122807015,0
0xa392305b34b124767ad45a0d6b0e53aee802ff96832720ff1a0cdb0466741c27,1,0xd13397383d0b65531f4b1f545e20cba18f063ee3,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,2022-10-03 23:56:11.000000 UTC,1663769,13850106866,6901511,917403,2.380688e+17,1345,2,213,343578,538524,0.6379994206386345,228,1428,1482,0.9635627530364372,276,435,2777043,22,0xa392305b34b124767ad45a0d6b0e53aee802ff96832720ff1a0cdb0466741c27,21,13,47,97689,227,1438225,310,18,9.0,6.0,3,7,-0.049139900814895054,-2.970879532591962,-4.576404740548737,5.546637952535583,0.2842689170661844,0.26589224966790004,1.6601600533149636,-1.5327785417189725,-0.15384972994497856,-0.44813986079716783,3.3241385286795464,-4.378053128939669,5.665782917484645,5.693996152559307,0.713523631480298,0.4697968467443982,0.48123891760460846,2.773900524415027,1.3618429461543462,3.190159206084472,9.467544294944553,1.4789514150471652,4.173288110201694,-0.1103940115550515,-0.7277800572508529,2.954466391636555,0.46548396,0.24822958202630377,0.02127659574468085,1.0,5.512637042041581,0.23889013270515205,0.6330275229357798,4.780645161290322,0.000514215835255041,0.01417004048582996,3.899547652472313e-05,1.6153846153846154,0.05701754385964912,0
0xdbe6edd4fb70b629579cfcda672db0c28c1d9a51f2f9092f1cf6ffec63bfcdde,1,0xa98d2867de6b1dff44fe4b355dea098e81d06aeb,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,2022-10-03 23:39:59.000000 UTC,1302862,13140996547,25431125,1022838,1.2613e+17,1888,2,965,343555,538493,0.6379934372405955,228,1926,1967,0.9791560752414845,424,748,4802161,4,0xdbe6edd4fb70b629579cfcda672db0c28c1d9a51f2f9092f1cf6ffec63bfcdde,4,4,50,97684,227,1438144,480,21,9.0,6.0,2,6,-0.049139900814895054,-2.9711193221073375,-4.576428107596212,5.546637952535583,0.5074016393129654,0.46838161768100517,3.1159266892684334,-1.5895034124018375,-0.17014345999683483,-0.8377739853387669,3.580488706409083,-4.378096243182438,5.665782917484645,5.693340380812665,1.432683914308551,1.5825815996553052,1.6293654884837772,3.549854335195208,1.3618429461543462,3.190159206084472,4.653317590992499,1.0388440987952265,3.113996557999141,-0.1674148210193655,2.030199976887551,3.3839895571760463,0.14492857,0.4841061733017187,0.02,1.0,5.512601859055731,0.23888759478355798,0.5660881174899867,4.097916666666666,0.00040106935167951433,0.0020335536349771225,7.428137413114005e-06,1.0,0.017543859649122806,0
0xcecab5f974544e9567f64a3743194099b52710e7e359ae3fb85e776c7a2fcff3,1,0xf785739a33b60cc489f2cc5342132dfa91e6dd67,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,2022-10-03 23:38:47.000000 UTC,1563806,13753565708,7770798,1257455,1.43494445e+17,172,2,1003,343554,538492,0.637992764980724,228,175,178,0.9831460674157303,78,261,1664097,3,0xcecab5f974544e9567f64a3743194099b52710e7e359ae3fb85e776c7a2fcff3,1,1,41,97684,227,1438138,27,20,12.0,6.0,2,6,-0.049139900814895054,-2.971129747738441,-4.576428861371936,5.546637952535583,-0.2771473499523231,-0.27853277278383,-0.2874196353254894,-1.592654794106441,-0.173018824123633,-0.9676520268526332,2.8114381732204725,-4.378096243182438,5.665782917484645,5.693291805127728,-0.48366672169849984,-0.14881192963418904,-0.14973807956478477,3.291203064935148,2.220036575030738,3.190159206084472,4.653317590992499,1.0388440987952265,3.8798885323801953,-0.11815705607476076,-0.5983938655074054,4.339776881398352,0.19465455,-0.26131598255207866,0.024390243902439025,1.0,5.512591621964702,0.23888789609349306,0.29770992366412213,6.592592592592593,0.00010516207579120942,0.0056179775280898875,1.8570378018614947e-06,1.0,0.0043859649122807015,0
0x08ca1b242f2fb682e8b00a82b3cdf023b9568ff20924c3433ecbe751a612120f,1,0xf89d75c09c9e133c2e4f3cd213a117080a6e358f,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,2022-10-03 23:54:35.000000 UTC,824845,15283131819,17248015,682669,8.74e+16,517,2,281,343575,538520,0.6379985887246528,228,557,558,0.9982078853046595,186,402,2561822,19,0x08ca1b242f2fb682e8b00a82b3cdf023b9568ff20924c3433ecbe751a612120f,11,5,32,97688,227,1438217,188,19,7.0,6.0,2,6,-0.049139900814895054,-2.970910809485272,-4.576407755651637,5.546637952535583,-0.10598931802808538,-0.1198813091859332,0.774896558478394,-1.5422326868327834,-0.1634342770343058,-0.7944813048341447,2.0423876400318624,-4.3780617517882225,5.665782917484645,5.6939313849793916,0.1974203696859046,0.3524744926036317,0.3592208679348186,3.0325517946750873,0.7897138602367518,3.190159206084472,4.653317590992499,1.0388440987952265,1.7109775810626775,0.004838048412504133,0.8122116260693248,1.9982024305254722,0.03401874,-0.11144964002902498,0.03125,1.0,5.512652526410613,0.23888937560230786,0.46153846153846156,2.9680851063829787,0.00021742329583269415,0.01971326164874552,2.042635371016861e-05,2.2,0.021929824561403508,0
0x1f6143125eefc83fa527a5b5d38083558eea0c9db78c38ee7e5bde40b1dbe311,1,0xd97b2388d7ad29bdeaf640817e451c4cdfcb1f7a,0x00000000006c3852cbef3e08e8df289169ede581,2022-10-03 23:57:23.000000 UTC,135006,14369935313,2158525,130035,8300000000000000.0,322,2,139,647475,6889352,0.09398198843664832,115,341,341,1.0,37,68,445975,929,0x1f6143125eefc83fa527a5b5d38083558eea0c9db78c38ee7e5bde40b1dbe311,229,32,6,629765,114,724485,47,7,4.0,2.0,1,4,-0.049139900814895054,0.19743848280331658,0.2106952394876938,-0.07514222815481778,-0.20276977587006273,-0.21047964497736374,-0.6907063385288155,1.3255246643565004,0.045508849513027826,0.3744210687906523,-0.17931390029079008,0.20995763817459664,-0.08271819720395125,-0.08440540853282635,-0.3990596296010583,-0.8349699402150358,-0.8403438787194388,-0.0712634484456353,-0.06847976863963974,-0.054964838147561396,-0.1609091129595537,0.1586294662913492,-0.31375628411549156,-0.06859369073569357,-1.4337343577666635,-0.2531287694057776,-0.19249731,-0.19615670319422923,0.16666666666666666,1.0,10.939559994601161,0.8937025698219151,0.5362318840579711,7.25531914893617,0.0007646151362405151,0.6715542521994134,3.3239700918170535e-05,7.15625,0.2782608695652174,0
