transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x4d9e019e456ed639c348704ecf671febd25a832ad9fc5b625741c585bf07c491,1,0xe39a19a50e88bc2342df53f99567ff6f93777099,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:04:35.000000 UTC,278557,235234531113,27302455,185705,88000000000000000,7,2,802,28,1428,0.0196078431372549,1,12,12,1.0,5,45,291663,210,0x4d9e019e456ed639c348704ecf671febd25a832ad9fc5b625741c585bf07c491,1,1,3,1386,0,498,4,4,1,1,1,2
0xf32917d3f899c378233755e5fd7afdfb89b60f5c47de1e071b5c49547a3fe942,1,0x78586e7074a80dc680da05e762f51d0ed9b5369c,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:04:35.000000 UTC,185705,235284531113,21266747,185705,88000000000000000,29,2,801,28,1428,0.0196078431372549,1,33,33,1.0,4,3,18219,209,0xf32917d3f899c378233755e5fd7afdfb89b60f5c47de1e071b5c49547a3fe942,1,1,3,1386,0,498,8,4,1,1,1,2
0x5b6afcc9c57ecbfd24c5541b4dcb5500190c87366115d07ba86b7f00c8b434e7,1,0x89d1a663b53d5d7831f67719f2fe4932f8251f9c,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:06:39.000000 UTC,185705,345051077483,6955409,185705,88000000000000000,149,2,215,35,2014,0.017378351539225421,1,158,161,0.98136645962732916,57,1502,9201782,811,0x5b6afcc9c57ecbfd24c5541b4dcb5500190c87366115d07ba86b7f00c8b434e7,1,1,3,1934,0,505,61,4,1,1,1,2
0xb577c7019147c3624fd5e86b33b7769fc42e7cc4dd3b4b5d2a0f72087eaab3e5,1,0xbd74f234ea2d77067706418a4ce750e40ed8fbc3,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:07:15.000000 UTC,185705,305599962932,9750995,185705,88000000000000000,0,2,92,38,2122,0.017907634307257305,1,2,2,1.0,1,0,1617,884,0xb577c7019147c3624fd5e86b33b7769fc42e7cc4dd3b4b5d2a0f72087eaab3e5,1,1,3,2030,0,508,1,4,1,1,1,2
0x37546fa8c7e66b4b4f96032cc92fd0783ce33a2fa94f30eea62438ddc1549089,1,0xe09386396ecff38cdbb692ea0998a0a749789614,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:06:30.000000 UTC,185705,350000000000,4816913,185705,88000000000000000,28,,250,34,1975,0.017215189873417722,1,37,37,1.0,11,32,203885,737,0x37546fa8c7e66b4b4f96032cc92fd0783ce33a2fa94f30eea62438ddc1549089,1,1,3,1899,0,504,11,4,1,1,1,2
0xaa723e27e8459e0c9edf42b9fb6aefb226632582e932cfefd84ad8b760a8c5d1,1,0xe136c0d0039afae187f022a5e2f37b8bf5d176a9,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:06:30.000000 UTC,185705,380206709918,2971131,185705,88000000000000000,1545,2,272,34,1975,0.017215189873417722,1,1623,1781,0.91128579449747338,126,396,2561214,728,0xaa723e27e8459e0c9edf42b9fb6aefb226632582e932cfefd84ad8b760a8c5d1,1,1,3,1899,0,504,245,4,1,1,1,2
0xdaa358cfb91f4d5decaad40330ff7b20c0ce1e3391804c0a8d997e995850ac6c,1,0xdaaa83a6fe4496f6dff33d90b6af51751241395a,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:04:57.000000 UTC,278557,264002362178,20214221,185705,88000000000000000,25,2,698,29,1561,0.018577834721332478,1,30,30,1.0,9,8,54805,273,0xdaa358cfb91f4d5decaad40330ff7b20c0ce1e3391804c0a8d997e995850ac6c,1,1,3,1509,0,499,19,4,1,1,1,2
0x56429fe1f4cf7ecc1bae867ccb63ae47832e9745ef7f7054b43a8e882a7f65f9,1,0x8977bbd754e47ddcb2b512905d709bdd1bb0c7bf,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:05:16.000000 UTC,185705,293235865245,10185789,185705,88000000000000000,0,2,565,30,1644,0.01824817518248175,1,2,2,1.0,2,1,5253,414,0x56429fe1f4cf7ecc1bae867ccb63ae47832e9745ef7f7054b43a8e882a7f65f9,1,1,3,1588,0,500,1,4,1,1,1,2
0xd8c49e9a55d6474c6576b9202fc629514f2cdbf1d6942d9d4ff07148a720f8c5,1,0x0726677767c44beffe7a980a2adb14bc77587ec2,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:04:35.000000 UTC,278557,250000000000,10208901,185705,88000000000000000,13,,808,28,1428,0.0196078431372549,1,22,22,1.0,12,25,158951,192,0xd8c49e9a55d6474c6576b9202fc629514f2cdbf1d6942d9d4ff07148a720f8c5,1,1,3,1386,0,498,8,4,1,1,1,2
0xb1823fae124f75ab703767bfb4eccd22b7e7035cf0f11e37dbda97c575f5f52c,1,0x6cb2343c440d8ebdc847b3c3b5ce366fa163a8a6,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:05:39.000000 UTC,185705,400000000000,4178214,185705,88000000000000000,217,2,456,32,1823,0.01755348326933626,1,218,223,0.97757847533632292,27,30,194026,529,0xb1823fae124f75ab703767bfb4eccd22b7e7035cf0f11e37dbda97c575f5f52c,1,1,3,1753,0,502,42,4,1,1,1,2
0xe0af7459d8c13c39f2fba3e59d8e4c0037ab7858fd9e6bd58e2bd2e2c91804f1,1,0xa94b3e48215c72266f5006bca6ee67fff7122307,0xa4631a191044096834ce65d1ee86b16b171d8080,2021-10-21 16:06:39.000000 UTC,185705,400000000000,1669088,185705,88000000000000000,370,2,216,35,2014,0.017378351539225421,1,345,377,0.91511936339522548,45,65,418120,791,0xe0af7459d8c13c39f2fba3e59d8e4c0037ab7858fd9e6bd58e2bd2e2c91804f1,1,1,3,1934,0,505,63,4,1,1,1,2
