transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0xe11112b361cc2ffdc4815513dcb337beb83be014bcc89cd39a984f3d458e668d,1,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,0x447f914fee54e1f9dc1fc5276ae2572b9369ae5d,2016-06-17 03:34:48.000000 UTC,500000,20000000000,4081851,36395,0,5870,,2,1,1,1.0,1,4008,5872,0.68256130790190739,21,1,0xe11112b361cc2ffdc4815513dcb337beb83be014bcc89cd39a984f3d458e668d,1,1,2,1,0,0,1262,20,119191,3,0,1,1,1
0x0ec3f2488a93839524add10ea229e773f6bc891b4eb4794c3337d4495263790b,20,0x969837498944ae1dc0dcac2d0c65634c88729b2d,0xc0ee9db1a9e07ca63e4ff0d5fb6f86bf68d47b89,2016-06-17 03:34:48.000000 UTC,4712388,25000000000,3982456,3982456,137624510999999990000,11,,1,7,7,1.0,3,15,16,0.9375,4,4,0x0ec3f2488a93839524add10ea229e773f6bc891b4eb4794c3337d4495263790b,7,3,81,1,2,11879,3,2,11910,10,4,28,2,2
0xfac7db4cf96cd5599347e172f67b7b49d2625a7b15783b261920af2908251f16,1,0x417403ab1b79b67070ee8b6b58e76500fca99003,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-17 03:34:18.000000 UTC,170925,20000000000,280925,70925,0,0,,3,63232,109976,0.57496180984942169,49,3,3,1.0,1,791,0xfac7db4cf96cd5599347e172f67b7b49d2625a7b15783b261920af2908251f16,1,1,1,32165,48,289488,1,0,0,2,,,1,0
0xb20fbfb97815eb9c9fa95d9085ec8bf48c568c38bf970af279823e399a248faf,1,0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-17 03:33:43.000000 UTC,47842,20000000000,47842,47842,0,18687,,4,63231,109975,0.57495794498749719,49,6308,18692,0.33747057564733574,22,790,0xb20fbfb97815eb9c9fa95d9085ec8bf48c568c38bf970af279823e399a248faf,9306,21,1,32164,48,289483,8819,20,120822,2,,,1,0
0x4e43ea4329d299bd7acfa3dc5f0a34812749df095afeab8484aa73f6bbaa3877,1,0xcb9b5103e4ce89af4f64916150bff9eecb9faa5c,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-17 03:33:12.000000 UTC,90000,20000000000,104650,62650,0,32,,5,63230,109974,0.57495408005528581,49,38,39,0.97435897435897434,23,789,0x4e43ea4329d299bd7acfa3dc5f0a34812749df095afeab8484aa73f6bbaa3877,5,3,1,32164,48,289479,13,301,1597859,2,,,1,0
0xea48232a5c0e0721e27842fb88fb9d102ff2f8a2833b13f284ea3ce431ecc0a6,1,0xf35e2cc8e6523d683ed44870f5b7cc785051a77d,0xf835a0247b0063c04ef22006ebe57c5f11977cc4,2016-06-17 03:32:44.000000 UTC,4000000,20000000000,84768,42768,0,5,,6,5,5,1.0,3,7,7,1.0,3,2,0xea48232a5c0e0721e27842fb88fb9d102ff2f8a2833b13f284ea3ce431ecc0a6,5,3,2,1,2,11867,1,2,11876,3,0,1,1,1
0xb09f31a22d675e89e351818a43ae3426ac8e37c1f344cd0041867ed9a2fb3576,1,0x969837498944ae1dc0dcac2d0c65634c88729b2d,0xc0ee9db1a9e07ca63e4ff0d5fb6f86bf68d47b89,2016-06-17 03:31:54.000000 UTC,4000000,20000000000,98268,35268,0,10,,7,6,6,1.0,3,14,15,0.93333333333333335,4,3,0xb09f31a22d675e89e351818a43ae3426ac8e37c1f344cd0041867ed9a2fb3576,6,3,2,1,2,11864,3,2,11895,3,0,1,1,1
0x0d985de8e27e50527c966c4466d13cedc13a4271c6dad6bf2baae1b73526da28,1,0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-17 03:30:13.000000 UTC,77778,20000000000,389915,77778,0,18685,,9,63229,109973,0.57495021505278565,49,6307,18691,0.33743512920657,22,787,0x0d985de8e27e50527c966c4466d13cedc13a4271c6dad6bf2baae1b73526da28,9305,21,1,32164,48,289469,8819,20,120808,2,,,1,0
0x86aba14ee9f3e8d07b593302821b829eb2cd813906ccc7d0ef3d0d7792320adf,1,0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-17 03:30:13.000000 UTC,77906,20000000000,488821,77906,0,18686,,8,63229,109973,0.57495021505278565,49,6307,18691,0.33743512920657,22,788,0x86aba14ee9f3e8d07b593302821b829eb2cd813906ccc7d0ef3d0d7792320adf,9305,21,1,32164,48,289469,8819,20,120808,2,,,1,0
0xf287481f40a175c9988dd37efcacee9b615a5f26d37382cbdc3394afd3066163,1,0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-17 03:26:12.000000 UTC,54090,20000000000,27045,27045,0,18684,,10,63228,109971,0.57495157814332865,49,6306,18689,0.33741773235593131,22,786,0xf287481f40a175c9988dd37efcacee9b615a5f26d37382cbdc3394afd3066163,9303,21,1,32164,48,289451,8819,20,120790,2,,,1,0
