transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0x5d7705eb62560dadd3da22ae23230002687ef94926c2506ce52df79824939dd7,3,0x40c839b831c90173dc7fbce49a25274a4688ddd9,0x0f0d710911fb37038b3ad88fc43ddad4edbe16a5,2022-04-10 17:20:50.000000 UTC,14,14,1.0,12,4292,4768,0.9001677852348993,382,7,0x5d7705eb62560dadd3da22ae23230002687ef94926c2506ce52df79824939dd7,4,4,1255,7,43,276353,552,570,3676584,88,37,12,5,5,2665150,33693061231,21533529,2624501,0,4648,2.0
0xadc7952cd55b0db96db38ad71b61efb05e17efedfcac56d22e9f6617a3205087,3,0x872c67dd383db7b7e9bc1800546f1ae715a0bc0c,0x0f0d710911fb37038b3ad88fc43ddad4edbe16a5,2022-03-03 01:35:55.000000 UTC,2,2,1.0,2,76,89,0.8539325842696629,20,2,0xadc7952cd55b0db96db38ad71b61efb05e17efedfcac56d22e9f6617a3205087,1,1,626,2,5,28197,29,140,894361,46,15,12,5,5,1433224,68645374786,6612564,1404245,0,86,2.0
0x4df1561e2d2af1cd9a6e9370f171f0fc21dc1513ab6174d36c9fb9180f86074b,1,0x872c67dd383db7b7e9bc1800546f1ae715a0bc0c,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-02 17:08:15.000000 UTC,112,112,1.0,51,141,157,0.8980891719745223,34,112,0x4df1561e2d2af1cd9a6e9370f171f0fc21dc1513ab6174d36c9fb9180f86074b,7,5,33,19,108,701209,39,170,1091248,10,4,5,1,4,179540,92684935254,18931985,170140,100000000000000000000,153,2.0
0xbb593a8f52bb1b7c3ad05e427ff3e374eed8b7458756501f28fcd0cbb75b678b,3,0x64f66d7930ec3acca529de7efd70c211db62d4e8,0x8922c1147e141c055fddfc0ed5a119f3378c8ef8,2022-04-15 16:49:34.000000 UTC,109,109,1.0,57,28,29,0.9655172413793104,9,13,0xbb593a8f52bb1b7c3ad05e427ff3e374eed8b7458756501f28fcd0cbb75b678b,1,1,414,19,130,842037,14,465,2998740,33,9,12,5,5,977618,58286298602,22222735,955759,0,25,2.0
0x29b297f80a46eb69d35c6f76c10534a6e81f95fcc48d792fa355768584d4aa33,3,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0xd74126a40baa09859bdae646cb22c407cd07f656,2022-03-28 01:13:08.000000 UTC,24,24,1.0,8,13624,13625,0.9999266055045872,277,3,0x29b297f80a46eb69d35c6f76c10534a6e81f95fcc48d792fa355768584d4aa33,7,4,263,7,12,71457,322,281,1802259,31,9,12,4,5,722554,23730702584,24651870,704680,0,13576,2.0
0x4c9a095fc543546dbb570acde0ba2d4fabe3bf292ab33d4c341123b8a60c5ff1,3,0x66b870ddf78c975af5cd8edc6de25eca81791de1,0x8d68d8301fe02654791e6ef5e9ec240865bb79cd,2022-04-30 03:17:00.000000 UTC,238,240,0.9916666666666668,39,4872,5067,0.9615156897572528,282,47,0x4c9a095fc543546dbb570acde0ba2d4fabe3bf292ab33d4c341123b8a60c5ff1,3,1,292,40,44,276125,290,321,2056612,25,8,12,4,5,1651402,53263457484,5153604,634640,0,4919,2.0
0xedc1575aaddbee6160e95582c0ecc21b1ee170823b2658152a98ffbc13aef30d,3,0xcd2ba6a4d50745b0b4096186f925115387852c15,0xd74126a40baa09859bdae646cb22c407cd07f656,2022-04-05 23:59:55.000000 UTC,62,62,1.0,15,240,246,0.975609756097561,49,22,0xedc1575aaddbee6160e95582c0ecc21b1ee170823b2658152a98ffbc13aef30d,7,4,209,14,20,128797,63,182,1172301,26,9,12,4,5,577935,65651770850,16268724,562321,0,232,2.0
0xd38a37c46bd01374a14322fed806bf95f7f713cf5faa45cf8831c62ee3c384c5,4,0x9dab4dfabc5eca084ffdd386a7b676f2b61bd871,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-01-23 17:58:21.000000 UTC,15,15,1.0,7,794,798,0.9949874686716792,155,15,0xd38a37c46bd01374a14322fed806bf95f7f713cf5faa45cf8831c62ee3c384c5,8,3,280,3,39,256629,60,520,3358920,31,7,12,4,5,1074913,139878188257,6059853,698828,0,728,2.0
0x321eb80a85aff1baa1598236d28f3115b2e3c8d9a01e955d06107f8150c758df,8,0xcd2ba6a4d50745b0b4096186f925115387852c15,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-04-06 00:40:27.000000 UTC,120,120,1.0,53,252,258,0.9767441860465116,50,120,0x321eb80a85aff1baa1598236d28f3115b2e3c8d9a01e955d06107f8150c758df,5,4,258,19,112,722429,65,183,1172486,26,7,12,4,5,619963,55334921214,15994258,611270,0,244,2.0
0x29bad42d12dbd11c70f5ac6610b9742683c8feca0958e4ad433ecf261825f1bc,6,0x40c839b831c90173dc7fbce49a25274a4688ddd9,0x26267e41ceca7c8e0f143554af707336f27fa051,2022-01-31 05:03:45.000000 UTC,30,30,1.0,13,3805,4249,0.895504824664627,333,30,0x29bad42d12dbd11c70f5ac6610b9742683c8feca0958e4ad433ecf261825f1bc,10,9,657,4,47,304878,478,501,3228984,60,20,12,5,5,1568664,102486931554,9397773,1525025,0,4137,2.0
