transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0x35a6e8971d2877b43aaa831ececba615b7576ecc527ec556bf4faad8384d2987,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-16 14:09:39.000000 UTC,107521,1100000000,9553536,96594,147824127153382901,638,,841,88,90,0.97777777777777775,30,607,644,0.94254658385093171,47,47,303066,90,0x35a6e8971d2877b43aaa831ececba615b7576ecc527ec556bf4faad8384d2987,43,13,7,24,72,434526,22,5,2,3,1,3
0xf80944522be6382f5414874fbd58fb8ae24b81a299f61c1075f602b8e1b55850,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-18 17:10:23.000000 UTC,99433,5100000000,6181009,89359,0,868,,707,222,224,0.9910714285714286,32,834,874,0.954233409610984,49,49,316824,224,0xf80944522be6382f5414874fbd58fb8ae24b81a299f61c1075f602b8e1b55850,169,15,7,25,74,448284,22,5,2,3,1,3
0x8e2bb04f1a6bd1e07ffd89af68ac0bd1c237dcedfa60c7d300761ff9e8ac882d,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-18 09:45:14.000000 UTC,99433,2200000000,5527743,89359,0,804,,739,190,192,0.98958333333333337,32,771,810,0.95185185185185184,49,49,314834,192,0x8e2bb04f1a6bd1e07ffd89af68ac0bd1c237dcedfa60c7d300761ff9e8ac882d,142,15,7,24,74,446294,22,5,2,3,1,3
0x2616d38ca49b84aea7bb2bec6c5d65a75da4575e49898f6c964f9ae117437f34,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-03-07 18:12:00.000000 UTC,91514,5000000000,8096301,82269,492665824157073962,1315,,424,497,502,0.99003984063745021,49,1272,1323,0.96145124716553287,67,67,434227,502,0x2616d38ca49b84aea7bb2bec6c5d65a75da4575e49898f6c964f9ae117437f34,348,31,7,29,92,565687,24,5,2,3,1,3
0x280e83ed68d481f75752deddf483f6f978c4770cb3b5e24fea3448853a38b864,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-01-27 08:56:14.000000 UTC,168863,1000000000,7034909,136498,0,285,,913,26,27,0.96296296296296291,16,276,288,0.95833333333333337,27,27,171506,27,0x280e83ed68d481f75752deddf483f6f978c4770cb3b5e24fea3448853a38b864,1,1,11,14,52,302966,20,8,3,4,1,4
0x9fd5b7f553a679d7420f8806d880e3ec69506f570f326db3822f1cd1bbdbc684,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-08 14:28:35.000000 UTC,152101,2000000000,9155118,121498,0,479,,896,42,43,0.97674418604651159,24,456,483,0.94409937888198758,39,39,251067,43,0x9fd5b7f553a679d7420f8806d880e3ec69506f570f326db3822f1cd1bbdbc684,9,7,11,19,64,382527,21,8,3,4,1,4
0x22deb9b82e8b0bbd0bee8882f79175f0d74e47828a5044c95d43795f978de354,1,0x3f70e1c7369347b74e988463ea1ae2f831b47411,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-04-16 00:57:43.000000 UTC,89557,5010000000,5908335,80518,3000000000000000000,1303,,28,844,850,0.99294117647058822,87,1294,1313,0.9855293221629855,70,74,478926,850,0x22deb9b82e8b0bbd0bee8882f79175f0d74e47828a5044c95d43795f978de354,150,35,6,46,132,820318,98,5,1,3,1,2
0x11f016bcbdad9ff47ae5ce439762fc3e522d446e3f6911a51b2c46df0287bcd9,1,0x3f70e1c7369347b74e988463ea1ae2f831b47411,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-03-09 15:18:50.000000 UTC,98665,11010000000,8738023,88668,2000000000000000000,708,,377,544,549,0.99089253187613846,51,709,717,0.98884239888423986,34,36,236510,549,0x11f016bcbdad9ff47ae5ce439762fc3e522d446e3f6911a51b2c46df0287bcd9,100,15,6,29,94,577902,51,5,1,3,1,2
0xefd11a24e6cba5ce215283a756cfdac01f5fa63d3fd2ed7d1ca543db62a78d8e,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-16 21:39:24.000000 UTC,91501,1100000000,9145644,82257,301925255563372006,687,,805,124,126,0.98412698412698407,30,656,693,0.94660894660894657,47,47,305093,126,0xefd11a24e6cba5ce215283a756cfdac01f5fa63d3fd2ed7d1ca543db62a78d8e,79,13,7,24,72,436553,22,5,2,3,1,3
0xeca8065156656dc09a9dfcd46ba4f02be45f132e35f2d76a91ead6bc4560bf3a,1,0xe5e1e9c58db4ecab40fd46d7ac3578b74c1d0921,0xffcf45b540e6c9f094ae656d2e34ad11cdfdb187,2020-02-18 10:16:45.000000 UTC,99433,4541818182,8217801,89359,0,813,,735,194,196,0.98979591836734693,32,780,819,0.95238095238095233,49,49,314954,196,0xeca8065156656dc09a9dfcd46ba4f02be45f132e35f2d76a91ead6bc4560bf3a,146,15,7,24,74,446414,22,5,2,3,1,3
