transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type
0x4b1c74dd8d55aa2bee84bd9809ebde6498fd0cdf274a3aa6bff3007caf83a82f,1,0x6341363eadd291e9213d1cf9d973452777ec549b,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-09-26 19:52:47.000000 UTC,367,378,0.9708994708994708,49,335,361,0.92797783933518,103,378,0x4b1c74dd8d55aa2bee84bd9809ebde6498fd0cdf274a3aa6bff3007caf83a82f,1,1,3,129,69,450015,123,621,3970369,4,1.0,1.0,1,2,180302,14284063181,14972716,165902,1618123000000000,339,2
0xe83491a27824b26cd28bc58295c3fc98bf105cdcf5ceb937b7727f4e329c696d,1,0x98a61b14844fc6c51d62ecd49d2fff793a37f4e9,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-23 19:15:35.000000 UTC,787,799,0.9849812265331664,106,9,9,1.0,3,799,0xe83491a27824b26cd28bc58295c3fc98bf105cdcf5ceb937b7727f4e329c696d,1,1,7,227,157,1079722,4,360,2354095,4,5.0,1.0,1,2,232228,17289903388,12783463,232228,8090614900000000,6,2
0x04c617c52fe37c4897377acf91478366e482d8f57bdb40b99ce5119ebc123b9a,1,0x2c8b8377fe8457c8f45b96240cc446f05f09e918,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-03 02:06:23.000000 UTC,540,551,0.9800362976406533,86,966,971,0.9948506694129762,137,551,0x04c617c52fe37c4897377acf91478366e482d8f57bdb40b99ce5119ebc123b9a,5,1,2,165,137,931463,155,1778,11162118,3,0.0,1.0,1,1,49803,13913943451,7254668,49803,200000000000000000,873,2
0xa5234015211891172e3a03a44f4ec6b589e84db57470dc37917c8a7f7ee611fe,1,0x5823443272c330e1a28cea0038e70196b785dbdd,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-07-26 16:07:14.000000 UTC,207,218,0.9495412844036696,8,1621,1636,0.9908312958435208,322,218,0xa5234015211891172e3a03a44f4ec6b589e84db57470dc37917c8a7f7ee611fe,1,1,2,96,7,49330,182,692,4434824,3,0.0,1.0,1,1,66903,53667510482,25642402,66903,300000000000000000,1527,2
0x09218e49884a67c992ab56a8007dff109726c033d3fa22f819e2d065f71300a7,1,0x1f2b535d1549fc65335bbe7072d9a1863587c4a3,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-07-20 02:56:47.000000 UTC,69,79,0.8734177215189873,2,615,631,0.9746434231378764,193,79,0x09218e49884a67c992ab56a8007dff109726c033d3fa22f819e2d065f71300a7,3,2,3,43,1,7262,136,794,5096489,4,1.0,1.0,1,2,81484,17596113060,9581761,81484,10000000000000000,570,2
0xb9cc900f95bd7be9170e44d1c90978865cba0af671197eb4088b64529ceb26b6,1,0xa315c96c0903b6a5f0c997fdc6b257851017590b,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-17 02:57:35.000000 UTC,692,704,0.9829545454545454,100,1334,1374,0.9708879184861716,353,704,0xb9cc900f95bd7be9170e44d1c90978865cba0af671197eb4088b64529ceb26b6,2,2,3,207,151,1031846,281,515,3335414,3,1.0,1.0,1,2,56845,14519256828,4494101,56845,0,1200,2
0x6c0155885dc853fea7296d6f3c398a8f143dd8aa27fd498851c389d94e833a5f,1,0x64e5183d3f9f3d00da39bddff73e6b8aee8c95f0,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-11-14 20:32:11.000000 UTC,479,490,0.9775510204081632,76,121,126,0.9603174603174603,41,490,0x6c0155885dc853fea7296d6f3c398a8f143dd8aa27fd498851c389d94e833a5f,4,2,8,150,118,800953,51,711,4588631,4,6.0,1.0,1,2,533342,19837749956,5693800,470942,9708737900000000,117,2
0xd6fb4f2d210b33d1d121a74821d5ee88899e2bb580d0ba07e2a18139f4680927,1,0x39979745b166572c25b4c7e4e0939c9298efe79d,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-08-19 21:42:16.000000 UTC,296,307,0.9641693811074918,28,5433,6108,0.8894891944990176,481,307,0xd6fb4f2d210b33d1d121a74821d5ee88899e2bb580d0ba07e2a18139f4680927,1,1,26,117,31,203979,822,752,4822705,4,24.0,1.0,1,2,504100,18409810361,15870525,499300,29739777000000000,6085,2
0xe2886e3e7260e8ee44960450a28f24cb63a26224133fa8734368741baa25e8b6,1,0xf8a943b0bfe0a09f3f082082addd65f2482a9c91,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-08-28 08:26:35.000000 UTC,338,349,0.968481375358166,34,706,922,0.7657266811279827,60,349,0xe2886e3e7260e8ee44960450a28f24cb63a26224133fa8734368741baa25e8b6,21,1,6,120,40,257014,200,113,696435,5,4.0,1.0,1,3,220732,4831278121,3323036,220732,4956629500000000,883,2
0xea4729e988fb4384313f89b719edddf54d798a94e56cb34e7a1dae99a42025e5,1,0x1b2a9ffccb9757a30c2ad2473c2b5ae4380471a2,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-07-19 23:35:58.000000 UTC,36,43,0.8372093023255814,1,1138,1564,0.7276214833759591,81,43,0xea4729e988fb4384313f89b719edddf54d798a94e56cb34e7a1dae99a42025e5,1,1,24,26,0,6344,514,154,967819,4,22.0,1.0,1,2,498150,26312177735,15431197,493350,22000000000000000,1537,2
