transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample
0xa52709f4eada9f73911a1c5b2faea02633f6e650970aee53d90afe11ff270a24,1,0x3584ca77ba08bd8b3fe4762e60eb284e37696829,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,2020-04-13 21:07:15.000000 UTC,512548,5000000000,4648176,354067,0,6680,,694,8551,8796,0.97214643019554348,198,6433,7056,0.91170634920634919,298,263,0xa52709f4eada9f73911a1c5b2faea02633f6e650970aee53d90afe11ff270a24,850,68,24,1010,251,1570806,286,978,5728671,6,12,2,1,3
0xd6bb3abe5d329bf88d43a6acf13f30985c6bb55e456a4162a615b5968508cb07,1,0x6d5dd24353349ce619ca13059eac568401425085,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,2020-04-16 16:56:17.000000 UTC,46225,8300000000,928885,35557,0,507,,300,8843,9098,0.97197186194768082,201,489,511,0.95694716242661448,33,567,0xd6bb3abe5d329bf88d43a6acf13f30985c6bb55e456a4162a615b5968508cb07,33,10,2,1029,254,1589123,44,43,281624,3,0,1,1,1
0x1e433a01638ad0dd9ba33cd681bb61af10f99c0a0b29ea6f44c2fa208cee5989,1,0x6c10cb11e670f9a956e0154ca27e0c8937ce09ec,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,2020-04-15 02:37:16.000000 UTC,401710,2000000000,3034985,267807,0,157,,577,8641,8888,0.97220972097209724,200,284,305,0.93114754098360653,169,357,0x1e433a01638ad0dd9ba33cd681bb61af10f99c0a0b29ea6f44c2fa208cee5989,16,5,12,1014,253,1578792,41,810,4899463,6,6,2,1,3
0x9ea2668ce94ecfc5f42ce57a054177fe6f063a5a304b0f6edf3d38567e15277f,2,0x3584ca77ba08bd8b3fe4762e60eb284e37696829,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,2020-04-12 02:30:43.000000 UTC,180329,5000000000,1569907,123714,0,6371,,944,8348,8577,0.97330068788620727,197,6184,6743,0.9170992139997034,297,46,0x9ea2668ce94ecfc5f42ce57a054177fe6f063a5a304b0f6edf3d38567e15277f,732,67,11,995,250,1559186,284,977,5717051,5,5,2,2,2
0xf55fb572766ec6ede38ce7b433cc1c7184fcb51db9f555ab616d8018f9d000f3,2,0xa901368aec255b1e6df31edf8aa735ff16bb12a8,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,2020-04-18 01:58:39.000000 UTC,224926,7000000000,2633480,158020,0,630,,147,8967,9223,0.97224330478152443,203,637,660,0.9651515151515152,118,692,0xf55fb572766ec6ede38ce7b433cc1c7184fcb51db9f555ab616d8018f9d000f3,17,9,18,1034,256,1597994,128,865,5214762,6,6,3,2,2
0xad9fabba855ddedea90aa9ca8b587d6ca8fbe291262264f7b7e67f8107ebb9ef,1,0xf365c92d82f902be17c5b298aa3dd77261afde35,0x847f5abba6a36c727ecff76784ee3648ba868808,2020-04-15 03:37:36.000000 UTC,348369,5500000000,976689,291475,0,528,,574,3203,3738,0.85687533440342434,44,471,530,0.88867924528301889,80,62,0xad9fabba855ddedea90aa9ca8b587d6ca8fbe291262264f7b7e67f8107ebb9ef,90,36,17,26,43,277409,3,89,577715,11,5,6,2,3
0x64a9353fba08ceea84e4a1a560b945d86814c579f6c18fdac1e16911c4f222a5,2,0x535c503b7d82f741aa4947c36fb6b352da5d41c7,0x847f5abba6a36c727ecff76784ee3648ba868808,2020-04-15 17:52:09.000000 UTC,265374,2200000000,7218301,213001,0,497,,473,3250,3789,0.85774610715228294,44,431,500,0.862,84,79,0x64a9353fba08ceea84e4a1a560b945d86814c579f6c18fdac1e16911c4f222a5,216,43,18,26,43,281242,2,89,580830,10,5,6,2,3
0x1db5a93321c9089cd890926fd0b0971f4e7669f3a30921e3dd3b335a5c97b68d,2,0xdea16c9f3bdedf79655512d8505cf2d425a31aaf,0x847f5abba6a36c727ecff76784ee3648ba868808,2020-04-13 21:15:04.000000 UTC,265765,1870000000,6998568,197684,0,750,,689,3110,3635,0.85557083906464926,42,675,753,0.896414342629482,76,44,0x1db5a93321c9089cd890926fd0b0971f4e7669f3a30921e3dd3b335a5c97b68d,91,30,18,26,41,269198,3,87,569515,10,5,6,2,3
0xd43672c04c535829853215aa56584999deadccdea359399cd4ae9dc57c9c6b0e,1,0x079e810fb5b21bb8271b12cd229b0cda888bd7bf,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,2020-04-18 12:30:22.000000 UTC,363553,3000000000,8059992,283856,0,123,,110,8997,9253,0.97233329730898088,203,115,129,0.89147286821705429,32,722,0xd43672c04c535829853215aa56584999deadccdea359399cd4ae9dc57c9c6b0e,2,1,13,1038,256,1600878,23,107,693452,7,5,3,1,3
0xbe0f253a5e40a92898b0bdb009adf8bc173aa071cc3fdd1179260a392c71ed5d,2,0x3584ca77ba08bd8b3fe4762e60eb284e37696829,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,2020-04-12 14:55:28.000000 UTC,215444,8000000000,2941445,165726,0,6441,,879,8401,8632,0.973239110287303,197,6245,6813,0.91662997211213859,297,101,0xbe0f253a5e40a92898b0bdb009adf8bc173aa071cc3fdd1179260a392c71ed5d,759,67,16,1000,250,1562579,284,977,5720444,6,5,3,2,2
